idgs,id,nombre,atributos,correo,intereses,titulo,autores,revista,citado por,año
fT99RewAAAAJ,udec,Lohengrin Cavieres,Universidad de Concepcion,,,"Facilitation in plant communities: the past, the present, and the future","RW Brooker, FT Maestre, RM Callaway, CL Lortie, LA Cavieres, ...","Journal of ecology, 18-34, 2008",1764,2008
fT99RewAAAAJ,udec,Lohengrin Cavieres,Universidad de Concepcion,,,Do biotic interactions shape both sides of the humped‐back model of species richness in plant communities?,"R Michalet, RW Brooker, LA Cavieres, Z Kikvidze, CJ Lortie, FI Pugnaire, ...","Ecology letters 9 (7), 767-773, 2006",667,2006
fT99RewAAAAJ,udec,Lohengrin Cavieres,Universidad de Concepcion,,,Ain't no mountain high enough: plant invasions reaching new elevations,"A Pauchard, C Kueffer, H Dietz, CC Daehler, J Alexander, PJ Edwards, ...","Frontiers in Ecology and the Environment 7 (9), 479-486, 2009",433,2009
fT99RewAAAAJ,udec,Lohengrin Cavieres,Universidad de Concepcion,,,Positive interactions between alpine plant species and the nurse cushion plant Laretia acaulis do not increase with elevation in the Andes of central Chile,"LA Cavieres, EI Badano, A Sierra‐Almeida, S Gómez‐González, ...","New Phytologist 169 (1), 59-69, 2006",366,2006
fT99RewAAAAJ,udec,Lohengrin Cavieres,Universidad de Concepcion,,,Catálogo de las plantas vasculares de Chile,"R Rodriguez, C Marticorena, D Alarcón, C Baeza, L Cavieres, VL Finot, ...","Gayana. Botánica 75 (1), 1-430, 2018",313,2018
fT99RewAAAAJ,udec,Lohengrin Cavieres,Universidad de Concepcion,,,Facilitative plant interactions and climate simultaneously drive alpine plant diversity,"LA Cavieres, RW Brooker, BJ Butterfield, BJ Cook, Z Kikvidze, CJ Lortie, ...","Ecology letters 17 (2), 193-202, 2014",300,2014
fT99RewAAAAJ,udec,Lohengrin Cavieres,Universidad de Concepcion,,,Assembly of nonnative floras along elevational gradients explained by directional ecological filtering,"JM Alexander, C Kueffer, CC Daehler, PJ Edwards, A Pauchard, T Seipel, ...","Proceedings of the National Academy of Sciences 108 (2), 656-661, 2011",296,2011
fT99RewAAAAJ,udec,Lohengrin Cavieres,Universidad de Concepcion,,,Do facilitative interactions increase species richness at the entire community level?,"LA Cavieres, EI Badano","Journal of Ecology 97 (6), 1181-1191, 2009",270,2009
fT99RewAAAAJ,udec,Lohengrin Cavieres,Universidad de Concepcion,,,Slope aspect influences plant association patterns in the Mediterranean matorral of central Chile,"EI Badano, LA Cavieres, MA Molina-Montenegro, CL Quiroz","Journal of Arid Environments 62 (1), 93-108, 2005",236,2005
fT99RewAAAAJ,udec,Lohengrin Cavieres,Universidad de Concepcion,,,Nurse effect of Bolax gummifera cushion plants in the alpine vegetation of the Chilean Patagonian Andes,"L Cavieres, MTK Arroyo, A Peñaloza, M Molina‐Montenegro, C Torres","Journal of Vegetation Science 13 (4), 547-554, 2002",228,2002
fT99RewAAAAJ,udec,Lohengrin Cavieres,Universidad de Concepcion,,,Microclimatic modifications of cushion plants and their consequences for seedling survival of native and non-native herbaceous species in the high Andes of central Chile,"LA Cavieres, EI Badano, A Sierra-Almeida, MA Molina-Montenegro","Arctic, Antarctic, and Alpine Research 39 (2), 229-236, 2007",225,2007
fT99RewAAAAJ,udec,Lohengrin Cavieres,Universidad de Concepcion,,,The presence of a showy invasive plant disrupts pollinator service and reproductive output in native alpine species only at high densities,"AA Muñoz, LA Cavieres","Journal of Ecology 96 (3), 459-467, 2008",206,2008
