idgs,id,nombre,atributos,correo,intereses,titulo,autores,revista,citado por,año
jyT8VE4AAAAJ,udp,Jose L. Prieto,Universidad Diego Portales,,,Improved cosmological constraints from a joint analysis of the SDSS-II and SNLS supernova samples,"MEA Betoule, R Kessler, J Guy, J Mosher, D Hardin, R Biswas, P Astier, ...","Astronomy & Astrophysics 568, A22, 2014",1876,2014
jyT8VE4AAAAJ,udp,Jose L. Prieto,Universidad Diego Portales,,,The man behind the curtain: X-rays drive the UV through NIR variability in the 2013 active galactic nucleus outburst in NGC 2617,"BJ Shappee, JL Prieto, D Grupe, CS Kochanek, KZ Stanek, G De Rosa, ...","The Astrophysical Journal 788 (1), 48, 2014",1371,2014
jyT8VE4AAAAJ,udp,Jose L. Prieto,Universidad Diego Portales,,,Observational constraints on the nature of dark energy: first cosmological results from the essence supernova survey,"WM Wood-Vasey, G Miknaitis, CW Stubbs, S Jha, AG Riess, ...","The Astrophysical Journal 666 (2), 694, 2007",1106,2007
jyT8VE4AAAAJ,udp,Jose L. Prieto,Universidad Diego Portales,,,The all-sky automated survey for supernovae (ASAS-SN) light curve server v1. 0,"CS Kochanek, BJ Shappee, KZ Stanek, TWS Holoien, TA Thompson, ...","Publications of the Astronomical Society of the Pacific 129 (980), 104502, 2017",785,2017
jyT8VE4AAAAJ,udp,Jose L. Prieto,Universidad Diego Portales,,,The sloan digital sky survey-II supernova survey: technical summary,"JA Frieman, B Bassett, A Becker, C Choi, D Cinabro, F DeJongh, ...","The Astronomical Journal 135 (1), 338, 2007",597,2007
jyT8VE4AAAAJ,udp,Jose L. Prieto,Universidad Diego Portales,,,Light curves of the neutron star merger GW170817/SSS17a: Implications for r-process nucleosynthesis,"MR Drout, AL Piro, BJ Shappee, CD Kilpatrick, JD Simon, C Contreras, ...","Science 358 (6370), 1570-1574, 2017",577,2017
jyT8VE4AAAAJ,udp,Jose L. Prieto,Universidad Diego Portales,,,First-year Sloan Digital Sky Survey-II supernova results: Hubble diagram and cosmological parameters,"R Kessler, AC Becker, D Cinabro, J Vanderplas, JA Frieman, J Marriner, ...","The Astrophysical Journal Supplement Series 185 (1), 32, 2009",428,2009
jyT8VE4AAAAJ,udp,Jose L. Prieto,Universidad Diego Portales,,,The catalina surveys periodic variable star catalog,"AJ Drake, MJ Graham, SG Djorgovski, M Catelan, AA Mahabal, ...","The Astrophysical Journal Supplement Series 213 (1), 9, 2014",420,2014
jyT8VE4AAAAJ,udp,Jose L. Prieto,Universidad Diego Portales,,,Measured metallicities at the sites of nearby broad-lined type Ic supernovae and implications for the supernovae gamma-ray burst connection,"M Modjaz, L Kewley, RP Kirshner, KZ Stanek, P Challis, PM Garnavich, ...","The Astronomical Journal 135 (4), 1136, 2008",412,2008
jyT8VE4AAAAJ,udp,Jose L. Prieto,Universidad Diego Portales,,,"The ESSENCE supernova survey: survey optimization, observations, and supernova photometry","G Miknaitis, G Pignata, A Rest, WM Wood-Vasey, S Blondin, P Challis, ...","The Astrophysical Journal 666 (2), 674, 2007",372,2007
jyT8VE4AAAAJ,udp,Jose L. Prieto,Universidad Diego Portales,,,The Sloan Digital Sky Survey-II supernova survey: search algorithm and follow-up observations,"M Sako, B Bassett, A Becker, D Cinabro, F DeJongh, DL Depoy, B Dilday, ...","The Astronomical Journal 135 (1), 348, 2007",287,2007
jyT8VE4AAAAJ,udp,Jose L. Prieto,Universidad Diego Portales,,,Six months of multiwavelength follow-up of the tidal disruption candidate ASASSN-14li and implied TDE rates from ASAS-SN,"TWS Holoien, CS Kochanek, JL Prieto, KZ Stanek, S Dong, BJ Shappee, ...","Monthly Notices of the Royal Astronomical Society 455 (3), 2918-2935, 2016",270,2016
jyT8VE4AAAAJ,udp,Jose L. Prieto,Universidad Diego Portales,,,"The Peculiar SN 2005hk: Do Some Type Ia Supernovae Explode as Deflagrations? 1, 2, 3","MM Phillips, W Li, JA Frieman, SI Blinnikov, D DePoy, JL Prieto, P Milne, ...","Publications of the Astronomical Society of the Pacific 119 (854), 360, 2007",269,2007
jyT8VE4AAAAJ,udp,Jose L. Prieto,Universidad Diego Portales,,,The luminous and carbon-rich supernova 2006gz: A double degenerate merger?,"M Hicken, PM Garnavich, JL Prieto, S Blondin, DL DePoy, RP Kirshner, ...","The Astrophysical Journal 669 (1), L17, 2007",267,2007
jyT8VE4AAAAJ,udp,Jose L. Prieto,Universidad Diego Portales,,,A survey about nothing: monitoring a million supergiants for failed supernovae,"CS Kochanek, JF Beacom, MD Kistler, JL Prieto, KZ Stanek, ...","The Astrophysical Journal 684 (2), 1336, 2008",264,2008
jyT8VE4AAAAJ,udp,Jose L. Prieto,Universidad Diego Portales,,,Early-time photometry and spectroscopy of the fast evolving SN 2006aj associated with GRB 060218,"M Modjaz, KZ Stanek, PM Garnavich, P Berlind, S Blondin, W Brown, ...","The Astrophysical Journal 645 (1), L21, 2006",259,2006
jyT8VE4AAAAJ,udp,Jose L. Prieto,Universidad Diego Portales,,,The Sloan Digital Sky Survey-II: Photometry and supernova Ia light curves from the 2005 data,"JA Holtzman, J Marriner, R Kessler, M Sako, B Dilday, JA Frieman, ...","The Astronomical Journal 136 (6), 2306, 2008",248,2008
jyT8VE4AAAAJ,udp,Jose L. Prieto,Universidad Diego Portales,,,The cosmic core-collapse supernova rate does not match the massive-star formation rate,"S Horiuchi, JF Beacom, CS Kochanek, JL Prieto, KZ Stanek, ...","The Astrophysical Journal 738 (2), 154, 2011",246,2011
jyT8VE4AAAAJ,udp,Jose L. Prieto,Universidad Diego Portales,,,"Characterizing supernova progenitors via the metallicities of their host galaxies, from poor dwarfs to rich spirals","JL Prieto, KZ Stanek, JF Beacom","The Astrophysical Journal 673 (2), 999, 2008",246,2008
jyT8VE4AAAAJ,udp,Jose L. Prieto,Universidad Diego Portales,,,The ASAS-SN catalogue of variable stars I: The Serendipitous Survey,"T Jayasinghe, CS Kochanek, KZ Stanek, BJ Shappee, TWS Holoien, ...","Monthly Notices of the Royal Astronomical Society 477 (3), 3145-3163, 2018",244,2018
TX3te0QAAAAJ,udp,Jose Joaquin BRUNNER,"Professor,  Sociology of Education. UNESCO Chair, Universidad Diego Portales, Chile",,,Educación Superior en América Latina,JJ Brunner,"Fondo de cultura Económica, 1990",754,1990
TX3te0QAAAAJ,udp,Jose Joaquin BRUNNER,"Professor,  Sociology of Education. UNESCO Chair, Universidad Diego Portales, Chile",,,Educación Superior en América Latina,JJ Brunner,,732,1990
TX3te0QAAAAJ,udp,Jose Joaquin BRUNNER,"Professor,  Sociology of Education. UNESCO Chair, Universidad Diego Portales, Chile",,,Globalización cultural y posmodernidad,JJ Brunner,,629,1998
TX3te0QAAAAJ,udp,Jose Joaquin BRUNNER,"Professor,  Sociology of Education. UNESCO Chair, Universidad Diego Portales, Chile",,,"Globalización y el futuro de la educación: tendencias, desafíos, estrategias",JJ Brunner,"Seminario sobre Prospectiva de la Educación en la Región de América Latina y …, 2000",602,2000
TX3te0QAAAAJ,udp,Jose Joaquin BRUNNER,"Professor,  Sociology of Education. UNESCO Chair, Universidad Diego Portales, Chile",,,Educación: escenarios de futuro: nuevas tecnologías y sociedad de la información,JJ Brunner,"Preal, 2000",534,2000
TX3te0QAAAAJ,udp,Jose Joaquin BRUNNER,"Professor,  Sociology of Education. UNESCO Chair, Universidad Diego Portales, Chile",,,Mercados universitarios: el nuevo escenario de la educación superior,"JJ Brunner, D Uribe","Ediciones Universidad Diego Portales, 2007",505,2007
TX3te0QAAAAJ,udp,Jose Joaquin BRUNNER,"Professor,  Sociology of Education. UNESCO Chair, Universidad Diego Portales, Chile",,,Capital humano en Chile,"JJ Brunner, G Elacqua","Santiago: Percade Ediciones, 2003",479,2003
