idgs,id,nombre,atributos,correo,intereses,titulo,autores,revista,citado por,año
MTnStAsAAAAJ,ufrontera,Sergio Munoz,Universidad de La Frontera,,,"Male circumcision, penile human papillomavirus infection, and cervical cancer in female partners","X Castellsagué, FX Bosch, N Muñoz, CJLM Meijer, KV Shah, ...","New England journal of medicine 346 (15), 1105-1112, 2002",1152,2002
MTnStAsAAAAJ,ufrontera,Sergio Munoz,Universidad de La Frontera,,,"Refractive error study in children: results from Shunyi District, China","J Zhao, X Pan, R Sui, SR Munoz, RD Sperduto, LB Ellwein","American journal of ophthalmology 129 (4), 427-435, 2000",776,2000
MTnStAsAAAAJ,ufrontera,Sergio Munoz,Universidad de La Frontera,,,Refractive error in children in an urban population in New Delhi,"GVS Murthy, SK Gupta, LB Ellwein, SR Munoz, GP Pokharel, L Sanga, ...","Investigative ophthalmology & visual science 43 (3), 623-631, 2002",738,2002
MTnStAsAAAAJ,ufrontera,Sergio Munoz,Universidad de La Frontera,,,Refractive error in children in a rural population in India,"R Dandona, L Dandona, M Srinivas, P Sahare, S Narsaiah, SR Munoz, ...","Investigative ophthalmology & visual science 43 (3), 615-622, 2002",709,2002
MTnStAsAAAAJ,ufrontera,Sergio Munoz,Universidad de La Frontera,,,"Refractive error study in children: results from La Florida, Chile","E Maul, S Barroso, SR Munoz, RD Sperduto, LB Ellwein","American journal of ophthalmology 129 (4), 445-454, 2000",667,2000
MTnStAsAAAAJ,ufrontera,Sergio Munoz,Universidad de La Frontera,,,"Refractive error study in children: results from Mechi Zone, Nepal","GP Pokharel, AD Negrel, SR Munoz, LB Ellwein","American journal of ophthalmology 129 (4), 436-444, 2000",564,2000
MTnStAsAAAAJ,ufrontera,Sergio Munoz,Universidad de La Frontera,,,Nivel de actividad física medida a través del cuestionario internacional de actividad física en población chilena,"P Serón, S Muñoz, F Lanas","Revista médica de Chile 138 (10), 1232-1239, 2010",344,2010
MTnStAsAAAAJ,ufrontera,Sergio Munoz,Universidad de La Frontera,,,Epidemiology in Latin America and the Caribbean: current situation and challenges,"SM Barreto, JJ Miranda, JP Figueroa, MI Schmidt, S Munoz, ...","International journal of epidemiology 41 (2), 557-571, 2012",243,2012
MTnStAsAAAAJ,ufrontera,Sergio Munoz,Universidad de La Frontera,,,Interpretation of Kappa and B statistics measures of agreement,"SR Munoz, SI Bangdiwala","Journal of Applied Statistics 24 (1), 105-112, 1997",242,1997
MTnStAsAAAAJ,ufrontera,Sergio Munoz,Universidad de La Frontera,,,"A population based eye survey of older adults in Tirunelveli district of south India: blindness, cataract surgery, and visual outcomes","PK Nirmalan, RD Thulasiraj, V Maneksha, R Rahmathullah, ...","British Journal of Ophthalmology 86 (5), 505-512, 2002",236,2002
MTnStAsAAAAJ,ufrontera,Sergio Munoz,Universidad de La Frontera,,,"The progression of refractive error in school-age children: Shunyi district, China","J Zhao, J Mao, R Luo, F Li, SR Munoz, LB Ellwein","American journal of ophthalmology 134 (5), 735-743, 2002",220,2002
MTnStAsAAAAJ,ufrontera,Sergio Munoz,Universidad de La Frontera,,,Minimal deductive systems for RDF,"S Munoz, J Pérez, C Gutiérrez","European Semantic Web Conference, 53-67, 2007",190,2007
MTnStAsAAAAJ,ufrontera,Sergio Munoz,Universidad de La Frontera,,,Identificación de factores de riesgo y factores protectores del embarazo en adolescentes de la novena región,"B Baeza, AM Póo, O Vásquez, S Muñoz, C Vallejos","Revista chilena de obstetricia y ginecología 72 (2), 76-81, 2007",189,2007
MTnStAsAAAAJ,ufrontera,Sergio Munoz,Universidad de La Frontera,,,International variations in harsh child discipline,"DK Runyan, V Shankar, F Hassan, WM Hunter, D Jain, CS Paula, ...","Pediatrics 126 (3), e701-e711, 2010",185,2010
MTnStAsAAAAJ,ufrontera,Sergio Munoz,Universidad de La Frontera,,,"A population-based eye survey of older adults in a rural district of Rajasthan: I. Central vision impairment, blindness, and cataract surgery","GVS Murthy, S Gupta, LB Ellwein, SR Munoz, D Bachani, VK Dada","Ophthalmology 108 (4), 679-685, 2001",183,2001
MTnStAsAAAAJ,ufrontera,Sergio Munoz,Universidad de La Frontera,,,"Visual acuity and quality of life in patients with cataract in Doumen County, China","M He, J Xu, S Li, K Wu, SR Munoz, LB Ellwein","Ophthalmology 106 (8), 1609-1615, 1999",180,1999
MTnStAsAAAAJ,ufrontera,Sergio Munoz,Universidad de La Frontera,,,"A survey of blindness and cataract surgery in Doumen County, China","S Li, J Xu, M He, K Wu, SR Munoz, LB Ellwein","Ophthalmology 106 (8), 1602-1608, 1999",171,1999
MTnStAsAAAAJ,ufrontera,Sergio Munoz,Universidad de La Frontera,,,Medición en salud: Algunas consideraciones metodológicas,"AM Alarcon, S Muñoz","Revista médica de Chile 136 (1), 125-130, 2008",153,2008
MTnStAsAAAAJ,ufrontera,Sergio Munoz,Universidad de La Frontera,,,Role of Toll-like receptors in the development of immunotolerance mediated by probiotics,"C Gómez-Llorente, S Munoz, A Gil","Proceedings of the Nutrition Society 69 (3), 381-389, 2010",150,2010
MTnStAsAAAAJ,ufrontera,Sergio Munoz,Universidad de La Frontera,,,"Tobacco smoking, occupational exposure and bladder cancer in Argentina","J Iscovich, R Castelletto, J Estè, N Munoz, R Colanzi, A Coronel, ...","International journal of cancer 40 (6), 734-740, 1987",146,1987
nLlEb78AAAAJ,ufrontera,Tamara Otzen,Universidad de La Frontera,,,Técnicas de Muestreo sobre una Población a Estudio,"T Otzen, C Manterola","International journal of morphology 35 (1), 227-232, 2017",5264,2017
nLlEb78AAAAJ,ufrontera,Tamara Otzen,Universidad de La Frontera,,,Estudios observacionales: los diseños utilizados con mayor frecuencia en investigación clínica,"C Manterola, T Otzen","International Journal of Morphology 32 (2), 634-645, 2014",596,2014
nLlEb78AAAAJ,ufrontera,Tamara Otzen,Universidad de La Frontera,,,Los sesgos en investigación clínica,"C Manterola, T Otzen","International Journal of Morphology 33 (3), 1156-1164, 2015",248,2015
nLlEb78AAAAJ,ufrontera,Tamara Otzen,Universidad de La Frontera,,,Jerarquización de la evidencia: Niveles de evidencia y grados de recomendación de uso actual,"C Manterola, C Asenjo-Lobos, T Otzen","Revista chilena de infectología 31 (6), 705-718, 2014",237,2014
nLlEb78AAAAJ,ufrontera,Tamara Otzen,Universidad de La Frontera,,,Sampling techniques on a population study,"T Otzen, C Manterola","Int. J. Morphol 35 (1), 227-232, 2017",222,2017
nLlEb78AAAAJ,ufrontera,Tamara Otzen,Universidad de La Frontera,,,Estudios experimentales 2 parte: estudios cuasi-experimentales,"C Manterola, T Otzen","International Journal of Morphology 33 (1), 382-387, 2015",150,2015
nLlEb78AAAAJ,ufrontera,Tamara Otzen,Universidad de La Frontera,,,"Confiabilidad, precisión o reproducibilidad de las mediciones. Métodos de valoración, utilidad y aplicaciones en la práctica clínica","C Manterola, L Grande, T Otzen, N García, P Salazar, G Quiroz","Revista chilena de infectología 35 (6), 680-688, 2018",109,2018
