idgs,id,nombre,atributos,correo,intereses,titulo,autores,revista,citado por,año
pwL_3ukAAAAJ,ulagos,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",,,"Integrated aquaculture: rationale, evolution and state of the art emphasizing seaweed biofiltration in modern mariculture","A Neori, T Chopin, M Troell, AH Buschmann, GP Kraemer, C Halling, ...","Aquaculture 231 (1-4), 361-391, 2004",1154,2004
pwL_3ukAAAAJ,ulagos,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",,,Integrating seaweeds into marine aquaculture systems: a key toward sustainability,"T Chopin, AH Buschmann, C Halling, M Troell, N Kautsky, A Neori, ...","Journal of Phycology 37 (6), 975-986, 2001",819,2001
pwL_3ukAAAAJ,ulagos,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",,,Antimicrobial use in aquaculture re‐examined: its relevance to antimicrobial resistance and to animal and human health,"FC Cabello, HP Godfrey, A Tomova, L Ivanova, H Dölz, A Millanao, ...","Environmental microbiology 15 (7), 1917-1942, 2013",657,2013
pwL_3ukAAAAJ,ulagos,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",,,Ecological engineering in aquaculture—potential for integrated multi-trophic aquaculture (IMTA) in marine offshore systems,"M Troell, A Joyce, T Chopin, A Neori, AH Buschmann, JG Fang","Aquaculture 297 (1-4), 1-9, 2009",581,2009
pwL_3ukAAAAJ,ulagos,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",,,Integrated mariculture: asking the right questions,"M Troell, C Halling, A Neori, T Chopin, AH Buschmann, N Kautsky, ...","Aquaculture 226 (1-4), 69-90, 2003",545,2003
pwL_3ukAAAAJ,ulagos,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",,,Global patterns of kelp forest change over the past half-century,"KA Krumhansl, DK Okamoto, A Rassweiler, M Novak, JJ Bolton, ...","Proceedings of the National Academy of Sciences 113 (48), 13785-13790, 2016",478,2016
pwL_3ukAAAAJ,ulagos,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",,,Global ecology of the giant kelp Macrocystis: from ecotypes to ecosystems,"MH Graham, JA Vasquez, AH Buschmann","Oceanography and Marine Biology 45, 39, 2007",430,2007
pwL_3ukAAAAJ,ulagos,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",,,"Seaweed production: overview of the global state of exploitation, farming and emerging research activity","AH Buschmann, C Camus, J Infante, A Neori, Á Israel, ...","European Journal of Phycology 52 (4), 391-406, 2017",422,2017
pwL_3ukAAAAJ,ulagos,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",,,A 20-year retrospective review of global aquaculture,"RL Naylor, RW Hardy, AH Buschmann, SR Bush, L Cao, DH Klinger, ...","Nature 591 (7851), 551-563, 2021",387,2021
pwL_3ukAAAAJ,ulagos,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",,,"Integrated marine cultivation of Gracilaria chilensis (Gracilariales, Rhodophyta) and salmon cages for reduced environmental impact and increased economic output","M Troell, C Halling, A Nilsson, AH Buschmann, N Kautsky, L Kautsky","Aquaculture 156 (1-2), 45-61, 1997",372,1997
pwL_3ukAAAAJ,ulagos,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",,,IMTA with Gracilaria vermiculophylla: productivity and nutrient removal performance of the seaweed in a land-based pilot scale system,"MH Abreu, R Pereira, C Yarish, AH Buschmann, I Sousa-Pinto","Aquaculture 312 (1-4), 77-87, 2011",333,2011
pwL_3ukAAAAJ,ulagos,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",,,Aquaculture as yet another environmental gateway to the development and globalisation of antimicrobial resistance,"FC Cabello, HP Godfrey, AH Buschmann, HJ Dölz","The Lancet Infectious Diseases 16 (7), e127-e133, 2016",318,2016
pwL_3ukAAAAJ,ulagos,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",,,A review of the impacts of salmonid farming on marine coastal ecosystems in the southeast Pacific,"AH Buschmann, VA Riquelme, MC Hernández-González, D Varela, ...","ICES Journal of Marine Science 63 (7), 1338-1345, 2006",315,2006
pwL_3ukAAAAJ,ulagos,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",,,Ecological engineering in aquaculture: use of seaweeds for removing nutrients from intensive mariculture,"M Troell, P Rönnbäck, C Halling, N Kautsky, A Buschmann","Sixteenth international seaweed symposium, 603-611, 1999",313,1999
pwL_3ukAAAAJ,ulagos,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",,,"Salmon aquaculture and coastal ecosystem health in Chile: analysis of regulations, environmental impacts and bioremediation systems","AH Buschmann, F Cabello, K Young, J Carvajal, DA Varela, L Henríquez","Ocean & Coastal Management 52 (5), 243-249, 2009",233,2009
pwL_3ukAAAAJ,ulagos,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",,,Red algal farming in Chile: a review,"AH Buschmann, JA Correa, R Westermeier, ...","Aquaculture 194 (3-4), 203-220, 2001",223,2001
pwL_3ukAAAAJ,ulagos,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",,,Ecological engineering: multi-trophic integration for sustainable marine aquaculture,"T Chopin, SMC Robinson, M Troell, A Neori, A Buschmann, JG Fang","Elsevier, Amsterdam, 2008",203,2008
pwL_3ukAAAAJ,ulagos,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",,,Salmon aquaculture and antimicrobial resistance in the marine environment,"AH Buschmann, A Tomova, A López, MA Maldonado, LA Henríquez, ...","Public Library of Science 7 (8), e42724, 2012",193,2012
pwL_3ukAAAAJ,ulagos,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",,,Prospects and challenges for industrial production of seaweed bioactives,"JT Hafting, JS Craigie, DB Stengel, RR Loureiro, AH Buschmann, ...","Journal of Phycology 51 (5), 821-837, 2015",192,2015
pwL_3ukAAAAJ,ulagos,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",,,"Traditional vs. integrated multi-trophic aquaculture of Gracilaria chilensis CJ Bird, J. McLachlan & EC Oliveira: productivity and physiological performance","MH Abreu, DA Varela, L Henríquez, A Villarroel, C Yarish, I Sousa-Pinto, ...","Aquaculture 293 (3-4), 211-220, 2009",186,2009
Vx7kPp8AAAAJ,ulagos,Cristian Alvarez,Universidad Andres Bello,,,High-speed resistance training is more effective than low-speed resistance training to increase functional capacity and muscle performance in older women,"R Ramírez-Campillo, A Castillo, I Carlos, C Campos-Jara, DC Andrade, ...","Experimental gerontology 58, 51-57, 2014",210,2014
Vx7kPp8AAAAJ,ulagos,Cristian Alvarez,Universidad Andres Bello,,,Effects of in-season low-volume high-intensity plyometric training on explosive actions and endurance of young soccer players,"R Ramírez-Campillo, C Meylan, C Álvarez, C Henríquez-Olguín, ...","The Journal of Strength & Conditioning Research 28 (5), 1335-1342, 2014",209,2014
