idgs,id,nombre,atributos,correo,intereses,titulo,autores,revista,citado por,año
Auy6bPcAAAAJ,umag,Jorge Carrasco,Universidad de Magallanes - Centro de Investigación Gaia Antártica,,,"Observations: changes in snow, ice and frozen ground","P Lemke, J Ren, RB Alley, I Allison, J Carrasco, G Flato, Y Fujii, G Kaser, ...",,1317,2007
Auy6bPcAAAAJ,umag,Jorge Carrasco,Universidad de Magallanes - Centro de Investigación Gaia Antártica,,,Observations: Cryosphere,"TZ Vaughan, D.G., J. C. Comiso, I. Allison, J. Carrasco, G. Kaser, R. Kwok ...","Climate Change 2013: The Physical Science Basis 1, 2013",1240*,2013
Auy6bPcAAAAJ,umag,Jorge Carrasco,Universidad de Magallanes - Centro de Investigación Gaia Antártica,,,"Measurements of sulfur dioxide, ozone and ammonia concentrations in Asia, Africa, and South America using passive samplers","GR Carmichael, M Ferm, N Thongboonchoo, JH Woo, LY Chan, ...","Atmospheric Environment 37 (9-10), 1293-1308, 2003",205,2003
Auy6bPcAAAAJ,umag,Jorge Carrasco,Universidad de Magallanes - Centro de Investigación Gaia Antártica,,,Changes of the 0 C isotherm and the equilibrium line altitude in central Chile during the last quarter of the 20th century/Changements de l'isotherme 0 C et de la ligne d …,"JF Carrasco, G Casassa, J Quintana","Hydrological Sciences Journal 50 (6), 2005",191,2005
Auy6bPcAAAAJ,umag,Jorge Carrasco,Universidad de Magallanes - Centro de Investigación Gaia Antártica,,,Meteorological and climatological aspects of the Southern Patagonia Icefield,"JF Carrasco, G Casassa, A Rivera","The Patagonian Icefields, 29-41, 2002",163,2002
Auy6bPcAAAAJ,umag,Jorge Carrasco,Universidad de Magallanes - Centro de Investigación Gaia Antártica,,,"Secular trend of the equilibrium-line altitude on the western side of the southern Andes, derived from radiosonde and surface observations","JF Carrasco, R Osorio, G Casassa","Journal of Glaciology 54 (186), 538-550, 2008",126,2008
Auy6bPcAAAAJ,umag,Jorge Carrasco,Universidad de Magallanes - Centro de Investigación Gaia Antártica,,,Distribution and characteristics of mesoscale cyclones in the Antarctic: Ross Sea eastward to the Weddell Sea,"JF Carrasco, DH Bromwich, AJ Monaghan","Monthly Weather Review 131 (2), 289-301, 2003",113,2003
Auy6bPcAAAAJ,umag,Jorge Carrasco,Universidad de Magallanes - Centro de Investigación Gaia Antártica,,,Satellite observations of katabatic-wind propagation for great distances across the Ross Ice Shelf,"DH Bromwich, JF Carrasco, CR Stearns","Monthly Weather Review 120 (9), 1940-1949, 1992",107,1992
Auy6bPcAAAAJ,umag,Jorge Carrasco,Universidad de Magallanes - Centro de Investigación Gaia Antártica,,,"Observations: changes in snow, ice and frozen ground Climate Change 2007: The Physical Science Basis. Contribution of Working Group I to the Fourth Assessment Report of the …","P Lemke, J Ren, RB Alley, I Allison, J Carrasco, G Flato, Y Fujii, G Kaser, ...","Cambridge University Press. UK, Cambridge, 337-383, 2007",101,2007
Auy6bPcAAAAJ,umag,Jorge Carrasco,Universidad de Magallanes - Centro de Investigación Gaia Antártica,,,CIMAR-5: A snapshot of the lower troposphere over the subtropical southeast Pacific,"RD Garreaud, J Rutllant, J Quintana, J Carrasco, P Minnis","Bulletin of the American Meteorological Society 82 (10), 2193-2207, 2001",95,2001
