idgs,id,nombre,atributos,correo,intereses,titulo,autores,revista,citado por,año
KZ5TMuAAAAAJ,unab,Jose Rodriguez,"Professor, Engineering Faculty, Universidad Andres Bello",,,"Multilevel inverters: a survey of topologies, controls, and applications","J Rodriguez, JS Lai, FZ Peng","IEEE Transactions on industrial electronics 49 (4), 724-738, 2002",8325,2002
KZ5TMuAAAAAJ,unab,Jose Rodriguez,"Professor, Engineering Faculty, Universidad Andres Bello",,,Recent advances and industrial applications of multilevel converters,"S Kouro, M Malinowski, K Gopakumar, J Pou, LG Franquelo, B Wu, ...","IEEE Transactions on industrial electronics 57 (8), 2553-2580, 2010",3910,2010
KZ5TMuAAAAAJ,unab,Jose Rodriguez,"Professor, Engineering Faculty, Universidad Andres Bello",,,Multilevel voltage-source-converter topologies for industrial medium-voltage drives,"J Rodríguez, S Bernet, B Wu, JO Pontt, S Kouro","IEEE Transactions on industrial electronics 54 (6), 2930-2945, 2007",2633,2007
KZ5TMuAAAAAJ,unab,Jose Rodriguez,"Professor, Engineering Faculty, Universidad Andres Bello",,,A survey on cascaded multilevel inverters,"M Malinowski, K Gopakumar, J Rodriguez, MA Perez","IEEE Transactions on industrial electronics 57 (7), 2197-2206, 2009",2500,2009
KZ5TMuAAAAAJ,unab,Jose Rodriguez,"Professor, Engineering Faculty, Universidad Andres Bello",,,Matrix converters: A technology review,"PW Wheeler, J Rodriguez, JC Clare, L Empringham, A Weinstein","IEEE Transactions on industrial electronics 49 (2), 276-288, 2002",2350,2002
KZ5TMuAAAAAJ,unab,Jose Rodriguez,"Professor, Engineering Faculty, Universidad Andres Bello",,,The age of multilevel converters arrives,"LG Franquelo, J Rodriguez, JI Leon, S Kouro, R Portillo, MAM Prats","IEEE industrial electronics magazine 2 (2), 28-39, 2008",2288,2008
KZ5TMuAAAAAJ,unab,Jose Rodriguez,"Professor, Engineering Faculty, Universidad Andres Bello",,,Model predictive control—A simple and powerful method to control power converters,"S Kouro, P Cortés, R Vargas, U Ammann, J Rodríguez","IEEE Transactions on industrial electronics 56 (6), 1826-1838, 2008",2009,2008
KZ5TMuAAAAAJ,unab,Jose Rodriguez,"Professor, Engineering Faculty, Universidad Andres Bello",,,A survey on neutral-point-clamped inverters,"J Rodriguez, S Bernet, PK Steimer, IE Lizama","IEEE transactions on Industrial Electronics 57 (7), 2219-2230, 2009",1828,2009
KZ5TMuAAAAAJ,unab,Jose Rodriguez,"Professor, Engineering Faculty, Universidad Andres Bello",,,Predictive control in power electronics and drives,"P Cortés, MP Kazmierkowski, RM Kennel, DE Quevedo, J Rodríguez","IEEE Transactions on industrial electronics 55 (12), 4312-4324, 2008",1792,2008
KZ5TMuAAAAAJ,unab,Jose Rodriguez,"Professor, Engineering Faculty, Universidad Andres Bello",,,Predictive current control of a voltage source inverter,"J Rodriguez, J Pontt, CA Silva, P Correa, P Lezana, P Cortés, U Ammann","IEEE transactions on industrial electronics 54 (1), 495-503, 2007",1754,2007
KZ5TMuAAAAAJ,unab,Jose Rodriguez,"Professor, Engineering Faculty, Universidad Andres Bello",,,State of the art of finite control set model predictive control in power electronics,"J Rodriguez, MP Kazmierkowski, JR Espinoza, P Zanchetta, H Abu-Rub, ...","IEEE Transactions on Industrial Informatics 9 (2), 1003-1016, 2012",1569,2012
KZ5TMuAAAAAJ,unab,Jose Rodriguez,"Professor, Engineering Faculty, Universidad Andres Bello",,,Predictive control of power converters and electrical drives,"J Rodriguez, P Cortes","John Wiley & Sons, 2012",1326,2012
KZ5TMuAAAAAJ,unab,Jose Rodriguez,"Professor, Engineering Faculty, Universidad Andres Bello",,,"Medium-voltage multilevel converters—State of the art, challenges, and requirements in industrial applications","H Abu-Rub, J Holtz, J Rodriguez, G Baoming","IEEE Transactions on Industrial Electronics 57 (8), 2581-2596, 2010",1296,2010
KZ5TMuAAAAAJ,unab,Jose Rodriguez,"Professor, Engineering Faculty, Universidad Andres Bello",,,Multilevel converters: An enabling technology for high-power applications,"J Rodriguez, LG Franquelo, S Kouro, JI Leon, RC Portillo, MAM Prats, ...","Proceedings of the IEEE 97 (11), 1786-1817, 2009",1287,2009
