idgs,id,nombre,atributos,correo,intereses,titulo,autores,revista,citado por,año
RRT4zO4AAAAJ,unap,Ricardo Tejos Ulloa,"Facultad de Recursos Naturales Renovables, Universidad Arturo Prat",,,The PIN-FORMED (PIN) protein family of auxin transporters,"P Křeček, P Skůpa, J Libus, S Naramoto, R Tejos, J Friml, E Zažímalová","Genome biology 10 (12), 1-11, 2009",508,2009
RRT4zO4AAAAJ,unap,Ricardo Tejos Ulloa,"Facultad de Recursos Naturales Renovables, Universidad Arturo Prat",,,Auxin transport inhibitors impair vesicle motility and actin cytoskeleton dynamics in diverse eukaryotes,"P Dhonukshe, I Grigoriev, R Fischer, M Tominaga, DG Robinson, J Hašek, ...","Proceedings of the National Academy of Sciences 105 (11), 4489-4494, 2008",269,2008
RRT4zO4AAAAJ,unap,Ricardo Tejos Ulloa,"Facultad de Recursos Naturales Renovables, Universidad Arturo Prat",,,ER-localized auxin transporter PIN8 regulates auxin homeostasis and male gametophyte development in Arabidopsis,"Z Ding, B Wang, I Moreno, N Dupláková, S Simon, N Carraro, J Reemmer, ...","Nature communications 3 (1), 1-11, 2012",262,2012
RRT4zO4AAAAJ,unap,Ricardo Tejos Ulloa,"Facultad de Recursos Naturales Renovables, Universidad Arturo Prat",,,GOLVEN secretory peptides regulate auxin carrier turnover during plant gravitropic responses,"R Whitford, A Fernandez, R Tejos, AC Pérez, J Kleine-Vehn, S Vanneste, ...","Developmental cell 22 (3), 678-685, 2012",180,2012
RRT4zO4AAAAJ,unap,Ricardo Tejos Ulloa,"Facultad de Recursos Naturales Renovables, Universidad Arturo Prat",,,ABP1 and ROP6 GTPase signaling regulate clathrin-mediated endocytosis in Arabidopsis roots,"X Chen, S Naramoto, S Robert, R Tejos, C Löfke, D Lin, Z Yang, J Friml","Current Biology 22 (14), 1326-1332, 2012",169,2012
RRT4zO4AAAAJ,unap,Ricardo Tejos Ulloa,"Facultad de Recursos Naturales Renovables, Universidad Arturo Prat",,,Bipolar Plasma Membrane Distribution of Phosphoinositides and Their Requirement for Auxin-Mediated Cell Polarity and Patterning in Arabidopsis,"R Tejos, M Sauer, S Vanneste, M Palacios-Gomez, H Li, M Heilmann, ...","The Plant Cell 26 (5), 2114-2128, 2014",146,2014
RRT4zO4AAAAJ,unap,Ricardo Tejos Ulloa,"Facultad de Recursos Naturales Renovables, Universidad Arturo Prat",,,Salicylic acid interferes with clathrin-mediated endocytic protein trafficking,"Y Du, R Tejos, M Beck, E Himschoot, H Li, S Robatzek, S Vanneste, ...","Proceedings of the National Academy of Sciences 110 (19), 7946-7951, 2013",99,2013
RRT4zO4AAAAJ,unap,Ricardo Tejos Ulloa,"Facultad de Recursos Naturales Renovables, Universidad Arturo Prat",,,PIN6 auxin transporter at endoplasmic reticulum and plasma membrane mediates auxin homeostasis and organogenesis in Arabidopsis,"S Simon, P Skůpa, T Viaene, M Zwiewka, R Tejos, P Klíma, M Čarná, ...","New Phytologist 211 (1), 65-74, 2016",90,2016
RRT4zO4AAAAJ,unap,Ricardo Tejos Ulloa,"Facultad de Recursos Naturales Renovables, Universidad Arturo Prat",,,SAC phosphoinositide phosphatases at the tonoplast mediate vacuolar function in Arabidopsis,"P Nováková, S Hirsch, E Feraru, R Tejos, R Van Wijk, T Viaene, ...","Proceedings of the National Academy of Sciences 111 (7), 2818-2823, 2014",65,2014
RRT4zO4AAAAJ,unap,Ricardo Tejos Ulloa,"Facultad de Recursos Naturales Renovables, Universidad Arturo Prat",,,Analysis of chlorophyll fluorescence reveals stage specific patterns of chloroplast-containing cells during Arabidopsis embryogenesis,"RI Tejos, AV Mercado, LA Meisel","Biological research 43 (1), 99-111, 2010",44,2010
