titulo,autores,revista
Ultimate bearing capacity of rock masses based on the modified Hoek–Brown criterion,"A Serrano, C Olalla, J Gonzalez","International Journal of Rock Mechanics and Mining Sciences 37 (6), 1013-1018, 2000"
Coherent states on the circle,"JA González, MA Del Olmo","Journal of Physics A: Mathematical and General 31 (44), 8841, 1998"
Diagnóstico sobre la Planeación y Control de Proyectos en las PYMES de Construcción,"JA González, R Solís, C Alcudia","Revista de la Construcción 9 (1), 17-25, 2010"
SPSS: Pruebas no paramétricas,"R García, J González, JM Jornet","Innova MIDE. Recuperado de http://www. uv. es/innomide/spss/SPSS/SPSS_0802A. pdf, 2010"
Competencias parentales que favorecen el desarrollo de funciones ejecutivas en escolares,"F Bernal-Ruiz, M Rodríguez-Vera, J González-Campos, A Torres-Álvarez","Revista Latinoamericana de Ciencias Sociales, Niñez y Juventud 16 (1), 163-176, 2018"
SPSS: Análisis de fiabilidad: alfa de cronbach,"R García–Bellido, J González, M Jornet","Grupo de innovación educativa. Universitat de Valencia, 2010"
SPSS: Análisis de fiabilidad,"R García, J González, J Jornet","Valencia, España: Grupo de Innovación Educativa 6, 2010"
El compromiso estudiantil en educación superior como agencia compleja,"JE Aspeé, JA González, EA Cavieres-Fernández","Formación universitaria 11 (4), 95-108, 2018"
Helechos,"H Navarrete, B León, J Gonzales, DK Aviles, J Salazar, F Mellado, ...","Botánica económica de los Andes centrales, 385-411, 2006"
Semiclassical behaviour of coherent states on the circle,"S DE BIÈVRE, JA GONZÁLEZ","Quantization and Coherent States Methods, 152-157, 1993"
"Ciencia, Tecnología y Sociedad: una aproximación conceptual","E Marino, JC González, JA López, JL Luján, M Marín, C Osorio, C Valdés","Colección Cuadernos de Iberoamérica. Editor: Organización de estados …, 2001"
Intelligent on-line surface inspection on a skinpass mill,"F Obeso, J Gonzalez","Iron and Steel Engineer(USA) 74 (9), 29-35, 1997"
Variables sociodemográficas y académicas explicativas de la deserción de estudiantes en la Facultad de Ciencias Naturales de la Universidad de Playa Ancha (Chile),"CM Carvajal, JA González, SJ Sarzoza","Formación universitaria 11 (2), 3-12, 2018"
Coeficientes edumétricos para la validez y dificultad de un test: Propuesta,"J González Campos, C Carvajal Muquillaza, F Viveros Reyes","Estudios pedagógicos (Valdivia) 42 (3), 467-481, 2016"
Studies of structural and magnetic properties of glass-coated nanocrystalline Fe79Hf7B12Si2 microwires,"C García, A Zhukov, J Gonzalez, V Zhukova, R Varga, JJ Del Val, V Larin, ...","Journal of alloys and compounds 423 (1-2), 116-119, 2006"
Perfil de egreso doctoral: una propuesta desde el análisis documental y las expectativas de los doctorandos,"K Núñez-Valdés, JA González Campos","IE Revista de Investigación Educativa de la REDIECH 10 (18), 161-175, 2019"
The direct and indirect hemolytic factors from animal venoms,"KH Slotta, J Gonzalez, S Roth","RUSSELL Animal Toxins; Elsevier: Amsterdam, The Netherlands, 369-377, 2016"
El compromiso estudiantil ciudadano y su vínculo con el éxito educativo en la educación superior,"JA Chacón, EC Fernández, JG Campos","Opción: Revista de Ciencias Humanas y Sociales, 393-422, 2018"
"Impacto de las habilidades de comprensión lectora en el aprendizaje escolar: Un estudio realizado en una comuna de la región metropolitana, Chile","K Núñez-Valdés, JC Medina-Pérez, J González-Campos","Revista Electrónica Educare 23 (2), 28-49, 2019"
Innova Mide,"R García, J González, JM Jornet","Universidad de Valencia: Valencia. Consultado en http://www. uv. es …, 2010"
Phylogenetic and functional marker genes to study ammonia-oxidizing microorganisms (AOM) in the environment,"P Junier, V Molina, C Dorador, O Hadas, OS Kim, T Junier, KP Witzel, ...","Applied Microbiology and Biotechnology 85 (3), 425-440, 2010"
Anammox bacteria and the anaerobic oxidation of ammonium in the oxygen minimum zone off northern Chile,"A Galan, V Molina, B Thamdrup, D Woebken, G Lavik, MMM Kuypers, ...","Deep sea research part II: topical studies in oceanography 56 (16), 1021-1031, 2009"
High diversity of ammonia‐oxidizing archaea in permanent and seasonal oxygen‐deficient waters of the eastern South Pacific,"V Molina, L Belmar, O Ulloa","Environmental microbiology 12 (9), 2450-2465, 2010"
A combination of extreme environmental conditions favor the prevalence of endospore-forming firmicutes,"S Filippidou, T Wunderlin, T Junier, N Jeanneret, C Dorador, V Molina, ...","Frontiers in microbiology 7, 1707, 2016"
Massive developments of microbial mats following phytoplankton blooms in a naturally eutrophic bay: Implications for nitrogen cycling,"M Graco, L Farías, V Molina, D Gutiérrez, LP Nielsen","Limnology and Oceanography 46 (4), 821-832, 2001"
Abundance and phylogenetic identity of archaeoplankton in the permanent oxygen minimum zone of the eastern tropical South Pacific,"L Belmar, V Molina, O Ulloa","FEMS Microbiology Ecology 78 (2), 314-326, 2011"
Ammonia-oxidizing β-proteobacteria from the oxygen minimum zone off northern Chile,"V Molina, O Ulloa, L Farías, H Urrutia, S Ramírez, P Junier, KP Witzel","Applied and Environmental Microbiology 73 (11), 3547-3555, 2007"
Ammonium cycling under a strong oxygen gradient associated with the Oxygen Minimum Zone off northern Chile (~ 23 S),"V Molina, L Farías, Y Eissler, LA Cuevas, CE Morales, R Escribano","Marine Ecology Progress Series 288, 35-43, 2005"
Aerobic ammonium oxidation in the oxycline and oxygen minimum zone of the eastern tropical South Pacific off northern Chile (∼ 20 S),"V Molina, L Farías","Deep Sea Research Part II: Topical Studies in Oceanography 56 (16), 1032-1041, 2009"
Comparative in silico analysis of PCR primers suited for diagnostics and cloning of ammonia monooxygenase genes from ammonia-oxidizing bacteria,"P Junier, OS Kim, V Molina, P Limburg, T Junier, JF Imhoff, KP Witzel","FEMS microbiology ecology 64 (1), 141-152, 2008"
"Bacterial Survival under Extreme UV Radiation: A Comparative Proteomics Study of Rhodobacter sp., Isolated from High Altitude Wetlands in Chile","V Pérez, M Hengst, L Kurte, C Dorador, WH Jeffrey, R Wattiez, V Molina, ...","Frontiers in microbiology 8, 1173, 2017"
Nitrospina‐like bacteria are the main drivers of nitrite oxidation in the seasonal upwelling area of the Eastern South Pacific (Central Chile ∼36°S),"HA Levipan, V Molina, C Fernandez","Environmental Microbiology Reports 6 (6), 565-573, 2014"
Temporal and spatial variability of biological nitrogen fixation off the upwelling system of central C hile (35–38.5° S),"C Fernandez, ML González, C Muñoz, V Molina, L Farias","Journal of Geophysical Research: Oceans 120 (5), 3330-3349, 2015"
"Microbial activity response to solar radiation across contrasting environmental conditions in Salar de Huasco, Northern Chilean Altiplano","KL Hernández, B Yannicelli, LM Olsen, C Dorador, EJ Menschel, ...","Frontiers in microbiology 7, 1857, 2016"
Bacterial active community cycling in response to solar radiation and their influence on nutrient changes in a high-altitude wetland,"V Molina, K Hernández, C Dorador, Y Eissler, M Hengst, V Pérez, ...","Frontiers in Microbiology 7, 1823, 2016"
Temporal variability and phylogenetic characterization of planktonic anammox bacteria in the coastal upwelling ecosystem off central Chile,"A Galán, V Molina, L Belmar, O Ulloa","Progress in Oceanography 92, 110-120, 2012"
The response of nitrifying microbial assemblages to ammonium (NH4+) enrichment from salmon farm activities in a northern Chilean Fjord,"C Elizondo-Patrone, K Hernández, B Yannicelli, LM Olsen, V Molina","Estuarine, Coastal and shelf science 166, 131-142, 2015"
Dissolved compounds excreted by copepods reshape the active marine bacterioplankton community composition,"VP Valdés, C Fernandez, V Molina, R Escribano, F Joux","Frontiers in Marine Science, 343, 2017"
The transcriptional regulation of the glyoxylate cycle in SAR 11 in response to iron fertilization in the S outhern O cean,"S Beier, MJ Gálvez, V Molina, G Sarthou, F Quéroué, S Blain, ...","Environmental Microbiology Reports 7 (3), 427-434, 2015"
Greenhouse gas cycling by the plastisphere: The sleeper issue of plastic pollution,"M Cornejo-D’Ottone, V Molina, J Pavez, N Silva","Chemosphere 246, 125709, 2020"
Holocene changes in the position and intensity of the southern westerly wind belt,"F Lamy, R Kilian, HW Arz, JP Francois, J Kaiser, M Prange, T Steinke","Nature Geoscience 3 (10), 695-699, 2010"
Millennial-scale variability in Southern Hemisphere westerly wind activity over the last 5000 years in SW Patagonia,"PI Moreno, JP François, RP Villa-Martínez, CM Moy","Quaternary Science Reviews 28 (1-2), 25-38, 2009"
Covariability of the Southern Westerlies and atmospheric CO2 during the Holocene,"PI Moreno, JP Francois, CM Moy, R Villa-Martínez","Geology 38 (8), 727-730, 2010"
"Isotopic evidence for hydrologic change related to the westerlies in SW Patagonia, Chile, during the last millennium","CM Moy, RB Dunbar, PI Moreno, JP Francois, R Villa-Martínez, ...","Quaternary Science Reviews 27 (13-14), 1335-1349, 2008"
