idgs,id,nombre,atributos,correo,intereses,titulo,autores,revista,citado por,año
TcfgAAMAAAAJ,userena,Alexandre Roman-Lopes,Universidad de La Serena,,,"Sloan digital sky survey IV: Mapping the Milky Way, nearby galaxies, and the distant universe","MR Blanton, MA Bershady, B Abolfathi, FD Albareti, CA Prieto, A Almeida, ...","The Astronomical Journal 154 (1), 28, 2017",1170,2017
TcfgAAMAAAAJ,userena,Alexandre Roman-Lopes,Universidad de La Serena,,,VISTA Variables in the Via Lactea (VVV): The public ESO near-IR variability survey of the Milky Way,"D Minniti, PW Lucas, JP Emerson, RK Saito, M Hempel, P Pietrukowicz, ...","New Astronomy 15 (5), 433-443, 2010",864,2010
TcfgAAMAAAAJ,userena,Alexandre Roman-Lopes,Universidad de La Serena,,,The 16th data release of the sloan digital sky surveys: first release from the APOGEE-2 southern survey and full release of eBOSS spectra,"R Ahumada, CA Prieto, A Almeida, F Anders, SF Anderson, BH Andrews, ...","The Astrophysical Journal Supplement Series 249 (1), 3, 2020",679,2020
TcfgAAMAAAAJ,userena,Alexandre Roman-Lopes,Universidad de La Serena,,,The 13th data release of the Sloan Digital Sky Survey: First spectroscopic data from the SDSS-IV survey mapping nearby galaxies at Apache Point Observatory,"FD Albareti, CA Prieto, A Almeida, F Anders, S Anderson, BH Andrews, ...","The Astrophysical Journal Supplement Series 233 (2), 25, 2017",454,2017
TcfgAAMAAAAJ,userena,Alexandre Roman-Lopes,Universidad de La Serena,,,VVV DR1: The first data release of the Milky Way bulge and southern plane from the near-infrared ESO public survey VISTA variables in the Vía Láctea,"RK Saito, M Hempel, D Minniti, PW Lucas, M Rejkuba, I Toledo, ...","Astronomy & Astrophysics 537, A107, 2012",403,2012
TcfgAAMAAAAJ,userena,Alexandre Roman-Lopes,Universidad de La Serena,,,"The fifteenth data release of the Sloan Digital Sky Surveys: first release of MaNGA-derived quantities, data visualization tools, and stellar library","DS Aguado, R Ahumada, A Almeida, SF Anderson, BH Andrews, ...","The Astrophysical Journal Supplement Series 240 (2), 23, 2019",345,2019
TcfgAAMAAAAJ,userena,Alexandre Roman-Lopes,Universidad de La Serena,,,SDSS IV MaNGA–spatially resolved diagnostic diagrams: a proof that many galaxies are LIERs,"F Belfiore, R Maiolino, C Maraston, E Emsellem, MA Bershady, ...","Monthly Notices of the Royal Astronomical Society 461 (3), 3111-3134, 2016",280,2016
TcfgAAMAAAAJ,userena,Alexandre Roman-Lopes,Universidad de La Serena,,,SDSS-IV/MaNGA: spectrophotometric calibration technique,"R Yan, C Tremonti, MA Bershady, DR Law, DJ Schlegel, K Bundy, ...","The Astronomical Journal 151 (1), 8, 2015",236,2015
TcfgAAMAAAAJ,userena,Alexandre Roman-Lopes,Universidad de La Serena,,,The APOGEE-2 survey of the orion star-forming complex. II. Six-dimensional structure,"M Kounkel, K Covey, G Suárez, C Román-Zúñiga, J Hernandez, ...","The Astronomical Journal 156 (3), 84, 2018",214,2018
TcfgAAMAAAAJ,userena,Alexandre Roman-Lopes,Universidad de La Serena,,,SDSS-IV MaNGA: Spatially resolved star formation histories in galaxies as a function of galaxy mass and type,"D Goddard, D Thomas, C Maraston, K Westfall, J Etherington, R Riffel, ...","Monthly Notices of the Royal Astronomical Society 466 (4), 4731-4758, 2017",187,2017
TcfgAAMAAAAJ,userena,Alexandre Roman-Lopes,Universidad de La Serena,,,Suppressing star formation in quiescent galaxies with supermassive black hole winds,"E Cheung, K Bundy, M Cappellari, S Peirani, W Rujopakarn, K Westfall, ...","Nature 533 (7604), 504-508, 2016",164,2016
TcfgAAMAAAAJ,userena,Alexandre Roman-Lopes,Universidad de La Serena,,,"SDSS-IV MaNGA: the impact of diffuse ionized gas on emission-line ratios, interpretation of diagnostic diagrams and gas metallicity measurements","K Zhang, R Yan, K Bundy, M Bershady, LM Haffner, R Walterbos, ...","Monthly Notices of the Royal Astronomical Society 466 (3), 3217-3243, 2017",161,2017
TcfgAAMAAAAJ,userena,Alexandre Roman-Lopes,Universidad de La Serena,,,"Now you see it, now you don't: the disappearing central engine of the quasar J1011+ 5442","JC Runnoe, S Cales, JJ Ruan, M Eracleous, SF Anderson, Y Shen, ...","Monthly Notices of the Royal Astronomical Society 455 (2), 1691-1701, 2016",157,2016
TcfgAAMAAAAJ,userena,Alexandre Roman-Lopes,Universidad de La Serena,,,The apache point observatory galactic evolution experiment (apogee) spectrographs,"JC Wilson, FR Hearty, MF Skrutskie, SR Majewski, JA Holtzman, ...","Publications of the Astronomical Society of the Pacific 131 (999), 055001, 2019",155,2019
TcfgAAMAAAAJ,userena,Alexandre Roman-Lopes,Universidad de La Serena,,,"Pipe3D, a pipeline to analyze integral field spectroscopy data: II. Analysis sequence and CALIFA dataproducts","SF Sánchez, E Pérez, P Sánchez-Blázquez, R García-Benito, ...","Revista mexicana de astronomía y astrofísica 52 (1), 171-220, 2016",142,2016
