idgs,id,nombre,atributos,correo,intereses,titulo,autores,revista,citado por,año
J3Durw8AAAAJ,uss,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",,,Guidelines for the use and interpretation of assays for monitoring autophagy (4th edition)1,"DJ Klionsky, AK Abdel-Aziz, S Abdelfatah, M Abdellatif, A Abdoli, S Abel, ...","autophagy 17 (1), 1-382, 2021",8910,2021
J3Durw8AAAAJ,uss,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",,,Regulation of autophagy by cytoplasmic p53,"E Tasdemir, MC Maiuri, L Galluzzi, I Vitale, M Djavaheri-Mergny, ...","Nature cell biology 10 (6), 676-687, 2008",1252,2008
J3Durw8AAAAJ,uss,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",,,Guidelines for the use and interpretation of assays for monitoring cell death in higher eukaryotes,"L Galluzzi, SA Aaronson, J Abrams, ES Alnemri, DW Andrews, ...","Cell Death & Differentiation 16 (8), 1093-1107, 2009",760,2009
J3Durw8AAAAJ,uss,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",,,Autophagy mediates pharmacological lifespan extension by spermidine and resveratrol,"E Morselli, L Galluzzi, O Kepp, A Criollo, MC Maiuri, N Tavernarakis, ...","Aging (Albany NY) 1 (12), 961, 2009",624,2009
J3Durw8AAAAJ,uss,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",,,Caloric restriction and resveratrol promote longevity through the Sirtuin-1-dependent induction of autophagy,"E Morselli, MC Maiuri, M Markaki, E Megalou, A Pasparaki, K Palikaras, ...","Cell death & disease 1 (1), e10-e10, 2010",612,2010
J3Durw8AAAAJ,uss,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",,,Autophagy regulation by p53,"MC Maiuri, L Galluzzi, E Morselli, O Kepp, SA Malik, G Kroemer","Current opinion in cell biology 22 (2), 181-185, 2010",542,2010
J3Durw8AAAAJ,uss,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",,,Control of autophagy by oncogenes and tumor suppressor genes,"MC Maiuri, E Tasdemir, A Criollo, E Morselli, JM Vicencio, R Carnuccio, ...","Cell Death & Differentiation 16 (1), 87-93, 2009",491,2009
J3Durw8AAAAJ,uss,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",,,Spermidine and resveratrol induce autophagy by distinct pathways converging on the acetylproteome,"E Morselli, G Mariño, MV Bennetzen, T Eisenberg, E Megalou, ...","Journal of Cell Biology 192 (4), 615-629, 2011",457,2011
J3Durw8AAAAJ,uss,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",,,Viral control of mitochondrial apoptosis,"L Galluzzi, C Brenner, E Morselli, Z Touat, G Kroemer","PLoS pathogens 4 (5), e1000018, 2008",454,2008
J3Durw8AAAAJ,uss,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",,,Anti-and pro-tumor functions of autophagy,"E Morselli, L Galluzzi, O Kepp, JM Vicencio, A Criollo, MC Maiuri, ...","Biochimica et Biophysica Acta (BBA)-Molecular Cell Research 1793 (9), 1524-1532, 2009",421,2009
