idgs,id,nombre,atributos,correo,intereses,titulo,autores,revista,citado por,año
oaqR2GoAAAAJ,uta,Bernardo Arriaza,Universidad de Tarapacá,,,"A 9,000-year record of Chagas' disease","AC Aufderheide, W Salo, M Madden, J Streitz, J Buikstra, F Guhl, ...","Proceedings of the National Academy of Sciences 101 (7), 2034-2039, 2004",538,2004
oaqR2GoAAAAJ,uta,Bernardo Arriaza,Universidad de Tarapacá,,,Genomic evidence for the Pleistocene and recent population history of Native Americans,"M Raghavan, M Steinrücken, K Harris, S Schiffels, S Rasmussen, ...","Science 349 (6250), aab3884, 2015",484,2015
oaqR2GoAAAAJ,uta,Bernardo Arriaza,Universidad de Tarapacá,,,Beyond death: the Chinchorro mummies of ancient Chile,BT Arriaza,"Smithsonian Institution Press 16, 176 pp., 1995",267,1995
oaqR2GoAAAAJ,uta,Bernardo Arriaza,Universidad de Tarapacá,,,Pre‐Columbian tuberculosis in Northern Chile: Molecular and skeletal evidence,"BT Arriaza, W Salo, AC Aufderheide, TA Holcomb","American journal of physical anthropology 98 (1), 37-45, 1995",258,1995
oaqR2GoAAAAJ,uta,Bernardo Arriaza,Universidad de Tarapacá,,,"Isolation of Trypanosoma cruzi DNA in 4,000‐year‐old mummified human tissue from northern Chile","F Gu̧hl, C Jaramillo, GA Vallejo, R Yockteng, F Cardenas‐Arroyo, ...","American Journal of Physical Anthropology: The Official Publication of the …, 1999",194,1999
oaqR2GoAAAAJ,uta,Bernardo Arriaza,Universidad de Tarapacá,,,Trauma in the preceramic coastal populations of northern Chile: violence or occupational hazards?,"VG Standen, BT Arriaza","American Journal of Physical Anthropology: The Official Publication of the …, 2000",163,2000
oaqR2GoAAAAJ,uta,Bernardo Arriaza,Universidad de Tarapacá,,,Multiproxy evidence highlights a complex evolutionary legacy of maize in South America,"L Kistler, SY Maezumi, J Gregorio de Souza, NAS Przelomska, ...","Science 362 (6420), 1309-1313, 2018",162,2018
oaqR2GoAAAAJ,uta,Bernardo Arriaza,Universidad de Tarapacá,,,The origin and evolution of maize in the Southwestern United States,"RR Da Fonseca, BD Smith, N Wales, E Cappellini, P Skoglund, ...","Nature plants 1 (1), 1-5, 2015",153,2015
oaqR2GoAAAAJ,uta,Bernardo Arriaza,Universidad de Tarapacá,,,"Chinchorro, momias de preparación complicada: métodos de momificación","MJ Allison, G Focacci, B Arriaza, V Standen, M Rivera, JM Lowenstein","Chungara, 155-173, 1984",139,1984
oaqR2GoAAAAJ,uta,Bernardo Arriaza,Universidad de Tarapacá,,,Emergence of social complexity among coastal hunter-gatherers in the Atacama Desert of northern Chile,"PA Marquet, CM Santoro, C Latorre, VG Standen, SR Abades, ...","Proceedings of the National Academy of Sciences 109 (37), 14754-14760, 2012",134,2012
oaqR2GoAAAAJ,uta,Bernardo Arriaza,Universidad de Tarapacá,,,Chagas' disease in pre‐Columbian South America,"F Rothhammer, MJ Allison, L Núñez, V Standen, B Arriaza","American Journal of Physical Anthropology 68 (4), 495-498, 1985",134,1985
oaqR2GoAAAAJ,uta,Bernardo Arriaza,Universidad de Tarapacá,,,External auditory exostosis in prehistoric Chilean populations: A test of the cold water hypothesis,"VG Standen, BT Arriaza, CM Santoro","American Journal of Physical Anthropology: The Official Publication of the …, 1997",132,1997
oaqR2GoAAAAJ,uta,Bernardo Arriaza,Universidad de Tarapacá,,,Human remains: guide for museums and academic institutions,"M Alfonso, B Arriaza, M Brooks, PC Cash, N Drew, J Eklund, ...","Rowman Altamira, 2006",129,2006
oaqR2GoAAAAJ,uta,Bernardo Arriaza,Universidad de Tarapacá,,,Chinchorro bioarchaeology: chronology and mummy seriation,BT Arriaza,"Latin American Antiquity 6 (1), 35-55, 1995",127,1995
oaqR2GoAAAAJ,uta,Bernardo Arriaza,Universidad de Tarapacá,,,Seven Chinchorro mummies and the prehistory of northern Chile,"AC Aufderheide, I Muñoz, B Arriaza","American journal of physical anthropology 91 (2), 189-201, 1993",120,1993
oaqR2GoAAAAJ,uta,Bernardo Arriaza,Universidad de Tarapacá,,,The frequency and antiquity of prehistoric coca-leaf-chewing practices in northern Chile: radioimmunoassay of a cocaine metabolite in human-mummy hair,"LW Cartmell, AC Aufderheide, A Springfield, C Weems, B Arriaza","Latin American Antiquity 2 (3), 260-268, 1991",115,1991
oaqR2GoAAAAJ,uta,Bernardo Arriaza,Universidad de Tarapacá,,,Chinchorro culture: pioneers of the coast of the Atacama Desert,"BT Arriaza, VG Standen, V Cassman, CM Santoro","The handbook of South American archaeology, 45-58, 2008",92,2008
oaqR2GoAAAAJ,uta,Bernardo Arriaza,Universidad de Tarapacá,,,Seronegative spondyloarthropathies and diffuse idiopathic skeletal hyperostosis in ancient northern Chile,BT Arriaza,"American Journal of Physical Anthropology 91 (3), 263-278, 1993",85,1993
oaqR2GoAAAAJ,uta,Bernardo Arriaza,Universidad de Tarapacá,,,"Maternal mortality in pre‐Columbian Indians of Arica, Chile","B Arriaza, M Allison, E Gerszten","American Journal of Physical Anthropology 77 (1), 35-41, 1988",84,1988
