idgs,id,nombre,atributos,correo,intereses,titulo,autores,revista,citado por,año
FOKLmaQAAAAJ,utalca,Marco Esteban Rivera Abarca,"Full Professor, Department of Electrical Engineering, Universidad de Talca",,,Model predictive control for power converters and drives: Advances and trends,"S Vazquez, J Rodriguez, M Rivera, LG Franquelo, M Norambuena","IEEE Transactions on Industrial Electronics 64 (2), 935-947, 2016",1202,2016
FOKLmaQAAAAJ,utalca,Marco Esteban Rivera Abarca,"Full Professor, Department of Electrical Engineering, Universidad de Talca",,,A review of control and modulation methods for matrix converters,"J Rodriguez, M Rivera, JW Kolar, PW Wheeler","IEEE transactions on industrial electronics 59 (1), 58-70, 2011",652,2011
FOKLmaQAAAAJ,utalca,Marco Esteban Rivera Abarca,"Full Professor, Department of Electrical Engineering, Universidad de Talca",,,Improved active power filter performance for renewable power generation systems,"P Acuna, L Moran, M Rivera, J Dixon, J Rodriguez","IEEE transactions on power electronics 29 (2), 687-694, 2013",277,2013
FOKLmaQAAAAJ,utalca,Marco Esteban Rivera Abarca,"Full Professor, Department of Electrical Engineering, Universidad de Talca",,,"Model predictive current control of two-level four-leg inverters—Part I: Concept, algorithm, and simulation analysis","V Yaramasu, M Rivera, B Wu, J Rodriguez","IEEE transactions on power electronics 28 (7), 3459-3468, 2012",240,2012
FOKLmaQAAAAJ,utalca,Marco Esteban Rivera Abarca,"Full Professor, Department of Electrical Engineering, Universidad de Talca",,,Predictive control of an indirect matrix converter,"P Correa, J Rodríguez, M Rivera, JR Espinoza, JW Kolar","IEEE Transactions on Industrial Electronics 56 (6), 1847-1853, 2009",208,2009
FOKLmaQAAAAJ,utalca,Marco Esteban Rivera Abarca,"Full Professor, Department of Electrical Engineering, Universidad de Talca",,,Current control for an indirect matrix converter with filter resonance mitigation,"M Rivera, J Rodriguez, B Wu, JR Espinoza, CA Rojas","IEEE Transactions on Industrial Electronics 59 (1), 71-79, 2011",191,2011
FOKLmaQAAAAJ,utalca,Marco Esteban Rivera Abarca,"Full Professor, Department of Electrical Engineering, Universidad de Talca",,,Finite-set model-predictive control strategies for a 3L-NPC inverter operating with fixed switching frequency,"F Donoso, A Mora, R Cardenas, A Angulo, D Saez, M Rivera","IEEE Transactions on Industrial Electronics 65 (5), 3954-3965, 2017",177,2017
FOKLmaQAAAAJ,utalca,Marco Esteban Rivera Abarca,"Full Professor, Department of Electrical Engineering, Universidad de Talca",,,Model Predictive Approach for a Simple and Effective Load Voltage Control of Four-Leg Inverter With an Output  Filter,"V Yaramasu, M Rivera, M Narimani, B Wu, J Rodriguez","IEEE Transactions on Industrial Electronics 61 (10), 5259-5270, 2014",174,2014
FOKLmaQAAAAJ,utalca,Marco Esteban Rivera Abarca,"Full Professor, Department of Electrical Engineering, Universidad de Talca",,,Multiobjective switching state selector for finite-states model predictive control based on fuzzy decision making in a matrix converter,"F Villarroel, JR Espinoza, CA Rojas, J Rodriguez, M Rivera, D Sbarbaro","IEEE Transactions on Industrial Electronics 60 (2), 589-599, 2012",171,2012
FOKLmaQAAAAJ,utalca,Marco Esteban Rivera Abarca,"Full Professor, Department of Electrical Engineering, Universidad de Talca",,,Digital predictive current control of a three-phase four-leg inverter,"M Rivera, V Yaramasu, A Llor, J Rodriguez, B Wu, M Fadel","IEEE Transactions on Industrial Electronics 60 (11), 4903-4912, 2012",169,2012
