idgs,id,nombre,atributos,correo,intereses,titulo,autores,revista,citado por,año
Ddem6g4AAAAJ,uv,Juan C Saez,"Instituto de Neurociencias, Universidad de Valparaíso, Valparaíso, Chile (juancarlos.saez@uv.cl)",,,Plasma membrane channels formed by connexins: their regulation and functions,"JC Sáez, VM Berthoud, MC Branes, AD Martinez, EC Beyer","Physiological reviews 83 (4), 1359-1400, 2003",1341,2003
Ddem6g4AAAAJ,uv,Juan C Saez,"Instituto de Neurociencias, Universidad de Valparaíso, Valparaíso, Chile (juancarlos.saez@uv.cl)",,,"Gap junctions: new tools, new answers, new questions","MVL Bennett, LC Barrio, TA Bargiello, DC Spray, EL Hertzberg, JC Saez","Neuron 6 (3), 305-320, 1991",1144,1991
Ddem6g4AAAAJ,uv,Juan C Saez,"Instituto de Neurociencias, Universidad de Valparaíso, Valparaíso, Chile (juancarlos.saez@uv.cl)",,,"Hepatocyte gap junctions are permeable to the second messenger, inositol 1, 4, 5-trisphosphate, and to calcium ions.","JC Saez, JA Connor, DC Spray, MV Bennett","Proceedings of the National Academy of Sciences 86 (8), 2708-2712, 1989",701,1989
Ddem6g4AAAAJ,uv,Juan C Saez,"Instituto de Neurociencias, Universidad de Valparaíso, Valparaíso, Chile (juancarlos.saez@uv.cl)",,,Metabolic inhibition induces opening of unapposed connexin 43 gap junction hemichannels and reduces gap junctional communication in cortical astrocytes in culture,"JE Contreras, HA Sánchez, EA Eugenín, D Speidel, M Theis, K Willecke, ...","Proceedings of the National Academy of Sciences 99 (1), 495-500, 2002",620,2002
Ddem6g4AAAAJ,uv,Juan C Saez,"Instituto de Neurociencias, Universidad de Valparaíso, Valparaíso, Chile (juancarlos.saez@uv.cl)",,,Cx43 hemichannels and gap junction channels in astrocytes are regulated oppositely by proinflammatory cytokines released from activated microglia,"MA Retamal, N Froger, N Palacios-Prado, P Ezan, PJ Sáez, JC Sáez, ...","Journal of Neuroscience 27 (50), 13781-13792, 2007",480,2007
Ddem6g4AAAAJ,uv,Juan C Saez,"Instituto de Neurociencias, Universidad de Valparaíso, Valparaíso, Chile (juancarlos.saez@uv.cl)",,,Connexin-based gap junction hemichannels: gating mechanisms,"JC Sáez, MA Retamal, D Basilio, FF Bukauskas, MVL Bennett","Biochimica et Biophysica Acta (BBA)-Biomembranes 1711 (2), 215-224, 2005",466,2005
Ddem6g4AAAAJ,uv,Juan C Saez,"Instituto de Neurociencias, Universidad de Valparaíso, Valparaíso, Chile (juancarlos.saez@uv.cl)",,,Gating and regulation of connexin 43 (Cx43) hemichannels,"JE Contreras, JC Sáez, FF Bukauskas, MVL Bennett","Proceedings of the National Academy of Sciences 100 (20), 11388-11393, 2003",454,2003
Ddem6g4AAAAJ,uv,Juan C Saez,"Instituto de Neurociencias, Universidad de Valparaíso, Valparaíso, Chile (juancarlos.saez@uv.cl)",,,New roles for astrocytes: gap junction hemichannels have something to communicate,"MVL Bennett, JE Contreras, FF Bukauskas, JC Sáez","Trends in neurosciences 26 (11), 610-617, 2003",443,2003
Ddem6g4AAAAJ,uv,Juan C Saez,"Instituto de Neurociencias, Universidad de Valparaíso, Valparaíso, Chile (juancarlos.saez@uv.cl)",,,cAMP increases junctional conductance and stimulates phosphorylation of the 27-kDa principal gap junction polypeptide.,"JC Saez, DC Spray, AC Nairn, E Hertzberg, P Greengard, MV Bennett","Proceedings of the National Academy of Sciences 83 (8), 2473-2477, 1986",413,1986
Ddem6g4AAAAJ,uv,Juan C Saez,"Instituto de Neurociencias, Universidad de Valparaíso, Valparaíso, Chile (juancarlos.saez@uv.cl)",,,ATP and glutamate released via astroglial connexin 43 hemichannels mediate neuronal death through activation of pannexin 1 hemichannels,"JA Orellana, N Froger, P Ezan, JX Jiang, MVL Bennett, CC Naus, ...","Journal of neurochemistry 118 (5), 826-840, 2011",379,2011
Ddem6g4AAAAJ,uv,Juan C Saez,"Instituto de Neurociencias, Universidad de Valparaíso, Valparaíso, Chile (juancarlos.saez@uv.cl)",,,S-nitrosylation and permeation through connexin 43 hemichannels in astrocytes: induction by oxidant stress and reversal by reducing agents,"MA Retamal, CJ Cortés, L Reuss, MVL Bennett, JC Sáez","Proceedings of the National Academy of Sciences 103 (12), 4475-4480, 2006",326,2006
Ddem6g4AAAAJ,uv,Juan C Saez,"Instituto de Neurociencias, Universidad de Valparaíso, Valparaíso, Chile (juancarlos.saez@uv.cl)",,,Human connexin43 gap junction channels. Regulation of unitary conductances by phosphorylation.,"AP Moreno, JC Sáez, GI Fishman, DC Spray","Circulation research 74 (6), 1050-1057, 1994",299,1994
Ddem6g4AAAAJ,uv,Juan C Saez,"Instituto de Neurociencias, Universidad de Valparaíso, Valparaíso, Chile (juancarlos.saez@uv.cl)",,,Role of connexin-based gap junction channels and hemichannels in ischemia-induced cell death in nervous tissue,"JE Contreras, HA Sánchez, LP Véliz, FF Bukauskas, MVL Bennett, ...","Brain Research Reviews 47 (1-3), 290-303, 2004",295,2004
Ddem6g4AAAAJ,uv,Juan C Saez,"Instituto de Neurociencias, Universidad de Valparaíso, Valparaíso, Chile (juancarlos.saez@uv.cl)",,,Amyloid β-induced death in neurons involves glial and neuronal hemichannels,"JA Orellana, KF Shoji, V Abudara, P Ezan, E Amigou, PJ Sáez, JX Jiang, ...","Journal of Neuroscience 31 (13), 4962-4977, 2011",288,2011
Ddem6g4AAAAJ,uv,Juan C Saez,"Instituto de Neurociencias, Universidad de Valparaíso, Valparaíso, Chile (juancarlos.saez@uv.cl)",,,Proteoglycans and glycosaminoglycans induce gap junction synthesis and function in primary liver cultures.,"DC Spray, M Fujita, JC Saez, H Choi, T Watanabe, E Hertzberg, ...","The Journal of cell biology 105 (1), 541-551, 1987",268,1987
Ddem6g4AAAAJ,uv,Juan C Saez,"Instituto de Neurociencias, Universidad de Valparaíso, Valparaíso, Chile (juancarlos.saez@uv.cl)",,,Modulation of brain hemichannels and gap junction channels by pro-inflammatory agents and their possible role in neurodegeneration,"JA Orellana, PJ Sáez, KF Shoji, KA Schalper, N Palacios–Prado, ...","Antioxidants & redox signaling 11 (2), 369-399, 2009",266,2009
Ddem6g4AAAAJ,uv,Juan C Saez,"Instituto de Neurociencias, Universidad de Valparaíso, Valparaíso, Chile (juancarlos.saez@uv.cl)",,,Microglia at brain stab wounds express connexin 43 and in  vitro form functional gap junctions after treatment with  interferon-γ and tumor necrosis factor-α,"EA Eugenín, D Eckardt, M Theis, K Willecke, MVL Bennett, JC Sáez","Proceedings of the National Academy of Sciences 98 (7), 4190-4195, 2001",240,2001
Ddem6g4AAAAJ,uv,Juan C Saez,"Instituto de Neurociencias, Universidad de Valparaíso, Valparaíso, Chile (juancarlos.saez@uv.cl)",,,"Connexin and pannexin hemichannels in brain glial cells: properties, pharmacology, and roles","C Giaume, L Leybaert, C C. Naus, J C. Sáez","Frontiers in pharmacology 4, 88, 2013",230,2013
Ddem6g4AAAAJ,uv,Juan C Saez,"Instituto de Neurociencias, Universidad de Valparaíso, Valparaíso, Chile (juancarlos.saez@uv.cl)",,,Release of gliotransmitters through astroglial connexin 43 hemichannels is necessary for fear memory consolidation in the basolateral amygdala,"J Stehberg, R Moraga‐Amaro, C Salazar, A Becerra, C Echeverría, ...","The FASEB Journal 26 (9), 3649-3657, 2012",226,2012
Ddem6g4AAAAJ,uv,Juan C Saez,"Instituto de Neurociencias, Universidad de Valparaíso, Valparaíso, Chile (juancarlos.saez@uv.cl)",,,TNF-α plus IFN-γ induce connexin43 expression and formation of gap junctions between human monocytes/macrophages that enhance physiological responses,"EA Eugenín, MC Brañes, JW Berman, JC Sáez","The Journal of Immunology 170 (3), 1320-1328, 2003",225,2003
