organization,scholar_id,affiliation,email_domain,citedby,interests
6.219877915722793e+18,JlzNJMwAAAAJ,Universidad de Santiago de Chile and Universidad Autónoma de Chile,@uautonoma.cl,24080.0,"['Physical activity', 'sedentary behavior', 'cardiovascular disease', 'outcomes']"
6.219877915722793e+18,5_igyE0AAAAJ,Universidad Autónoma de Chile,@uautonoma.cl,20170.0,[]
6.219877915722793e+18,r5p8NjYAAAAJ,"Profesor de Química Medicinal, Universidad de Santiago de Compostela, Universidad Autónoma de Chile",@uautonoma.cl,15843.0,['medicinal chemistry']
6.219877915722793e+18,W84_jn8AAAAJ,Investigador Asociado Universidad Autónoma de Chile,@uautonoma.cl,13712.0,"['Public Health', 'Obesity', 'epidemiology']"
6.219877915722793e+18,kRU66jcAAAAJ,"Facultad de Administración y Negocios, Universidad Autónoma de Chile",@uautonoma.cl,11694.0,['Economía de la salud']
6.219877915722793e+18,ipXR43cAAAAJ,Universidad Autónoma de Chile,@uautonoma.cl,11171.0,"['Proyectos', 'Inversiones', 'finanzas', 'riesgo']"
6.219877915722793e+18,_ylp9VoAAAAJ,Investigador Asociado de la Facultad de Ciencias de la Salud. Universidad Autónoma de Chile,@uautonoma.cl,9557.0,"['implantes dentales', 'dentin grinder', 'biomateriales']"
6.219877915722793e+18,nudlAZkAAAAJ,Investigador asociado Universidad Autónoma de Chile,@uautonoma.cl,9512.0,['Morphology']
6.219877915722793e+18,URXc4NcAAAAJ,"Catedrático de Psicología, Universidad Autónoma de Chile",@uautonoma.cl,6027.0,[]
6.219877915722793e+18,EkOGlRoAAAAJ,Professor of Artificial Intelligence (CUNEF University) and Universidad Autónoma de Chile,@uautonoma.cl,5433.0,"['eXplainable Artificial Intelligence', 'Distributed Artificial Intelligence', 'Reservoir computing', 'Quantum computing', 'Causal Machine']"
6.219877915722793e+18,wxtHhz4AAAAJ,Académico Senior Universidad Autónoma de Chile,@uautonoma.cl,5044.0,"['Estrés biótico y abiótico en plantas', 'biotecnología']"
6.219877915722793e+18,RDDQKZoAAAAJ,"Associate professor, Centro de Investigación Biomédica, Universidad Autónoma de Chile",@uautonoma.cl,4867.0,"['Neuroscience', 'biology', 'oxidative stress', 'mitochondria', 'confocal micrsocopy']"
6.219877915722793e+18,5t_VevUAAAAJ,Universidad Autónoma de Chile,@uautonoma.cl,4742.0,"['Educación', 'flipped classroom.']"
6.219877915722793e+18,cTdEXM8AAAAJ,Universidad Autónoma de Chile,@uautonoma.cl,4728.0,[]
6.219877915722793e+18,NXY-GuMAAAAJ,Universidad Autónoma de Chile,@uautonoma.cl,4248.0,"['Carbon Materials', 'Nanotechnology', 'Energy', 'Photocatalysis', 'Natural Gas']"
6.219877915722793e+18,xvvtA0QAAAAJ,"Investigador Asociado Universidad Autonoma de Chile  and  CAECHIS-UAI-CONICET,  Buenos Aires",@uautonoma.cl,4029.0,['Neurosciences']
