organization,scholar_id,affiliation,email_domain,citedby,interests
7.698552169257899e+18,I3GzTsgAAAAJ,"Escuela de Ciencias del Mar, Pontificia Universidad Católica de Valparaíso",@pucv.cl,13567.0,"['oceanografía', 'biogeoquímica marina', 'fiordos', 'patagonia', 'sedimentos']"
7.698552169257899e+18,3Wz5lUMAAAAJ,Pontificia Universidad Católica de Valparaíso,@ucv.cl,9964.0,"['Gravitación', 'Cosmología']"
7.698552169257899e+18,GTvRpIoAAAAJ,"Profesor Asociado, Instituto de Física, Pontificia Universidad Católica de Valparaíso",@pucv.cl,8015.0,"['Galaxy clusters', 'observational cosmology']"
7.698552169257899e+18,t6WTsxEAAAAJ,"Profesor Titular. Escuela de Ingeniería Industrial, Pontificia Universidad Católica de Valparaíso",@pucv.cl,7014.0,"['Data Science-Big Data', 'Statistical Modeling', 'Machine Learning-Artificial Intelligence', 'Operational Research', 'Quality Control']"
7.698552169257899e+18,1pGKw9UAAAAJ,"Profesor de Periodismo, Pontificia Universidad Católica de Valparaíso",@pucv.cl,6359.0,"['journalistic role performance', 'journalistic cultures', 'comparative research', 'professional roles']"
7.698552169257899e+18,eWXIjwwAAAAJ,Pontificia Universidad Católica de Valparaiso,@pucv.cl,5797.0,['Ciencias de la Actividad Física y Deportes']
7.698552169257899e+18,FOjm5zgAAAAJ,Pontificia Universidad Católica de Valparaíso,@pucv.cl,5449.0,"['postharvest physiology', 'food engineering', 'food science']"
7.698552169257899e+18,RfSpDuEAAAAJ,PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO,@pucv.cl,5288.0,[]
7.698552169257899e+18,eYwMalQAAAAJ,"Escuela de Agronomía, Pontificia Universidad Católica de Valparaíso",@pucv.cl,5035.0,['Soil and plant Sciences']
7.698552169257899e+18,QyYCFvoAAAAJ,Pontificia Universidad Católica de Valparaíso,@pucv.cl,4921.0,"['Psicolingüística', 'Lingüística de Corpus', 'Géneros del Discurso', 'Multimodalidad']"
7.698552169257899e+18,04ZzYdAAAAAJ,"Associate Professor, Institute of Physics, Pontificia Universidad Católica de Valparaíso",@pucv.cl,4924.0,"['Astronomy and Astrophysics', 'Astrophysics of Galaxies', 'Extragalactic Astronomy']"
7.698552169257899e+18,cUKJtaMAAAAJ,Pontificia Universidad Católica de Valparaíso,@pucv.cl,4279.0,['Psicología/Psychology/Education/Research/']
7.698552169257899e+18,iC1zxr4AAAAJ,Pontificia Universidad Catolica de Valparaiso,@ucv.cl,4200.0,"['Computer Science', 'Mathematics', 'Engineering', 'Decision Sciences']"
7.698552169257899e+18,T70m45sAAAAJ,"Astronomer, Pontificia Universidad Catolica de Valparaiso",@pucv.cl,4051.0,['Astronomy']
7.698552169257899e+18,KfDyRkUAAAAJ,"Profesor Asociado, Pontificia Universidad Católica de Valparaíso",@pucv.cl,3978.0,['Ciencias y Tecnologías de los alimentos']
7.698552169257899e+18,O8xOA28AAAAJ,"Physical Education, Pontificia Universidad Católica de Valparaíso",@pucv.cl,3775.0,"['physical education', 'physical activity', 'active commuting', 'exercise', 'body composition']"
7.698552169257899e+18,7x2N9moAAAAJ,Profesor Pontificia Universidad Catolica de Valparaiso,@ucv.cl,3121.0,['genetica molecular']
7.698552169257899e+18,Etid-XsAAAAJ,"Professor of Psychology, Pontificia Universidad Catolica de Valparaiso",@ucv.cl,2983.0,"['teacher education', 'situated learning']"
7.698552169257899e+18,HTEL8I8AAAAJ,"Instituto de Geografía, Pontificia Universidad Católica de Valparaíso",@pucv.cl,2920.0,"['Coastal geomorphology', 'Paleoseismology', 'Tsunami geology', 'Written records of old earthquakes and tsunamis']"
7.698552169257899e+18,g_QWxVAAAAAJ,Dr. en Psicología Social. Profesor Titular Pontificia Universidad Católica de Valparaíso. Chile,@pucv.cl,2909.0,"['Trabajo', 'Subjetividad', 'Identidad', 'Psicología Social', 'Análisis del Discurso']"
7.698552169257899e+18,FNkkn0kAAAAJ,"Escuela de Ciencias del Mar, Pontificia Universidad Católica de Valparaíso",@pucv.cl,2880.0,"['Sistema de Corrientes de Borde Oriental', 'Dinámica Costera', 'Remolinos de Mesoescala', 'Acoplamiento Físico-Biológico']"
7.698552169257899e+18,F4Q6NTsAAAAJ,Pontificia Universidad Catolica de Valparaiso - PUCV & CEDEUS,@pucv.cl,2796.0,"['Cartography', 'GIScience', 'Urban Planning', 'Walkability']"
7.698552169257899e+18,ytVwClgAAAAJ,Pontificia Universidad Católica de Valparaíso,@pucv.cl,2738.0,"['Human-Computer Interaction', 'User eXperience', 'Customer eXperience']"
7.698552169257899e+18,zrNJL2oAAAAJ,"Profesor: Escuela de Ciencias del Mar, Pontificia Universidad Católica de Valparaiso",@pucv.cl,2735.0,"['Oceanografía', 'Olas', 'Estuarios']"
7.698552169257899e+18,-YDTvdYAAAAJ,"Professor of plant breeding, Pontificia Universidad Católica de Valparaiso",@pucv.cl,2670.0,"['Genetics', 'plant breeding']"
7.698552169257899e+18,wacf2BUAAAAJ,"Professor of Biochemical Engineering, P. Universidad Católica de Valparaíso",@ucv.cl,2605.0,"['Biochemical Engineering', 'Biofiltration', 'Biofuels', 'Bioethanol']"
7.698552169257899e+18,zQBFJuoAAAAJ,Pontificia Universidad Católica de Valparaiso,@pucv.cl,2599.0,"['Mammalian cell culture', 'system biology', 'recombinant protein']"
7.698552169257899e+18,ve1fhiAAAAAJ,"Escuela de Ciencias del Mar, Pontificia Universidad Católica de Valparaíso",@pucv.cl,2535.0,"['Zooplancton marino', 'Plancton gelatinoso', 'Biodiversidad', 'Ecología']"
7.698552169257899e+18,tbQtxo4AAAAJ,Profesor Titular Pontificia Universidad Católica de Valparaíso,@pucv.cl,2521.0,['Oceanografía Pesquera']
7.698552169257899e+18,ISWs1VQAAAAJ,PUCV,@pucv.cl,2271.0,['physics']
7.698552169257899e+18,8qV84A4AAAAJ,Pontificia Universidad Católica de Valparaíso,@pucv.cl,2146.0,"['Optics', 'Atmospheric Optics', 'Optical Turbulence', 'Metrology', 'Stochastic Processes']"
7.698552169257899e+18,B3oMZV0AAAAJ,Pontificia Universidad Católica de Valparaíso,@ucv.cl,2162.0,['Dinámica Poblacional (Populational Dynamics)']
7.698552169257899e+18,oTtpxGcAAAAJ,Pontificia Universidad Catolica de Valparaiso,@ucv.cl,2165.0,['Dinamica Poblacional']
7.698552169257899e+18,Qpgm5hkAAAAJ,Pontificia Universidad Católica de Valparaíso,@pucv.cl,2092.0,"['Physiology', 'kidney', 'renin', 'education', 'hypertension']"
7.698552169257899e+18,cQLWq70AAAAJ,Pontificia Universidad Catolica de Valparaiso,@pucv.cl,2028.0,['relatividad general']
7.698552169257899e+18,CdhGscUAAAAJ,Pontificia Universidad Católica de Valparaíso,@pucv.cl,2015.0,['Fish immunology']
7.698552169257899e+18,qgpudsIAAAAJ,Pontificia Universidad Católica de Valparaíso,@pucv.cl,1977.0,"['construction management', 'lean construction', 'lean management', 'engineering education']"
7.698552169257899e+18,4cGeq0AAAAAJ,"Pontificia Universidad Catolica de Valparaiso, UNED, CIEMAT",@ucv.cl,1944.0,"['Machine Learning', 'Automatic Control']"
7.698552169257899e+18,GJ_61yMAAAAJ,"Escuela de Ciencias del Mar, Pontificia Universidad Católica de Valparaíso",@pucv.cl,1829.0,"['Desarrollo Sustentable', 'modelos bioeconómicos', 'valoración de bienes y servicios ambientales', 'especies invasoras']"
7.698552169257899e+18,q9oUJekAAAAJ,"Facultad de Ciencias, Pontificia Universidad Católica de Valparaíso",@pucv.cl,1810.0,"['Ecology', 'Evolutionary biology', 'Conservation Biology', 'Environmental Sciences']"
7.698552169257899e+18,3Bm3kF0AAAAJ,pontificia universidad catolica de valparaiso,@pucv.cl,1776.0,[]
7.698552169257899e+18,5y3VZUsAAAAJ,Profesor asociado Escuela de Psicología Pontificia Universidad Católica de Valparaíso,@pucv.cl,1761.0,"['psicometría', 'comprensión lectora', 'métodos cualitativos', 'métodos cuantitativos', 'modelos de diagnóstico cognitivo']"
