organization,scholar_id,affiliation,email_domain,citedby,interests
14018219609791295521,QIHKy1UAAAAJ,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile",@santotomas.cl,1275.0,"Macroecology, Complexity Theory, Conservation Biology, Ecophysiology, Climate Change"
14018219609791295521,iITBNAcAAAAJ,Académico de Universidad Santo Tomás,@santotomas.cl,1248.0,"Alimentos, Análisis sensorial, Algas"
14018219609791295521,ewkobLAAAAAJ,Universidad Santo Tomás,@santotomas.cl,1215.0,
14018219609791295521,LEEYFekAAAAJ,"Full Professor, Facultad de Ciencias, Universidad Santo Tomás, Chile",@santotomas.cl,1210.0,"Ecology, Soil Ecology, Mycorrhizas, Evolution, Biogeochemistry"
14018219609791295521,pAqfjfsAAAAJ,Universidad Santo Tomás,@santotomas.cl,1044.0,
14018219609791295521,KRpmq6EAAAAJ,Universidad Santo Tomás,@santotomas.cl,991.0,"Power electronics, Control, Electrónica"
14018219609791295521,hrJ2XYsAAAAJ,"Profesor de Psicología, Universidad Santo Tomás, Concepción, Chile.",@santotomas.cl,962.0,"Empatía, Psicometría, Metodología de la investigación"
14018219609791295521,sZNkVQ4AAAAJ,"universidad santo tomas, chile",@santotomas.cl,861.0,amphipoda taxonomy
14018219609791295521,X4JpgYwAAAAJ,Universidad Santo Tomás,@santotomas.cl,846.0,"Muscle Strength, Motor Control, Physiotherapy, Sport Science."
14018219609791295521,wOnfkSYAAAAJ,"Departamento de Ciencias Básica, Universidad Santo Tomas",@santotomas.cl,789.0,Conservation Biology in Marine Top Predator & Ecosystem Modelling
14018219609791295521,Zb2h_xAAAAAJ,"Faculty of Health, Universidad Santo Tomás",@santotomas.cl,789.0,
14018219609791295521,v_zvgWgAAAAJ,"Full Professor, Universidad Santo Tomás",@santotomas.cl,766.0,"Biodiversity, Biogeography, Ecology, Evolution"
14018219609791295521,lNlzaIsAAAAJ,Universidad Santo Tomás,@santotomas.cl,699.0,"Rehabilitación, Envejecimiento, Actividad Física, Salud"
14018219609791295521,gj4M9X8AAAAJ,Universidad Santo Tomás,@santotomas.cl,663.0,"género, familia y trabajo"
14018219609791295521,2B6_y20AAAAJ,"Universidad Santo Tomás (UST), Chile",@santotomas.cl,604.0,"Politica educativa, gestión educativa, planificación estratégica, gestión universitaria, gestión de calidad"
14018219609791295521,rTOdPc0AAAAJ,Universidad Santo Tomas,@santotomas.cl,550.0,"Deserción escolar, Convivencia escolar, Violencia escolar, Bienestar"
14018219609791295521,v1S3-soAAAAJ,"Associate Professor, Facultad de Ciencias, Universidad Santo Tomás",@santotomas.cl,528.0,"Ecology, Conservation biology, Bioacoustics, Bats"
14018219609791295521,rRpnAgkAAAAJ,Universidad Santo Tomás,@santotomas.cl,485.0,Formación y Desarrollo Profesional del Profesor de Ciencias
14018219609791295521,bVWIFcEAAAAJ,"Profesor Asociado Universidad Santo Tomás, Viña del Mar",@santotomas.cl,401.0,"biophisics, biochemistry"
14018219609791295521,jlpbJJYAAAAJ,Universidad Santo Tomas,@santotomas.cl,380.0,Microbiología
