organization,scholar_id,affiliation,email_domain,citedby,interests
1.6206413231987421e+19,_oq7lg0AAAAJ,"Estudiante de Geología, Universidad Austral de Chile",@alumnos.uach.cl,17621.0,"Geología, Volcanología, Geofísica, Sismología"
1.6206413231987421e+19,dYeZp8QAAAAJ,"Professor Facultad de Ciencias Forestales y Recursos Naturales, Universidad Austral de Chile",@uach.cl,13790.0,"Ecosystem Services, Climate Change, Ecological Restoration"
1.6206413231987421e+19,kNhzzGIAAAAJ,Universidad Austral de Chile,@uach.cl,10407.0,"biological oceanography, phytoplankton ecology"
1.6206413231987421e+19,-41EoMIAAAAJ,"Profesor de Patología, Universidad Austral de Chile",@uach.cl,7840.0,Patología
1.6206413231987421e+19,ZEDhbjAAAAAJ,"Profesor Titular, Instituto de Produccion y Sanidad Vegetal, universidad Austral de Chile",@uach.cl,7054.0,Crop Physiology
1.6206413231987421e+19,NEJdQnkAAAAJ,Universidad Austral de Chile,@uach.cl,6381.0,"Systematics, Evolutionary Biology, Mammalogy"
1.6206413231987421e+19,j9qpO4kAAAAJ,Universidad Austral de Chile,@uach.cl,6124.0,"Marine biology, Ecophysiology"
1.6206413231987421e+19,Y2RA_vMAAAAJ,"Universidad Austral de Chile, Instituto de Ciencias Marinas y Limnológicas",@uach.cl,5965.0,Biological Oceanography
1.6206413231987421e+19,QXLQ_I4AAAAJ,Universidad Austral de Chile,@uach.cl,5895.0,"Marine Biology, Photobiology"
1.6206413231987421e+19,HuGpAU0AAAAJ,Universidad Austral de Chile,@uach.cl,5572.0,Plant functional biology - Fire ecology - Stress ecophysiology - Plant evolutionary ecology
1.6206413231987421e+19,UUfZjBYAAAAJ,Universidad Austral de Chile,@uach.cl,5308.0,"Neotectonics, Coastal Geomorphology, Earthquake Geology, Paleoseismology"
1.6206413231987421e+19,kYToqLcAAAAJ,UNIVERSIDAD AUSTRAL DE CHILE,@uach.cl,5093.0,"GEOARQUEOLOGIA, SEDIMENTOLOGIA"
1.6206413231987421e+19,NCkYLRkAAAAJ,"Instituto de Arquitectura y Urbanismo, Universidad Austral de  Chile",@uach.cl,4895.0,Geografía cultural y teoría urbana
1.6206413231987421e+19,Phqz2PYAAAAJ,"Instituto de Conservación Biodiversidad y Territorio (ICBTe), Universidad Austral de Chile, Valdivia",@docentes.uach.cl,4886.0,"Paleoclimatology, Environmental Sciences, Forest Ecology"
1.6206413231987421e+19,yh3wtJUAAAAJ,"Department of Physiology, School of Medicine, Universidad Austral de Chile",@uach.cl,4105.0,"Membrane trafficking, Structural Biology"
1.6206413231987421e+19,VfZDNC4AAAAJ,"Universidad Austral de Chile, Full professor",@uach.cl,4083.0,"química de productos naturales, plant natural products, metabolomics, food chemistry, phytochemistry"
1.6206413231987421e+19,m0aNArAAAAAJ,Universidad Austral de Chile,@uach.cl,3940.0,"Evolutionary Physiology, Physiological Ecology"
1.6206413231987421e+19,n6sj03kAAAAJ,Universidad Austral de Chile,@uach.cl,3920.0,Servicios ecosistémicos
1.6206413231987421e+19,l1vYvMEAAAAJ,Universidad Austral de Chile,@uach.cl,3913.0,"Regenerative Medicine, Remyelination, Multiple Sclerosis, Adult Stem Cells, Vascular Niche"
1.6206413231987421e+19,Ow0XjtMAAAAJ,Professor Universidad Austral de Chile,@uach.cl,3790.0,"Silviculture, forest ecology, community forest management, forest policy"
1.6206413231987421e+19,XmFRSRwAAAAJ,"Instituto de Ciencias Marinas y Limnológicas, Universidad Austral de Chile",@uach.cl,3742.0,"Physiology of Fish, Stress, Endocrine responses, Aquaculture, Pollution"
1.6206413231987421e+19,4mxAaBkAAAAJ,Universidad Austral de Chile,@uach.cl,3660.0,"silviculture, forest ecology"
1.6206413231987421e+19,7kwrvDoAAAAJ,Universidad Austral de Chile,@uach.cl,3553.0,biotecnologia
1.6206413231987421e+19,wBoDV1cAAAAJ,"Professor of physiology, Universidad austral de chile",@uach.cl,3282.0,"Ion channels, microscopy"
1.6206413231987421e+19,McN2nPIAAAAJ,"Professor in Ecosystem Ecology, Universidad Austral de Chile & Associate Researcher Institute of",@uach.cl,3125.0,"ecosystem ecology, biodiversity conservation, urban ecology"
1.6206413231987421e+19,OMOIGkMAAAAJ,"Profesor de Psicología, Universidad Austral de Chile",@uach.cl,3105.0,
1.6206413231987421e+19,Z7SasRQAAAAJ,Universidad Austral de Chile,@uach.cl,2837.0,Geochemistry - Experimental Petrology
1.6206413231987421e+19,AJUOEswAAAAJ,Universidad Austral de Chile,@uach.cl,2710.0,"Nephrology, hypertension, renal transplant"
1.6206413231987421e+19,svclW9AAAAAJ,Universidad Austral de Chile,@uach.cl,2697.0,"Larval dispersal, Population genetics, Marine Biology"
1.6206413231987421e+19,dv8gciwAAAAJ,Universidad Austral de Chile,@uach.cl,2576.0,
1.6206413231987421e+19,Bfb7LqEAAAAJ,Universidad Austral de Chile,@uach.cl,2570.0,Food Science
1.6206413231987421e+19,0DgzT5oAAAAJ,Universidad Austral de Chile,@uach.cl,2498.0,
1.6206413231987421e+19,ChBdE3cAAAAJ,"Instituto de Bioquímica y Microbiología, Facultad de Ciencias, Universidad Austral de Chile",@uach.cl,2497.0,"Clinical Microbiology, Bacterial taxonomy, Campylobacter, Arcobacter, Helicobacter"
1.6206413231987421e+19,gA1aZPsAAAAJ,"Profesor Titular, Instituto de Medicina Preventiva Veterinaria, Universidad Austral de Chile",@uach.cl,2437.0,"Epidemiology, Zoonoses, Conservation Medicine"
1.6206413231987421e+19,gPyycBMAAAAJ,"Instituto de Medicina, Universidad Austral de Chile",@uach.cl,2366.0,"Enfermedades Infecciosas, Medicina Intensiva"
1.6206413231987421e+19,_pyRqigAAAAJ,Universidad Austral de Chile,@uach.cl,2322.0,Biologia
1.6206413231987421e+19,suYfA-IAAAAJ,Universidad Austral de Chile,@uach.cl,2288.0,Marine Biology
1.6206413231987421e+19,A1bhpWcAAAAJ,"Rector, Full Professor, Faculty of Medicine, Universidad Austral de Chile",@uach.cl,2261.0,"Physiology, Endocrinology, Biology, Medicine"
1.6206413231987421e+19,8GeOVLcAAAAJ,universidad austral de chile,@uach.cl,2203.0,"virologia, microbiologia, biologia celular, biologia molecular, neurodegeneracion"
1.6206413231987421e+19,Jr9DzQQAAAAJ,Universidad Austral de Chile,@uach.cl,2136.0,"condensed matter, nanotechnology, lithium ion batteries, surface science"
1.6206413231987421e+19,HA_4nmUAAAAJ,"Instituto de Ciencias Marinas y Limnológicas, Universidad Austral de Chile",@uach.cl,1988.0,Marine mammal ecology and conservation
1.6206413231987421e+19,kR2w7aUAAAAJ,Universidad Austral de Chile,@uach.cl,1948.0,"Smart Grid, Renewable Energy, Power Systems"
1.6206413231987421e+19,QHw1XU8AAAAJ,Universidad Austral de Chile,@uach.cl,1821.0,"Animal physiology, Ion channels"
1.6206413231987421e+19,JBWSuJAAAAAJ,"Professor of Psychiatry, Instituto de Neurociencias Clínicas, Universidad Austral de Chile",@uach.cl,1787.0,"Clinical Resilience, Mindfulness, Compassion, Clínical Relationship, Philosophy of Medicine"
1.6206413231987421e+19,kkAVJvUAAAAJ,Universidad Austral de Chile. Escuela de Arqueología,@uach.cl,1724.0,"Arqueología y zonas boscosas, Arqueología Histórica y Etnohistoria, Patrimonio Cultural y Museología, Tercera misión univer"
1.6206413231987421e+19,z1I_vxcAAAAJ,Universidad Austral de Chile,@uach.cl,1713.0,"Health Policy, Health Systems, Politics of Health Policy, Non-Communicable Diseases, Global Health"
1.6206413231987421e+19,NcxMjkAAAAAJ,"Universidad Austral de Chile, Decano de la Facultad de Ciencias Económicas y Administrativas (FACEA",@uach.cl,1682.0,"Democracia Participativa, Participación Ciudadana, Descentralización, Presupuesto Participativo, Relaciones Intergubernamental"
1.6206413231987421e+19,94JOMYcAAAAJ,Universidad Austral de Chile,@uach.cl,1632.0,Ecology
1.6206413231987421e+19,hvNjF-wAAAAJ,"Professor, Universidad Austral de Chile",@uach.cl,1593.0,"Brain energy metabolism, neuron-glia interactions, neurodegenerative diseases, brain aging"
1.6206413231987421e+19,JO_ltQoAAAAJ,"Full Professor of Paleontology and Historical Geology, Universidad Austral de Chile",@uach.cl,1558.0,"paleontology, malacology, paleoecology, sedimentary geology, Cenozoic"
1.6206413231987421e+19,mR2bCuIAAAAJ,"Universidad Austral de Chile, Instituto de Ciencias de la Tierra, VALDIVIA",@uach.cl,1539.0,"Functional anatomy, mesozoic trackways, biomechanics"
1.6206413231987421e+19,_CHf9pUAAAAJ,Universidad Austral de Chile,@docentes.uach.cl,1515.0,"Conservation biology, canopy ecology, forest ecology"
1.6206413231987421e+19,5j9dHp0AAAAJ,"Professor, Universidad Austral de Chile",@uach.cl,1517.0,"natural hazards, floods, fluvial geomorphology, risk mitigation and resilience"
1.6206413231987421e+19,8E9UtOwAAAAJ,"Profesor Asociado, Universidad Austral de Chile",@uach.cl,1496.0,"Micología Clínica, Micología Ambiental, Test de Susceptibilidad"
1.6206413231987421e+19,97HFWtMAAAAJ,"Professor , Universidad Austral de Chile",@uach.cl,1397.0,Behavioral Ecology
1.6206413231987421e+19,tS5wBnkAAAAJ,"Associate Professor, Universidad Austral de Chile",@uach.cl,1430.0,"Mathematical Physics, Theoretical Physics"
1.6206413231987421e+19,r3DnKwQAAAAJ,Instituto de Ciencias Ambientales y Evolutivas Universidad Austral de Chile (marielaure.guillemin,@uach.cl,1453.0,"Population genetic, speciation, phylogeography, life cycle evolution, domestication"
1.6206413231987421e+19,KacGp-QAAAAJ,Universidad Austral de Chile,@uach.cl,1411.0,"Suelos forestales, sitio forestal, silvicultura"
1.6206413231987421e+19,NDtBvmsAAAAJ,"Med.Vet., PhD, Instituto de Conservación, Biodiversidad y Territorio, Universidad Austral de Chile",@uach.cl,1421.0,"Conservation Biology, Conservation Planning, Wildlife Ecology, Protected Areas, Human Dimensions of Wildlife"
1.6206413231987421e+19,ibv55P0AAAAJ,Universidad Austral de Chile,@uach.cl,1400.0,"Molecular biology, genetics, microbiology"
1.6206413231987421e+19,8QViY6UAAAAJ,Universidad Austral de Chile,@uach.cl,1366.0,Marine Biology
1.6206413231987421e+19,gMGcPm4AAAAJ,Universidad Austral de Chile,@uach.cl,1360.0,"Environmental Sciences, Dissolved Organic Matter, Ecotoxicology, Aquatic Pollution"
1.6206413231987421e+19,OOx2p7oAAAAJ,Universidad Austral de Chile,@uach.cl,1351.0,"Salud Materno Infantil, Epidemiología, Práctica Basada en Evidencia"
1.6206413231987421e+19,OjY5jmIAAAAJ,Universidad Austral de Chile,@spm.uach.cl,1301.0,nutrición en acuicultura
1.6206413231987421e+19,EFHDq2MAAAAJ,"Instituto de Ciencias Marinas y Limnológicas, Universidad Austral de Chile",@docentes.uach.cl,1281.0,Oceanography
1.6206413231987421e+19,KaRIsccAAAAJ,"Profesor Asociado, Instituto de Administración, universidad Austral de Chile",@uach.cl,1249.0,"políticas públicas, sociología de la cultura, comunicación política, territorios"
1.6206413231987421e+19,lTcX5WEAAAAJ,Universidad Austral de Chile,@uach.cl,1222.0,"genetica de poblaciones, ecologia marina, biodiversidad, parasitologia"
1.6206413231987421e+19,0h2h9y4AAAAJ,"Profesor Asociado, Instituto de Ciencias Marinas (ICML), Universidad Austral de Chile, Valdivia, Chile",@uach.cl,1220.0,"Biología Evolutiva, Biogeográfica, Genética y Evolución"
