organization,scholar_id,affiliation,email_domain,citedby,interests
1.0448777709790853e+19,8XKXZJUAAAAJ,Universidad Adolfo Ibañez,@uai.cl,144360.0,"Particle Phenomenology, Beyond the Standard Model, Long-Lived Particles, Higgs"
1.0448777709790853e+19,OKfYDv0AAAAJ,Universidad Adolfo Ibáñez,@uai.cl,19578.0,"Exoplanets, protoplanetary and debris disks, early-type galaxies, globular clusters"
1.0448777709790853e+19,RfGKP34AAAAJ,"Facultad de Ingeniería y Ciencias, Universidad Adolfo Ibáñez",@uai.cl,12535.0,Wastewater treatment
1.0448777709790853e+19,aShVsHsAAAAJ,"Professor of Marketing, Universidad Adolfo Ibañez",@uai.cl,10332.0,"Consumer Behavior, Branding, Decision Making, Information Privacy"
1.0448777709790853e+19,Js0nhfIAAAAJ,"Professor, Departamento de Ciencias, Facultad Artes Liberales, Universidad Adolfo Ibáñez",@uai.cl,7254.0,"Biophysical forcing, Coastal ecosystems, Biogeography"
1.0448777709790853e+19,ZxW_BhoAAAAJ,Universidad Adolfo Ibañez - Queensland University of Technology,@uai.cl,6087.0,International marketing
1.0448777709790853e+19,S2EpBmkAAAAJ,Professor. School of Business. Universidad Adolfo Ibañez.,@uai.cl,5926.0,Optimization under uncertainty.
1.0448777709790853e+19,w742qQgAAAAJ,"Associate Professor, Faculty of Engineering and Sciences, Universidad Adolfo Ibañez",@uai.cl,5488.0,"Power & Energy Systems, Smartgrids, Microgrids, Applied Optimization."
1.0448777709790853e+19,3aaunA0AAAAJ,Universidad Adolfo Ibáñez,@uai.cl,5381.0,"Astrophysics, Galactic Centre, Protoplanetary Discs, Super-Massive Black Hole Binaries"
1.0448777709790853e+19,724ME-oAAAAJ,"Assistant Professor, Universidad Adolfo Ibáñez",@uai.cl,5279.0,exoplanet astronomy
1.0448777709790853e+19,lSbD6y8AAAAJ,Universidad Adolfo Ibáñez. Universidad Católica de Chile,@uai.cl,4991.0,
1.0448777709790853e+19,0ibegmYAAAAJ,"Professor of Bioengineering, Universidad Adolfo Ibáñez",@uai.cl,4707.0,"cell mechanics, cell morphogenesis, cell division, fog collection"
1.0448777709790853e+19,zmkA7uwAAAAJ,Universidad Adolfo Ibañez,@uai.cl,4573.0,Applied Economics
1.0448777709790853e+19,xd4Wp9wAAAAJ,"BrainLat, Universidad Adolfo Ibáñez",@uai.cl,4312.0,Physical activity and health
1.0448777709790853e+19,VQchlPYAAAAJ,"School of Business, Universidad Adolfo Ibanez",@uai.cl,4312.0,"Operations, Health Services"
1.0448777709790853e+19,3ZKkR_gAAAAJ,Universidad Adolfo Ibañez,@uai.cl,4063.0,"ecology, evolution, environmental sciences, evolutionary ecology, marine biology"
1.0448777709790853e+19,3ut4Mn0AAAAJ,Universidad Adolfo Ibáñez (Chile),@uai.cl,3899.0,"Convex Analysis, Optimization, Game Theory, Transportation"
1.0448777709790853e+19,jGAelSwAAAAJ,Universidad Adolfo Ibañez,@uai.cl,3866.0,Astronomía
1.0448777709790853e+19,Z8zHERAAAAAJ,"Escuela de Negocios, Universidad Adolfo Ibañez",@uai.cl,3202.0,"Innovación, Emprendimiento, Desarrollo Sostenible y Economía Politica"
1.0448777709790853e+19,6wMud9YAAAAJ,Center for Social and Cognitive Neuroscience (CSCN) School of Psychology - Adolfo Ibañez University,@uai.cl,3220.0,"Social Neuroscience, Social Cognition, Psychology"
1.0448777709790853e+19,QASCP9kAAAAJ,Universidad Adolfo Ibáñez,@uai.cl,2968.0,"philosophical sociology, social theory, sociology, cosmopolitanism, nationalism"
1.0448777709790853e+19,Qlo5BzAAAAAJ,Universidad Adolfo Ibañez,@uai.cl,2564.0,"Financial Econometrics, Mineral economics, Innovation, Entrepreneuship"
1.0448777709790853e+19,RG9y4EQAAAAJ,"Universidad Adolfo Ibañez, Facultad de Ingeniería y Ciencias",@uai.cl,2386.0,"Remote Sensing, Ecosystems, Hydrology"
1.0448777709790853e+19,7H4k-70AAAAJ,Universidad Adolfo Ibáñez,@uai.cl,2291.0,Teoría social
1.0448777709790853e+19,V2IQltIAAAAJ,Universidad Adolfo Ibáñez,@uai.cl,2224.0,"Combinatorial Optimization, Assembly line balancing, Network Design, Scheduling"
