organization,scholar_id,affiliation,email_domain,citedby,interests
15469411678705648791,GB57rNQAAAAJ,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,10624.0,"Musicología, Música popular latinoamericana, Música y sociedad"
15469411678705648791,ZIkl7UgAAAAJ,"Profesor, Universidad Alberto Hurtado",@uahurtado.cl,1537.0,Arqueología
15469411678705648791,3SzLhtAAAAAJ,Universidad Alberto Hurtado,@uahurtado.cl,1390.0,
15469411678705648791,cKOW8IEAAAAJ,Universidad Alberto Hurtado,@uahurtado.cl,1290.0,"sociología, educación"
15469411678705648791,ROCQFAUAAAAJ,"Facultad de Economía y Negocios, Universidad Alberto Hurtado",@uahurtado.cl,1201.0,"creativity, entrepreneurship, innovation, SMEs"
15469411678705648791,V0s0uYUAAAAJ,Profesor de Antropología (UAH),@uahurtado.cl,1000.0,"antropología del ambiente, patrimonio, educación superior, exclusión"
15469411678705648791,zUMMuRYAAAAJ,Universidad Alberto Hurtado,@uahurtado.cl,1001.0,"strategy, marketing, innovation and sustainability"
15469411678705648791,Xj906M4AAAAJ,Universidad Alberto Hurtado,@uahurtado.cl,842.0,"Mathematical Modelling, Analytics, Operational Research, Data Mining, Statistics"
15469411678705648791,L2YpgysAAAAJ,Universidad Alberto Hurtado,@uahurtado.cl,809.0,"didáctica del lenguaje, lengua materna y segundas lenguas, educación intercultural bilingüe"
15469411678705648791,q3ca8v4AAAAJ,"Profesor de Filosofía, Universidad Alberto Hurtado",@uahurtado.cl,715.0,"Filosofía contemporánea, Filosofía de las ciencias"
15469411678705648791,3nSJIm0AAAAJ,académica facultad educación universidad alberto hurtado,@uahurtado.cl,662.0,"educación, formación inicial docente"
15469411678705648791,OjP1gWgAAAAJ,"Departamento de Sociología, Universidad Alberto Hurtado",@uahurtado.cl,598.0,"sociología, teoría social, sociología política, sociología de las profesiones, educación superior"
15469411678705648791,4S09yXQAAAAJ,Universidad Alberto Hurtado,@uahurtado.cl,571.0,"enseñanza de las ciencias, indagación, practicas, analisis de video"
15469411678705648791,MmRz8u0AAAAJ,"Research Associate, Universidad Alberto Hurtado",@uahurtado.cl,439.0,"health economics, health policy, global health"
15469411678705648791,-Di4rF4AAAAJ,Universidad Alberto Hurtado,@uahurtado.cl,441.0,"Análisis Espacial, Geografía de la Salud, Sistemas de Información Geográfica, Modelos de Localización-Asignación"
15469411678705648791,wwDBa-oAAAAJ,"Facultad de Ingenieria, Universidad Alberto Hurtado",@uahurtado.cl,418.0,Modelamiento y Resolución de Problemas
15469411678705648791,ywRXTR4AAAAJ,Facultad de Derecho Universidad Alberto Hurtado,@uahurtado.cl,414.0,Fuentes del Derecho. Accciones Constitucionales. Relación Derecho interno y Derecho internacional.
15469411678705648791,YXDSFOAAAAAJ,Associate Professor in Finance Universidad Alberto Hurtado,@uahurtado.cl,390.0,Finance
15469411678705648791,iBZGMxkAAAAJ,Universidad Alberto Hurtado,@uahurtado.cl,385.0,"educación musical, didáctica de la música, music education, didactics of music"
15469411678705648791,0i6XB6MAAAAJ,Universidad Alberto Hurtado,@uahurtado.cl,378.0,Estudios internacionales
15469411678705648791,clLGg48AAAAJ,Universidad Alberto Hurtado,@uahurtado.cl,365.0,"Crime and police history, historia de América Latina y Chile, historia del rock"
15469411678705648791,desdAPoAAAAJ,Universidad Alberto Hurtado,@uahurtado.cl,367.0,Gestión Pública
