organization,scholar_id,affiliation,email_domain,citedby,interests
7010446216104013295,_YlQ7Q0AAAAJ,Universidad de Antofagasta,@uantof.cl,23757.0,Galaxy evolution
7010446216104013295,NLj3K9MAAAAJ,"Profesor de Acuicultura, Universidad de Antofagasta; Chile",@uantof.cl,13118.0,manejo y cultivo de moluscos
7010446216104013295,9Ln_jBUAAAAJ,"Full professor, Centro de Astronomía (CITEVA), Universidad de Antofagasta, Chile",@uantof.cl,8631.0,Astronomy and astrophysics
7010446216104013295,RN8sb0oAAAAJ,"Unidad de Astronomía, Universidad de Antofagasta",@uantof.cl,5959.0,
7010446216104013295,qt9Y4aYAAAAJ,"Vicerrector de Investigación, Innovación y Postgrado. Universidad de Antofagasta",@uantof.cl,4488.0,Carotid body physiology. Intermittent hypoxia.
7010446216104013295,ec5REdUAAAAJ,University of Antofagasta,@uantof.cl,3782.0,reproductive biology
7010446216104013295,hysL_o4AAAAJ,Universidad de Antofagasta Chile,@uantof.cl,3226.0,"marine microbiology, interaction Bacteria-microalga, probiotics, aquaculture"
7010446216104013295,JtonTQEAAAAJ,Universidad de Antofagasta,@uantof.cl,3211.0,"optimization, mineral processing, process design, cleaner production, lithium processing"
7010446216104013295,WADiFbIAAAAJ,"Centro de Astronomía, Universidad de Antofagasta",@uantof.cl,3133.0,Astronomy
7010446216104013295,knz5fzUAAAAJ,"Universidad de Antofagasta, Chile",@uantof.cl,3082.0,Microbiology of the Atacama Desert.
7010446216104013295,W4mUxWgAAAAJ,Universidad de Antofagasta,@uantof.cl,2650.0,"cristallography, material science, thermal energy storage, solar"
7010446216104013295,6HwOBdMAAAAJ,Universidad de Antofagasta Instituto Ciencias Naturales Alexander von Humboldt,@uantof.cl,2568.0,"Parasitologia marina, ecologia, evolucion"
7010446216104013295,vCSue8kAAAAJ,Profesor de Parasitología y Biología Molecular. Universidad de Antofagasta - CHILE,@uantof.cl,2445.0,Biología Molecular de Microorganismos
7010446216104013295,4BjXq7UAAAAJ,Académico Jornada Completa Universidad de Antofagasta Chile,@uantof.cl,2389.0,Responsabilidad Social Universitaria
7010446216104013295,J2Y_dfEAAAAJ,Universidad de Antofagasta,@uantof.cl,2281.0,Teoría de Distribuciones
7010446216104013295,JGCbLoIAAAAJ,University of Antofagasta,@uantof.cl,2090.0,Microbial ecology
7010446216104013295,MM7KOwgAAAAJ,"Profesora Asociada, Universidad de Antofagasta",@uantof.cl,1995.0,"Virología, Microbiología e Inmunología"
7010446216104013295,l70tt04AAAAJ,Profesor Titular Universidad de Antofagasta,@uantof.cl,1765.0,"biologia de poblaciones, evolucion, genetica, ecologia, mejora genetica"
7010446216104013295,vJMIsS4AAAAJ,Universidad de Antofagasta,@uantof.cl,1369.0,"Mycology, Molecular biology, taxonomy, phylogeny"
7010446216104013295,jUC4aigAAAAJ,"Académico, Universidad de Antofagasta",@uantof.cl,1323.0,"Sedimentología y geoquímica acuática: Paleoceanografía, Contaminación, Gestión ambiental"
7010446216104013295,8BtP4gIAAAAJ,Universidad de Antofagasta,@uantof.cl,1260.0,"microalgae, microbiology, biotechnology"
7010446216104013295,BvshstEAAAAJ,Universidad de Antofagasta,@uantof.cl,1159.0,Biotecnología
7010446216104013295,dFoSID4AAAAJ,"Professor, Instituto de Ciencias Naturales AvH; Universidad de Antofagasta",@uantof.cl,1128.0,"Microbiology, mollusk aquaculture, pearl culture"
7010446216104013295,KqHnyOcAAAAJ,"Profesor asistente, Universidad de Antofagasta",@uantof.cl,1142.0,"Solar Energy, Territorial Characterization, Solar Resource Assessment, Soiling, Radiometry"
7010446216104013295,Fu88dZwAAAAJ,Universidad de Antofagasta,@uantof.cl,1104.0,"Microbiologia, Ficologia, ecologia, biotecnologia"
7010446216104013295,1lb5Y_AAAAAJ,"University of Antofagasta, Chile.",@uantof.cl,1074.0,"Aquatic Toxicology, EDCs, Genomics, Biomarkers"
7010446216104013295,D5Oc2wYAAAAJ,Natural Science Institute Alexander von Humboldt. University of Antofagasta,@uantof.cl,1071.0,"Aquatic Toxicology, Ecotoxicology, Genomics, Proteomics"
7010446216104013295,_kX0_eoAAAAJ,Universidad de Antofagasta,@uantof.cl,786.0,parasitology and gap junction proteins
7010446216104013295,nvfiijsAAAAJ,Universidad de Antofagasta,@uantof.cl,776.0,"natural pigments: extraction, obtention and identification, microencapsulation, solar energy, etc"
7010446216104013295,Up9xQO4AAAAJ,University of Antofagasta,@uantof.cl,710.0,
7010446216104013295,tXID2z8AAAAJ,"ICN Alexander von Humboldt, Universidad de Antofagasta",@uantof.cl,681.0,"Biological oceanography, ecotoxicology, environmental pollution, phytoplankton ecology"
7010446216104013295,tT9xoAcAAAAJ,Universidad de Antofagasta,@uantof.cl,655.0,"Solar Energy, Solar Cells and Modules, Solar Resource, Territorial Characterization"
7010446216104013295,jv6EFcYAAAAJ,Universidad de Antofagasta,@uantof.cl,650.0,"microalgae, bioactive compounds, green extraction technologies, food applications"
7010446216104013295,vOamLlsAAAAJ,Universidad de Antofagasta - Antofagasta - Chile,@uantof.cl,609.0,"power systems, computational intelligence, lithium ion batteries"
7010446216104013295,Zn0ZqnIAAAAJ,"Professor at Instituto Ciencias Naturales Alexander von Humboldt, Universidad de Antofagasta",@uantof.cl,542.0,"Reproductive biology, fishery biology, phenological influence of fisheries in cartilaginous fishes"
7010446216104013295,fwXghBYAAAAJ,"Profesor Asociado, CDEA-UA, Universidad de Antofagasta",@uantof.cl,518.0,"Energía Solar, Ciencias de los Materiales, Física Fundamental"
7010446216104013295,k099y_MAAAAJ,Universidad de Antofagasta,@uantof.cl,488.0,"Electrolyte thermodynamic, thermodynamic modeling, phase diagram, mineral process"
7010446216104013295,dveDvukAAAAJ,Universidad de Antofagasta,@uantof.cl,459.0,"Leaching, crystallization, copper sulfide"
7010446216104013295,syBQyIIAAAAJ,"Dr. en Psicología, Universidad de Antofagasta",@uantof.cl,434.0,"Psicología Cognitiva, Variables Cognitivas y Motivacionales, Educación Superior"
7010446216104013295,JoZu7qwAAAAJ,"Academica, Universidad de Antofagasta",@uantof.cl,416.0,"Microalgal culture, Probiotics, Climate Change, Physiology Photosynthesis, Biology Environmental Stresses"
7010446216104013295,2dX6VEkAAAAJ,Universidad de Antofagasta,@uantof.cl,382.0,"inmunología, parasitología molecular, diagnóstico molecular"
