organization,scholar_id,affiliation,email_domain,citedby,interests
8365100606562762008,VgRSHRIAAAAJ,"Profesor titular, Universidad del Bio Bio, Chile; profesor titular, U. Católica de Chile",@ubiobio.cl,7238.0,"Segregación y gentrificación, conflictos ambientales locales, mercados y políticas de suelo urbana"
8365100606562762008,XzL2VuQAAAAJ,"Doctora en Recursos Humanos, Universidad del Bio Bio, Chile",@ubiobio.cl,5329.0,"Comportamiento organizacional, Gestión de Recursos Humanos"
8365100606562762008,NF4oLaoAAAAJ,Universidad del Bio-Bio,@ubiobio.cl,4186.0,"technology adoption, information systems, electronic commerce"
8365100606562762008,eq8CB7kAAAAJ,Universidad del Bio Bio,@ubiobio.cl,2942.0,"Biomedicina, preeclampsia, angiogenesis"
8365100606562762008,g1hEHz8AAAAJ,Associate Professor in Civil Engineering - University of Bío-Bío,@ubiobio.cl,2819.0,"Bituminous Materials, Self-Healing Materials, Waste Materials, Innovative Materials"
8365100606562762008,3DLq6aoAAAAJ,Universidad del Bío-Bío,@ubiobio.cl,2672.0,Food Processing  High pressure  High pressure Homogenization   3D Food printing  Emulsions
8365100606562762008,jDVoPZsAAAAJ,Universidad del Bio-Bio,@ubiobio.cl,2314.0,Química de Productos Naturales
8365100606562762008,ii1lGzIAAAAJ,Universidad del Bío-Bío- Food Engineering Department,@ubiobio.cl,1911.0,
8365100606562762008,H_oSaL4AAAAJ,Universidad del Bío-Bío,@ubiobio.cl,1880.0,"Calidad, Producción"
8365100606562762008,7jAMWuYAAAAJ,"Associate Professor of Computer Science and Information Technologies, University of Bio Bio, Chillán",@ubiobio.cl,1765.0,"Information systems, Business Process, Security, Data Quality, BPMN"
8365100606562762008,Z8ByKSIAAAAJ,"Universidad del Bío-Bío, Concepción, Chile",@ubiobio.cl,1736.0,"numerical analysis of PDEs, finite element method, virtual element discretizations"
8365100606562762008,XHEBHIsAAAAJ,Universidad del Bio-Bio,@ubiobio.cl,1550.0,Freeze concentration Food Engineering
8365100606562762008,y1lcwVEAAAAJ,Universidad del Bio-Bio,@ubiobio.cl,1530.0,"Numerical Analysis, Finite element methods, mixed methods, Discontinuous Galerkin methods"
8365100606562762008,WV3YhakAAAAJ,Universidad del Bío-Bío,@ubiobio.cl,1512.0,Gestión del cambio y recursos humanos
8365100606562762008,010wbxAAAAAJ,Department of Electrical and Electronic Engineering - University of Bío-Bío,@ubiobio.cl,1352.0,"power electronics, multilevel converters, AC drives, active power filters"
8365100606562762008,yn7bEOwAAAAJ,Universidad del Bío-Bío,@ubiobio.cl,1312.0,Software Engineering
8365100606562762008,eePGXXkAAAAJ,Universidad del Bío-Bío,@ubiobio.cl,1263.0,"Chemical Engineering, Catalysis, Process design and simulation"
8365100606562762008,iQM-1ygAAAAJ,"Profesor de Psicología Educacional, Universidad del Bio-Bio",@ubiobio.cl,1235.0,"Psicología educacional, ciencias cognitivas, informática"
8365100606562762008,mB6Im0MAAAAJ,Universidad del Bío Bío,@ubiobio.cl,1231.0,"relación familia-escuela, formación ciudadaa, sociologia de la educación"
8365100606562762008,6bJ02OAAAAAJ,Universidad del Bío-Bío,@ubiobio.cl,1061.0,"Operations Research, Supply Chain Management, Vehicle Routing, Logistic"
8365100606562762008,7ucgoQsAAAAJ,Académico. Departamento de Física. Universidad del Bío-Bío. Chile.,@ubiobio.cl,1010.0,
8365100606562762008,-do-rLwAAAAJ,Universidad del Bio-Bio,@ubiobio.cl,952.0,Wood Science & Wood drying
8365100606562762008,j8KwcWIAAAAJ,"Professor, Universidad del Bio-Bio",@ubiobio.cl,952.0,Wood Science
8365100606562762008,x0rvdeUAAAAJ,Académico. Universidad del Bío-Bío. Investigador en +CO-PE,@ubiobio.cl,927.0,
8365100606562762008,PQix8vkAAAAJ,Universidad del Bío-Bío,@ubiobio.cl,921.0,"Sistemas Educativos, Sociedad y Tecnología, Mujer y Trabajo."
8365100606562762008,A9xwJTEAAAAJ,Universidad del Bio-Bio,@ubiobio.cl,879.0,"Didactica de las matemáticas, etnomatemáticas, comunicacion intercultural"
8365100606562762008,1g2VAeYAAAAJ,Universidad del Bío-Bío,@ubiobio.cl,857.0,"Recommender Systems, Software Engineering"
8365100606562762008,eHvT6xEAAAAJ,Universidad del Bío-Bío,@ubiobio.cl,812.0,"Optics, Quantum information, Quantum optics"
8365100606562762008,of2oGYwAAAAJ,"Assistant Professor, Department of Physics, University of Bio-Bio",@ubiobio.cl,808.0,"Coastal oceanography, eastern boundary currents, flow over topography, ocean optics/remote sensing, physical-biological coupling"
8365100606562762008,Lfct26UAAAAJ,"Universidad del Bío-Bío, Chile",@ubiobio.cl,791.0,"Biomass Gasification, Renewable Energy."
8365100606562762008,HIse7YcAAAAJ,Universidad del Bío-Bío,@ubiobio.cl,792.0,"educación emociona, ansiedad escolar"
