organization,scholar_id,affiliation,email_domain,citedby,interests
7.459009050823924e+18,OmsvZIkAAAAJ,"Escuela de Gobierno, Pontificia Universidad Católica de Chile",@uc.cl,108628.0,"Population health, health economics, modeling, poverty and inequality, infectious diseases"
7.459009050823924e+18,Ys0ezMUAAAAJ,Pontificia Universidad Católica de Chile,@uc.cl,66437.0,"AGN, SMBHs, Galaxies"
7.459009050823924e+18,RCYlSE0AAAAJ,Pontificia Universidad Católica de Chile,@uc.cl,43728.0,"Astrophysics, Supernovae, Cosmology, Education"
7.459009050823924e+18,sTtUkYQAAAAJ,Department of Public Health/School of Medicine/Pontificia Universidad Católica de Chile,@med.puc.cl,42928.0,Epidemiology
7.459009050823924e+18,fC3uEL8AAAAJ,"Profesor de Cardiología, Pontificia Universidad Catolica de Chile",@med.puc.cl,35473.0,Cardiologia
7.459009050823924e+18,V6M51_0AAAAJ,"Departamento de Gastroenterología, Pontificia Universidad Católica de Chile",@med.puc.cl,33031.0,"gastroenterology, gallstones, biliary lipids, metabolism, cholesterol"
7.459009050823924e+18,XNYtQyUAAAAJ,"Professor, Pontificia Universidad Católica de Chile",@bio.puc.cl,31308.0,"ecology, forest science, ecosystem science, earth science"
7.459009050823924e+18,pnVP9X8AAAAJ,Pontificia Universidad Catolica de Chile,@bio.puc.cl,29706.0,
7.459009050823924e+18,dxP4ya8AAAAJ,Pontificia Universidad Católica de Chile,@med.puc.cl,28205.0,Maternal-Fetal Medicine
7.459009050823924e+18,m-ZpN6kAAAAJ,Pontificia Universidad Catolica de Chile,@med.puc.cl,28204.0,"Public Health, Epidemiology, chronic respiratory epidemiology, COPD, Asthma"
7.459009050823924e+18,B0JgDB4AAAAJ,"Professor of Ecology, Pontificia Universidad Catolica de Chile & The Santa Fe Institute",@bio.puc.cl,26963.0,"Macroecology, theoretical ecology, Complex systems, Global change, Conservation"
7.459009050823924e+18,UnjDitsAAAAJ,P. Universidad Catolica de Chile,@bio.puc.cl,25616.0,"Rocky interidal, Conservation-MPAs, Invasive species, Humam impacts"
7.459009050823924e+18,F_E2008AAAAJ,Universidad Católica de Chile,@med.puc.cl,23008.0,medicina
7.459009050823924e+18,yARn0BEAAAAJ,"Associate Professor, School of Communications, Pontificia Universidad Católica de Chile",@uc.cl,20559.0,"Political Communication, Comunicación Política, Social Media, Digital Journalism, Periodismo Digital"
7.459009050823924e+18,HumYTToAAAAJ,Pontificia Universidad Catolica de Chile,@ing.puc.cl,18558.0,"transport, urbanism, econometrics"
7.459009050823924e+18,wehnRfwAAAAJ,"Professor of Ecology, Catholic University of Chile",@bio.puc.cl,18277.0,"Community Ecology, Conservation Ecology, Invasion Ecology, Ecosystems"
