organization,scholar_id,affiliation,email_domain,citedby,interests
9.232372474901008e+18,_dRgKD8AAAAJ,Universidad de Chile,@dcc.uchile.cl,97887.0,"['Neurobiology', 'Cognition', 'Autopoiesis', 'Language', 'Education']"
9.232372474901008e+18,pSY7g_YAAAAJ,"Research Institute of Dental Science  Faculty of Dentistry, University of Chile",@u.uchile.cl,32863.0,"['Cellular Biology', 'Cancer']"
9.232372474901008e+18,9EwBymgAAAAJ,"Profesor de Astronomía, Universidad de Chile",@u.uchile.cl,29927.0,[]
9.232372474901008e+18,_fx52FkAAAAJ,University of Chile,@dcc.uchile.cl,28529.0,"['algorithms and data structures', 'text searching', 'compression', 'similarity search']"
9.232372474901008e+18,SJUEA8uk4iYC,Profesor de Economía Universidad de Chile,@fen.uchile.cl,26512.0,"['Macroeconomics', 'International Economics', 'International Finance', 'Economic Development']"
9.232372474901008e+18,_07ZLa4AAAAJ,"Professor, Molecular & Clinical Pharmacologt, Faculty of Medicine, University of Chile",@med.uchile.cl,20822.0,"['neuroscience', 'toxicology', 'biochemistry', 'molecular biology', 'stem cells']"
9.232372474901008e+18,l2TIoXkAAAAJ,Universidad de Chile,@ciq.uchile.cl,20054.0,['Cardiovascular Disease Inflammation']
9.232372474901008e+18,HmELI5UAAAAJ,"Professor, Geophysics Department, Universidad de Chile",@uchile.cl,19030.0,['Atmospheric Sciences']
9.232372474901008e+18,tFVzdokAAAAJ,Universidad de Chile,@uchile.cl,16489.0,"['Alpine ecology', 'pollination', 'biogeography', 'conservation']"
9.232372474901008e+18,GTiVKRcAAAAJ,Universidad de Chile,@med.uchile.cl,15397.0,"['cardiovascular', 'calcium signaling']"
9.232372474901008e+18,cgjx6tMAAAAJ,"Profesor de Bioquímica, Facultad de Medicina, Universidad de Chile",@med.uchile.cl,15072.0,"['Estrés oxidativo', 'mecanismos de daño y protección hepáticos']"
9.232372474901008e+18,lu8PRvkAAAAJ,"Profesor de Astronomía, Universidad de Chile",@das.uchile.cl,14700.0,"['Radioastronomía', 'Instrumentación Astronómica']"
9.232372474901008e+18,Xf_ulNAAAAAJ,universidad de chile,@uchile.cl,14656.0,['urbanismo']
9.232372474901008e+18,BgkzLTUAAAAJ,Faculty of Dentistry. University of Chile,@odontologia.uchile.cl,13019.0,"['Cellular and Molecular Biology', 'Autophagy', 'Neurodegenerative Diseases', 'Obesity and derived affections', 'Oral diseases']"
9.232372474901008e+18,R86WqdoAAAAJ,Universidad de Chile,@inta.uchile.cl,11839.0,"['Obesity', 'adipose tissue dysfunction', 'calcium sensing receptor']"
9.232372474901008e+18,cxaipVoAAAAJ,Universidad de Chile,@uchile.cl,11729.0,"['Biología celular', 'Biología del Desarrollo', 'Biología Molecular']"
9.232372474901008e+18,1g7H4ToAAAAJ,"Department of economics, University of Chile",@fen.uchile.cl,11081.0,"['Economic development', 'environmental economics']"
9.232372474901008e+18,WboqEP8AAAAJ,"Professor of Cell and Molecular Biology, University of Chile",@med.uchile.cl,11002.0,"['signal transduction', 'cancer', 'cell death']"
9.232372474901008e+18,v1yWwKUAAAAJ,"Assistant Professor of Astronomy, Universidad de Chile",@das.uchile.cl,10813.0,"['Planet Formation', 'Protoplanetary Disks']"
9.232372474901008e+18,yoH4l0UAAAAJ,Universidad de Chile,@das.uchile.cl,10556.0,['astrophysics']
9.232372474901008e+18,BgXxxS8AAAAJ,"Programa de Farmacología Molecular y Clínica, Instituto de Ciencias Biomédicas, Facultad de Medicina, Universidad de Chile",@med.uchile.cl,10469.0,['Estrés Oxidativo']
9.232372474901008e+18,bmtKa3sAAAAJ,"departamento de geografia, universidad de chile",@uchile.cl,10340.0,['glaciology']
9.232372474901008e+18,ecwhM0oAAAAJ,"Electrical Engineering Department, University of Chile",@ing.uchile.cl,10070.0,"['Power Electronics', 'Electric Drives', 'Wind Energy', 'Renewable Energy']"
9.232372474901008e+18,2BLPkosAAAAJ,"Industrial Engineering, Universidad de Chile",@dii.uchile.cl,9999.0,"['operations research', 'optimization']"
9.232372474901008e+18,jzeqUi4AAAAJ,"Computer Science Department, Universidad de Chile",@dcc.uchile.cl,10031.0,"['Data', 'Knowledge Graphs', 'Databases', 'Semantic Web', 'RDF']"
9.232372474901008e+18,xXkuYEEAAAAJ,"University of Chile, Karolinska institutet, Manheim",@med.uchile.cl,9845.0,"['Neuroscience', 'Pharmacology']"
9.232372474901008e+18,zugBuscAAAAJ,"Assistant Professor, Astronomía, Universidad de Chile",@das.uchile.cl,9795.0,"['Active Galactic Nuclei', 'blazars', 'radio astronomy', 'time domain astronomy', 'time series analysis']"
9.232372474901008e+18,gOj959UAAAAJ,"Full Professor, Universidad de Chile",@u.uchile.cl,9731.0,['Astronomy']
9.232372474901008e+18,-8-ZtOEAAAAJ,Professor of Learning Technologies and Human-Computer Interaction at the University of Chile,@uchile.cl,9643.0,"['Learning Technologies', 'Computers in Education', 'Human-Computer Interaction', 'Technology for People with Disabilities']"
9.232372474901008e+18,5ntc1PMAAAAJ,Universidad de Chile,@cec.uchile.cl,9613.0,"['Power Systems', 'Renewables', 'Solar Energy', 'Microgrids', 'Energy Markets']"
9.232372474901008e+18,sSEH1OAAAAAJ,Profesora Universidad de Chile,@uchile.cl,9592.0,"['Educación', 'Politicas']"
9.232372474901008e+18,PWLh77oAAAAJ,"Professor of Economics, University of Chile.",@fen.uchile.cl,9416.0,"['economics', 'statistics']"
9.232372474901008e+18,EqeZJ10AAAAJ,University of Chile,@uchile.cl,9203.0,"['Soil-Plant-Water Relations', 'Plant Breeding', 'Agronomy']"
9.232372474901008e+18,tTMtjNUAAAAJ,Universidad de Chile,@uchile.cl,8666.0,['Quaternary paleoecology paleoclimatology']
9.232372474901008e+18,UeodjIAAAAAJ,Universidad de Chile: Centro de Investigación Avanzada en Educación y Departamento de Sociología,@ciae.uchile.cl,8657.0,"['Educación', 'Política Educacional', 'Sociología de la Educación']"
9.232372474901008e+18,KWObrhMAAAAJ,"Professor, University of Chile",@uchile.cl,8416.0,['Functional genomics']
9.232372474901008e+18,uByOqqwAAAAJ,"Dept. Neurosciences, BNI, CEMC, ICBM, F. Medicine, Universidad de Chile",@med.uchile.cl,8338.0,"['Calcium signaling', 'calcium release channels', 'redox regulation']"
9.232372474901008e+18,Ru_N1TkAAAAJ,"Profesor Titular, Universidad de Chile",@uchile.cl,8045.0,['Fisiología Muscular']
9.232372474901008e+18,KhO5OwkAAAAJ,"Professor of Geology, Universidad de Chile",@ing.uchile.cl,7950.0,"['Economic Geology', 'Geochemistry', 'Earth Science']"
9.232372474901008e+18,8nL6ZKsAAAAJ,Universidad de Chile,@u.uchile.cl,7806.0,['química']
9.232372474901008e+18,mYN1dVQAAAAJ,"Center for Mathematical Modeling, University of Chile",@dim.uchile.cl,7861.0,"['Ergodic Theory', 'Topological Dynamics', 'Symbolic Dynamics', 'Bioinformatics']"
9.232372474901008e+18,2_o6_SkAAAAJ,"Profesor de Nutrición, Universidad de Chile",@inta.uchile.cl,7809.0,['micronutrients']
9.232372474901008e+18,MJ8rA_8AAAAJ,Universidad de Chile,@inta.uchile.cl,7865.0,"['Nutrition', 'Public Health', 'Growth']"
9.232372474901008e+18,bILoTH4AAAAJ,"Full Professor, Facultad de Medicina, Universidad de Chile",@med.uchile.cl,7690.0,"['immunology', 'inflammation']"
9.232372474901008e+18,F77BFPkAAAAJ,"Full Professor, Universidad de Chile",@inta.uchile.cl,7483.0,"['Antioxidants', 'Polyphenols', 'Oxidative stress']"
9.232372474901008e+18,sv8m9q4AAAAJ,Universidad de Chile,@dii.uchile.cl,7428.0,"['Operations Research', 'Logistics', 'Integer Programming', 'Transportation', 'System Analysis']"
9.232372474901008e+18,cgxUZv0AAAAJ,"Professor of Transport Economics, Universidad de Chile",@ing.uchile.cl,7396.0,['Transport Economics']
9.232372474901008e+18,jTWJYbEAAAAJ,Universidad de Chile,@das.uchile.cl,7392.0,"['Exoplanets', 'Astrophysics']"
9.232372474901008e+18,RRxHKGMAAAAJ,"Professor, Universidad de Chile, Advanced Center for Chronic Diseases (ACCDiS)",@ciq.uchile.cl,7193.0,"['nanomedicine', 'drug delivery', 'peptides', 'Chronic diseases']"
