organization,scholar_id,affiliation,email_domain,citedby,interests
1.2968600147058256e+19,JGTUORMAAAAJ,"Profesor Titular, Universidad Católica del Maule",@ucm.cl,3234.0,"['Advanced glycation', 'Tumor microenvironment', 'Inflammation']"
1.2968600147058256e+19,bcP4IRcAAAAJ,Universidad Católica del Maule,@ucm.cl,2285.0,"['Functional genomics', 'secondary metabolites', 'bioreactors', 'metagenomics']"
1.2968600147058256e+19,pAWGl5IAAAAJ,"Facultad de Educación, Universidad Católica del Maule",@ucm.cl,1923.0,"['Motivación', 'Aprendizaje', 'Pensamiento crítico', 'Formación de profesores', 'Motivation']"
1.2968600147058256e+19,FlCuQzMAAAAJ,"Associate Professor of Sociology, Universidad Católica del Maule",@ucm.cl,1887.0,"['urbaqn sociology', 'urban theory', 'consumption', 'shopping malls', 'gated communities']"
1.2968600147058256e+19,02UZy1cAAAAJ,"Facultad de Medicina, Universidad Catolica del Maule",@ucm.cl,1812.0,"['Tumor Microenvironment', 'Inflammation', 'Adenovirus']"
1.2968600147058256e+19,0oV8KloAAAAJ,Universidad Católica del Maule,@ucm.cl,1718.0,"['Resiliencia', 'Jóvenes', 'Familia']"
1.2968600147058256e+19,EELsGB8AAAAJ,"CINPSI Neurocog, Universidad Católica del Maule",@ucm.cl,1708.0,"['Public health', 'environmental exposure', 'pesticides', 'neurocognitive functioning', 'disability and quality of life']"
1.2968600147058256e+19,k7Es23wAAAAJ,Universidad Católica del Maule,@ucm.cl,1663.0,"['Educación Estadística', 'Statistics Education', 'Educação Estatística']"
1.2968600147058256e+19,DC-1QokAAAAJ,Universidad Católica del Maule,@ucm.cl,1474.0,['Actividad Física y Salud']
,dfRIBfsAAAAJ,"Assistant Professor, Universidad Católica del Maule, UCM.",,1396.0,"['Cardiovascular Basic Science', 'Biochemistry', 'Organic Synthesis', 'Molecular and Cell Biology']"
1.2968600147058256e+19,feMshoAAAAAJ,"Departamento de Psicología, Universidad Católica del Maule",@ucm.cl,1420.0,"['Historia de la Psicología', 'Psicología educacional', 'Bibliometría']"
1.2968600147058256e+19,Th2-4-sAAAAJ,Universidad Católica del Maule,@ucm.cl,1317.0,"['Evolutionary Biology', 'Ecology', 'Entomology', 'Morphometrics', 'Geometric Morphometrics']"
1.2968600147058256e+19,SoZ70swAAAAJ,"Full Professor, Universidad Católica del Maule",@ucm.cl,1307.0,"['Microbial Genomics', 'Microbial Ecology']"
1.2968600147058256e+19,mw-tSeUAAAAJ,Universidad Católica del Maule,@ucm.cl,1230.0,"['Neuropsychology', 'environmental exposures', 'eeg', 'neuroscience']"
1.2968600147058256e+19,sGOz_P4AAAAJ,Universidad Católica del Maule,@ucm.cl,1158.0,['Sustainable Development']
1.2968600147058256e+19,Ykqe_iAAAAAJ,"Académico, Universidad Católica del Maule",@ucm.cl,1122.0,"['Reading motivation', 'Learning from texts', 'Pedagogy in Higher Education', 'Teacher training']"
1.2968600147058256e+19,aZYMfXYAAAAJ,Universidad Católica del Maule,@ucm.cl,1080.0,"['pedagogía dialógica', 'currículum', 'innovación', 'formación docente', 'investigación dialógica-kishu kimkelay ta che']"
1.2968600147058256e+19,7wVH0GYAAAAJ,Universidad Católica del Maule,@ucm.cl,1070.0,[]
6.219877915722793e+18,ot0KdjcAAAAJ,"Instituto de Ciencias Químicas Aplicadas, Facultad de Ingeniería, Universidad Autónoma de Chile",@uautonoma.cl,1092.0,"['Microbiology', 'Conservation', 'Extremophiles', 'Exopolysaccharides', 'Bioinformatics']"
1.2968600147058256e+19,58Z5pQ8AAAAJ,Universidad Católica del Maule,@ucm.cl,1054.0,"['Enfermería', 'Seguridad y Salud en el Trabajo']"
1.2968600147058256e+19,umc3UiAAAAAJ,Profesora full time Universidad Católica del Maule,@ucm.cl,956.0,"['multivariate regression models', 'diagnostic', 'univariate and multivariate Birnbaum-Saunders distributions', 'statistical quality con']"
1.2968600147058256e+19,sG7AvpsAAAAJ,Universidad Católica del Maule,@ucm.cl,999.0,"['Ciencias sociales', 'metodología de la investigación', 'sociología de la ciencia', 'educación superior', 'sociología de la alimenta']"
1.2968600147058256e+19,1b_1DJQAAAAJ,Universidad Católica del Maule,@ucm.cl,950.0,"['Profesión docente', 'formación de profesores', 'didáctica']"
1.2968600147058256e+19,jK4070gAAAAJ,"Professor (Associate), Universidad Católica del Maule, Chile",@ucm.cl,914.0,['Chemistry']
1.2968600147058256e+19,00nrzJ8AAAAJ,Universidad Católica del Maule,@ucm.cl,914.0,"['Physical Activity', 'Erderly', 'Functional Fitness', 'Physical Independence']"
1.2968600147058256e+19,q4atNYgAAAAJ,"Laboratory of Technological Research in Pattern Recognition (LITRP), Universidad Católica del Maule",@ucm.cl,887.0,"['Image Processing', 'Pattern Recognition', 'Biometrics']"
1.2968600147058256e+19,fMr-RFAAAAAJ,"Profesor Adjunto, Universidad Católica del Maule",@ucm.cl,857.0,"['H. pylori', 'cancer', 'anti-glycaciòn']"
1.2968600147058256e+19,ojn8A_4AAAAJ,Universidad Católica del Maule,@ucm.cl,789.0,[]
1.2968600147058256e+19,FTfsRKsAAAAJ,"Associate Professor - School of Civil Engineering - Universidad Católica del Maule (Talca, Chile)",@ucm.cl,713.0,"['Wastewater treatment', 'Constructed wetlands', 'Water Quality Modelling', 'Statistics']"
1.2968600147058256e+19,BtePYlMAAAAJ,Universidad Catolica del Maule,@ucm.cl,645.0,"['Bioinformatics', 'Genomics', 'Microbiology', 'Cancer', 'Diagnosis']"
1.2968600147058256e+19,UEYy-YIAAAAJ,"Doctor en Educación, Magister en Política y Gestión Educacional, Universidad Católica del Maule",@ucm.cl,650.0,"['Formación de profesores', 'práctica profesional', 'reflexión pedagógica']"
1.2968600147058256e+19,keKcSfsAAAAJ,"FACSE, Universidad Católica del Maule",@ucm.cl,634.0,"['sociología política', 'movimientos sociales', 'protestas', 'activismo', 'cultura']"
1.2968600147058256e+19,lDg38rEAAAAJ,Universidad Católica del Maule - Facultad de Ciencias de la Educación - GEEAFyS,@ucm.cl,650.0,"['Actividad Física y Salud', 'Physical Activity and Health', 'Sedentary Behaviour', 'Physical activity', 'Physical education']"
1.2968600147058256e+19,tm-loNIAAAAJ,"Profesor Adjunto, Universidad Catolica del Maule",@ucm.cl,562.0,"['cancer', 'transduccion de senales', 'inflamacion']"
1.2968600147058256e+19,iIp-mKIAAAAJ,Universidad Católica del Maule,@ucm.cl,538.0,"['Microbial ecology', 'Bacteriophages', 'Biotecnology']"
1.2968600147058256e+19,HE59AJcAAAAJ,Universidad Católica del Maule,@ucm.cl,537.0,"['Psycholinguistics', 'Word Learning', 'Cognitive and Educational Neuroscience']"
1.2968600147058256e+19,AwgzNeUAAAAJ,Facultad de Ciencias de la Educación. GEEAFyS. Universidad Católica del Maule.,@ucm.cl,573.0,"['Formación Inicial Docente', 'Educación Ambiental', 'Actividades en la Naturaleza', 'Educación Física Escolar']"
1.2968600147058256e+19,HL15PE4AAAAJ,Universidad Católica del Maule,@ucm.cl,548.0,"['Responsabilidad social', 'Gobierno corporativo', 'Educación', 'Gestión organizacional', 'Sustentabilidad']"
1.2968600147058256e+19,YIlol1QAAAAJ,"Académico Dpto. de Psicología, Universidad Católica del Maule. [ORCID ID: 0000-0002-1698-6949]",@ucm.cl,541.0,"['Drogas', 'Adicciones', 'Psicooncología', 'Adolescencia', 'Gerontología']"
1.2968600147058256e+19,gvVZsegAAAAJ,Universidad Católica del Maule,@ucm.cl,513.0,"['evapotranspiration', 'remote sensing applications', 'irrigation']"
1.2968600147058256e+19,MyFtz2gAAAAJ,Universidad Católica del Maule,@ucm.cl,530.0,['polymer']
1.2968600147058256e+19,3fc9RAIAAAAJ,Universidad Católica del Maule,@ucm.cl,513.0,"['familias rurales', 'investigación cualitativa', 'masculinidades']"
1.2968600147058256e+19,YQquucEAAAAJ,Universidad Católica del Maule,@ucm.cl,517.0,"['Motivation', 'Teacher training', 'schools and families']"
1.2968600147058256e+19,-rVs6k8AAAAJ,Universidad Catolica del Maule,@ucm.cl,504.0,['Cancer']
1.2968600147058256e+19,jQjjkxEAAAAJ,Universidad Católica del Maule,@ucm.cl,520.0,"['Actividad Física', 'desarrollo motor', 'rendimiento motor']"
1.2968600147058256e+19,8uNTqnAAAAAJ,Universidad Católica del Maule (Director of DM2A-UCM),@ucm.cl,513.0,"['Impulsive Differential Equations', 'Mathematical Biology']"
