organization,scholar_id,affiliation,email_domain,citedby,interests
3.70257665730835e+18,burjvaoAAAAJ,"Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física Aplicadas",@ucsc.cl,3889.0,"Exoplanets, Stellar activity, radial velocities, M dwarfs"
3.70257665730835e+18,sDm6OpcAAAAJ,"Departamento de Química Ambiental, UCSC",@ucsc.cl,3006.0,Química
3.70257665730835e+18,1nTAQfsAAAAJ,"Departamento de Ecología, Facultad de Ciencias, Universidad Católica de la Santísima Concepción",@ucsc.cl,2982.0,"Marine Biology, Ecology, Biogeography, Ecoacoustics, Bioacoustics"
3.70257665730835e+18,WkGN7u4AAAAJ,Universidad Católica de la Santísima Concepción,@ucsc.cl,2855.0,"Nutrición y Dietética, Conductas alimentarias durante el curso de la vida, Nutrición gerontológica"
3.70257665730835e+18,uQ16sMcAAAAJ,Universidad Catolica de la Santisima Concepción,@ucsc.cl,2783.0,electronica de potencia
3.70257665730835e+18,Z-t7kV4AAAAJ,"Facultad de Ciencias, Universidad Católica de la Santísima Concepción",@ucsc.cl,2666.0,Ecología del parasitismo
3.70257665730835e+18,auyTL1YAAAAJ,"Departmento de Ecologia, Facultad de Ciencias, Universidad Catolica de la Santisima Concepcion",@ucsc.cl,2647.0,"Marine ecology, Biogeography"
3.70257665730835e+18,SaoUt94AAAAJ,Departamento de Ecología Universidad Católica de la Santísima Concepción,@ucsc.cl,2356.0,"Bryozoology, ecophysiology, reproductive ecology"
3.70257665730835e+18,pTVqu9oAAAAJ,Universidad Catolica de la Santisima Concepcion,@ucsc.cl,1826.0,"Biogeochemistry, (paleo) environmental studies"
3.70257665730835e+18,m4jvShcAAAAJ,"Facultad de Ciencias, Universidad Católica de la Santísima Concepción",@ucsc.cl,1689.0,"Hydrology, Landscape Ecology, Conservation, Aquaculture"
3.70257665730835e+18,OGIPogoAAAAJ,"Profesor de Química Orgánica, Universidad Católica de la Santísima Concepción",@ucsc.cl,1347.0,"Advanced Oxidation processes, photocatalysis, persulfate, Dyes, biorremediation"
3.70257665730835e+18,B0uM4ygAAAAJ,Universidad Católica de la Santísima Concepción,@ucsc.cl,1311.0,Soil and Groundwater contamination
3.70257665730835e+18,YXOQkJMAAAAJ,Universidad Católica de la Santísima Concepción,@ucsc.cl,1201.0,"High Energy Physics, Supergravity, Lie algebras expansion, Black Holes solutions"
3.70257665730835e+18,aMXsCrUAAAAJ,"Universidad Católica de la Santísima Concepción, Chile.",@ucsc.cl,1244.0,Educación
3.70257665730835e+18,iFZFi38AAAAJ,Universidad Católica de la Santísima Concepción,@ucsc.cl,1166.0,"High Energy Physics, Supergravity, Black Hole Solutions, Asymptotic symmetries, Extended gravity theories"
3.70257665730835e+18,NCXvKt8AAAAJ,Universidad Católica de la Santisima Concepción,@ucsc.cl,1098.0,"Microbiology, Biotechnology, Bioprocess"
3.70257665730835e+18,vWcHDZwAAAAJ,Universidad Católica de la Santísima Concepción,@ucsc.cl,1067.0,"Marine Bioinvasions, Marine Ecology, Molecular Ecology"
3.70257665730835e+18,9OTmJegAAAAJ,Universidad Católica de la Santísima Concepción,@ucsc.cl,884.0,"soil mechanics, geotechnics"
3.70257665730835e+18,d2i5DA8AAAAJ,Universidad Católica de la Santísima Concepción,@ucsc.cl,903.0,"International Entrepreneurship, Entrepreneurship, International Business, Strategic Organization"
3.70257665730835e+18,4ibKCNwAAAAJ,"Departamento de Ecología, Facultad de Ciencias, Universidad Católica de la Santísima Concepción",@ucsc.cl,850.0,"Marine biology, Evolutionary biology, Seaweeds, Speciation"
3.70257665730835e+18,7zJNXH8AAAAJ,Dr. en Lingüística. Universidad Católica de la Santísima Concepción. Chile,@ucsc.cl,826.0,"Escritura, escritura académica, alfabetización académica, fonética"
3.70257665730835e+18,T_ut8sAAAAAJ,"Facultad de Ciencias, Universidad Católica de la Santísima Concepción",@ucsc.cl,796.0,Phycology
3.70257665730835e+18,UUTBTGsAAAAJ,"Jefe Magíster en Ciencias Biomédicas, Universidad Católica de la Santísima Concepción",@ucsc.cl,789.0,"bioquímica, genética, nutrición"
3.70257665730835e+18,_ZXZKREAAAAJ,Universidad Católica de la Santísima Concepción - Depto. de Ing. Eléctrica - Profesor Asistente,@ucsc.cl,768.0,Power Electronics - Multilevel Converters - THD minimization - FCS MPC - Asymmetric Inverters
3.70257665730835e+18,sDydeeIAAAAJ,Universidad Católica de la Santísima Concepción,@ucsc.cl,722.0,"Psicolingüística, aprendizaje lectoescritura, escritura académica, lenguaje y vejez"
3.70257665730835e+18,shtOAtYAAAAJ,"Assistant Profesor of Computer Science, Universidad Católica de la Santísima Concepción",@ucsc.cl,676.0,"Machine learning, Engineering education"
3.70257665730835e+18,gdMo6ooAAAAJ,Universidad Católica de la Santísima Concepción,@ucsc.cl,673.0,"Socioemotional Competencies, Self-regulation of learning, Teacher self-regulation, Educational Technology"
3.70257665730835e+18,Y7eCcV8AAAAJ,Universidad Católica de la Santísima Concepción,@ucsc.cl,651.0,"Experimental quantum information, Electro-optical devices applied in optical communications."
3.70257665730835e+18,qEjTpH8AAAAJ,Universidad Católica de la Santísima Concepción,@ucsc.cl,538.0,"Tsunami, Numerical modelling, earthquakes, subduction zones"
3.70257665730835e+18,l9FrQOgAAAAJ,Universidad Católica de la Santísima Concepción,@ucsc.cl,527.0,"psicologia de la salud, burnout, envejecimiento, relaciones intergeneracionales"
3.70257665730835e+18,YMFen_EAAAAJ,Universidad Católica de la Santísima Concepción,@ucsc.cl,518.0,"capital structure, corporate governance"
3.70257665730835e+18,x5EJXkIAAAAJ,"Facultad de Ingenieria, Universidad Católica de la Santísima Concepción",@ucsc.cl,498.0,"Metal Chalcogenides, Nanocomposites, Polymers, Photocatalysis, Electrochemical Applications"
3.70257665730835e+18,ItO1qyUAAAAJ,Universidad Católica de la Santísima Concepción,@ucsc.cl,484.0,"lingüística, análisis del discurso, educación, gramática"
3.70257665730835e+18,v5pJAQ4AAAAJ,Universidad Católica de la Santísima Concepción,@ucsc.cl,474.0,"leadership, professional learning communities, mathematics learning"
3.70257665730835e+18,OgaSP0IAAAAJ,Universidad Catolica de la Santisima Concepcion,@ucsc.cl,452.0,"Ecological genomics, evolutionary physiology, adaptation, phylogenetics and conservation biology"
3.70257665730835e+18,BLViJtgAAAAJ,"Profesor Ingeniería Civil, Universidad Católica de la Santísima Concepción",@ucsc.cl,453.0,"Hidráulica Fluvial, Transporte de Sólidos y Sustancias, Geomorfología Fluvial"
3.70257665730835e+18,b8wHLzwAAAAJ,UNIVERSIDAD CATOLICA DE LA SANTISIMA CONCEPCION,@UCSC.CL,440.0,ADQUISICION DE SEGUNDAS LENGUAS
3.70257665730835e+18,y4Y9o6sAAAAJ,Universidad Católica de la Ssma. Concepción (UCSC),@ucsc.cl,468.0,"Ecology, Parasitology, Infectious diseases, Zoonoses"
