organization,scholar_id,affiliation,email_domain,citedby,interests
1.2740943834737828e+19,eCcV9LAAAAAJ,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",@alu.uct.cl,11026.0,Derecho Público (Constitucional y Penal)
1.2740943834737828e+19,jajFVW8AAAAJ,"Profesor Asistente, Universidad Catolica de Temuco",@uct.cl,1868.0,"Ecología acuática, crustáceos / Aquatic Ecology, crustaceans"
1.2740943834737828e+19,ki2cCE8AAAAJ,"Profesor Titular, Laboratorio de Planificación Territorial. Universidad Católica de Temuco",@uct.cl,1882.0,"geografía física, planificación territorial, educación geográfica"
1.2740943834737828e+19,yxXZP4QAAAAJ,"Universidad Católica de Temuco (UCT), Temuco, Chile",@uct.cl,1764.0,"General Relativity, Spacetime symmetries, Black hole physics"
1.2740943834737828e+19,5zReziUAAAAJ,Universidad Católica de Temuco,@uct.cl,1677.0,"global climate change, global warming, antarctic plants, moss, lichens"
1.2740943834737828e+19,XZBjhB4AAAAJ,Universidad Católica de Temuco,@uct.cl,1541.0,"Educación, interculturalidad, saberes indígenas, investigación en educación"
1.2740943834737828e+19,qX4Yub8AAAAJ,Universidad Católica de Temuco,@uct.cl,1494.0,Aquaculture
1.2740943834737828e+19,QoYrIekAAAAJ,Universidad Católica de Temuco,@uct.cl,1364.0,"Neuromecánica, Educación del Movimiento"
1.2740943834737828e+19,FPIiSGsAAAAJ,Universidad Católica de Temuco,@uct.cl,1231.0,"Teoría Fundamentada, Socio-fenomenología, Metodología Cualitativa, Profesores principiantes, vida cotidiana"
1.2740943834737828e+19,jdiLkBsAAAAJ,"Precision Health Research Laboratory, Departamento de Procesos Diagnósticos y Evaluación, Facultad Ciencias de la Salud, Universidad Católica de Temuco",@uct.cl,972.0,"epigenetics, oncology"
1.2740943834737828e+19,A3LFev0AAAAJ,Profesor Asistente. Universidad Católica de Temuco,@uct.cl,937.0,"Soil, Compost, Agroecosystem Sustainability, Mycorrhiza, Biochar"
