organization,scholar_id,affiliation,email_domain,citedby,interests
1.2216913016116922e+19,jyT8VE4AAAAJ,Universidad Diego Portales,@mail.udp.cl,25683.0,Astronomy
1.2216913016116922e+19,TX3te0QAAAAJ,"Professor,  Sociology of Education. UNESCO Chair, Universidad Diego Portales, Chile",@mail.udp.cl,21590.0,"Higher education, Political economy of education, Policy and cultural analysis"
1.2216913016116922e+19,7Uy51X4AAAAJ,assistant professor Nucleo Astronomia Universidad Diego Portales,@mail.udp.cl,14680.0,stellar and Galactic astrophysics
1.2216913016116922e+19,4iRjwbMAAAAJ,"Professor, Universidad Diego Portales",@udp.cl,14054.0,"comparative politics, populism, democracy"
1.2216913016116922e+19,4tuv9ZUAAAAJ,Universidad Diego Portales,@mail.udp.cl,14063.0,"Galaxy evolution, Interstellar medium, high redshift galaxies and data science"
1.2216913016116922e+19,cn9uqN4AAAAJ,"Professor of Astrophysics, Universidad Diego Portales",@mail.udp.cl,11531.0,"Galaxy formation, Galaxy evolution, Submillimeter galaxies, ISM of galaxies"
1.2216913016116922e+19,TW5VlFsAAAAJ,Universidad Diego Portales,@mail.udp.cl,11189.0,"Active Galactic Nuclei, Galaxy Evolution"
1.2216913016116922e+19,Dt6e_E0AAAAJ,Emeritus professor University Diego Portales and Clinica las Condes,@udp.cl,9944.0,reproductive medicine
1.2216913016116922e+19,n4SKkSAAAAAJ,Universidad Diego Portales,@mail.udp.cl,8567.0,Astronomy
1.2216913016116922e+19,f9Oj5nUAAAAJ,Universidad Diego Portales,@mail.udp.cl,7703.0,Exoplanets
1.2216913016116922e+19,9b8DoS8AAAAJ,"Professor, Universidad Diego Portales",@udp.cl,5965.0,"Educational policies, curriculum, teacher education, citizenship education"
1.2216913016116922e+19,eS_SYGMAAAAJ,Universidad Diego Portales,@udp.cl,3855.0,
1.2216913016116922e+19,cbdbtM0AAAAJ,Universidad Diego Portales,@udp.cl,3096.0,"Organizational behavior, organization studies, cross-cultural management"
1.2216913016116922e+19,C6i7344AAAAJ,Universidad Diego Portales,@mail.udp.cl,2697.0,"Political field, public intellectuals, political competence, political elites, politics of memory"
1.2216913016116922e+19,XrZEaYcAAAAJ,profesor universidad diego portales Chile,@udp.cl,2718.0,"liderazgo directivo, politica docente, mejora escolar"
1.2216913016116922e+19,AaCvn7oAAAAJ,The Astronomy Nucleus at Universidad Diego Portales,@mail.udp.cl,2631.0,"Solar system, planet formation, extreme AO, spectroscopy and Astrobiology"
1.2216913016116922e+19,rC7E0W8AAAAJ,"Professor, Faculty of Education, Diego Portales University",@mail.udp.cl,2559.0,"Política Educacional, Liderazgo Escolar, Mejoramiento Educativo"
1.2216913016116922e+19,NZXPbcsAAAAJ,Universidad Diego Portales,@udp.cl,2378.0,"Brain development, Brain Evolution, Neurogenomics, Neuropathology"
1.2216913016116922e+19,vcD3QfwAAAAJ,Universidad Diego Portales,@udp.cl,2302.0,"Logistics, Transportation, Operations Research, Econometrics"
1.2216913016116922e+19,DmWRYnEAAAAJ,"Professor, Medical Faculty Universidad de Chile, Universidad Diego Portales",@mail.udp.cl,2270.0,Psychiatry
1.2216913016116922e+19,9JegVHcAAAAJ,Universidad Diego Portales,@mail.udp.cl,2174.0,Galaxy evolution
1.2216913016116922e+19,DIwDzUYAAAAJ,"Facultad de Psicología, Universidad Diego Portales",@mail.udp.cl,2026.0,
1.2216913016116922e+19,ckIjzZQAAAAJ,Universidad Diego Portales,@udp.cl,1979.0,"reforma constitucional, sistemas políticos, democracia, América Latina, Chile"
1.2216913016116922e+19,0dJbD08AAAAJ,Universidad Diego Portales,@mail.udp.cl,1964.0,"Justicia penal, proceso penal, policía"
1.2216913016116922e+19,JD_X4KYAAAAJ,Universidad Diego Portales,@mail.udp.cl,1860.0,"Political Science, Comparative Politics, Latin America, Partisanship"
1.2216913016116922e+19,Ka7pywsAAAAJ,universidad diego portales,@udp.cl,1680.0,
1.2216913016116922e+19,r0EzJ_IAAAAJ,"Professor of Law, Universidad Diego Portales",@udp.cl,1681.0,Law
1.2216913016116922e+19,rFUqIdsAAAAJ,"PROFESOR, FACULTAD DE PSICOLOGIA, UNIVERSIDAD DIEGO PORTALES",@udp.cl,1600.0,
1.2216913016116922e+19,n0UQqa4AAAAJ,"Escuela de Ciencia Política, Universidad Diego Portales",@mail.udp.cl,1450.0,"Economía política comparada, Economía política internacional, Desarrollo"
1.2216913016116922e+19,Wbg5yB8AAAAJ,universidad diego portales,@udp.cl,1355.0,"derecho civil, responsabilidad civil, contratos"
1.2216913016116922e+19,4L5fnNEAAAAJ,Universidad Diego Portales,@udp.cl,1299.0,"Political psychology, Social justice, Legitimacy, Intergroup violence, Punitive attitudes"
1.2216913016116922e+19,CAH7H-gAAAAJ,"Prof. of Law, Universidad Diego Portales",@udp.cl,1276.0,"gender, discrimination, violence against women, reproductive rights, administration of justice"
1.2216913016116922e+19,mR_wPscAAAAJ,Universidad Diego Portales,@udp.cl,1266.0,Technology and Education
1.2216913016116922e+19,W8YUEHsAAAAJ,"Universidad Diego Portales, Facultad de Medicina.",@mail.udp.cl,1206.0,Medicina Interna
1.2216913016116922e+19,TU-aWkAAAAAJ,"Full Professor, Universidad Diego Portales. Research director, Faculty of Psychology, UDP",@udp.cl,1327.0,"public health, work psychology, occupational health, mental health"
1.2216913016116922e+19,PL1YL-MAAAAJ,"Professor / Researcher, Universidad Diego Portales",@mail.udp.cl,1175.0,"wireless, internet of things, content-centric networking, experimental networks"
1.2216913016116922e+19,zfQU0XsAAAAJ,Universidad Diego Portales,@mail.udp.cl,1194.0,
1.2216913016116922e+19,pyyrrFMAAAAJ,Universidad Diego Portales,@udp.cl,1124.0,"Psychometrics, Structural Equation Modeling, Item Response Theory, Rasch, Latent Class Analysis"
1.2216913016116922e+19,7EB5IpEAAAAJ,"Instituto de Ciencias Básicas, Facultad de Ingeniería y Ciencias, Universidad Diego Portales",@udp.cl,1118.0,"conic programming, convex optimization, proximal algorithms, machine learning"
1.2216913016116922e+19,B7eRj7QAAAAJ,Universidad Diego Portales,@udp.cl,1085.0,Efficiency
1.2216913016116922e+19,FpyJ96kAAAAJ,"Escuela de Sociologia, Universidad Diego Portales",@udp.cl,1064.0,"Economic Sociology, Science and Technology Studies, Sustainable transitions, Valuation Studies, Social Theory"
1.2216913016116922e+19,4gWQ5SQAAAAJ,Académico udp,@udp.cl,1064.0,"Reformas procesales, litigación oral, prueba"
1.2216913016116922e+19,376TFmAAAAAJ,Universidad Diego Portales,@udp.cl,1037.0,Transportation
1.2216913016116922e+19,AIXsHd0AAAAJ,"Facultad de Psicología, Universidad Diego Portales",@udp.cl,977.0,"Cognitive neuroscience, Behavior, Context, (neuro)biology, Sensory systems"
1.2216913016116922e+19,XDt5RDsAAAAJ,"Profesor de Derecho, Universidad Diego Portales",@udp.cl,866.0,derecho
1.2216913016116922e+19,gkHNPiwAAAAJ,Universidad Diego Portales,@mail.udp.cl,854.0,"Political Science, Comparative Politics, Social Policy, Political Economy, Latin America"
1.2216913016116922e+19,95eKPlwAAAAJ,Universidad Diego Portales,@mail.udp.cl,853.0,
