organization,scholar_id,affiliation,email_domain,citedby,interests
13908003347799972066,FA5F3xEAAAAJ,"Profesor de Medicina, Universidad de La Frontera",@ufrontera.cl,53870.0,Cardiologia
13908003347799972066,MTnStAsAAAAJ,Universidad de La Frontera,@ufrontera.cl,13171.0,"Estudios poblacionales, desigualdades en salud, metodologia de investigacion, medicion en salud"
13908003347799972066,nLlEb78AAAAJ,Universidad de La Frontera,@ufrontera.cl,11540.0,"Suicidio, Revisiones Sistemáticas de la Literatura, Estadística, Metodología de investigación"
13908003347799972066,cD9YELgAAAAJ,Universidad de La Frontera,@ufrontera.cl,8919.0,"Exercise, Cardiovascuar Conditions, Rehabilitation"
13908003347799972066,gvhbe4UAAAAJ,"Department of Chemical Engineering, Universidad de La Frontera",@ufrontera.cl,5810.0,environmental biotechnology
13908003347799972066,3VcPRHYAAAAJ,"profesor de Ciencias Ambientales, Universidad de La Frontera",@ufrontera.cl,5835.0,biotecnologia ambiental
13908003347799972066,jpCBuDAAAAAJ,Universidad de La Frontera,@ufrontera.cl,5591.0,"mycorrhiza, soil phosphorous, glomalin"
13908003347799972066,mb_L_nwAAAAJ,"Scientific and Technological Bioresource Nucleus (BIOREN), Universidad de La Frontera, Temuco, Chile",@ufrontera.cl,5358.0,Microbiology and Biotechnology
13908003347799972066,lo7-Fg4AAAAJ,Universidad de La Frontera,@ufrontera.cl,5202.0,"Biologia de la reproduccion, Andrologia, Medicina reproductiva"
13908003347799972066,_78z9VoAAAAJ,"Universidad de La Frontera, Temuco, Chile",@ufrontera.cl,4260.0,"Bioquímica Clínica, Biología Molecular, Farmacogenética, Epigenética, Cardiología"
13908003347799972066,4SUUMGIAAAAJ,"Universidad de La Frontera, Temuco, Chile",@ufrontera.cl,4233.0,"Electric power conversion, digital control, microgrids, renewable energy systems"
13908003347799972066,OGP1JM4AAAAJ,Universidad de La Frontera,@ufrontera.cl,4151.0,"gallbladder cancer, cervix cancer, immunopathology"
13908003347799972066,PjFVYMMAAAAJ,"Associated professor, Universidad de La Frontera",@ufrontera.cl,3978.0,"Cancer Biology, Proteomics, Molecular Biology"
13908003347799972066,Ao4ApqMAAAAJ,Universidad de La Frontera,@ufrontera.cl,3852.0,"Maxillofacial Surgery, Craniofacial Surgery, Facial Plastic Surgery, Reconstructive & Implant Surgery, Clinical & Experimental R"
13908003347799972066,mBdG3iEAAAAJ,Universidad de La Frontera,@ufrontera.cl,3886.0,Physical activity
13908003347799972066,_ERGBOEAAAAJ,Universidad de La Frontera,@ufrontera.cl,3750.0,Plant Science
13908003347799972066,lP-2PEwAAAAJ,"Depto. de Psicología, Universidad de La Frontera",@ufrontera.cl,3749.0,
13908003347799972066,Mu8ov2oAAAAJ,Universidad de La Frontera,@ufrontera.cl,3652.0,"Morfología, Odontología, Fisiología, Anatomía."
13908003347799972066,OjoSgUYAAAAJ,"Profesor, Departamento de Ciencias Químicas y Recursos Naturales, Universidad de La Frontera",@ufrontera.cl,3637.0,"Fisiología, Bioquímica y Biología Molecular de plantas"
13908003347799972066,mxS6RWIAAAAJ,Universidad de La Frontera,@ufrontera.cl,3606.0,"Satisfacción con la alimentación, bienestar subjetivo, marketing agroalimentario"
13908003347799972066,tG2mCyMAAAAJ,"Professor of Chemistry, Universidad de La Frontera",@ufrontera.cl,3476.0,"New biomarkers for the fungal chemotaxonomy, Fungi and climate changing, New techniques for fungal long-term preservation"
13908003347799972066,D1ups5sAAAAJ,"Universidad de La Frontera, Chile",@ufrontera.cl,3292.0,"hydrology, hydrological modelling, R, global optimization, Particle Swarm Optimization (PSO)"
13908003347799972066,xLD89i4AAAAJ,Universidad de La Frontera,@ufrontera.cl,3087.0,Biomedicine & Biotechnology
13908003347799972066,lJUDBS4AAAAJ,Universidad de La Frontera,@ufrontera.cl,3028.0,"bioremediacion, biotecnologia, nanotecnologia"
13908003347799972066,pUCxvRcAAAAJ,UNIVERSIDAD DE LA FRONTERA,@ufrontera.cl,3009.0,Biochemistry &  Biotechnology
13908003347799972066,A7iMKC4AAAAJ,Universidad de La Frontera,@ufrontera.cl,2833.0,Morfología
13908003347799972066,tgRD_30AAAAJ,Universidad de La Frontera (UFRO,@ufro.cl,2992.0,"Discurso, comunicación, interculturalidad, educación"
13908003347799972066,xzIQPmEAAAAJ,Universidad de La Frontera,@ufrontera.cl,2712.0,
13908003347799972066,uCibJwIAAAAJ,Universidad de La Frontera,@ufrontera.cl,2237.0,
13908003347799972066,h4Tg7eQAAAAJ,Universidad de La Frontera,@ufrontera.cl,2207.0,Soil Science
13908003347799972066,iVTNRjEAAAAJ,Investigadora. Universidad de La Frontera,@ufrontera.cl,2183.0,"Psicologia Economica, comportamiento del consumidor"
13908003347799972066,vrYqLzcAAAAJ,"Profesor Titular, Universidad de La Frontera",@ufrontera.cl,2155.0,"Psicología de la personalidad, psicometría, cultura, adolescencia, adultez emergente"
13908003347799972066,ak0cZtYAAAAJ,Universidad de La Frontera,@ufrontera.cl,2138.0,
13908003347799972066,QyCzrYcAAAAJ,"Profesor Asistente, Universidad de La Frontera",@ufrontera.cl,1974.0,waste management and bioenergy
