organization,scholar_id,affiliation,email_domain,citedby,interests
1.3824009975929506e+19,pwL_3ukAAAAJ,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,15934.0,"['Seaweed Ecology and Aquaculture', 'Sustainable Aquaculture', 'Integrated Multi-Trophic Aquaculture']"
1.3824009975929506e+19,SV8GS1QAAAAJ,Universidad de Los Lagos,@ulagos.cl,4377.0,"['Systemic inflammation', 'Air pollution']"
1.3824009975929506e+19,a2kIjrIAAAAJ,"Profesor Titular, Departamento de Ciencias Biológicas y Biodiversidad, Universidad de Los Lagos",@ulagos.cl,3981.0,"['Conservación biológica', 'mutualismos planta-animal', 'especies invasoras', 'restauración ecológica']"
1.3824009975929506e+19,by9GKEUAAAAJ,Universidad de Los Lagos,@ulagos.cl,2511.0,"['Formación de Profesores', 'Conocimiento del Profesor', 'Didáctica de la Matemática', 'Mathematics Education', 'Educación Matemática']"
1.3824009975929506e+19,s-fafYQAAAAJ,"Centro i~mar, Universidad de Los Lagos",@ulagos.cl,1353.0,['Ecología de poblaciones marinas']
1.3824009975929506e+19,dEi_qTEAAAAJ,Universidad de Los Lagos,@ulagos.cl,1353.0,['Salud y bienestar colectivo']
1.3824009975929506e+19,z56ghZoAAAAJ,Centro I-mar. Universidad de Lagos. Chile,@ulagos.cl,1266.0,"['population biology', 'marine larval ecology', 'marine invertebrate']"
1.3824009975929506e+19,0V_ugkQAAAAJ,"Researcher, Centro i-mar, Universidad de Los Lagos",@ulagos.cl,1278.0,['Phycology']
1.3824009975929506e+19,hmfvWy4AAAAJ,"Profesor Asociado A, Universidad de Los Lagos",@ulagos.cl,1185.0,"['Fisiopatología cardio-respiratoria inducida por material particulado fino', 'Control neural de la inflamación sistémica.']"
1.3824009975929506e+19,w66UkX8AAAAJ,Universidad de Los Lagos,@ulagos.cl,1031.0,"['Antropologia del territorio', 'imaginarios territoriales', 'interdisciplina y complejidad social']"
1.3824009975929506e+19,X-63wtoAAAAJ,Centro i-mar Universidad de Los Lagos,@ulagos.cl,945.0,"['Marine Biology', 'ecophysiology', 'invertebrate-alga interaction']"
1.3824009975929506e+19,jao2s_kAAAAJ,Universidad de Los Lagos,@ulagos.cl,892.0,[]
1.3824009975929506e+19,kJF231MAAAAJ,"Departamento de Ciencias de la Actividad Física, Universidad de los Lagos",@ulagos.cl,837.0,"['Educación', 'Educación Física', 'Deporte']"
1.3824009975929506e+19,ZVuz94cAAAAJ,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,821.0,['Interacción océano-atmósfera y procesos de mezcla']
1.3824009975929506e+19,24VmCxwAAAAJ,"centro i-mar, Universidad de Los Lagos",@ulagos.cl,802.0,"['kelps', 'climate change', 'physiology', 'ecology', 'ocean acidification']"
1.3824009975929506e+19,YKIeBOEAAAAJ,Universidad de los Lagos,@ulagos.cl,785.0,[]
