organization,scholar_id,affiliation,email_domain,citedby,interests
1.3542589241086358e+19,-VDn0i0AAAAJ,Universidad Andres Bello,@unab.cl,11808.0,"Theoretical Chemistry, Chemical Reactivity"
1.3542589241086358e+19,3MtGn3gAAAAJ,"Professor and Director, Institute of Biomedical Sciences, Universidad Andres Bello",@unab.cl,10350.0,Epigenetic mechanisms that control gene expression
1.3542589241086358e+19,XaLPe8sAAAAJ,"Profesor Titular, Universidad de Chile y Universidad Andrés Bello. Decano Fac. de Medicina UNAB",@unab.cl,7993.0,"Cirugía General, Cirugia Digestiva, Bioética, Historia de la Medicina"
1.3542589241086358e+19,1ecYhzgAAAAJ,Universidad Andrés Bello,@unab.cl,7057.0,"Hypothyroxinemia, iodide, pregnancy fetal programming inflammatory diseases"
1.3542589241086358e+19,AJxlqR4AAAAJ,"Universidad Andres Bello, Chile",@unab.cl,6671.0,"Plant Biology, Cell Biology, Genomics, Proteomics"
1.3542589241086358e+19,ShntkWcAAAAJ,"Full Professor, Institute of Biomedical Sciences, Universidad Andres Bello",@unab.cl,5889.0,"Mitochondria, Stem Cells, Cancer, Hematopoiesis, Aging"
1.3542589241086358e+19,caX2l48AAAAJ,"Full Professor, Universidad Andres Bello",@unab.cl,5462.0,"Wnt/beta-catenin signaling, Alzheimer's disease, autism spectrum disorders, cancer, genetics and genomics"
1.3542589241086358e+19,ETVUJOgAAAAJ,Director. Center for Theoretical & Computational Chemistry.  Universidad Andres Bello,@unab.cl,5249.0,"Chemical Reactivity, Density Functional Theory, Spin polarized"
1.3542589241086358e+19,Vx7kPp8AAAAJ,Universidad Andres Bello,@unab.cl,5088.0,"Actividad fisica, Ejercicio físico, Insulino Resistencia, Diabetes tipo 2, Hipertensión"
1.3542589241086358e+19,QOn-wRYAAAAJ,Universidad Andres Bello,@unab.cl,4750.0,astronomonia extragalactica
1.3542589241086358e+19,zywiL_EAAAAJ,Universidad Andres Bello,@unab.cl,4579.0,"skeletal muscle, atrophy, angiotensin 1-7, TGF-beta, angiotensin II"
1.3542589241086358e+19,tS-sZCcAAAAJ,Universidad Andres Bello,@unab.cl,4375.0,"Inflammation, Sepsis, Vascular endothelial function, Diagnosis, ICU"
1.3542589241086358e+19,eiUxwsMAAAAJ,Universidad Andres Bello; Professor of Applied Linguistics,@unab.cl,4168.0,"Applied Linguistics, Second Language Acquisition, Classroom research, Research-practice relationship"
