organization,scholar_id,affiliation,email_domain,citedby,interests
6.054375637391436e+17,vjUabgsAAAAJ,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",@usach.cl,14404.0,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors"
6.054375637391436e+17,40JhpwoAAAAJ,"Assistant Professor, Universidad de Santiago de Chile",@usach.cl,10029.0,"Autophagy, primary cilium, insulin signaling, obesity, high-fat diet"
6.054375637391436e+17,8fuNPLIAAAAJ,Departamento de Física Universidad de Santiago,@usach.cl,6363.0,soft matter
6.054375637391436e+17,OLE-0rQAAAAJ,Universidad de Santiago de Chile,@usach.cl,6078.0,"Pulsar astronomy, Space physics"
6.054375637391436e+17,3Sgir38AAAAJ,Universidad de Santiago de Chile,@usach.cl,5501.0,"Theoretical Physics, Mathematical Physics, Symmetries"
6.054375637391436e+17,Ou8EPYUAAAAJ,Universidad de Santiago de Chile,@usach.cl,5469.0,Food Packaging and Technology
6.054375637391436e+17,j_0nksgAAAAJ,"Department of Physics, University of Santiago, Chile (https://fisica.usach.cl/es)",@usach.cl,4821.0,"Synthesis of nanomaterials, Graphene based supercapacitors and  solar cells, Nanotribology, Nanomedicine, Nano-optics"
6.054375637391436e+17,Kh9TTGwAAAAJ,Universidad de Santiago de Chile,@usach.cl,4755.0,"crime, latin america"
6.054375637391436e+17,RaXFT1e0ut8C,Universidad de Santiago de Chile,@usach.cl,4244.0,"astrophysics, planet formation, hydrodynamics, planet-disk interactions, art-science"
6.054375637391436e+17,skoAD_MAAAAJ,"Académico Departamento de Educación y Director de CIIET, Universidad de Santiago de Chile",@usach.cl,4261.0,"e-learning, competencias digitales, Tutoría Online, Diseño Instruccional Online, Competencia Digital Docente"
6.054375637391436e+17,ELMWDxoAAAAJ,"Departamento de Matemática y Ciencia de la Computación, Universidad de Santiago de Chile",@usach.cl,4044.0,"Evolution Equations, Functional Analysis, Fractional calculus, Integro-differential equations, Operator theory"
6.054375637391436e+17,SdFaw84AAAAJ,Universidad de Santiago de Chile,@usach.cl,3953.0,Physicochemical and electrochemical properties of solid materials
