organization,scholar_id,affiliation,email_domain,citedby,interests
6030355530770144394,TcfgAAMAAAAJ,Universidad de La Serena,@userena.cl,11160.0,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy"
6030355530770144394,FcH8Zc8AAAAJ,Universidad de La Serena - Departamento de Astronomía,@userena.cl,11114.0,"Massive stars, Interstellar medium, Optical, NIR, Radio"
6030355530770144394,tuNjt5gAAAAJ,"Universidad de La Serena, Astronomy Department",@userena.cl,9384.0,"Observational Astrophysics, Extragalactic Astronomy, Galaxy Formation and Evolution, Star-forming Galaxies"
6030355530770144394,R9ntLLQAAAAJ,"Professor, Universidad de La Serena, Chile",@userena.cl,8346.0,Ecology and Evolution
6030355530770144394,f4KcEYUAAAAJ,"Astronomer, Universidad de La Serena",@userena.cl,7813.0,"Astronomy, Astrophysics, Massive Stars, Binary Stars, Star Formation"
6030355530770144394,EjvA3x4AAAAJ,Universidad de La Serena,@userena.cl,7350.0,Ecología
6030355530770144394,hvNiAtUAAAAJ,"Profesor Titular, Universidad de La Serena",@userena.cl,6982.0,Ecología
6030355530770144394,roYuRGEAAAAJ,"Universidad de La Serena, La Serena, Chile.",@userena.cl,3887.0,particle physics phenomenology.
6030355530770144394,J7Ofmm8AAAAJ,Universidad de La Serena,@userena.cl,3617.0,Astronomia experimental. Astronomia observacional.
6030355530770144394,gHRqRewAAAAJ,"Academico Media Jornada, Depto de Biología Facultad de Ciencias Universidad de la Serena",@userena.cl,1628.0,"microbiologia clínica, educación en ciencias de la salud, epidemiología, inmunología"
6030355530770144394,jkKcGz8AAAAJ,Profesora Titular Universidad de La Serena/ CEAZA,@userena.cl,1168.0,"Vulnerabilidad y medio ambiente, Psicopatologia Infantil"
6030355530770144394,ehdqIeEAAAAJ,University of La Serena. Chile,@userena.cl,1125.0,Proteomics
6030355530770144394,9iSmyOwAAAAJ,Universidad de La Serena,@userena.cl,1102.0,"Molecular genetics, microbiology"
6030355530770144394,-AjeGuUAAAAJ,"Departamento de Psicología, Universidad de La Serena, Chile",@userena.cl,926.0,
6030355530770144394,onjLq9AAAAAJ,"Departamento de Ingeniería Industrial, Universidad de La Serena",@userena.cl,935.0,"Augmented Reality, Education, Engineering"
6030355530770144394,RGd3tLUAAAAJ,"Professor of Biology, Universidad de La Serena",@userena.cl,856.0,"Landscape ecology, landscape genetics"
6030355530770144394,ugk4QKQAAAAJ,Universidad de La Serena,@userena.cl,792.0,Historia Cultural
