organization,scholar_id,affiliation,email_domain,citedby,interests
9.225498103198054e+18,16OlurgAAAAJ,Universidad Técnica Federico Santa Maria,@usm.cl,214904.0,['High Energy and Nuclear Physics']
9.225498103198054e+18,v_0SXv4AAAAJ,Universidad Técnica Federico Santa María,@usm.cl,176086.0,"['artificial intelligence', 'machine learning', 'computer vision', 'image processing']"
9.225498103198054e+18,0FY9s_UAAAAJ,"Physics Professor (Emeritus), Universidad Tecnica Federico Santa Maria",@usm.cl,64584.0,['Particle Physics']
9.225498103198054e+18,X5xPjmkAAAAJ,Universidad Técnica Federico Santa María,@usm.cl,28630.0,"['Power Electronics', 'Renewable Energy', 'Multilevel Converters', 'Wind Energy', 'Electromobility']"
9.225498103198054e+18,k2mB7EkAAAAJ,Universidad Tecnica Federico Santa Maria,@usm.cl,18170.0,['Astrophysics']
9.225498103198054e+18,c9ql-BAAAAAJ,Universidad Tecnica Federico Santa Maria,@usm.cl,15889.0,"['Power electronics', 'multilevel converters', 'smart grids']"
9.225498103198054e+18,3itZwbsAAAAJ,"Universidad Tecnica Federico Santa Maria, Chile",@usm.cl,15595.0,"['Power Electronics', 'Predictive Control']"
9.225498103198054e+18,Oa3Aze8AAAAJ,Universidad Tecnica Federico Santa Maria,@usm.cl,11446.0,"['Non-perturbative QCD', 'Hadronization', 'Nuclear medium effect', 'Spin Physics', 'Nucleon Structure']"
9.225498103198054e+18,-0gRNgsAAAAJ,"Departamento de Electrónica, Universidad Técnica Federico Santa María, Chile",@usm.cl,8796.0,"['AC motor drives', 'digital control of power converters']"
9.225498103198054e+18,ImrRuDsAAAAJ,Universidad Técnica Federico Santa Maria,@usm.cl,7538.0,[]
9.225498103198054e+18,KsLLafwAAAAJ,Universidad Tecnica Federico Santa Maria,@usm.cl,5839.0,"['microbiology', 'botechnology']"
9.225498103198054e+18,_6PE3GsAAAAJ,"Associate Professor, Department of Electronics Engineering, Universidad Técnica Federico Santa María",@usm.cl,5078.0,"['Optical fiber sensors', 'Optical amplification', 'Nonlinear fiber optics']"
9.225498103198054e+18,fmh3SNcAAAAJ,"Assistant Professor, Department of Chemistry, Universidad Tecnica Federico Santa Maria (USM), Chile",@usm.cl,4864.0,"['Computational chemistry', 'tetrapyrroles', 'graphenes', 'anticorrosive coatings', 'organometallic compounds']"
9.225498103198054e+18,uOC2s1AAAAAJ,Universidad Tecnica Federico Santa Maria,@usm.cl,4470.0,"['Jorderensning', 'tungmetalfjernelse', 'adsorption', 'electrocoagulation', 'electrodialyse']"
9.225498103198054e+18,mYWIQd4AAAAJ,"Professor of Theoretical Physics, Universidad Tecnica Federico Santa Maria",@usm.cl,4155.0,"['Quantum physics', 'Magnetism', 'Image processing']"
9.225498103198054e+18,Fe48yUYAAAAJ,Universidad Técnica Federico Santa María,@usm.cl,3760.0,['Food Processing/Engineering']
9.225498103198054e+18,F7-FI08AAAAJ,UTFSM & NORDITA,@usm.cl,3583.0,"['Condensed Matter Theory', 'Topological Quantum Matter', 'Quantum Criticality']"
9.225498103198054e+18,v_u2SesAAAAJ,"Departamento de Física, Universidad Técnica Federico Santa María, Chile",@usm.cl,3458.0,"['Condensed Matter Physics', 'Magnetism', 'Spintronics', 'Magnonics', 'Nanomagnetism']"
9.225498103198054e+18,T6e3MokAAAAJ,Universidad Técnica Federico Santa María,@usm.cl,3295.0,"['Flotación', 'Procesamiento de Minerales']"
9.225498103198054e+18,mfnr2oEAAAAJ,Universidad Tecnica Federico Santa Maria,@usm.cl,2995.0,"['Electronic Engineering', 'Automatic Control', 'System Identification']"
9.225498103198054e+18,Q1os61kAAAAJ,"Professor of Theoretical Physics, Universidad Tecnica Federico Santa Maria",@usm.cl,2973.0,['Nanostructures: optical and transport properties']
9.225498103198054e+18,3OCgG7wAAAAJ,Universidad Técnica Federico Santa Maria,@usm.cl,2781.0,['Condensed Matter Physics']
9.225498103198054e+18,onKbDaIAAAAJ,"Research-Professor, Universidad Tecnica Federico Santa Maria",@usm.cl,2763.0,['power electronics']
9.225498103198054e+18,Ihz46DUAAAAJ,Universidad Técnica Federico Santa María,@usm.cl,2647.0,[]
9.225498103198054e+18,SWifA9sAAAAJ,"Full professor, Math. Dep., UTFSM",@usm.cl,2567.0,"['Nonlinear Analysis', 'PDE', 'Partial Differential Equations', 'Nonlocal Operators']"
9.225498103198054e+18,Vj4mHpEAAAAJ,"Department of Electronic Engineering, Universidad Técnica Federico Santa María",@usm.cl,2340.0,"['Voice Production', 'Speech Science', 'Voice Disorders', 'Acoustic Signal Processing', 'Biomedical Engineering']"
9.225498103198054e+18,1vhDro8AAAAJ,Universidad Técnica Federico Santa María,@usm.cl,2311.0,"['Finance', 'Econometrics']"
9.225498103198054e+18,2YCiYHEAAAAJ,"UNIVERSIDAD TÉCNICA FEDERICO SANTA MARÍA, Departamento de Ingeniería Química y Ambiental",@usm.cl,2225.0,['Food processing/Sustainable engineering']
,32ekRVMAAAAJ,UTFSM (on sabbatical) & UNAB,@acm.org,2139.0,"['Software Architecture', 'Adoption Readiness', 'Heritage Computing']"
9.225498103198054e+18,VjmgcGIAAAAJ,Universidad Técnica Federico Santa Maria,@usm.cl,2061.0,"['Advanced materials', 'Metallurgy', 'Powder Metallurgy', 'Thermodynamics', 'Ti-based alloys']"
9.225498103198054e+18,Y7-gCmAAAAAJ,Universidad Técnica Federico Santa María,@usm.cl,2040.0,"['Energy Conversion', 'Combustion', 'Fire', 'Engineering', 'Microgravity']"
9.225498103198054e+18,wSXnYFYAAAAJ,Universidad Tecnica Federico Santa Maria (Chile),@usm.cl,1963.0,"['System Identification', 'Control', 'Automatic Control', 'Statistical Signal Processing']"
9.225498103198054e+18,0LgnrDEAAAAJ,Universidad Tecnica Federico Santa Maria,@usm.cl,1940.0,"['tsunamis', 'nearshore processes']"
9.225498103198054e+18,bH_VKagAAAAJ,universidad Técnica Federico Santa Maria,@usm.cl,1887.0,['white dwarfs']
9.225498103198054e+18,Q2P4D4wAAAAJ,Professor Universidad Tecnica Federico Santa Maria,@usm.cl,1759.0,"['Environment', 'pollution', 'chemistry', 'atmosphere', 'soil']"
9.225498103198054e+18,sCxmQKQAAAAJ,"Ph.D student, Universidad Tecnica Federico Santa Maria",@sansano.usm.cl,1717.0,"['Experimental High Energy Physics', 'Neutrino Physics', 'Physics Education']"
9.225498103198054e+18,Y12762cAAAAJ,"Assistant Professor, Department of Chemistry, Universidad Técnica Federico Santa María, Valparaiso",@usm.cl,1470.0,"['Photocatalysis', 'Waste water treatment', 'Capacitive deionization', 'Green synthesis of metal nanoparticles', 'Photovoltaics and Antimi']"
9.225498103198054e+18,5gyHl_kAAAAJ,"Universidad Técnica Federico Santa María, Valparaíso, Chile",@usm.cl,1481.0,"['Nanoelectronics', 'Memristor', 'Resistive Switching Devices', 'Resistive RAM', 'Cellular Automata']"
9.225498103198054e+18,IF7pW-IAAAAJ,"Profesor de Ingeniería Mecánica, Universidad Técnica Federico Santa María",@usm.cl,1454.0,['emisiones vehiculares']
9.225498103198054e+18,2m8bkeEAAAAJ,Universidad Técnica Federico Santa María (Chile),@inf.utfsm.cl,1400.0,"['graph databases', 'semantic web']"
