organization,scholar_id,affiliation,email_domain,citedby,interests
1.8127285709111964e+18,J3Durw8AAAAJ,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",@uss.cl,22073.0,"['autophagy', 'primary cilium', 'metabolism', 'obesity']"
1.8127285709111964e+18,cE4i7RwAAAAJ,Universidad San Sebastian,@uss.cl,12855.0,['Biología Celular']
1.8127285709111964e+18,RnMVg4QAAAAJ,"Associate Professor, Universidad San Sebastián",@uss.cl,5918.0,['Nanomaterials for infection control  &  Hydrogels for advanced applications']
1.8127285709111964e+18,EWjCdo0AAAAJ,"Facultad de Medicina & Ciencia, Universidad San Sebastián",@uss.cl,4680.0,"['genome evolution', 'gene family evolution', 'molecular evolution', 'comparative genomics']"
1.8127285709111964e+18,3QjSMq0AAAAJ,Universidad San Sebastian,@uss.cl,4053.0,"['Nephrology', 'Hypertension', 'Renal Physiology and Pathology']"
1.8127285709111964e+18,5Z6nbs0AAAAJ,Facultad de Medicina y Ciencia. Universidad San Sebastián,@uss.cl,3839.0,['Protein trafficking. Cell polarity. Signaling. Cancer. Neuroimmunology.']
1.8127285709111964e+18,5w40_sYAAAAJ,Universidad San Sebastián,@uss.cl,3573.0,"['urban', 'gentrification', 'inner city', 'entrepreneurialism']"
1.8127285709111964e+18,Mr19oawAAAAJ,Universidad San Sebastián,@uss.cl,3103.0,['Química Inorgánica']
1.8127285709111964e+18,OdR5EgcAAAAJ,"Professor of Nutrition, Universidad San Sebastián",@uss.cl,3129.0,"['Nutrition', 'artificial sweeteners', 'obesity', 'old adults']"
1.8127285709111964e+18,ecuW5toAAAAJ,Universidad San Sebastian,@uss.cl,2864.0,"['marine biodiversity', 'cold-water corals', 'marine protected areas', 'biogeography']"
1.8127285709111964e+18,OReZXCQAAAAJ,Universidad San Sebastián; Roswell Park Cancer Institute,@uss.cl,2800.0,"['Prostate cancer', 'tumor microenvironment', 'angiogenesis', 'metabolism', 'androgens']"
1.8127285709111964e+18,XYEZ690AAAAJ,Profesor Asociado. Universidad San Sebastián,@uss.cl,2602.0,['Lipid metabolism. Endothelial function. Pregnancy related pathologies']
1.8127285709111964e+18,Svu2s9AAAAAJ,Universidad San Sebastián,@uss.cl,2394.0,['cell biology']
1.8127285709111964e+18,A-iKXMUAAAAJ,Universidad San Sebastian,@uss.cl,2200.0,['Neuroscience']
1.8127285709111964e+18,4cZPsgkAAAAJ,"Associate Professor, Faculty of Medicine and Science, Universidad San Sebastián",@uss.cl,2176.0,"['Cancer Cell Biology', 'Stem Cells', 'Exosomes', 'Small Extracellular Vesicles']"
1.8127285709111964e+18,Rt9FDvkAAAAJ,"Facultad de Medicina y Ciencia, Universidad San Sebastián",@uss.cl,2068.0,['Cell Biology Autophagy Proteostasis Proteasome Lysosomes']
1.8127285709111964e+18,_DUx58kAAAAJ,"Profesor de psicología social, Universidad San Sebastián",@uss.cl,1931.0,"['Tolerancia', 'respeto', 'aculturación']"
1.8127285709111964e+18,oLXQ8UAAAAAJ,"Director Nacional de Investigación, Facultad de Odontología, Universidad San Sebastián",@uss.cl,1581.0,"['Patología Oral', 'Autoinmunidad']"
1.8127285709111964e+18,utxxkrcAAAAJ,"Universidad San Sebastián, Sede de la Patagonia",@uss.cl,1495.0,"['Virology', 'Infectious Diseases', 'Molecular Biology']"
1.8127285709111964e+18,2LCZdhEAAAAJ,"Assistant Professor, Universidad San Sebastian",@uss.cl,1417.0,"['Lifespan', 'Genomics', 'Somatic Mosaicism']"
