organization,scholar_id,affiliation,email_domain,citedby,interests
4.727335469935945e+18,Uc0yu3EAAAAJ,"Universidad de Tarapaca,  Chile",@academicos.uta.cl,14016.0,"Nanomaterials, Photocatalyst, Nanoporous, Semiconductor, Materials"
4.727335469935945e+18,xu1R9IcAAAAJ,Universidad de Tarapacá,@uta.cl,7180.0,Psicología Clínica
4.727335469935945e+18,oaqR2GoAAAAJ,Universidad de Tarapacá,@uta.cl,6914.0,"Chinchorro mummies, Bioarchaeology, Paleopathology"
4.727335469935945e+18,7Yqek_0AAAAJ,"Associate Professor, Instituto de Alta Investigación, Universidad de Tarapacá",@academicos.uta.cl,5955.0,"M dwarfs, brown dwarfs, exoplanets"
4.727335469935945e+18,t8hdQjYAAAAJ,Universidad de Tarapaca,@uta.cl,5869.0,"Archaeology, hunter-gatherers, paleoenviroment, South America, Andes"
4.727335469935945e+18,ATFF7ikAAAAJ,Universidad de Tarapacá,@academicos.uta.cl,4764.0,"Educación superior, gobernanza universitaria, gobierno universitario, talento humano, liderazgo"
4.727335469935945e+18,OSSLHcAAAAAJ,Profesor Titular - Universidad de Tarapacá (Chile),@uta.cl,4412.0,"Educación Superior, Gestión del Conocimiento, Liderazgo"
4.727335469935945e+18,9SvW7BUAAAAJ,Facultad de Educación y Humanidades de la Universidad de Tarapacá,@academicos.uta.cl,4331.0,"Educación superior, políticas educativas, equidad, aseguramiento de calidad"
4.727335469935945e+18,FgEMtxQAAAAJ,Profesora Titular Universidad de Tarapaca,@uta.cl,4138.0,"liderazgo, educación superior, estrategia."
4.727335469935945e+18,jX7ZvS4AAAAJ,Universidad de Tarapacá,@uta.cl,4007.0,
4.727335469935945e+18,p86gQo0AAAAJ,Universidad de Tarapacá,@academicos.uta.cl,3793.0,"migraciones, políticas migratorias, fronteras, interculturalidad, Chile"
4.727335469935945e+18,j1T5Cd4AAAAJ,Universidad de Tarapacá,@academicos.uta.cl,3250.0,"Energía solar, Tratamiento solar de aguas, Desarrollo sustentable, Innovación"
4.727335469935945e+18,TKDdBTkAAAAJ,"Professor of Physics, Universidad de Tarapacá",@uta.cl,2976.0,"Chaos, Hydrodynamic Instabilities, Magnetism, Quantum mechanics, Mathematical modeling"
4.727335469935945e+18,gZJwoscAAAAJ,"Universidad de Tarapacá, profesor titular",@academicos.uta.cl,1924.0,"historia regional, relaciones internacionales, historia de la minería"
4.727335469935945e+18,gMutzEsAAAAJ,Universidad de Tarapacá,@uta.cl,1911.0,
4.727335469935945e+18,raIGAMAAAAAJ,Estudiante Psicología UTA,@alumnos.uta.cl,1486.0,Psicología
4.727335469935945e+18,vOfS1hAAAAAJ,Universidad de Tarapaca,@uta.cl,1475.0,"Psicología, Metodología de Investigación, Gestión Organizacional"
4.727335469935945e+18,h63gYiQAAAAJ,"Independent Researcher, Universidad de Tarapacá",@academicos.uta.cl,1428.0,"Near-Field cosmology, Milky Way, globular clusters, tidal streams"
4.727335469935945e+18,Qu0U_LkAAAAJ,Universidad de Tarapacá,@uta.cl,1360.0,"Arqueología del norte grande de Chile, patrones de asentamiento, relacion es interétnicas"
4.727335469935945e+18,zak53CYAAAAJ,"Staff Profesional, Universidad de Tarapacá",@uta.cl,1352.0,"Educación, Liderazgo, Administración"
4.727335469935945e+18,ZJZKGSEAAAAJ,"Universidad de Tarapacá, Departamento de Psicología",@academicos.uta.cl,1275.0,"psicología organizacional, psicología positiva, metodología de la investigación, análisis de datos"
4.727335469935945e+18,5vzbj6QAAAAJ,Universidad de Tarapacá,@uta.cl,1191.0,"Física, Matemática"
4.727335469935945e+18,iK_qHh4AAAAJ,Universidad de Tarapacá,@uta.cl,1151.0,Entomología
4.727335469935945e+18,3nFdmAsAAAAJ,"Profesor de Historia, Universidad de Tarapacá",@uta.cl,1046.0,"Migraciones, Historia Regional"
4.727335469935945e+18,LQU8XfEAAAAJ,"Professor / Profesor Titular, Universidad de Tarapacá",@academicos.uta.cl,1030.0,"Geography, Environmental Geography, Political Ecology, Cultural Ecology"
4.727335469935945e+18,k7EIK5UAAAAJ,"Universidad de Tarapacá, Chile",@academicos.uta.cl,942.0,"construcción de teoría, diseños mixtos de investigación, microsociología"
4.727335469935945e+18,HPpN_m8AAAAJ,Full Professor at Universidad de Tarapacá; Adjunct Graduate Faculty Member at Trent University,@uta.cl,842.0,"Andean archaeology, pre-Hispanic economy, animal consumption, visual images, production/use of rock art and geoglyphs"
4.727335469935945e+18,tT_v9m8AAAAJ,"Associate Professor, Universidad de Tarapacá",@academicos.uta.cl,814.0,"Climatology, Meteorology"
4.727335469935945e+18,GmwPnicAAAAJ,Universidad de Tarapacá,@academicos.uta.cl,791.0,"Social Psychology, Educational Psychology, Organizational Psychology"
4.727335469935945e+18,nlEleXoAAAAJ,Universidad de Tarapacá,@uta.cl,762.0,"medical physics, física médica, protección radiologica, radiological protection"
4.727335469935945e+18,L__H0V4AAAAJ,Universidad de Tarapacá,@academicos.uta.cl,747.0,"High order finite volumes, unstructured meshes, multiphase flows"
,NXxMAukAAAAJ,BioNaNO3Lab,@uta.cl,756.0,"Arqueometria, Raman, SERS, Nanoestructuras"
4.727335469935945e+18,_mR2Ky8AAAAJ,Universidad de Tarapacá,@academicos.uta.cl,759.0,
4.727335469935945e+18,95XWzKgAAAAJ,"Universidad de Tarapacá, Dpto. de Ciencias Sociales.",@academicos.uta.cl,702.0,"Relaciones Internacionales, Paradiplomacia, Paradiplomacy, Fronteras, Diplomacy"
4.727335469935945e+18,658IkykAAAAJ,Universidad de Tarapacá,@uta.cl,700.0,"Análisis, Ecuaciones Diferenciales"
4.727335469935945e+18,iiBXp3EAAAAJ,Universidad de Tarapaca,@uta.cl,592.0,"agronomia, agricultura, cultivo sin suelos, fertirriego, fertilizacion"
4.727335469935945e+18,ejkmUNkAAAAJ,"Instituto de Alta Investigación, Universidad de Tarapacá",@academicos.uta.cl,602.0,"Teoría Cuantica de Campos, Chromodinámica Cuántica, Teoría Cuántica de Campos No-Perturbativa"
4.727335469935945e+18,hZTCQecAAAAJ,Universidad de Tarapacá,@academicos.uta.cl,550.0,Filosofía de las ciencias cognitivas
4.727335469935945e+18,3YcREFMAAAAJ,Universidad de Tarapacá,@uta.cl,526.0,"Estudios de Género, Salud y Pueblos Originario, Etnicidades"
4.727335469935945e+18,XTQr81wAAAAJ,"Departamento de Ciencias Sociales, Universidad de Tarapacá",@academicos.uta.cl,505.0,
4.727335469935945e+18,CB30R1QAAAAJ,"Associate Professor, University of Tarapaca (Chile)",@uta.cl,510.0,"Mechanical Vibrations, Rotor Dynamics, Tribology, Mechatronics"
4.727335469935945e+18,6ULOSnUAAAAJ,"Departamento de Ingeniería Mecánica, Facultad de Ingeniería, Universidad de Tarapacá",@academicos.uta.cl,508.0,"Air pollution, Aerobiology, Modelling, Noise Pollution, Environmental Health"
4.727335469935945e+18,dDBPR9AAAAAJ,"Assistant Professor of Physics, Universidad de Tarapacá",@uta.cl,532.0,"Computational Physics, Nonlinear Physics, Fluids, Chaos"
4.727335469935945e+18,TpObchYAAAAJ,"University of Tarapacá, Arica, Chile; University of Chile, Santiago, Chile and Solar Energy Research",@academicos.uta.cl,469.0,"solar cooker, solar thermal, bioenergy, clean cooking"
4.727335469935945e+18,mXIwbNQAAAAJ,"Departamento de Física, Universidad de Tarapacá",@academicos.uta.cl,471.0,Cosmology and Particle Physics
4.727335469935945e+18,cV4YES8AAAAJ,"prof Bioquimica, microbiologia, Universidad de Tarapaca, iquique, Chile",@academicos.uta.cl,480.0,"microbiologia ambiental, ecologia, bioquimica"
4.727335469935945e+18,6WkZ67wAAAAJ,"Escuela de Psicología y Filosofía, Universidad de Tarapacá",@academicos.uta.cl,472.0,
4.727335469935945e+18,6dk_MIUAAAAJ,Universidad de Tarapacá,@academicos.uta.cl,466.0,"Historia Cultural, Historia de las Ideas, Antropología Histórica"
4.727335469935945e+18,ru8bR_gAAAAJ,Universidad de Tarapacá,@academicos.uta.cl,435.0,Física
