organization,scholar_id,affiliation,email_domain,citedby,interests
7.732664165981901e+18,FOKLmaQAAAAJ,"Full Professor, Universidad de Talca - University of Nottingham UK",@utalca.cl,9740.0,"['Matrix Converters', 'Power Electronics', 'Power Converters', 'AC AC Converters', 'Predictive Control']"
7.732664165981901e+18,EQeBOusAAAAJ,Universidad de Talca,@utalca.cl,5919.0,[]
7.732664165981901e+18,iRc-CqIAAAAJ,Universidad de Talca,@utalca.cl,5340.0,"['molecular modeling', 'bioinformatics', 'nanoscience', 'protein kinases', 'ion channels']"
7.732664165981901e+18,b0qmbcEAAAAJ,"Full Professor (Profesor Titular), Instituto de Química de Recursos Naturales, Universidad de Talca",@utalca.cl,5221.0,['Chemistry']
7.732664165981901e+18,Cef66oUAAAAJ,Universidad de Talca,@utalca.cl,5045.0,[]
7.732664165981901e+18,-0YfzpYAAAAJ,"Department of Computer Science, Universidad de Talca",@utalca.cl,4769.0,"['Graph databases', 'Query Languages', 'RDF', 'SPARQL']"
7.732664165981901e+18,mU5qVWEAAAAJ,Universidad de Talca,@utalca.cl,4310.0,"['Automatización', 'Control de Procesos', 'Electrónica', 'Mecatrónica']"
7.732664165981901e+18,F49i1WoAAAAJ,Universidad de Talca,@utalca.cl,3767.0,['Psicología social']
7.732664165981901e+18,qfNZMq8AAAAJ,Universidad de Talca,@utalca.cl,3744.0,"['Platelets', 'thrombosis', 'bioactive compounds', 'tomato', 'frailty']"
7.732664165981901e+18,Oa_CitgAAAAJ,"Cariology Unit. Department of Oral Rehabilitation, Faculty of Dentistry, University of Talca, Chile",@utalca.cl,3445.0,"['Caries', 'Diet', 'Oral Biofilm', 'Gerodontology', 'Geriatrics']"
7.732664165981901e+18,DF3ZrfkAAAAJ,"Professor of economics, Universidad de Talca",@utalca.cl,3225.0,"['economía agraria', 'bienestar subjetivo']"
7.732664165981901e+18,pWExNrMAAAAJ,"Faculty of Engineering, Universidad de Talca",@utalca.cl,2888.0,"['Software Engineering', 'Electronic Commerce']"
7.732664165981901e+18,5jqmJ0IAAAAJ,Universidad de Talca,@inst-mat.utalca.cl,2871.0,"['Differential equations', 'difference equations', 'dynamical systems']"
7.732664165981901e+18,dqmgEwIAAAAJ,Universidad de Talca,@utalca.cl,2785.0,"['Psicologia social', 'ambiental', 'de transito y de las relaciones interpersonales']"
7.732664165981901e+18,W7eYRaMAAAAJ,"Instituto de Ciencias Biológicas, Universidad de Talca",@utalca.cl,2699.0,"['Jasmonate signaling', 'salt stress']"
7.732664165981901e+18,PUAhekgAAAAJ,Universidad de Talca,@utalca.cl,2749.0,"['ecology', 'evolution']"
7.732664165981901e+18,Xig5V-UAAAAJ,Universidad de Talca,@utalca.cl,2645.0,['plant molecular biology']
7.732664165981901e+18,hskD_m0AAAAJ,"Full Professor, Medical School, Universidad de Talca",@utalca.cl,2466.0,"['Nanomedicine', 'Drug Delivery', 'Targeted Therapy']"
7.732664165981901e+18,3fWOPJEAAAAJ,"Department of Stomatology, University of Talca, Chile",@utalca.cl,2482.0,"['Stomatology', 'Oral Diagnosis', 'Oral Diseases']"
7.732664165981901e+18,Hfzzu_0AAAAJ,"Professor, Instituto de Ciencias Biológicas, Universidad de Talca",@utalca.cl,2219.0,"['Molecular ecology', 'insect pests', 'aphids', 'insecticide resistance', 'parasitoids']"
7.732664165981901e+18,2MYmTJ8AAAAJ,Universidad de Talca,@utalca.cl,2257.0,"['Psicología Cognitiva', 'del Desarrollo']"
7.732664165981901e+18,YwQuZr0AAAAJ,Universidad de Talca,@utalca.cl,2241.0,"['Multilevel Converters', 'Renewable Energy Systems', 'Microgrids']"
7.732664165981901e+18,8yZnJpIAAAAJ,"Laboratory of Plant Molecular Physiology, Institute of Biological Sciences, Universidad de Talca",@utalca.cl,2151.0,"['Plant Phyisiology', 'Plant Molecular Biology', 'Biotechnology']"
7.732664165981901e+18,aRjGzcgAAAAJ,Universidad de Talca,@utalca.cl,2117.0,['Power Electronics']
7.732664165981901e+18,JA6GahcAAAAJ,Universida de Talca,@utalca.cl,2125.0,['Parasitoides']
7.732664165981901e+18,BPVbhToAAAAJ,Universidad de Talca,@utalca.cl,2046.0,"['Política comparada', 'política chilena', 'metodología de la investigación']"
7.732664165981901e+18,G4pdVO4AAAAJ,Universidad de Talca,@utalca.cl,2007.0,"['Biofísica de los canales de potasio', 'Bioinformática y Simulación Molecular']"
7.732664165981901e+18,WxEW6EwAAAAJ,"Profesor de Economía, Universidad de Talca",@utalca.cl,1897.0,['Environmental economics']
7.732664165981901e+18,b5M4y5QAAAAJ,Universidad de Talca,@utalca.cl,1801.0,[]
7.732664165981901e+18,F9yokSkAAAAJ,Facultad de Psicología - Universidad de Talca,@utalca.cl,1823.0,['Trabajo-Familia y Calidad de Vida Laboral']
7.732664165981901e+18,HsunjxEAAAAJ,Universidad de Talca,@utalca.cl,1786.0,"['OR in agriculture', 'Logistics', 'Data Envelopment Analysis']"
7.732664165981901e+18,6QC-teUAAAAJ,"Professor of Mathematics, Universidad de Talca, Chile",@inst-mat.utalca.cl,1753.0,"['Mathematics', 'Mathematical Physics', 'Integrable Systems']"
7.732664165981901e+18,PGpkBV0AAAAJ,"Associate Professor of Economics, Universidad de Talca",@utalca.cl,1755.0,"['environmental economics', 'educational economics', 'environmental valuation']"
7.732664165981901e+18,ki2DjVkAAAAJ,"Departamento de Ingeniería Eléctrica, Universidad de Talca",@utalca.cl,1744.0,"['Power Electronics', 'Multilevel Converters', 'Inverters', 'Control in Power Electronics']"
7.732664165981901e+18,-I0-uyMAAAAJ,"Professor of Enology, Universidad de Talca, Chile",@utalca.cl,1683.0,"['Enology', 'winemaking', 'wine oxidation.']"
7.732664165981901e+18,0msv5_cAAAAJ,Departamento de ingeniería eléctrica-Universidad de Talca,@utalca.cl,1734.0,"['Planeamiento de sistemas de distribución', 'Smart Grids', 'Electrónica de potencia', 'Optimización']"
7.732664165981901e+18,wwURSgUAAAAJ,Universidad de Talca,@utalca.cl,1624.0,"['Biostatistics', 'Public Health', 'Mortality']"
7.732664165981901e+18,4eXnXkYAAAAJ,Universidad de Talca,@utalca.cl,1651.0,['Biología del Estrés Abiotico en Vegtales']
7.732664165981901e+18,YZjWSVwAAAAJ,"Profesor Asociado, Universidad de Talca, Chile",@utalca.cl,1691.0,"['Dirección estratégica', 'Administración y gestión', 'Gestión de salud', 'Responsabilidad social empresarial']"
7.732664165981901e+18,-Tj7hBcAAAAJ,"Professor, Instituto de Química de Recursos Naturales, Universidad de Talca",@utalca.cl,1571.0,['Medicinal Chemistry']
7.732664165981901e+18,tq6ihy0AAAAJ,Universidad de Talca,@utalca.cl,1558.0,"['Power electronics', 'drives', 'multilevel converter', 'matrix converter', 'model predictive control']"
7.732664165981901e+18,4ZLhMR8AAAAJ,Universidad de Talca,@utalca.cl,1484.0,['Power Electronics']
7.732664165981901e+18,5Y-epfkAAAAJ,Universidad de Talca,@utalca.cl,1460.0,"['derechos humanos', 'derechos indígenas', 'derechos sociales', 'derecho ambiental', 'derecho internacional']"
7.732664165981901e+18,VxduzMgAAAAJ,Universidad de Talca,@utalca.cl,1396.0,"['Soilless culture', 'Hydroponics', 'Leafy vegetables', 'urban horticulture', 'nitrates']"
7.732664165981901e+18,4Q3wGgMAAAAJ,"Professor, Institute of Chemistry, Universidad de Talca",@utalca.cl,1350.0,"['Materials science', 'Polymers', 'Hydrogels', 'Polymer composites']"
7.732664165981901e+18,Trar3U4AAAAJ,"Department of Agricultural Economics, Universidad de Talca",@utalca.cl,1291.0,"['Agricultural Economics', 'Rural Development', 'Water Economics']"
7.732664165981901e+18,yx9TRrwAAAAJ,Universidad de Talca,@utalca.cl,1265.0,['física de la materia condensada']
7.732664165981901e+18,Qnuvgn4AAAAJ,"Profesor, Universidad de Talca",@utalca.cl,1235.0,"['educación superior', 'curriculum', 'evaluacion', 'política educacional']"
7.732664165981901e+18,4aycMAcAAAAJ,Universidad de Talca,@utalca.cl,1217.0,"['Life Cycle Assessment', 'Carbon Footprint']"
7.732664165981901e+18,arS62x4AAAAJ,"Associate Professor, Centro de Bioinformática, Simulación y Modelado (CBSM), University of Talca",@utalca.cl,1173.0,"['Computational Chemistry', 'Protein Engineering', 'Drug Design']"
7.732664165981901e+18,N_vYMiMAAAAJ,Universidad de Talca,@utalca.cl,1170.0,['Plant biology and biotechnology']
7.732664165981901e+18,vO-x3sAAAAAJ,"Faculty of Economics and Business, University of Talca",@utalca.cl,1072.0,"['Development Economics', 'Applied Econometrics', 'Economic History']"
7.732664165981901e+18,8tSoXgEAAAAJ,"Investigador, Universidad de Talca",@utalca.cl,1035.0,"['Phytochemistry', 'Natural Products', 'Biological Activities', 'Spectrometry']"
7.732664165981901e+18,tLPdYwsAAAAJ,Profesor Asistente - Universidad de Talca (Chile),@utalca.cl,1028.0,"['Riesgos y factores psicosociales', 'intervenciones organizacionales positivas', 'metodología']"
7.732664165981901e+18,5U2rcfEAAAAJ,"Associate Professor, University of Talca",@utalca.cl,1046.0,"['Applied Economics', 'Economics of Education', 'Health Economics', 'Environmental Economics']"
7.732664165981901e+18,_c9xRf0AAAAJ,Universidad de Talca,@utalca.cl,996.0,"['Derecho penal', 'Derecho procesal penal', 'Política Criminal']"
7.732664165981901e+18,Zm6JHCsAAAAJ,"Ingeniero Civil Industrial, Master en Informática; académico de la Universidad de Talca",@utalca.cl,991.0,"['educación', 'informática', 'economía', 'política']"
7.732664165981901e+18,yJFCOUsAAAAJ,Universidad de Talca,@utalca.cl,952.0,['Experimental psychology']
7.732664165981901e+18,7ksf8i0AAAAJ,"Director Centro Tecnológico de la Vid y el Vino, Facultad de Ciencias Agrarias, Universidad de Talca",@utalca.cl,957.0,"['Viticulture', 'Grape Ecophysiology', 'Grapevine selection', 'Rootstocks']"
7.732664165981901e+18,7yqrotEAAAAJ,Universidad de Talca,@utalca.cl,921.0,"['Economics', 'Regional Science', 'Applied Econometrics', 'R']"
7.732664165981901e+18,RHnrTlgAAAAJ,Universidad de Talca,@utalca.cl,931.0,['Derechos de la infancia y la adolescencia']
7.732664165981901e+18,feuxRSEAAAAJ,"CBSM, Universidad de Talca, Chile",@utalca.cl,902.0,"['Molecular Dynamics', 'Nanotechnology', 'Neurobiology', 'channels', 'membrane']"
7.732664165981901e+18,18apucAAAAAJ,Universidad de Talca,@utalca.cl,897.0,"['biology', 'bioinformatics', 'genetics']"
7.732664165981901e+18,_zzvUDMAAAAJ,Universidad de Talca,@utalca.cl,869.0,['Computational Structural Biology']
7.732664165981901e+18,5z0-pVIAAAAJ,Professor of the University of Talca (Chile),@utalca.cl,824.0,"['Dynamic Decision Making', 'Learning Sciences', 'Strategic Management']"
7.732664165981901e+18,-wz-XGEAAAAJ,Universidad de Talca,@utalca.cl,832.0,"['trastorno de estrés postraumático', 'evaluación', 'intervención']"
7.732664165981901e+18,kbITUCUAAAAJ,"Professor of Medicine, University of Talca",@utalca.cl,817.0,['Molecular Oncology']
7.732664165981901e+18,9XlvJEIAAAAJ,Universidad de Talca,@utalca.cl,778.0,"['Operations Research', 'Combinatorial Optimization', 'Robust Optimization']"
7.732664165981901e+18,422LXqIAAAAJ,Profesor Derecho U Talca,@utalca.cl,739.0,"['Derecho Procesal', 'prueba']"
