id_gs,idco,nombre_coautor,dominio,cargo
t6WTsxEAAAAJ,okYv8sQAAAAJ,Helton Saulo,Dirección de correo verificada de unb.br,"Assistant Professor of Statistics, University of Brasilia"
t6WTsxEAAAAJ,pbGmqDAAAAAJ,Jeremias Leao,Dirección de correo verificada de ufam.edu.br,Universidade Federal do Amazonas
t6WTsxEAAAAJ,P2llVMQAAAAJ,Ivette Gomes,Dirección de correo verificada de fc.ul.pt,"CEAUL and DEIO, Faculdade de Ciências, Universidade de Lisboa"
1pGKw9UAAAAJ,xp0zRBQAAAAJ,María Luisa Humanes,Dirección de correo verificada de urjc.es,Full Professor (University Rey Juan Carlos- Spain)
1pGKw9UAAAAJ,Fq9Ii_IAAAAJ,Mireya Márquez Ramírez,Dirección de correo verificada de ibero.mx,Universidad Iberoamericana Ciudad de México
1pGKw9UAAAAJ,sZGN0FMAAAAJ,Folker Hanusch,Dirección de correo verificada de univie.ac.at,"Professor of Journalism, University of Vienna"
1pGKw9UAAAAJ,r_p1tQoAAAAJ,Sergio Roses,Dirección de correo verificada de uma.es,Profesor de Periodismo (UMA)
1pGKw9UAAAAJ,G1qCc7QAAAAJ,Cornelia Mothes,Dirección de correo verificada de macromedia.de,"Macromedia University of Applied Sciences, Leipzig"
1pGKw9UAAAAJ,TZWsCvAAAAAJ,Edson C. Tandoc Jr.,Dirección de correo verificada de ntu.edu.sg,"Associate Professor, Nanyang Technological University"
1pGKw9UAAAAJ,ljCM--oAAAAJ,Dan Hallin,Dirección de correo verificada de ucsd.edu,"Professor of Communication, University of California San Diego"
1pGKw9UAAAAJ,pI4AcZ0AAAAJ,Sallie Hughes,Dirección de correo verificada de miami.edu,"Associate Professor, Journalism, University of Miami"
1pGKw9UAAAAJ,vtAzpf4AAAAJ,Andrés Scherman,Dirección de correo verificada de uai.cl,Universidad Adolfo Ibáñez
1pGKw9UAAAAJ,ETsmEqcAAAAJ,silvio waisbord,Dirección de correo verificada de gwu.edu,George Washington University
1pGKw9UAAAAJ,WPieCDsAAAAJ,Tim P. Vos,Dirección de correo verificada de msu.edu,"Professor, School of Journalism, Michigan State University"
eWXIjwwAAAAJ,O8xOA28AAAAJ,Fernando Rodriguez-Rodriguez,Dirección de correo verificada de pucv.cl,"Physical Education, Pontificia Universidad Católica de Valparaíso"
eWXIjwwAAAAJ,mBdG3iEAAAAJ,NICOLAS AGUILAR FARIAS,Dirección de correo verificada de ufrontera.cl,Universidad de La Frontera
eWXIjwwAAAAJ,H7LlKb8AAAAJ,Patricio Solis-Urra,Dirección de correo verificada de ugr.es,University of Granada
eWXIjwwAAAAJ,DjLPCogAAAAJ,Antonio García-Hermoso (ORCID: 000...,Dirección de correo verificada de unavarra.es,"Navarrabiomed, Universidad Pública de Navarra"
iC1zxr4AAAAJ,1ULUsmIAAAAJ,Eric Monfroy,Dirección de correo verificada de univ-nantes.fr,"Professor of Computer Science, Université de Nantes"
iC1zxr4AAAAJ,UBd6oewAAAAJ,Franklin Johnson Parejas,Dirección de correo verificada de upla.cl,Universidad de Playa Ancha
iC1zxr4AAAAJ,AFjvjTgAAAAJ,Prof Sanjay Misra,Dirección de correo verificada de hiof.no,"Østfold University College, Halden, Norway"
iC1zxr4AAAAJ,E-rHSVEAAAAJ,Rodrigo Olivares Ordenes,Dirección de correo verificada de uv.cl,"Escuela de Ingeniería Informática, Universidad de Valparaíso"
iC1zxr4AAAAJ,BrwIoeIAAAAJ,Cristian Galleguillos,Dirección de correo verificada de mail.pucv.cl,"PhD Student, Pontificia Universidad Católica de Valparaíso"
iC1zxr4AAAAJ,f0ZHmtwAAAAJ,Dr. Jose M. Lanza-Gutierrez,Dirección de correo verificada de uah.es,"University of Alcalá, Alcalá de Henares, Madrid, Spain"
iC1zxr4AAAAJ,UR6tfqAAAAAJ,Jose Antonio Garcia,Dirección de correo verificada de pucv.cl,"Pontificia Universidad Católica de Valparaíso , Chile"
iC1zxr4AAAAJ,2_sNXuEAAAAJ,Raphael Chenouard,Dirección de correo verificada de ec-nantes.fr,"Ecole Centrale de Nantes, Université de Nantes"
iC1zxr4AAAAJ,IiBLzvgAAAAJ,Stéphane Caro,Dirección de correo verificada de ls2n.fr,CNRS Research Director - LS2N (UMR CNRS 6004)
iC1zxr4AAAAJ,wMZ5XCUAAAAJ,Ignacio Araya,Dirección de correo verificada de ucv.cl,Pontificia Universidad Católica de Valparaíso
iC1zxr4AAAAJ,PbTuJx0AAAAJ,Orlando Duran,Dirección de correo verificada de ucv.cl,Pontificia Universidad Catolica de Valparaiso
iC1zxr4AAAAJ,1oduG-QAAAAJ,Frédéric Lardeux,Dirección de correo verificada de univ-angers.fr,LERIA - University of Angers
iC1zxr4AAAAJ,knvZjVwAAAAJ,Alexandre Goldsztejn,Dirección de correo verificada de ls2n.fr,CNRS
iC1zxr4AAAAJ,tfVkZfkAAAAJ,Philippe Cardou,Dirección de correo verificada de gmc.ulaval.ca,"Professor of Mechanical Engineering, Laval University"
