id_gs,idco,nombre_coautor,dominio,cargo
dYeZp8QAAAAJ,27oYl3QAAAAJ,Ricardo Villalba,Dirección de correo verificada de mendoza-conicet.gob.ar,IANIGLA
NEJdQnkAAAAJ,yxIVIG4AAAAJ,Ulyses Pardiñas,Dirección de correo verificada de fcnym.unlp.edu.ar,"Dr. en Ciencias Naturales, UNLP"
NEJdQnkAAAAJ,C_r0nRQAAAAJ,Enrique P. Lessa,Dirección de correo verificada de fcien.edu.uy,"Facultad de Ciencias, Universidad de la República"
NEJdQnkAAAAJ,jKFK_A8AAAAJ,"Salazar-Bravo, Jorge",Dirección de correo verificada de ttu.edu,Texas Tech University
NEJdQnkAAAAJ,YUlU_xoAAAAJ,Andrés Parada,Dirección de correo verificada de uc.cl,Institut Pasteur Montevideo
NEJdQnkAAAAJ,EWjCdo0AAAAJ,Juan C. Opazo,Dirección de correo verificada de uach.cl,Universidad Austral de Chile
NEJdQnkAAAAJ,Sb2oKiMAAAAJ,R. Eduardo Palma,Dirección de correo verificada de bio.puc.cl,"Departamento de Ecología, Pontificia Universidad Católica de Chile"
NEJdQnkAAAAJ,WSfSPbgAAAAJ,Joseph A. Cook,Dirección de correo verificada de unm.edu,"Professor of Biology, University of New Mexico"
NEJdQnkAAAAJ,omKZWU8AAAAJ,Bruce D Patterson,Dirección de correo verificada de fieldmuseum.org,"Curator Emeritus of Mammals, Field Museum of Natural History"
NEJdQnkAAAAJ,43KYmrYAAAAJ,Alvarado-Serrano,Dirección de correo verificada de ohio.edu,"Biological Sciences Dpt., Ohio University"
NEJdQnkAAAAJ,BjYq1nsAAAAJ,Alexandre Reis Percequillo,Dirección de correo verificada de usp.br,Universidade de São Paulo
NEJdQnkAAAAJ,rHrdIaIAAAAJ,Mieczyslaw Wolsan,Dirección de correo verificada de miiz.waw.pl,"Museum and Institute of Zoology, Polish Academy of Sciences"
NEJdQnkAAAAJ,Hc3ZA_4AAAAJ,Jun J. Sato,Dirección de correo verificada de fukuyama-u.ac.jp,Fukuyama University
NEJdQnkAAAAJ,cYpOYd8AAAAJ,Carla Muñoz-Mendoza,Dirección de correo verificada de udec.cl,"Universidad de Concepcion, Concepcion, Chile"
NEJdQnkAAAAJ,QBrsd6MAAAAJ,David Flores,Dirección de correo verificada de lillo.org.ar,Unidad Ejecutora Lillo (CONICET-Fundación Miguel Lillo)
NEJdQnkAAAAJ,L_JJ6V4AAAAJ,Javier Sellanes,Dirección de correo verificada de ucn.cl,"Professor, Universidad Catolica del Norte"
NEJdQnkAAAAJ,hvPF9eoAAAAJ,Alexandre Uarth Christoff,Dirección de correo verificada de ulbra.br,Museu de Ciências Naturais - ULBRA
NEJdQnkAAAAJ,obanmOsAAAAJ,Ivan Vera-Escalona,Dirección de correo verificada de ucsc.cl,Centro de Investigación en Biodiversidad y Ambientes Sustentables (CIBAS). Universidad Católica de
NEJdQnkAAAAJ,4c7I2kkAAAAJ,Fernando Perez Miles,Dirección de correo verificada de fcien.edu.uy,"Facultad de Ciencias, Universidad de la República"
NEJdQnkAAAAJ,zIn4NoUAAAAJ,Nathan S. Upham,Dirección de correo verificada de asu.edu,"Assistant Professor, Arizona State University"
NEJdQnkAAAAJ,U6sBrDIAAAAJ,Yuri L. R. Leite,Dirección de correo verificada de ufes.br,"Professor, Universidade Federal do Espírito Santo, Vitória, ES, Brazil"
QXLQ_I4AAAAJ,cY-A0aMAAAAJ,Fadia Tala,Dirección de correo verificada de ucn.cl,Universidad Católica del Norte
QXLQ_I4AAAAJ,UwRvc6wAAAAJ,Kai Bischof,Dirección de correo verificada de uni-bremen.de,"Marine Botany, University of Bremen"
QXLQ_I4AAAAJ,9xnCrRgAAAAJ,Kenneth Dunton,Dirección de correo verificada de utexas.edu,"Professor, The University of Texas at Austin"
QXLQ_I4AAAAJ,2b2tm3oAAAAJ,Eva Rothäusler,Dirección de correo verificada de utu.fi,University of Turku
QXLQ_I4AAAAJ,j9qpO4kAAAAJ,Jorge M. Navarro,Dirección de correo verificada de uach.cl,Universidad Austral de Chile
QXLQ_I4AAAAJ,dv8gciwAAAAJ,Nelson Valdivia,Dirección de correo verificada de uach.cl,Universidad Austral de Chile
QXLQ_I4AAAAJ,1nTAQfsAAAAJ,Ivan A. Hinojosa,Dirección de correo verificada de ucsc.cl,"Departamento de Ecología, Facultad de Ciencias, Universidad Católica de la Santísima Concepción"
QXLQ_I4AAAAJ,XjaQKDEAAAAJ,Katharina Zacher,Dirección de correo verificada de awi.de,biologist at the Alfred-Wegener-Institute Helmholtz Centre for Polar and Marine Research
QXLQ_I4AAAAJ,Nz1586IAAAAJ,Cristian Duarte,Dirección de correo verificada de unab.cl,"Departamento de Ecologia y Biodiversidad, Universidad Andres Bello"
QXLQ_I4AAAAJ,5Fbl9UMAAAAJ,Maria Liliana Quartino,Dirección de correo verificada de mrecic.gov.ar,Instituto Antartico Argentino
QXLQ_I4AAAAJ,QWyeUEcAAAAJ,David N. Thomas,Dirección de correo verificada de helsinki.fi,"Professor of Arctic Ecosystems Research, University of Helsinki"
QXLQ_I4AAAAJ,mA1v4_8AAAAJ,Pedro J. Aphalo,Dirección de correo verificada de helsinki.fi,"Lecturer in Physiological Plant Ecology, University of Helsinki"
QXLQ_I4AAAAJ,xL6U-IAAAAAJ,Angela Wulff,Dirección de correo verificada de bioenv.gu.se,University of Gothenburg
QXLQ_I4AAAAJ,8e8yNDoAAAAJ,Isabel Sousa Pinto,Dirección de correo verificada de ciimar.up.pt,"Centre for Marine and Environmental Research and FCUP, University of Porto"
QXLQ_I4AAAAJ,_gRLYG4AAAAJ,Susana Coelho,Dirección de correo verificada de tuebingen.mpg.de,Max Planck Institute for Developmental Biology
QXLQ_I4AAAAJ,UxwSaNwAAAAJ,Guillermo Luna-Jorquera,Dirección de correo verificada de ucn.cl,"Universidad Católica del Norte, Centre for Ecology and Sustainable Management of Oceanic Islands"
QXLQ_I4AAAAJ,xnw1vjUAAAAJ,Laurie Hofmann,Dirección de correo verificada de awi.de,Alfred Wegener Institute Helmholtz Center for Polar and Marine Research
QXLQ_I4AAAAJ,PHyQDpUAAAAJ,Pedro Quijon,Dirección de correo verificada de upei.ca,Associate Professor of Biology
Y2RA_vMAAAAJ,wOnfkSYAAAAJ,Héctor J Pavés,Dirección de correo verificada de santotomas.cl,"Departamento de Ciencias Básica, Universidad Santo Tomas"
Y2RA_vMAAAAJ,Ad8oY8YAAAAJ,Pieter Vandromme,Dirección de correo verificada de geomar.de,"PhD in Oceanography, GEOMAR, Helmholtz Centre for Ocean Research Kiel"
Y2RA_vMAAAAJ,Tt1SyCIAAAAJ,Eva-Maria Nöthig,Dirección de correo verificada de awi.de,researcher
Y2RA_vMAAAAJ,zZc8nmgAAAAJ,Stemmann,Dirección de correo verificada de obs-vlfr.fr,Sorbonne University
Y2RA_vMAAAAJ,oNoVjaUAAAAJ,Patrick Martin,Dirección de correo verificada de ntu.edu.sg,"Assistant Professor, Asian School of the Environment, Nanyang Technological University"
Y2RA_vMAAAAJ,FzKWOfUAAAAJ,Nicolas Cassar,Dirección de correo verificada de duke.edu,"Professor, Duke University"
Y2RA_vMAAAAJ,rq30FOMAAAAJ,Villy Christensen,Dirección de correo verificada de oceans.ubc.ca,"Professor, Institute for the Oceans and Fisheries, University of British Columbia"
Y2RA_vMAAAAJ,xiF8674AAAAJ,Ramabadran Rengarajan,,"Geosciences Division, Physical Research Laboratory, Ahmedabad, 380009 India"
Y2RA_vMAAAAJ,bubtUIkAAAAJ,fundación Save The Med,Dirección de correo verificada de savethemed.org,Fundación Save The Med
