id_gs,idco,nombre_coautor,dominio,cargo
D2g6y38AAAAJ,RZ3OC74AAAAJ,María Sara Rodríguez,Dirección de correo verificada de miuandes.cl,Universidad de los Andes
ur_LhQEAAAAJ,pnVP9X8AAAAJ,Nibaldo C. Inestrosa,Dirección de correo verificada de bio.puc.cl,Pontificia Universidad Catolica de Chile
ur_LhQEAAAAJ,XoS-UzYAAAAJ,Guojun Bu,Dirección de correo verificada de mayo.edu,"Professor of Neuroscience, Mayo Clinic"
ur_LhQEAAAAJ,R3C1wj0AAAAJ,Ginny G Farías,Dirección de correo verificada de uu.nl,Dr
ur_LhQEAAAAJ,RDDQKZoAAAAJ,Rodrigo  A Quintanilla,Dirección de correo verificada de uautonoma.cl,"Associate professor, Centro de Investigación Biomédica, Universidad Autónoma de Chile"
ur_LhQEAAAAJ,9QHKQMMAAAAJ,María Paz Marzolo,Dirección de correo verificada de bio.puc.cl,"Profesor Titular, Facultad de Ciencias Biológicas, Pontificia Universidad Católica de Chile"
ur_LhQEAAAAJ,sr_eelcAAAAJ,Carlos E. Irarrazabal,Dirección de correo verificada de uandes.cl,Universidad de Los Andes
ur_LhQEAAAAJ,NMyQAh4AAAAJ,Sara E. Miller,Dirección de correo verificada de umsl.edu,"Assistant Professor, University of Missouri - St. Louis"
ur_LhQEAAAAJ,Iq4qgh8AAAAJ,Marc I Diamond,Dirección de correo verificada de utsouthwestern.edu,"Center for Alzheimer's and Neurodegenerative Diseases, University of Texas Southwestern Medical"
ur_LhQEAAAAJ,8xv3_MIAAAAJ,Ivan Alfaro Cortez,Dirección de correo verificada de udd.cl,Universidad del Desarrollo
ur_LhQEAAAAJ,8Dti_swAAAAJ,Waldo Cerpa,Dirección de correo verificada de bio.puc.cl,"Profesor Asociado, Pontificia Universidad Católica de Chile"
ur_LhQEAAAAJ,M0CsmyAAAAAJ,Francisca Bronfman,Dirección de correo verificada de unab.cl,Instituto de Ciencias Biomedicas. Universidad Andres Bello
ur_LhQEAAAAJ,utxxkrcAAAAJ,María Inés Barría,Dirección de correo verificada de uss.cl,"Universidad San Sebastián, Sede de la Patagonia"
ur_LhQEAAAAJ,ONsGb6MAAAAJ,Fernando E. Figueroa,Dirección de correo verificada de UANDES.CL,"Universidad de los Andes, Santiago de Chile"
VLin8zEAAAAJ,Szl5kS4AAAAJ,Elena Carletti,Dirección de correo verificada de unibocconi.it,"Professor of Finance, Bocconi University"
VLin8zEAAAAJ,8dlIxRQAAAAJ,Eduardo Borensztein,Dirección de correo verificada de iadb.org,"Regional Economic Advisor, Inter-American Development Bank"
VLin8zEAAAAJ,yiPXPJ8AAAAJ,Robert Cull,Dirección de correo verificada de worldbank.org,World Bank
VLin8zEAAAAJ,G9A1Ls8AAAAJ,"Jun ""QJ"" Qian, Professor of Finance an...",Dirección de correo verificada de fudan.edu.cn,"Fanhai International School of Finance, Fudan University"
VLin8zEAAAAJ,NxIHiFwAAAAJ,Eduardo Cavallo,Dirección de correo verificada de iadb.org,Inter-American Development Bank
VLin8zEAAAAJ,a7ycdK0AAAAJ,Martin Schindler,Dirección de correo verificada de imf.org,International Monetary Fund
VLin8zEAAAAJ,ouHUK2gAAAAJ,Hugo Nopo,Dirección de correo verificada de grade.org.pe,GRADE
VLin8zEAAAAJ,YJDPOZoAAAAJ,Sebastian Miller,Dirección de correo verificada de iadb.org,"Senior Economist, Inter American Development Bank"
K4UHS-sAAAAJ,KSq8cIUAAAAJ,Silvia Matiacevich,Dirección de correo verificada de usach.cl,Universidad de Santiago de Chile
K4UHS-sAAAAJ,MRRAHmUAAAAJ,Franco Pedreschi,Dirección de correo verificada de ing.puc.cl,"Professor od Chemical and Bioprocesess Engineering, Pontificia Universidad Catolica de Chile"
g99obcwAAAAJ,2MYmTJ8AAAAJ,Cristian A. Rojas Barahona,Dirección de correo verificada de utalca.cl,Universidad de Talca
g99obcwAAAAJ,fHdlCr0AAAAJ,Marcelo Demarzo,Dirección de correo verificada de unifesp.br,Associate Professor - Department of Preventive Medicine - Escola Paulista de Medicina - UNIFESP
g99obcwAAAAJ,aE0xK5YAAAAJ,Paul Vöhringer ,Dirección de correo verificada de mail.harvard.edu,"Mood Disorders Program Tufts Medical Center, Hospital Clínico, Facultad Medicina Universidad de"
g99obcwAAAAJ,VsNNcp8AAAAJ,Christina Salmivalli,Dirección de correo verificada de utu.fi,"University of Turku, Finland"
g99obcwAAAAJ,RUCHz3EAAAAJ,Dheeraj Rai,Dirección de correo verificada de bristol.ac.uk,University of Bristol
g99obcwAAAAJ,7BR-sCoAAAAJ,Saket Girotra,Dirección de correo verificada de utsouthwestern.edu,University of Texas Southwestern
g99obcwAAAAJ,r22Ss_gAAAAJ,Glyn Lewis,Dirección de correo verificada de ucl.ac.uk,"Professor of Psychiatric Epidemiology, UCL"
sr_eelcAAAAJ,w1EyGgMAAAAJ,Elisenda Eixarch,Dirección de correo verificada de clinic.cat,"FetalMedicine Research Center, BCNatalHospital Clínic and Hospital Sant Joan de Déu, Universitat de"
sr_eelcAAAAJ,z1vsY2EAAAAJ,Eduard Gratacos,Dirección de correo verificada de ub.edu,Hospital Clinic & SJD Barcelona Children’s Hospital. University of Barcelona
sr_eelcAAAAJ,0_DTzsoAAAAJ,Natalia I Dmitrieva,Dirección de correo verificada de nhlbi.nih.gov,National Heart Lung and Blood Institute
sr_eelcAAAAJ,D5VmEGsAAAAJ,Yi-Ling Chen,Dirección de correo verificada de uwyo.edu,"Assistant Professor of Global & Area Studies and Geography, University of Wyoming  "
rTDvlSYAAAAJ,z-hPEtoAAAAJ,Maroun Khoury,Dirección de correo verificada de uandes.cl,"Director of Investigation, Universidad de los Andes, Santiago"
rTDvlSYAAAAJ,EydjFV4AAAAJ,Jimena Cuenca Moreno,Dirección de correo verificada de uandes.cl,Universidad de los Andes
rTDvlSYAAAAJ,ONsGb6MAAAAJ,Fernando E. Figueroa,Dirección de correo verificada de UANDES.CL,"Universidad de los Andes, Santiago de Chile"
