id_gs,idco,nombre_coautor,dominio,cargo
y3s1KhIAAAAJ,OCtGSYUAAAAJ,Lorena Diaz,Dirección de correo verificada de unbosque.edu.co,Universidad El Bosque
y3s1KhIAAAAJ,tPihtWsAAAAJ,Rafael Araos,Dirección de correo verificada de udd.cl,"Facultad de Medicina Clinica Alemana, Universidad del Desarrollo, Chile"
y3s1KhIAAAAJ,gA6krWUAAAAJ,George Weinstock,Dirección de correo verificada de jax.org,"Director of Microbial Genomics, Professor, Jackson Laboratory"
y3s1KhIAAAAJ,0LC112kAAAAJ,Paul J. Planet,Dirección de correo verificada de email.chop.edu,"Assistant Professor, University of Pennsylvania, Children's Hospital of Philadelphia"
y3s1KhIAAAAJ,QSnkktQAAAAJ,Samuel L. Aitken,Dirección de correo verificada de med.umich.edu,Michigan Medicine
y3s1KhIAAAAJ,9xWEVqwAAAAJ,Pablo Vial,Dirección de correo verificada de udd.cl,Universidad del Desarrollo
y3s1KhIAAAAJ,HVtSJJsAAAAJ,Yousif Shamoo,Dirección de correo verificada de rice.edu,"BioSciences, Rice University"
y3s1KhIAAAAJ,WIJhjssAAAAJ,Apurva Narechania,Dirección de correo verificada de amnh.org,American Museum of Natural History
y3s1KhIAAAAJ,9lK4f1UAAAAJ,Flavia Rossi,Dirección de correo verificada de hc.fm.usp.br,H. das Clinicas -Faculdade de Medicina da Universidade de São Paulo
y3s1KhIAAAAJ,KRX5oyEAAAAJ,Federico Perez,Dirección de correo verificada de case.edu,Case Western Reserve University School of Medicine and Louis Stokes Cleveland VA Medical Center
y3s1KhIAAAAJ,w3XeJOgAAAAJ,"Lilian Abbo, M.D.",Dirección de correo verificada de med.miami.edu,"Professor of Clinical Infectious Diseases, University of Miami Miller School of Medicine; Chief"
y3s1KhIAAAAJ,ii_IqhEAAAAJ,Macarena Rodriguez Vial,Dirección de correo verificada de alemana.cl,"Instituto Nacional del Cancer, Chile /Clinica Alemana UDD"
y3s1KhIAAAAJ,c3d1zQcAAAAJ,"Costi Sifri, MD",Dirección de correo verificada de virginia.edu,Division of Infectious Diseases and International Health
y3s1KhIAAAAJ,BtcDQ2IAAAAJ,Eric Pamer,Dirección de correo verificada de uchicago.edu,"Duchossois Family Institute, University of Chicago"
y3s1KhIAAAAJ,qU0oq1MAAAAJ,William Dowhan,Dirección de correo verificada de uth.tmc.edu,"Professor of Biochemistry and Molecular Biology, University of Texas Medical School-Houston"
y3s1KhIAAAAJ,b4DvK3QAAAAJ,Eugenia Mileykovskaya,Dirección de correo verificada de uth.tmc.edu,"Associate Professor of Biochemistry, University of Texas Medical School at Houston"
y3s1KhIAAAAJ,GJ7yapUAAAAJ,"Dimitrios P. Kontoyiannis, MD, ScD, P...",Dirección de correo verificada de mdanderson.org,University of Texas MD Anderson Cancer Center
y3s1KhIAAAAJ,21uBWM8AAAAJ,Danielle Garsin,Dirección de correo verificada de uth.tmc.edu,The University of Texas Health Science Center at Houston
y3s1KhIAAAAJ,nlUeDngAAAAJ,Jiwoong Kim,Dirección de correo verificada de utsouthwestern.edu,Computational Biologist of UT Southwestern Medical Center
DSQ3d6YAAAAJ,qt9Y4aYAAAAJ,Rodrigo Iturriaga,Dirección de correo verificada de bio.puc.cl,Lab Neurobiology. Facultad Ciencias Biologicas. Pontificia Universidad Catolica de Chile
gLS_KcAAAAAJ,ctaapjIAAAAJ,Juan Andrés Orellana,Dirección de correo verificada de uc.cl,Associate Professor. Departamento de Neurología. Pontificia Universidad Católica de Chile
gLS_KcAAAAAJ,bRbcqTYAAAAJ,Rodrigo Del Rio,Dirección de correo verificada de bio.puc.cl,"Assistant Professor, Lab. of Cardiorespiratory Control, P. Universidad Católica de Chile"
gLS_KcAAAAAJ,wTfVM5YAAAAJ,Julio Alcayaga,Dirección de correo verificada de uchile.cl,"Profesor, Facultad de Ciencias, Universidad de Chile"
gLS_KcAAAAAJ,qt9Y4aYAAAAJ,Rodrigo Iturriaga,Dirección de correo verificada de bio.puc.cl,Lab Neurobiology. Facultad Ciencias Biologicas. Pontificia Universidad Catolica de Chile
yQQSbZ0AAAAJ,smN3oyMAAAAJ,ALEXANDRA OBACH,Dirección de correo verificada de udd.cl,"Profesora asociada, Universidad del Desarrollo"
yQQSbZ0AAAAJ,2El0XHkAAAAJ,MANUEL ANTONIO ESPINOZA,Dirección de correo verificada de uc.cl,Pontificia Universidad Católica de Chile
yQQSbZ0AAAAJ,OFwsT1AAAAAJ,Kate Pickett,Dirección de correo verificada de york.ac.uk,"Professor of Epidemiology, University of York"
yQQSbZ0AAAAJ,kBLH1_AAAAAJ,Marcela Oyarte,Dirección de correo verificada de uc.cl,"Programa de estudios sociales en salud, Universidad del Desarrollo"
yQQSbZ0AAAAJ,Svmux3oAAAAJ,Noortje Uphoff,Dirección de correo verificada de york.ac.uk,University of York
9M10-BwAAAAJ,XjFq3S0AAAAJ,Andrea Slachevsky,Dirección de correo verificada de alemana.cl,Universidad de Chile
9M10-BwAAAAJ,QCu--3YAAAAJ,MANUEL S. ORTIZ,Dirección de correo verificada de ufrontera.cl,Universidad de La Frontera
9M10-BwAAAAJ,CWQ3yPkAAAAJ,Diego A. Pizzagalli,Dirección de correo verificada de mclean.harvard.edu,Harvard Medical School
9M10-BwAAAAJ,gfIVlCIAAAAJ,Thomas M. Achenbach,Dirección de correo verificada de uvm.edu,"Psychiatry and Psychology, University of Vermont"
9M10-BwAAAAJ,Eb6LnLUAAAAJ,Christine L. Larson,Dirección de correo verificada de uwm.edu,University of Wisconsin-Milwaukee
9M10-BwAAAAJ,vP-2P9wAAAAJ,Richard J Davidson,Dirección de correo verificada de wisc.edu,University of Wisconsin - Madison
9M10-BwAAAAJ,GP9us-oAAAAJ,Daren Jackson,Dirección de correo verificada de neurology.wisc.edu,"Assistant Scientist, Department of Neurology, School of Medicine and Public Health, University of"
Vh4tvW0AAAAJ,7kgDH6MAAAAJ,Jason Weiss,Dirección de correo verificada de oregonstate.edu,"Professor of Civil Engineering, Oregon State University"
Vh4tvW0AAAAJ,lW9394oAAAAJ,Robert Spragg,Dirección de correo verificada de dot.gov,"Research Civil Engineer, Federal Highway Administration"
Vh4tvW0AAAAJ,q1xW5ZMAAAAJ,Mohammad Pour-Ghaz,Dirección de correo verificada de ncsu.edu,"Department of Civil, Construction, and Environmental Engineering, North Carolina State University"
Vh4tvW0AAAAJ,fmyAXBMAAAAJ,Tommy Nantung,Dirección de correo verificada de indot.in.gov,Indiana Department of Transportation
Vh4tvW0AAAAJ,oz4221cAAAAJ,Franco Zunino,Dirección de correo verificada de epfl.ch,"Construction Materials Laboratory (LMC), EPFL, Switzerland"
Vh4tvW0AAAAJ,GMh4H7YAAAAJ,Cambiz Raufi,Dirección de correo verificada de hdrinc.com,American Concrete Institute
Vh4tvW0AAAAJ,X_mGJ1cAAAAJ,Pietro Lura,Dirección de correo verificada de empa.ch,"Head of Concrete and Asphalt Laboratory, Empa / Professor of Concrete Technology, ETH"
xzrPfXIAAAAJ,OXmDrW8AAAAJ,Mario Valdivia,Dirección de correo verificada de udec.cl,"Professor of Child Psychiatry, University of Cocepcion, Chile"
xzrPfXIAAAAJ,Y_gyXm4AAAAJ,Paulina Rincón,Dirección de correo verificada de udec.cl,"Departamento de Psicología, Universidad de Concepción"
xzrPfXIAAAAJ,CVaKZGQAAAAJ,Jorge J. Varela,Dirección de correo verificada de udd.cl,Universidad del Desarrollo
saVSIikAAAAJ,rdxQ_BIAAAAJ,Claudia Gonzalez Wiedmaier,Dirección de correo verificada de udd.cl,"Centro de Epidemiología y Políticas de Salud, facultad de medicina, CAS-UDD"
saVSIikAAAAJ,wa4_DhAAAAAJ,Iris Delgado Becerra,Dirección de correo verificada de udd.cl,"Facultad de Medicina, Clínica Alemana Universidad del Desarrollo"
saVSIikAAAAJ,11KSlSwAAAAJ,Macarena Hirmas Adauy,Dirección de correo verificada de udd.cl,Profesora asistente e investigadora
saVSIikAAAAJ,4VAFn7kAAAAJ,Manuel Nájera De Ferrari,Dirección de correo verificada de udd.cl,"Centro de epidemiologìa y polìticas de salud, CEPS-Universidad del Desarrollo"
