id_gs,idco,nombre_coautor,dominio,cargo
TX3te0QAAAAJ,Zt2tX04AAAAJ,Gregory Elacqua,Dirección de correo verificada de iadb.org,"Principal Economist, Education Division, Inter-American Development Bank"
TX3te0QAAAAJ,ATFF7ikAAAAJ,Francisco Ganga Contreras,Dirección de correo verificada de academicos.uta.cl,Universidad de Tarapacá
TX3te0QAAAAJ,ZsnY-40AAAAJ,Julio Labraña,Dirección de correo verificada de ug.uchile.cl,Universidad de Tarapacá
TX3te0QAAAAJ,OSSLHcAAAAAJ,Emilio Rodríguez Ponce,Dirección de correo verificada de uta.cl,Profesor Titular - Universidad de Tarapacá (Chile)
TX3te0QAAAAJ,7oWeNF0AAAAJ,Felipe Salazar,Dirección de correo verificada de uc.cl,Pontificia Universidad Católica de Chile
TX3te0QAAAAJ,PcV0JIQAAAAJ,Juan Carlos Tedesco,Dirección de correo verificada de fahce.unlp.edu.ar,"Educador y pedagogo argentino. Docente de Historia de la Educación, UNLP"
TX3te0QAAAAJ,9b8DoS8AAAAJ,Cristián Cox,Dirección de correo verificada de udp.cl,"Professor, Universidad Diego Portales"
TX3te0QAAAAJ,NxwSFJ4AAAAJ,Lauritz Holm-Nielsen,Dirección de correo verificada de au.dk,Aarhus Universitet
TX3te0QAAAAJ,Nn04VVcAAAAJ,Lea Velho,Dirección de correo verificada de ige.unicamp.br,Professora De Estudos Sociais de Ciência e daTecnologia
TX3te0QAAAAJ,vd6kqSwAAAAJ,Jocelyne Gacel-Avila,Dirección de correo verificada de csh.udg.mx,Universidad de Guadalajara
TX3te0QAAAAJ,LDGnkcsAAAAJ,Jamil Salmi,Dirección de correo verificada de tertiaryeducation.org,Independent expert
TX3te0QAAAAJ,Kv2jEKQAAAAJ,Ana García Fanelli,Dirección de correo verificada de cedes.org,CONICET (Consejo Nacional de Investigaciones Científicas y Técnicas)  con lugar de trabajo en CEDES
TX3te0QAAAAJ,2Luja0YAAAAJ,Cristóbal Villalobos Dintrans,Dirección de correo verificada de uc.cl,"Centro de Políticas y Prácticas en Educación (CEPPE UC), Pontificia Universidad Católica de Chile"
TX3te0QAAAAJ,JrpilR0WTPcC,Simon Schwartzman,Dirección de correo verificada de schwartzman.org.br,Academia Brasileira de Ciências
TX3te0QAAAAJ,FgEMtxQAAAAJ,Liliana Pedraja Rejas,Dirección de correo verificada de uta.cl,Profesora Titular Universidad de Tarapaca
TX3te0QAAAAJ,m6CivY4AAAAJ,Alejandro Tiana (ORCID: 0000 0002 3...,Dirección de correo verificada de edu.uned.es,"Catedrático de Teoría e Historia de la Educación, UNED"
TX3te0QAAAAJ,ZLPWLJgAAAAJ,Oscar Valiente,Dirección de correo verificada de glasgow.ac.uk,"Senior Lecturer, University of Glasgow"
TX3te0QAAAAJ,hmVvmsoAAAAJ,Guy Eugene HAUG,Dirección de correo verificada de upvnet.upv.es,Universitat Politècnica de València
TX3te0QAAAAJ,kexoFjAAAAAJ,Ludolfo Paramio,Dirección de correo verificada de csic.es,"Profesor de Investigación, CSIC"
TX3te0QAAAAJ,bvP-eQoAAAAJ,Nestor Garcia Canclini,Dirección de correo verificada de fahce.unlp.edu.ar,"Filósofo, Antropólogo, Profesor, Crítico cultural, Profesor Extraordinario de la UNLP"
4iRjwbMAAAAJ,0Yxem2kAAAAJ,Cas Mudde,Dirección de correo verificada de uga.edu,"Stanley Wade Shelton UGAF Professor, University of Georgia"
4iRjwbMAAAAJ,j0mfAyUAAAAJ,Paul Taggart,Dirección de correo verificada de sussex.ac.uk,"Professor of Politics, University of Sussex"
4iRjwbMAAAAJ,IgwSc8oAAAAJ,Juan Pablo Luna,Dirección de correo verificada de uc.cl,Pontificia Universidad Católica de Chile
4iRjwbMAAAAJ,qC7XmA4AAAAJ,Paulina Ochoa Espejo,Dirección de correo verificada de haverford.edu,"Professor of Political Science, Haverford College"
4iRjwbMAAAAJ,lvA8jXUAAAAJ,Sonia Alonso Sáenz De Oger,Dirección de correo verificada de georgetown.edu,"Georgetown University Qatar, School of Foreign Service"
4iRjwbMAAAAJ,ZZvdzKYAAAAJ,Paris Aslanidis,Dirección de correo verificada de yale.edu,Yale University
4iRjwbMAAAAJ,gkHNPiwAAAAJ,Rossana Castiglioni,Dirección de correo verificada de mail.udp.cl,Universidad Diego Portales
4iRjwbMAAAAJ,f9up4NwAAAAJ,Lisa Zanotti,Dirección de correo verificada de mail.udp.cl,Universidad Diego Portales
TW5VlFsAAAAJ,QVbokjsAAAAJ,Daniel Stern,Dirección de correo verificada de jpl.nasa.gov,"Astrophysicist, JPL/Caltech"
TW5VlFsAAAAJ,EhKAmoMAAAAJ,Chao-Wei Tsai,Dirección de correo verificada de nao.cas.cn,"Researcher, National Astronomical Observatories, CAS"
TW5VlFsAAAAJ,0wygOW0AAAAJ,T.H. Jarrett,Dirección de correo verificada de ast.uct.ac.za,University of Cape Town
TW5VlFsAAAAJ,UDME3vAAAAAJ,Jingwen Wu,Dirección de correo verificada de astro.ucla.edu,"University of California, Los Angeles"
TW5VlFsAAAAJ,5vLfifMAAAAJ,Ryan C. Hickox,Dirección de correo verificada de dartmouth.edu,"Professor of Physics and Astronomy, Dartmouth College"
TW5VlFsAAAAJ,FnAGOfcAAAAJ,Mark Brodwin,Dirección de correo verificada de umkc.edu,"Associate Professor, Department of Physics and Astronomy, UMKC"
TW5VlFsAAAAJ,2g0llCMAAAAJ,Tanio Diaz Santos,Dirección de correo verificada de ia.forth.gr,Institute of Astrophysics - FORTH
