id_gs,idco,nombre_coautor,dominio,cargo
tgRD_30AAAAJ,T8LIr98AAAAJ,Luis Nitrihual,,"Escritor, Académico e Investigador"
3VcPRHYAAAAJ,QyCzrYcAAAAJ,MARA XIMENA CEA LEMUS,Dirección de correo verificada de ufrontera.cl,"Profesor Asistente, Universidad de La Frontera"
3VcPRHYAAAAJ,xLf156UAAAAJ,Gabriela Briceño Muñoz,Dirección de correo verificada de ufrontera.cl,Universidad de La Frontera
3VcPRHYAAAAJ,x1cmbZ4AAAAJ,Heidi Schalchli,Dirección de correo verificada de ufrontera.cl,Universidad de La Frontera
3VcPRHYAAAAJ,254iajwAAAAJ,Nelson Durán,Dirección de correo verificada de iqm.unicamp.br,"Instituto de Química, Universidade Estadual de Campinas,"
3VcPRHYAAAAJ,PWgiRgIAAAAJ,Amedea B. Seabra,Dirección de correo verificada de ufabc.edu.br,"Professora, Universidade Federal do ABC"
3VcPRHYAAAAJ,Wuj4gxoAAAAJ,gladys vidal,Dirección de correo verificada de udec.cl,"Professor, Environmental Sience Faculty & EULA-Chile Center. Universidad de Concepción"
3VcPRHYAAAAJ,OnzrDoIAAAAJ,Ureta-Zañartu María Soledad,Dirección de correo verificada de usach.cl,"Dpto Ciencias del Ambiente, Facultad de Química y Biología USACh"
3VcPRHYAAAAJ,j9y8b9YAAAAJ,Maria Julia Amoroso,Dirección de correo verificada de proimi.org.ar,PROIMI
3VcPRHYAAAAJ,V4XPplAAAAAJ,Nelson Lima,Dirección de correo verificada de ie.uminho.pt,"CEB, Biological Engineering Centre, Minho University"
3VcPRHYAAAAJ,IeQOCjoAAAAJ,Dimitrios Karpouzas,Dirección de correo verificada de uth.gr,"Associate Prof. Environmental Microbiology and Biotechnology, University of Thessaly"
lo7-Fg4AAAAJ,GNDlGfsAAAAJ,Ricardo Felmer,Dirección de correo verificada de ufrontera.cl,Universidad de La Frontera
lo7-Fg4AAAAJ,pvSMySsAAAAJ,OSVALDO SEGUNDO MERINO PAIN...,Dirección de correo verificada de ufrontera.cl,Centro de Excelencia de Biotecnología en Reproducción
lo7-Fg4AAAAJ,4-XJKDAAAAAJ,PAMELA URIBE CATALAN,Dirección de correo verificada de ufrontera.cl,"Universidad de La Frontera, Temuco - Chile"
lo7-Fg4AAAAJ,EST1ZtEAAAAJ,Ralf Henkel,Dirección de correo verificada de uwc.ac.za,"Professor of Reproductive Biology, University of the Western Cape"
lo7-Fg4AAAAJ,RR4NLUoAAAAJ,Laura Giojalas,Dirección de correo verificada de unc.edu.ar,Universidad Nacional de Cordoba
lo7-Fg4AAAAJ,qPbyi4AAAAAJ,JUAN CARLOS ROA,Dirección de correo verificada de med.puc.cl,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE. Professor  and Chair Department  of Pathology.
lo7-Fg4AAAAJ,a3o7NSsAAAAJ,Nestor Sepulveda,Dirección de correo verificada de ufrontera.cl,Universidad de La Frontera
lo7-Fg4AAAAJ,qX4Yub8AAAAJ,Elias Gustavo Figueroa Villalobos,Dirección de correo verificada de uct.cl,Universidad Católica de Temuco
lo7-Fg4AAAAJ,2EKT_ysAAAAJ,Carmen Gloria Ili,Dirección de correo verificada de ufrontera.cl,Universidad de La Frontera
lo7-Fg4AAAAJ,7syxXwwAAAAJ,Héctor Alejandro Guidobaldi,Dirección de correo verificada de unc.edu.ar,"IIBYT (UNC, CONICET)"
lo7-Fg4AAAAJ,Osk0_JUAAAAJ,Teves ME,Dirección de correo verificada de vcuhealth.org,Virginia Commonwealth University
lo7-Fg4AAAAJ,uCibJwIAAAAJ,Priscilla Brebi,Dirección de correo verificada de ufrontera.cl,Universidad de La Frontera
lo7-Fg4AAAAJ,S3Y2pbAAAAAJ,Diego uñates,Dirección de correo verificada de unc.edu.ar,phD
lo7-Fg4AAAAJ,xLD89i4AAAAJ,Jorge G. Farías,Dirección de correo verificada de ufrontera.cl,Universidad de La Frontera
lo7-Fg4AAAAJ,cpkswp4AAAAJ,Shirley Sujey Evangelista-Vargas,Dirección de correo verificada de cientifica.edu.pe,Universidad Científica del Sur - Lab. de Biotecnología reproductiva y celular
lo7-Fg4AAAAJ,-Y8R1zMAAAAJ,ENRIQUE ERASMO MONTIEL EULEFI,Dirección de correo verificada de ufrontera.cl,Académico Universidad de La Frontera. Temuco. Chile
lo7-Fg4AAAAJ,ENvHHm0AAAAJ,María del Pilar Vigil Portales,Dirección de correo verificada de uc.cl,Pontificia Universidad Católica de Chile
lo7-Fg4AAAAJ,_jPlxJUAAAAJ,Jorge Parodi,Dirección de correo verificada de tonalli-ltda.com,Tonalli ltda
lo7-Fg4AAAAJ,-T6LPlkAAAAJ,M. Flavia Barbano,Dirección de correo verificada de nih.gov,National Institute on Drug Abuse
lo7-Fg4AAAAJ,zFDrZsQAAAAJ,Francisco Sampaio,Dirección de correo verificada de urogenitalresearch.org,"Full Professor, State University of Rio de Janeiro"
mb_L_nwAAAAJ,r2RJt9IAAAAJ,Daniel Menezes-Blackburn,Dirección de correo verificada de squ.edu.om,"Department of Soils, Water and Agricultural Engineering,  CAMS, SQU (Oman)"
mb_L_nwAAAAJ,hysL_o4AAAAJ,Carlos Riquelme,Dirección de correo verificada de uantof.cl,Universidad de Antofagasta Chile
mb_L_nwAAAAJ,wdH7UekAAAAJ,"Rengel, Zed",Dirección de correo verificada de uwa.edu.au,The University of Western Australia
mb_L_nwAAAAJ,swJMQBgAAAAJ,Alan E Richardson,Dirección de correo verificada de csiro.au,CSIRO Agriculture & Food
mb_L_nwAAAAJ,dQVRZlEAAAAJ,Dr. Vinod Kumar,Dirección de correo verificada de hau.ac.in,"CCS Haryana Agricultural University, Hisar, INDIA"
mb_L_nwAAAAJ,loLH1lQAAAAJ,Dr Shaharoona,Dirección de correo verificada de cdfa.ca.gov,California Department of Food and Agriculture
mb_L_nwAAAAJ,KEVe6N4AAAAJ,Surinder Saggar,Dirección de correo verificada de landcareresearch.co.nz,"Principal Scientist, Land Use  & Ecosystems"
mb_L_nwAAAAJ,1KqHoEQAAAAJ,Andrés I. Ávila,Dirección de correo verificada de ufrontera.cl,"Centro de Modelación y Computación Científica, Universidad de La Frontera"
mb_L_nwAAAAJ,Jbov_hkAAAAJ,PRASHANT SINGH,Dirección de correo verificada de gbpuat.ac.in,"Research Scholar, G B Pant University of Agriculture & Technology"
CV4qOVAAAAAJ,jpCBuDAAAAAJ,Fernando Borie,Dirección de correo verificada de ufrontera.cl,Universidad de La Frontera
CV4qOVAAAAAJ,QEHPeoUAAAAJ,Alex Seguel,Dirección de correo verificada de ufrontera.cl,Departamento de Cs. Agronómicas y Rec. Naturales / Facultad de Cs. Agropecuarias y Forestales - UFRO
CV4qOVAAAAAJ,A3LFev0AAAAJ,Gustavo Curaqueo,Dirección de correo verificada de uct.cl,Profesor Asistente. Universidad Católica de Temuco
CV4qOVAAAAAJ,Ov7QXhcAAAAJ,Jonathan Cumming,Dirección de correo verificada de wvu.edu,"Professor of Biology, West Virginia University"
CV4qOVAAAAAJ,kPLX-20AAAAJ,Álvaro López García,Dirección de correo verificada de ujaen.es,"Postdoc, Universidad de Jaén"
CV4qOVAAAAAJ,9yTB3gYAAAAJ,John Larsen,Dirección de correo verificada de cieco.unam.mx,Universidad Nacional Autonoma de Mexico
CV4qOVAAAAAJ,xlPdcZwAAAAJ,Ricardo Aroca Alvarez,Dirección de correo verificada de eez.csic.es,Cientifico Titular del CSIC
CV4qOVAAAAAJ,EqeZJ10AAAAJ,Edmundo Acevedo,Dirección de correo verificada de uchile.cl,University of Chile
CV4qOVAAAAAJ,LEEYFekAAAAJ,César Marín,Dirección de correo verificada de santotomas.cl,"Full Professor, Facultad de Ciencias, Universidad Santo Tomás, Chile"
CV4qOVAAAAAJ,2QVHtgUAAAAJ,Matthias C. Rillig,Dirección de correo verificada de fu-berlin.de,"Professor of Ecology, Freie Universität Berlin, Germany"
CV4qOVAAAAAJ,mb_L_nwAAAAJ,Milko A. Jorquera,Dirección de correo verificada de ufrontera.cl,"Scientific and Technological Bioresource Nucleus (BIOREN), Universidad de La Frontera, Temuco, Chile"
CV4qOVAAAAAJ,fEdL_44AAAAJ,Riccardo Scotti,Dirección de correo verificada de crea.gov.it,"Consiglio per Ricerca in Agricoltura e l'Analisi dell'Economia Agraria, Centro di Ricerca per l"
4SUUMGIAAAAJ,KZ5TMuAAAAAJ,Jose Rodriguez,Dirección de correo verificada de unab.cl,"Professor, Engineering Faculty, Universidad Andres Bello"
4SUUMGIAAAAJ,gggnQKsAAAAJ,Haithem Abu-Rub,Dirección de correo verificada de qatar.tamu.edu,"Professor, IEEE Fellow"
4SUUMGIAAAAJ,U1_r_C4AAAAJ,Christian Rojas,Dirección de correo verificada de ieee.org,Universidad Tecnica Federico Santa Maria
4SUUMGIAAAAJ,SyIr8FUAAAAJ,Pericle Zanchetta,Dirección de correo verificada de nottingham.ac.uk,"Professor, University of Nottingham, UK"
4SUUMGIAAAAJ,h9hPvFMAAAAJ,Sergio Vazquez,Dirección de correo verificada de us.es,Associate Professor (Universidad de Sevilla)
4SUUMGIAAAAJ,Wk2naEgAAAAJ,José R. Espinoza,Dirección de correo verificada de udec.cl,"Professor, Electrical Engineering Department, Universidad de Concepción"
4SUUMGIAAAAJ,c1VhcpIAAAAJ,Marian P. Kazmierkowski,Dirección de correo verificada de isep.pw.edu.pl,Profesor in Power Electronics and Drives
4SUUMGIAAAAJ,-sul52cAAAAJ,Leopoldo García Franquelo,Dirección de correo verificada de us.es,"Professor Dept. of Electronics Engineering, Universidad de Sevilla (University of Seville), Spain"
4SUUMGIAAAAJ,VK95M7QAAAAJ,Jose I. Leon,Dirección de correo verificada de zipi.us.es,University of Seville
4SUUMGIAAAAJ,X5xPjmkAAAAJ,Samir Kouro,Dirección de correo verificada de usm.cl,Universidad Técnica Federico Santa María
4SUUMGIAAAAJ,oxXRh94AAAAJ,CARLOS OMAR MUNOZ POBLETE,Dirección de correo verificada de ufrontera.cl,Universidad de La Frontera
4SUUMGIAAAAJ,-VZ6814AAAAJ,Abraham M. Alcaide,Dirección de correo verificada de ieee.org,"Universidad de Sevilla, Dept. of Electronics Engineering"
_78z9VoAAAAJ,nnZnXq4AAAAJ,Tomás Zambrano,Dirección de correo verificada de ufrontera.cl,Center of Molecular Biology & Pharmacogenetics
_78z9VoAAAAJ,QVVh4BsAAAAJ,Dulcinéia Saes Parra Abdalla,Dirección de correo verificada de usp.br,"Professora de Bioquímica Clínica, Universidade de São Paulo"
_78z9VoAAAAJ,JvUP2WQAAAAJ,Alvaro Cerda,Dirección de correo verificada de usp.br,University of Sao Paulo
_78z9VoAAAAJ,qPbyi4AAAAAJ,JUAN CARLOS ROA,Dirección de correo verificada de med.puc.cl,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE. Professor  and Chair Department  of Pathology.
_ERGBOEAAAAJ,fT99RewAAAAJ,Lohengrin Cavieres,Dirección de correo verificada de udec.cl,Universidad de Concepcion
_ERGBOEAAAAJ,2D9ZitUAAAAJ,patricia saez,Dirección de correo verificada de udec.cl,"Facultad de Ciencias Forestales, Universidad de Concepción"
_ERGBOEAAAAJ,_UGqWqAAAAAJ,Ana Gutiérrez Moraga,Dirección de correo verificada de uautonoma.cl,"Directora de Investigación, Universidad Autónoma de Chile"
_ERGBOEAAAAJ,OjoSgUYAAAAJ,MARJORIE MARIANELA REYES DIAZ,Dirección de correo verificada de ufrontera.cl,"Profesor, Departamento de Ciencias Químicas y Recursos Naturales, Universidad de La Frontera"
_ERGBOEAAAAJ,QWc4QREAAAAJ,Carolina Sanhueza,Dirección de correo verificada de udec.cl,Universidad de Concepción
_ERGBOEAAAAJ,8yiq2ikAAAAJ,Luisa Bascunan Godoy,Dirección de correo verificada de udec.cl,Research Plant physiology
_ERGBOEAAAAJ,ewgr0xoAAAAJ,Angela Sierra-Almeida,Dirección de correo verificada de udec.cl,"Botany Department, University of Concepción"
_ERGBOEAAAAJ,TR7m1M4AAAAJ,Alejandra Zuniga Feest,Dirección de correo verificada de uach.cl,"Professor of Plant Physiology, Universidad Austral de Chile"
_ERGBOEAAAAJ,rd-IU0YAAAAJ,Claudia Rabert,Dirección de correo verificada de uautonoma.cl,Universidad Autonoma de Chile
_ERGBOEAAAAJ,ncIDamUAAAAJ,Rafael Eduardo Coopman Ruiz-Tagle,Dirección de correo verificada de uach.cl,Profesor Universidad Austral de Chile
_ERGBOEAAAAJ,9MwXJ18AAAAJ,Eduardo Perez-Torres,Dirección de correo verificada de usys.ethz.ch,Researcher ETH Zurich / Project Manager ETH Studio AgroFood
_ERGBOEAAAAJ,5zReziUAAAAJ,Angélica Casanova-Katny,Dirección de correo verificada de uct.cl,Universidad Católica de Temuco
_ERGBOEAAAAJ,H54UKQkAAAAJ,Alejandro Navarrete-Gallegos,Dirección de correo verificada de udec.cl,Universidad de Concepcion
_ERGBOEAAAAJ,QLTz61oAAAAJ,Alexander G Ivanov,Dirección de correo verificada de uwo.ca,Uiversity of Western Ontario
_ERGBOEAAAAJ,6wwPEuQAAAAJ,Norman PA Huner,Dirección de correo verificada de uwo.ca,Professor of Biology
_ERGBOEAAAAJ,5Zxy6fkAAAAJ,Timothy J Close,Dirección de correo verificada de ucr.edu,University of California
_ERGBOEAAAAJ,V84X__IAAAAJ,José Ignacio García-Plazaola,Dirección de correo verificada de ehu.es,Lecturer (UPV/EHU)
_ERGBOEAAAAJ,mb_L_nwAAAAJ,Milko A. Jorquera,Dirección de correo verificada de ufrontera.cl,"Scientific and Technological Bioresource Nucleus (BIOREN), Universidad de La Frontera, Temuco, Chile"
_ERGBOEAAAAJ,-HnX4qoAAAAJ,Jeroni Galmés,Dirección de correo verificada de uib.cat,"Professor in Plant Physiology, University of the Balearic Islands"
_ERGBOEAAAAJ,rbm0YeIAAAAJ,Alfredo Saldaña,Dirección de correo verificada de udec.cl,"Depto. de Botánica, Universidad de Concepción, Chile."
mxS6RWIAAAAJ,DF3ZrfkAAAAJ,German Lobos,Dirección de correo verificada de utalca.cl,"Professor of economics, Universidad de Talca"
mxS6RWIAAAAJ,_CQcCp4AAAAJ,Ligia Orellana,Dirección de correo verificada de ufrontera.cl,Universidad de La Frontera
mxS6RWIAAAAJ,a3o7NSsAAAAJ,Nestor Sepulveda,Dirección de correo verificada de ufrontera.cl,Universidad de La Frontera
mxS6RWIAAAAJ,iVTNRjEAAAAJ,MARIANELA DEL CARMEN DENEGR...,Dirección de correo verificada de ufrontera.cl,Investigadora. Universidad de La Frontera
OjoSgUYAAAAJ,t3WeeT4AAAAJ,Luis J Corcuera,Dirección de correo verificada de parquekatalapi.cl,Fundación Parque Katalapi
OjoSgUYAAAAJ,_ERGBOEAAAAJ,LEON A. BRAVO,Dirección de correo verificada de ufrontera.cl,Universidad de La Frontera
OjoSgUYAAAAJ,QLTz61oAAAAJ,Alexander G Ivanov,Dirección de correo verificada de uwo.ca,Uiversity of Western Ontario
OjoSgUYAAAAJ,qyjuH4UAAAAJ,Cristian Meriño Gergichevich,Dirección de correo verificada de ufrontera.cl,BIOREN-UFRO
mBdG3iEAAAAJ,eWXIjwwAAAAJ,Carlos Cristi-Montero,Dirección de correo verificada de pucv.cl,Pontificia Universidad Católica de Valparaiso
mBdG3iEAAAAJ,14dp4qcAAAAJ,Andrea Cortinez-O'Ryan,Dirección de correo verificada de ufrontera.cl,Universidad de la Frontera
