id_gs,idco,nombre_coautor,dominio,cargo
pwL_3ukAAAAJ,rWf6oDkAAAAJ,Max Troell,Dirección de correo verificada de beijer.kva.se,"Beijer Institute, Royal Swedish Academy of Science; Stockholm Resilience Centre, Stockholm"
pwL_3ukAAAAJ,rdQcyDwAAAAJ,Thierry Chopin,Dirección de correo verificada de unbsj.ca,University of New Brunswick
pwL_3ukAAAAJ,0V_ugkQAAAAJ,Carolina Camus Torres,Dirección de correo verificada de ulagos.cl,"Researcher, Centro i-mar, Universidad de Los Lagos"
pwL_3ukAAAAJ,O0ZEvrwAAAAJ,"Amir Neori, Ph.D., a Research Fellow...",Dirección de correo verificada de univ.haifa.ac.il,"Morris Kahn Marine Research Station, Department of Marine Biology. Leon Charney School of Marine"
pwL_3ukAAAAJ,tlr2fqkAAAAJ,Charles Yarish,Dirección de correo verificada de uconn.edu,"Professor of Ecology & Evolutionary Biology, University of Connecticut"
pwL_3ukAAAAJ,Q_FuTD8AAAAJ,Julio A Vásquez,Dirección de correo verificada de ucn.cl,"Prof. Titular Departamento de Biología Marina, Universidad Católica del Norte"
pwL_3ukAAAAJ,X-63wtoAAAAJ,Sandra V. Pereda,Dirección de correo verificada de ulagos.cl,Centro i-mar Universidad de Los Lagos
pwL_3ukAAAAJ,a6cSVp4AAAAJ,Juan A. Correa,Dirección de correo verificada de bio.puc.cl,"Professor Departamento de Ecología, Facultad de Ciencias Biológicas, Pontificia Universidad Católica de Chile"
pwL_3ukAAAAJ,8e8yNDoAAAAJ,Isabel Sousa Pinto,Dirección de correo verificada de ciimar.up.pt,"Centre for Marine and Environmental Research and FCUP, University of Porto"
pwL_3ukAAAAJ,fYcWbSwAAAAJ,Luis Filun Villablanca,Dirección de correo verificada de ulagos.cl,Universidad de Los Lagos
pwL_3ukAAAAJ,aWsv7hUAAAAJ,Michael H Graham,Dirección de correo verificada de mlml.calstate.edu,"Professor of Marine Ecology, Moss Landing Marine Labs"
pwL_3ukAAAAJ,jI8ORYEAAAAJ,Alonso Vega Reyes,Dirección de correo verificada de ucn.cl,Programa de Doctorado Biologia y Ecologia Aplicada - Universidad Católica del Norte
pwL_3ukAAAAJ,2Va4AUEAAAAJ,George P. Kraemer,Dirección de correo verificada de purchase.edu,Purchase College (SUNY)
pwL_3ukAAAAJ,zl6IebwAAAAJ,Javier Infante Rosselot,Dirección de correo verificada de patagoniaseaweeds.com,Patagonia Seaweeds SpA.
pwL_3ukAAAAJ,Tgosdx4AAAAJ,Shawn Robinson,Dirección de correo verificada de dfo-mpo.gc.ca,Scientist at Fisheries and Oceans Canada
pwL_3ukAAAAJ,SUa9XUYAAAAJ,Dane Klinger,Dirección de correo verificada de stanford.edu,Stanford University
pwL_3ukAAAAJ,h07etS4AAAAJ,Sylvain Faugeron,Dirección de correo verificada de bio.puc.cl,Pontificia Universidad Catolica de Chile
pwL_3ukAAAAJ,-r4W6-QAAAAJ,Jose A. Zertuche-Gonzalez,Dirección de correo verificada de uabc.edu.mx,PROFESOR DE BOTANICA MARINA
pwL_3ukAAAAJ,gbLAY8sAAAAJ,Christopher D Neefus,Dirección de correo verificada de unh.edu,"Professor of Plant Biology, University of New Hampshire"
pwL_3ukAAAAJ,aQIdT6YAAAAJ,Martha Hengst,Dirección de correo verificada de ucn.cl,Universidad Católica del Norte
SV8GS1QAAAAJ,JsvLVQkAAAAJ,Luis Velasquez,Dirección de correo verificada de usek.cl,"USEK, UNAB, USACH y PUC"
SV8GS1QAAAAJ,zywiL_EAAAAJ,Claudio Cabello-Verrugio,Dirección de correo verificada de unab.cl,Universidad Andres Bello
SV8GS1QAAAAJ,DSQ3d6YAAAAJ,Mauricio A. Retamal,Dirección de correo verificada de udd.cl,"Universidad del Desarrollo, Centro de Fisiología Celular e Integrativa"
SV8GS1QAAAAJ,0E1mc2kAAAAJ,Lorena Varela-Nallar,Dirección de correo verificada de unab.cl,"Assistant Professor, Universidad Andres Bello"
SV8GS1QAAAAJ,-vFQMzEAAAAJ,Alvaro Becerra F,,Universidad Bernardo O’higgins
by9GKEUAAAAJ,D02-lBUAAAAJ,Vicenç Font Moll ( ORCID: 0000-0003-...,Dirección de correo verificada de ub.edu,Universitat de Barcelona. P. Honorario PUCP (Perú); P. Colaborador UESB (Br.) y ULagos (Ch)
by9GKEUAAAAJ,3v9N8IUAAAAJ,Juan D. Godino (orcid.org/0000-0001-...,Dirección de correo verificada de ugr.es,Universidad de Granada. Catedrático jubilado de Didáctica de la Matemática
by9GKEUAAAAJ,jlxfxsUAAAAJ,Walter Fernando Castro Gordillo,Dirección de correo verificada de udea.edu.co,Universidad de Antioquia
by9GKEUAAAAJ,0q7cOcQAAAAJ,Wilson Gordillo Thiriat,Dirección de correo verificada de udistrital.edu.co,Universidad Distrital Francisco José de Caldas
by9GKEUAAAAJ,9l9NAl4AAAAJ,Jesús Guadalupe Lugo-Armenta,Dirección de correo verificada de ulagos.cl,"Académico del Departamento de Ciencias Exactas, Universidad de Los Lagos"
by9GKEUAAAAJ,ZfPhB5wAAAAJ,Victor Larios Osorio,Dirección de correo verificada de uaq.mx,Doctor
by9GKEUAAAAJ,IRM3CXUAAAAJ,Oscar Molina,Dirección de correo verificada de pedagogica.edu.co,Universidad Pedagógica Nacional
by9GKEUAAAAJ,Fwvwfg8AAAAJ,Belén Giacomone (ORCID: 0000-0001...,Dirección de correo verificada de unirsm.sm,"University of San Marino, Republic of San Marino – University of Granada, Spain."
s-fafYQAAAAJ,pLQd6tQAAAAJ,Luis A. Cubillos,Dirección de correo verificada de udec.cl,Universidad de Concepción
s-fafYQAAAAJ,ix4C11IAAAAJ,Piers Dunstan,Dirección de correo verificada de csiro.au,CSIRO Oceans and Atmosphere
s-fafYQAAAAJ,F48Bo6cAAAAJ,Les Watling,Dirección de correo verificada de hawaii.edu,University of Hawaii at Manoa
s-fafYQAAAAJ,gLOAT_UAAAAJ,John M. Guinotte,Dirección de correo verificada de fws.gov,US Fish and Wildlife Service
s-fafYQAAAAJ,QRRSCXAAAAAJ,Jaime R. Rau,Dirección de correo verificada de ulagos.cl,"Profesor Titular, Depto. de Ciencias Biológicas & Biodiversidad, Universidad de Los Lagos, Campus"
s-fafYQAAAAJ,PRX0HaEAAAAJ,Javier A. Arata,Dirección de correo verificada de ark-krill.org,ARK
s-fafYQAAAAJ,z56ghZoAAAAJ,Paulina Helena Gebauer Mery,Dirección de correo verificada de ulagos.cl,Centro I-mar. Universidad de Lagos. Chile
s-fafYQAAAAJ,4mnGFJcAAAAJ,Jorge Cornejo-Donoso,Dirección de correo verificada de ifop.cl,IFOP Instituto de Fomento Pesquero
s-fafYQAAAAJ,Lw3y2q4AAAAJ,Audrey M. Darnaude,Dirección de correo verificada de cnrs.fr,"CNRS scientist, Montpellier university"
s-fafYQAAAAJ,dxCUOR0AAAAJ,Miguel Araya,Dirección de correo verificada de unap.cl,Universidad Arturo Prat
s-fafYQAAAAJ,Pk7BbA0AAAAJ,Philip Piccoli,Dirección de correo verificada de umd.edu,University of Maryland
s-fafYQAAAAJ,oAGqnfgAAAAJ,Ryan J. Woodland,Dirección de correo verificada de umces.edu,"Associate Professor, UMCES"
s-fafYQAAAAJ,EAYkKy0AAAAJ,M.Teresa González,Dirección de correo verificada de uantof.cl,"Associate Professor, University of Antofagasta, Chile "
s-fafYQAAAAJ,o6u0PNUAAAAJ,Donald F. Larson,Dirección de correo verificada de IIDES.org,IIDES
s-fafYQAAAAJ,WtDQgqQAAAAJ,Yun Li,Dirección de correo verificada de med.unc.edu,University of North Carolina
z56ghZoAAAAJ,sL0g3MMAAAAJ,Kurt Paschke,,profesor fisiología UACh
hmfvWy4AAAAJ,Mj2N5xQAAAAJ,Edison Pablo Reyes Aramburu,Dirección de correo verificada de udd.cl,"profesor de Fisiología, Universidad del Desarrollo"
hmfvWy4AAAAJ,JsvLVQkAAAAJ,Luis Velasquez,Dirección de correo verificada de usek.cl,"USEK, UNAB, USACH y PUC"
hmfvWy4AAAAJ,-jaNEe0AAAAJ,Claudio Coddou,Dirección de correo verificada de ucn.cl,Universidad Católica del Norte
hmfvWy4AAAAJ,Wk-e8hsAAAAJ,Dr. César Echeverría,Dirección de correo verificada de uda.cl,Universidad de Atacama
hmfvWy4AAAAJ,zywiL_EAAAAJ,Claudio Cabello-Verrugio,Dirección de correo verificada de unab.cl,Universidad Andres Bello
hmfvWy4AAAAJ,mumyKh8AAAAJ,Sergio Rey,Dirección de correo verificada de ucd.ie,"University College Dublin, School of Medicine"
hmfvWy4AAAAJ,o-ZBXlsAAAAJ,Víctor Cortés,Dirección de correo verificada de med.puc.cl,Pontificia Universidad Católica de Chile
hmfvWy4AAAAJ,zXSC-9oAAAAJ,Xavier Figueroa,Dirección de correo verificada de bio.puc.cl,Pontificia Universidad Católica de Chile
dEi_qTEAAAAJ,WZm7XKgAAAAJ,Anita Patricia Dorner Paris,Dirección de correo verificada de ulagos.cl,Universidad de Los Lagos Dpto de Salud
dEi_qTEAAAAJ,R-mkIakAAAAJ,Alexis Soto Salcedo,Dirección de correo verificada de umayor.cl,Escuela de Psicología Universidad Mayor Chile
dEi_qTEAAAAJ,2v_BeBAAAAAJ,Juan Guillermo Mansilla Sepúlveda,Dirección de correo verificada de uct.cl,"Profesor Investigador, Universidad Católica de Temuco"
dEi_qTEAAAAJ,3hUcJV8AAAAJ,German Moreno Leiva,Dirección de correo verificada de udla.cl,Universidad de las Américas
dEi_qTEAAAAJ,WECmoiwAAAAJ,Soraya Espinoza-Moraga,Dirección de correo verificada de ulagos.cl,"Trabajo Social , Universidad De Los Lagos"
dEi_qTEAAAAJ,-SIKk2UAAAAJ,"Prof. Ricardo F. Allegri, MD., PhD., FA...",Dirección de correo verificada de fleni.org.ar,"Instituto de Investigaciones Neurológicas (FLENI), Argentina; Universidad de la Costa (CUC) Colombia"
dEi_qTEAAAAJ,Yr5cv20AAAAJ,Ramon Armando Vivanco Muñoz,Dirección de correo verificada de ulagos.cl,Universidad de Los Lagos
dEi_qTEAAAAJ,tcduK9sAAAAJ,Sergio Chesta,Dirección de correo verificada de ufrontera.cl,Universidad de la Frontera - Universidad Mayor
dEi_qTEAAAAJ,LuHNzy0AAAAJ,Marcio Soto-Añari,Dirección de correo verificada de ucsp.edu.pe,"Universidad Católica San Pablo, Arequipa, Perú"
dEi_qTEAAAAJ,ATFF7ikAAAAJ,Francisco Ganga Contreras,Dirección de correo verificada de academicos.uta.cl,Universidad de Tarapacá
