id_gs,idco,nombre_coautor,dominio,cargo
KZ5TMuAAAAAJ,X5xPjmkAAAAJ,Samir Kouro,Dirección de correo verificada de usm.cl,Universidad Técnica Federico Santa María
KZ5TMuAAAAAJ,3itZwbsAAAAJ,Patricio Cortes,Dirección de correo verificada de usm.cl,"Universidad Tecnica Federico Santa Maria, Chile"
KZ5TMuAAAAAJ,FOKLmaQAAAAJ,Marco Esteban Rivera Abarca,Dirección de correo verificada de utalca.cl,"Full Professor, Department of Electrical Engineering, Universidad de Talca"
KZ5TMuAAAAAJ,c9ql-BAAAAAJ,Marcelo A. Perez,Dirección de correo verificada de usm.cl,Universidad Tecnica Federico Santa Maria
KZ5TMuAAAAAJ,Wk2naEgAAAAJ,José R. Espinoza,Dirección de correo verificada de udec.cl,"Professor, Electrical Engineering Department, Universidad de Concepción"
KZ5TMuAAAAAJ,-0gRNgsAAAAJ,Cesar Silva,Dirección de correo verificada de usm.cl,"Departamento de Electrónica, Universidad Técnica Federico Santa María, Chile"
KZ5TMuAAAAAJ,ImrRuDsAAAAJ,Pablo Lezana,Dirección de correo verificada de usm.cl,Universidad Técnica Federico Santa Maria
KZ5TMuAAAAAJ,8z38R2MAAAAJ,Pat Wheeler,Dirección de correo verificada de nottingham.ac.uk,University of Nottingham
KZ5TMuAAAAAJ,-sul52cAAAAJ,Leopoldo García Franquelo,Dirección de correo verificada de us.es,"Professor Dept. of Electronics Engineering, Universidad de Sevilla (University of Seville), Spain"
KZ5TMuAAAAAJ,onKbDaIAAAAJ,Margarita Norambuena,Dirección de correo verificada de usm.cl,"Research-Professor, Universidad Tecnica Federico Santa Maria"
KZ5TMuAAAAAJ,U1_r_C4AAAAJ,Christian Rojas,Dirección de correo verificada de ieee.org,Universidad Tecnica Federico Santa Maria
KZ5TMuAAAAAJ,VK95M7QAAAAJ,Jose I. Leon,Dirección de correo verificada de zipi.us.es,University of Seville
KZ5TMuAAAAAJ,tq6ihy0AAAAJ,Cristian Garcia,Dirección de correo verificada de utalca.cl,Universidad de Talca
KZ5TMuAAAAAJ,gggnQKsAAAAJ,Haithem Abu-Rub,Dirección de correo verificada de qatar.tamu.edu,"Professor, IEEE Fellow"
KZ5TMuAAAAAJ,LV5KnUcAAAAJ,Zhenbin Zhang (James),Dirección de correo verificada de sdu.edu.cn,"Professor in Electrical and Energy Engineering, at Shandong University, Jinan, China"
KZ5TMuAAAAAJ,h9hPvFMAAAAJ,Sergio Vazquez,Dirección de correo verificada de us.es,Associate Professor (Universidad de Sevilla)
KZ5TMuAAAAAJ,8IoHV-wAAAAJ,Davood A. Khaburi,Dirección de correo verificada de iust.ac.ir,Associate Professor - Iran University of Science and Technology (IUST)
KZ5TMuAAAAAJ,9WeLp14AAAAJ,Venkata Yaramasu,Dirección de correo verificada de nau.edu,"Associate Professor of Electrical Engineering, SICCS, Northern Arizona University, Flagstaff, AZ"
KZ5TMuAAAAAJ,SyIr8FUAAAAJ,Pericle Zanchetta,Dirección de correo verificada de nottingham.ac.uk,"Professor, University of Nottingham, UK"
KZ5TMuAAAAAJ,c1VhcpIAAAAJ,Marian P. Kazmierkowski,Dirección de correo verificada de isep.pw.edu.pl,Profesor in Power Electronics and Drives
-VDn0i0AAAAJ,mqrQU_wAAAAJ,Luis Ramon Domingo Asensi,Dirección de correo verificada de utopia.uv.es,CHEMISTRY IS NOT PHYSICS
-VDn0i0AAAAJ,ETVUJOgAAAAJ,Eduardo Chamorro,Dirección de correo verificada de unab.cl,Director Programa de Doctorado en Fisicoquímica Molecular. Universidad Andres Bello
-VDn0i0AAAAJ,sJ6FbwcAAAAJ,Mar Ríos Gutiérrez,Dirección de correo verificada de uv.es,"Ph.D. of Chemistry, Department of Organic Chemistry, University of Valencia"
ShntkWcAAAAJ,jUHWJGUAAAAJ,Orian Shirihai,Dirección de correo verificada de mednet.ucla.edu,"Professor of Medicine and Molecular and Medical Pharmacology, UCLA"
ShntkWcAAAAJ,ja_PHqAAAAAJ,Anthony Molina,Dirección de correo verificada de ucsd.edu,Associate Professor
ShntkWcAAAAJ,HoxZrNYAAAAJ,David Ferrick,Dirección de correo verificada de seahorsebio.com,Chief Scientific Officer
ShntkWcAAAAJ,em141fUAAAAJ,Lina María Ruiz Hincapié,Dirección de correo verificada de uautonoma.cl,Universidad Autónoma de Chile
ShntkWcAAAAJ,wklInmgAAAAJ,Junying Yuan,Dirección de correo verificada de hms.harvard.edu,harvard medical school
ShntkWcAAAAJ,gxPHzoMAAAAJ,Min Wu (吴敏),Dirección de correo verificada de bidmc.harvard.edu,Beth Israel Deaconess Medical Center and Harvard Medical School
ShntkWcAAAAJ,zywiL_EAAAAJ,Claudio Cabello-Verrugio,Dirección de correo verificada de unab.cl,Universidad Andres Bello
ShntkWcAAAAJ,FpaGnXUAAAAJ,Anne N. Murphy,Dirección de correo verificada de ucsd.edu,"Professor of Pharmacology, University of California San Diego"
ShntkWcAAAAJ,7t6BYMkAAAAJ,Gabriel Leon,Dirección de correo verificada de unab.cl,Center for Science Communication
ShntkWcAAAAJ,HZcIGI4AAAAJ,Martin D Brand,Dirección de correo verificada de buckinstitute.org,Buck Institute for Research on Aging
ShntkWcAAAAJ,8MJCGyAAAAAJ,Ma. Cecilia Opazo,Dirección de correo verificada de udla.cl,Académico Investiagdor Universidad de las Américas
ShntkWcAAAAJ,B-e-_SMAAAAJ,Dr. Alexis Kalergis,Dirección de correo verificada de bio.puc.cl,Full Professor Pontificia Universidad Católica de Chile
ShntkWcAAAAJ,_KlfIL8AAAAJ,Hanna Mikkola,Dirección de correo verificada de mcdb.ucla.edu,"Professor, UCLA"
ShntkWcAAAAJ,n0k92DYAAAAJ,Alfredo Molina,Dirección de correo verificada de unab.cl,universidad andres bello
ShntkWcAAAAJ,caX2l48AAAAJ,Giancarlo V. De Ferrari,Dirección de correo verificada de unab.cl,"Full Professor, Universidad Andres Bello"
ETVUJOgAAAAJ,-VDn0i0AAAAJ,Patricia Perez,Dirección de correo verificada de unab.cl,Universidad Andres Bello
ETVUJOgAAAAJ,mqrQU_wAAAAJ,Luis Ramon Domingo Asensi,Dirección de correo verificada de utopia.uv.es,CHEMISTRY IS NOT PHYSICS
ETVUJOgAAAAJ,VzOkXYQAAAAJ,patricio fuentealba,Dirección de correo verificada de u.uchile.cl,profesor de fisica Uch
ETVUJOgAAAAJ,b6Re1F0AAAAJ,Juan Santos,Dirección de correo verificada de edu.uai.cl,Profesor Fisicoquímica
ETVUJOgAAAAJ,cY4OPYsAAAAJ,Rafael Notario,Dirección de correo verificada de iqfr.csic.es,Profesor de Investigacion (CSIC)
ETVUJOgAAAAJ,bK7WK8IAAAAJ,Pratim Kumar Chattaraj,Dirección de correo verificada de chem.iitkgp.ernet.in,"Professor of Chemistry, Indian Institute of Technology Kharagpur"
ETVUJOgAAAAJ,AcIVuwMAAAAJ,Alejandro Toro-Labbe,Dirección de correo verificada de puc.cl,"Laboratorio de Química Teórica Computacional (QTC), Pontificia Universidad Catolica de Chile"
ETVUJOgAAAAJ,QavRsWQAAAAJ,Carlos Cardenas,Dirección de correo verificada de uchile.cl,"Associate Professor, Universidad de Chile"
ETVUJOgAAAAJ,zfh2jDwAAAAJ,Jairo Quijano Tobon,Dirección de correo verificada de unal.edu.co,Universidad Nacional de Colombia
ETVUJOgAAAAJ,sJ6FbwcAAAAJ,Mar Ríos Gutiérrez,Dirección de correo verificada de uv.es,"Ph.D. of Chemistry, Department of Organic Chemistry, University of Valencia"
ETVUJOgAAAAJ,XKdWUCcAAAAJ,Badhin Gómez Valdez,Dirección de correo verificada de ucsm.edu.pe,"Profesor Investigador, Universidad Católica de Santa María"
ETVUJOgAAAAJ,ufhj9BIAAAAJ,Paul W. Ayers,Dirección de correo verificada de chemistry.mcmaster.ca,"Professor of Chemistry & Chemical Biology, McMaster University"
ETVUJOgAAAAJ,qRD50m4AAAAJ,Gabriel Merino,Dirección de correo verificada de cinvestav.mx,"Applied Physics Department,  Cinvestav, Merida. Mexico"
ETVUJOgAAAAJ,xtmjNegAAAAJ,Paula Jaramillo,Dirección de correo verificada de unila.edu.br,pos-doutorado Universidade de São Paulo
ETVUJOgAAAAJ,PewOAmMAAAAJ,William Tiznado Vásquez,Dirección de correo verificada de unab.cl,"Profesor de Química, Universidad Andres Bello, Chile"
ETVUJOgAAAAJ,NoPM3f8AAAAJ,Rafael Islas,Dirección de correo verificada de unab.cl,Universidad Andres Bello
ETVUJOgAAAAJ,XVncY7IAAAAJ,Juvencio Robles,Dirección de correo verificada de ugto.mx,"University of Guanajuato, Mexico."
ETVUJOgAAAAJ,exeQjFwAAAAJ,Thomas Heine,Dirección de correo verificada de tu-dresden.de,Professor of Theoretical Chemistry
ETVUJOgAAAAJ,jf47PUcAAAAJ,Santi Nonell,Dirección de correo verificada de iqs.es,IQS-University Ramon Llull
ETVUJOgAAAAJ,7a-rc-8AAAAJ,Marcelo Galvan,Dirección de correo verificada de xanum.uam.mx,Universidad Autónoma Metropolitana Iztapalapa
zywiL_EAAAAJ,vbnx8_sAAAAJ,"Enrique Brandan, Ph.D.",Dirección de correo verificada de bio.puc.cl,Universidad Católica de Chile
zywiL_EAAAAJ,UF1ZO8MAAAAJ,Maria Gabriela Morales,Dirección de correo verificada de utsouthwestern.edu,University of Texas Southwestern Medical Center
zywiL_EAAAAJ,dIAp6BQAAAAJ,Cecilia Riquelme,Dirección de correo verificada de bio.puc.cl,"Adjunct Assistant Professor, School of Biological Sciences, P. Catholic University of Chile"
zywiL_EAAAAJ,3QjSMq0AAAAJ,Carlos P Vio,Dirección de correo verificada de uss.cl,Universidad San Sebastian
zywiL_EAAAAJ,VvU3h6wAAAAJ,Cecilia Vial,Dirección de correo verificada de udd.cl,"Associate Professor, Universidad del Desarrollo"
n7F84BEAAAAJ,5quOURAAAAAJ,Dominique Sluse,Dirección de correo verificada de uliege.be,STAR Institute (University of Liège)
n7F84BEAAAAJ,egS7TK0AAAAJ,Damien Hutsemékers,Dirección de correo verificada de uliege.be,"FNRS, University of Liège"
n7F84BEAAAAJ,cn9uqN4AAAAJ,Manuel Aravena,Dirección de correo verificada de mail.udp.cl,"Professor of Astrophysics, Universidad Diego Portales"
n7F84BEAAAAJ,TmnlkwoAAAAJ,Frederic Courbin,Dirección de correo verificada de epfl.ch,Ecole Polytechnique Fédérale de Lausanne
n7F84BEAAAAJ,R0i1ha8AAAAJ,Felipe Barrientos,Dirección de correo verificada de astro.puc.cl,"Profesor de Astronomia, P. Universidad Catolica de Chile"
n7F84BEAAAAJ,EDaYupAAAAAJ,Jean-Paul KNEIB,Dirección de correo verificada de epfl.ch,"Laboratoire d'Astrophysique, EPFL"
n7F84BEAAAAJ,iUlPKN4AAAAJ,Chris Fassnacht,Dirección de correo verificada de ucdavis.edu,"University of California, Davis"
n7F84BEAAAAJ,rAl3x3kAAAAJ,Luigi Mancini,Dirección de correo verificada de roma2.infn.it,"Department of Physics, University of Rome Tor Vergata"
n7F84BEAAAAJ,cy6zM7sAAAAJ,Phil Marshall,Dirección de correo verificada de slac.stanford.edu,SLAC National Accelerator Laboratory
GYbT_iIAAAAJ,Mr19oawAAAAJ,Alvaro Muñoz-Castro,Dirección de correo verificada de uautonoma.cl,Universidad Autonoma de Chile
GYbT_iIAAAAJ,kMKmPeoAAAAJ,Dayán Páez-Hernández,Dirección de correo verificada de unab.cl,Universidad Andres Bello
GYbT_iIAAAAJ,6FYqjJEAAAAJ,Eduardo Schott,Dirección de correo verificada de uc.cl,Pontificia Universidad Catolica de Chile
GYbT_iIAAAAJ,qarTv4UAAAAJ,Ximena Zarate,Dirección de correo verificada de uautonoma.cl,"Universidad Autónoma de Chile, Instituto de Ciencias Químicas Aplicadas"
GYbT_iIAAAAJ,Lj_guSEAAAAJ,Desmond MacLeod-Carey Castro,Dirección de correo verificada de uautonoma.cl,Universidad Autonoma de Chile
GYbT_iIAAAAJ,xWVY6U4AAAAJ,Rodrigo Ramirez-Tagle,Dirección de correo verificada de uac.cl,Universidad de Aconcagua
GYbT_iIAAAAJ,cog8ZFkAAAAJ,Dr. Alexander Carreno G.,Dirección de correo verificada de uc.cl,"Profesor Asistente, Centro de Nanociencias Aplicadas (CANS), UNAB"
GYbT_iIAAAAJ,1RvEdlUAAAAJ,juan m.manriquez,Dirección de correo verificada de uc.cl,"professor titular, universidad catolica de chile"
GYbT_iIAAAAJ,fY6J1xMAAAAJ,Walter A. Rabanal-León,Dirección de correo verificada de udec.cl,Universidad de Concepción / Assistant professor
GYbT_iIAAAAJ,5CjM0_IAAAAJ,Plinio Cantero-López,Dirección de correo verificada de uandresbello.edu,"MSc in Chemistry /Ph.D. in Molecular Physical Chemistry,Universidad Andrés Bello"
GYbT_iIAAAAJ,a657lGAAAAAJ,Cristian Antonio Linares-Flores,Dirección de correo verificada de uautonoma.cl,Universidad Autonoma de Chile
GYbT_iIAAAAJ,vjUabgsAAAAJ,José H Zagal  FRSC,Dirección de correo verificada de usach.cl,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile"
GYbT_iIAAAAJ,kKBp14AAAAAJ,Carolina Otero,Dirección de correo verificada de unab.cl,Associate Professor
GYbT_iIAAAAJ,yK94vQ4AAAAJ,María Joaquina Beltrán-Leiva,Dirección de correo verificada de lanl.gov,Los Alamos National Lab
GYbT_iIAAAAJ,4-P64C8AAAAJ,Juliana Murillo,Dirección de correo verificada de uandresbello.edu,Universidad Andrés Bello
GYbT_iIAAAAJ,xFdr8CUAAAAJ,Tatiana Gómez Cano,Dirección de correo verificada de uautonoma.cl,assistant professor Universidad Autónoma de Chile
GYbT_iIAAAAJ,cmBNQasAAAAJ,Zhiping zheng,Dirección de correo verificada de email.arizona.edu,University of Arizona
