id_gs,idco,nombre_coautor,dominio,cargo
v3jx2KQAAAAJ,jzt0JowAAAAJ,Marco A. Molina-Montenegro,Dirección de correo verificada de utalca.cl,Full Professor
v3jx2KQAAAAJ,nd_c5D8AAAAJ,claudio bonghi,Dirección de correo verificada de unipd.it,"associate professor, University of Padova"
v3jx2KQAAAAJ,tJbvaqMAAAAJ,Livio Trainotti,Dirección de correo verificada de unipd.it,University of Padua
v3jx2KQAAAAJ,htlQDikAAAAJ,Ann Callahan,Dirección de correo verificada de ars.usda.gov,"Research Geneticist, USDA-ARS, Appalachian Fruit Research Station"
v3jx2KQAAAAJ,W1PO3esAAAAJ,Chris Dardick,Dirección de correo verificada de ars.usda.gov,USDA ARS Appalachian Fruit Research Station
2KDirZQAAAAJ,7cR6uVQAAAAJ,Pedro Buc Calderon,Dirección de correo verificada de uclouvain.be,université catholique de Louvain
sjoUeIcAAAAJ,8qmxol8AAAAJ,Ricard Marcos,Dirección de correo verificada de uab.es,Universitat Autonoma de Barcelona
sjoUeIcAAAAJ,iX50-m4AAAAJ,G. Recio-Sánchez,Dirección de correo verificada de uss.cl,Universidad de San sebastián
sjoUeIcAAAAJ,_jPlxJUAAAAJ,Jorge Parodi,Dirección de correo verificada de tonalli-ltda.com,Tonalli ltda
sjoUeIcAAAAJ,OjoSgUYAAAAJ,MARJORIE MARIANELA REYES DIAZ,Dirección de correo verificada de ufrontera.cl,"Profesor, Departamento de Ciencias Químicas y Recursos Naturales, Universidad de La Frontera"
sjoUeIcAAAAJ,MM0fzDkAAAAJ,Ricardo Tighe-Neira,Dirección de correo verificada de uct.cl,"Ingeniero Agrónomo, Universidad Católica de Temuco"
sjoUeIcAAAAJ,wdH7UekAAAAJ,"Rengel, Zed",Dirección de correo verificada de uwa.edu.au,The University of Western Australia
sjoUeIcAAAAJ,r74Km1YAAAAJ,Laura Rubio,Dirección de correo verificada de uab.cat,Universitat Autònoma de Barcelona (UAB)
sjoUeIcAAAAJ,up7dV9YAAAAJ,FELIPE CAREVIC,Dirección de correo verificada de unap.cl,Universidad Arturo Prat
sjoUeIcAAAAJ,hZh94aEAAAAJ,Marcelo M. Rivadeneira,Dirección de correo verificada de ceaza.cl,"Senior Researcher at Centro de Estudios Avanzados en Zonas Aridas (CEAZA), Coquimbo, Chile"
sjoUeIcAAAAJ,f9J2-zsAAAAJ,Allisson Astuya Villalón,Dirección de correo verificada de udec.cl,Universidad de Concepción
sjoUeIcAAAAJ,COYUI04AAAAJ,"Elk Kossatz, PhD",Dirección de correo verificada de imim.es,IMIM-Hospital del Mar Research Institute
sjoUeIcAAAAJ,2CzDBjIAAAAJ,Jacobo Hernandez-Montelongo,Dirección de correo verificada de uct.cl,"Department of Mathematical and Physical Sciences, UC-Temuco"
sjoUeIcAAAAJ,QQDQF20AAAAJ,Wilser Andrés García Quispes,Dirección de correo verificada de unmsm.edu.pe,"Docente Auxiliar, Universidad Nacional Mayor de San Marcos"
sjoUeIcAAAAJ,gEXTESQAAAAJ,Hector Pesenti,Dirección de correo verificada de uct.cl,Universidad Católica de Temuco
qRDjOuYAAAAJ,pLQd6tQAAAAJ,Luis A. Cubillos,Dirección de correo verificada de udec.cl,Universidad de Concepción
dpu22_gAAAAJ,siGiupwAAAAJ,Leonel Rojo,Dirección de correo verificada de usach.cl,HEAD PHARMACY PROGRAM UNIVERSIDAD DE SANTIAGO DE CHILE
dpu22_gAAAAJ,up7dV9YAAAAJ,FELIPE CAREVIC,Dirección de correo verificada de unap.cl,Universidad Arturo Prat
dpu22_gAAAAJ,Y-KJRwoAAAAJ,Philip W. Rundel,Dirección de correo verificada de biology.ucla.edu,"Ecology and Evolutionary Biology, University of California"
dpu22_gAAAAJ,rzsW90EAAAAJ,Harold Mooney,Dirección de correo verificada de stanford.edu,"Professor of Biology Emeritus,  Stanford University"
dpu22_gAAAAJ,90FEwyoAAAAJ,James Ehleringer,Dirección de correo verificada de utah.edu,University of Utah
_GwANtMAAAAJ,He4a1y8AAAAJ,Carlos Piñones Rivera,Dirección de correo verificada de academicos.uta.cl,"Universidad de Tarapacá, Chile"
_GwANtMAAAAJ,qIN103cAAAAJ,Alexis Sossa Rojas,Dirección de correo verificada de uc.cl,University of Amsterdam / CEDLA
_GwANtMAAAAJ,cJ1VC_QAAAAJ,Mariela Mosqueira,Dirección de correo verificada de uba.ar,CEIL CONICET - UBA
_GwANtMAAAAJ,9VMc1PoAAAAJ,Luis Alberto Orellana Urtubia,,"Instituto de Estudios Internacionales, Universidad Arturo Prat"
_GwANtMAAAAJ,Sf-nIJgAAAAJ,Constanza Velez,,Universidad Arturo Prat
