id_gs,idco,nombre_coautor,dominio,cargo
TcfgAAMAAAAJ,nQ_TNGwAAAAJ,Keivan G. Stassun,Dirección de correo verificada de vanderbilt.edu,"Professor of Physics and Astronomy, Vanderbilt University"
TcfgAAMAAAAJ,ZOSXByoAAAAJ,Gabriel A. P. Franco,Dirección de correo verificada de fisica.ufmg.br,"Departamento de Fisica, ICEx, UFMG"
TcfgAAMAAAAJ,bdl7BsgAAAAJ,Jacques Lepine,Dirección de correo verificada de iag.usp.br,"Professor of Astronomy, University of Sao Paulo"
TcfgAAMAAAAJ,5OP39wwAAAAJ,Roberto Ortiz,Dirección de correo verificada de usp.br,"Professor de Astronomia, Universidade de São Paulo"
TcfgAAMAAAAJ,SIUFK0kAAAAJ,Alberto Rodríguez-Ardila,Dirección de correo verificada de lna.br,Laboratório Nacional de Astrofísica
TcfgAAMAAAAJ,iG_BJ8cAAAAJ,Diego Falceta-Gonçalves,Dirección de correo verificada de usp.br,Full Professor at the University of São Paulo
TcfgAAMAAAAJ,5U4toWkAAAAJ,Benoit Neichel,Dirección de correo verificada de lam.fr,Laboratoire d'Astrophysique de Marseille
FcH8Zc8AAAAJ,kXhEFMkAAAAJ,Domingo Anibal Garcia Hernandez,Dirección de correo verificada de iac.es,"Científico Titular, Instituto de Astrofísica de Canarias, Universidad de La Laguna"
FcH8Zc8AAAAJ,IP0KMQwAAAAJ,José G. Fernández-Trincado,Dirección de correo verificada de ucn.cl,Universidad Católica del Norte (Chile)
FcH8Zc8AAAAJ,Yr5IIFEAAAAJ,Joel R. Brownstein,Dirección de correo verificada de physics.utah.edu,University of Utah
FcH8Zc8AAAAJ,36p6QzkAAAAJ,David R. Law,Dirección de correo verificada de stsci.edu,STScI
FcH8Zc8AAAAJ,A49XqFYAAAAJ,Carlos G. Román-Zúñiga,Dirección de correo verificada de astro.unam.mx,"Investigador Titular, Instituto de Astronomía, Universidad Nacional Autónoma de México"
FcH8Zc8AAAAJ,nQ_TNGwAAAAJ,Keivan G. Stassun,Dirección de correo verificada de vanderbilt.edu,"Professor of Physics and Astronomy, Vanderbilt University"
FcH8Zc8AAAAJ,wLhyxFAAAAAJ,Renbin Yan,Dirección de correo verificada de cuhk.edu.hk,The Chinese University of Hong Kong
R9ntLLQAAAAJ,sjUP6dsAAAAJ,Fernando Valladares,Dirección de correo verificada de ccma.csic.es,"Research Professor at CSIC, Madrid, Spain"
R9ntLLQAAAAJ,XEDUFHkAAAAJ,Cristian Salgado-Luarte,Dirección de correo verificada de userena.cl,Universidad de La Serena
R9ntLLQAAAAJ,jzt0JowAAAAJ,Marco A. Molina-Montenegro,Dirección de correo verificada de utalca.cl,Full Professor
R9ntLLQAAAAJ,rbm0YeIAAAAJ,Alfredo Saldaña,Dirección de correo verificada de udec.cl,"Depto. de Botánica, Universidad de Concepción, Chile."
R9ntLLQAAAAJ,L5bep3EAAAAJ,Rodrigo S Rios,Dirección de correo verificada de userena.cl,"Associate professor, Universidad de La Serena"
R9ntLLQAAAAJ,O99LeZsAAAAJ,Gisela C. Stotz,Dirección de correo verificada de unab.cl,Universidad Andrés Bello
R9ntLLQAAAAJ,6xRDyPAAAAAJ,Silvia Matesanz,Dirección de correo verificada de urjc.es,Associate Professor (URJC)
R9ntLLQAAAAJ,6v1fZoIAAAAJ,Marcia González-Teuber,Dirección de correo verificada de ucsc.cl,UCSC
R9ntLLQAAAAJ,BWox9YYAAAAJ,Víctor Manuel Escobedo Echeverría,Dirección de correo verificada de utalca.cl,Universidad de Talca
R9ntLLQAAAAJ,XIaSoXMAAAAJ,Susana Gómez-González,Dirección de correo verificada de uca.es,Universidad de Cádiz
R9ntLLQAAAAJ,wuVKFgYAAAAJ,Daniel Naya,Dirección de correo verificada de fcien.edu.uy,"Associate Professor, Ecology and Evolution, Universidad de la República"
R9ntLLQAAAAJ,_-e3ImsAAAAJ,Patricia C. Guerra,Dirección de correo verificada de userena.cl,Universidad de La Serena
R9ntLLQAAAAJ,Rlh3Pm4AAAAJ,Sandra M Durán,Dirección de correo verificada de umn.edu,University of Minnesota
R9ntLLQAAAAJ,FkzNNAUAAAAJ,Kattia Palacio-Lopez,Dirección de correo verificada de osu.edu,The Ohio State University
R9ntLLQAAAAJ,XCH4AZwAAAAJ,Alejandro G. Farji-Brener,Dirección de correo verificada de crub.uncoma.edu.ar,"CONICET y CRUB-UNComa, Argentina"
R9ntLLQAAAAJ,fT99RewAAAAJ,Lohengrin Cavieres,Dirección de correo verificada de udec.cl,Universidad de Concepcion
R9ntLLQAAAAJ,wJZsuVsAAAAJ,Francisco Bozinovic,Dirección de correo verificada de bio.puc.cl,"CAPES & Departamento de Ecología, Universidad Católica de Chile"
R9ntLLQAAAAJ,ietkFRgAAAAJ,James (JC) Cahill,Dirección de correo verificada de ualberta.ca,"Department of Biological Sciences, University of Alberta"
R9ntLLQAAAAJ,n27kvJwAAAAJ,Diego Vázquez,Dirección de correo verificada de mendoza-conicet.gob.ar,"Instituto Argentino de Investigaciones de las Zonas Áridas, CONICET and Universidad Nacional de Cuyo"
R9ntLLQAAAAJ,PJxUrloAAAAJ,Ian S. Acuña-Rodríguez,Dirección de correo verificada de ecotropics.org,Ecotropics Foundation
tuNjt5gAAAAJ,4Ip8XzkAAAAJ,Laura Pentericci,Dirección de correo verificada de oa-roma.inaf.it,INAF
tuNjt5gAAAAJ,HuG4B4oAAAAJ,Nimish P. Hathi,Dirección de correo verificada de stsci.edu,Space Telescope Science Institute (STScI)
tuNjt5gAAAAJ,mq6cQ3QAAAAJ,Anton M. Koekemoer,Dirección de correo verificada de stsci.edu,Space Telescope Science Institute
tuNjt5gAAAAJ,PQyB-zEAAAAJ,Jose M. Vilchez,Dirección de correo verificada de iaa.es,"Research Professor - Instituto de Astrofisica de Andalucia (CSIC, Spain)"
tuNjt5gAAAAJ,QOn-wRYAAAAJ,Lucia Guaita,Dirección de correo verificada de mail.udp.cl,Universidad Diego Portales
tuNjt5gAAAAJ,XWDJxcAAAAAJ,Sandro Bardelli,Dirección de correo verificada de inaf.it,INAF-Osservatorio di Astrofisica e Scienza dello Spazio
tuNjt5gAAAAJ,Wf2ymHkAAAAJ,James S. Dunlop,Dirección de correo verificada de roe.ac.uk,"Professor of Extragalactic Astronomy, University of Edinburgh"
tuNjt5gAAAAJ,o0z1qgQAAAAJ,Fergus Cullen,Dirección de correo verificada de roe.ac.uk,"Postdoctoral Associate, University of Edinburgh"
tuNjt5gAAAAJ,Vg7eMUsAAAAJ,Casiana Muñoz-Tuñon,Dirección de correo verificada de iac.es,"Senior Research , Instituto de Astrofísica de Canarias (IAC), Universidad de la Laguna (ULL)"
tuNjt5gAAAAJ,zo6QsTAAAAAJ,Kasper B. Schmidt,Dirección de correo verificada de aip.de,Leibniz-Institut für Astrophysik Potsdam (AIP)
tuNjt5gAAAAJ,cF5CldkAAAAJ,Marusa Bradac,Dirección de correo verificada de physics.ucdavis.edu,"Professor, Physics Department, UCDavis"
tuNjt5gAAAAJ,U6ExNJkAAAAJ,Austin Hoag,Dirección de correo verificada de ucdavis.edu,"Postdoctoral Scholar, UCLA"
tuNjt5gAAAAJ,MyqMuWEAAAAJ,Roberto Maiolino,Dirección de correo verificada de mrao.cam.ac.uk,"Cavendish Laboratory - Kavli Institute for Cosmology, University of Cambridge"
tuNjt5gAAAAJ,o4MuRUEAAAAJ,Kuang-Han Huang,Dirección de correo verificada de ucdavis.edu,University of California Davis
tuNjt5gAAAAJ,7XOH-KkAAAAJ,Andrea Comastri,Dirección de correo verificada de inaf.it,"Senior Astronomer, Director INAF Astrophysics and Space Science Observatory,  Bologna"
tuNjt5gAAAAJ,FHu8_fAAAAAJ,Sandra Faber,Dirección de correo verificada de ucsc.edu,"Professor Emerita, University of California Santa Cruz"
tuNjt5gAAAAJ,f7yH4MMAAAAJ,Henry Ferguson,Dirección de correo verificada de stsci.edu,Space Telescope Science Institute
tuNjt5gAAAAJ,Ox7wIPAAAAAJ,David Elbaz,Dirección de correo verificada de cea.fr,Astronomer at CEA Saclay astrophysics department
tuNjt5gAAAAJ,Zc8npDEAAAAJ,N. Cappelluti,Dirección de correo verificada de miami.edu,University of Miami
tuNjt5gAAAAJ,fkXHjKkAAAAJ,Stefano Cristiani,Dirección de correo verificada de inaf.it,INAF
f4KcEYUAAAAJ,82dFPBsAAAAJ,Roberto Gamen,Dirección de correo verificada de fcaglp.unlp.edu.ar,Investigador independiente del CONICET. Profesor adjunto de la Universidad Nacional de La Plata
f4KcEYUAAAAJ,hibFV6gAAAAJ,Julia I. Arias,Dirección de correo verificada de dfuls.cl,Universidad de La Serena
f4KcEYUAAAAJ,DGrbk28AAAAJ,Alfredo Sota,Dirección de correo verificada de iaa.es,Instituto de Astrofísica de Andalucía
f4KcEYUAAAAJ,PZUi8p0AAAAJ,Virpi Sinikka Niemela,Dirección de correo verificada de fcaglp.unlp.edu.ar,"Astrónoma, UNLP"
f4KcEYUAAAAJ,ejYvw6AAAAAJ,Monica Rubio,Dirección de correo verificada de das.uchile.cl,"Professor Astronomy Department, Universidad de Chile"
f4KcEYUAAAAJ,Y4_U6xgAAAAJ,Ignacio Negueruela,Dirección de correo verificada de ua.es,Universidad de Alicante
