id_gs,idco,nombre_coautor,dominio,cargo
X5xPjmkAAAAJ,KZ5TMuAAAAAJ,Jose Rodriguez,Dirección de correo verificada de unab.cl,"Professor, Engineering Faculty, Universidad Andres Bello"
X5xPjmkAAAAJ,VK95M7QAAAAJ,Jose I. Leon,Dirección de correo verificada de zipi.us.es,University of Seville
X5xPjmkAAAAJ,-sul52cAAAAJ,Leopoldo García Franquelo,Dirección de correo verificada de us.es,"Professor Dept. of Electronics Engineering, Universidad de Sevilla (University of Seville), Spain"
X5xPjmkAAAAJ,c9ql-BAAAAAJ,Marcelo A. Perez,Dirección de correo verificada de usm.cl,Universidad Tecnica Federico Santa Maria
X5xPjmkAAAAJ,3itZwbsAAAAJ,Patricio Cortes,Dirección de correo verificada de usm.cl,"Universidad Tecnica Federico Santa Maria, Chile"
X5xPjmkAAAAJ,9WeLp14AAAAJ,Venkata Yaramasu,Dirección de correo verificada de nau.edu,"Associate Professor of Electrical Engineering, SICCS, Northern Arizona University, Flagstaff, AZ"
X5xPjmkAAAAJ,h9hPvFMAAAAJ,Sergio Vazquez,Dirección de correo verificada de us.es,Associate Professor (Universidad de Sevilla)
X5xPjmkAAAAJ,7kF1RSMAAAAJ,Sebastian Rivera,Dirección de correo verificada de ieee.org,"Associate Professor, Universidad de los Andes"
X5xPjmkAAAAJ,nv4fvLcAAAAJ,Mariusz Malinowski,Dirección de correo verificada de isep.pw.edu.pl,Warsaw University of Technology (Politechnika Warszawska)
X5xPjmkAAAAJ,U1_r_C4AAAAJ,Christian Rojas,Dirección de correo verificada de ieee.org,Universidad Tecnica Federico Santa Maria
X5xPjmkAAAAJ,-m31jK4AAAAJ,Ramon Portillo,Dirección de correo verificada de us.es,Universidad de Sevilla
X5xPjmkAAAAJ,I2XhAOsAAAAJ,Navid Zargari,Dirección de correo verificada de ra.rockwell.com,Rockwell Automation
X5xPjmkAAAAJ,w2atQtwAAAAJ,Dmitri Vinnikov,Dirección de correo verificada de taltech.ee,"Research Professor, Power Electronics Group, Tallinn University of Technology"
X5xPjmkAAAAJ,DevuWQQAAAAJ,Salvador Alepuz,Dirección de correo verificada de tecnocampus.cat,Tecnocampus Mataró-Maresme (Universitat Pompeu Fabra)
X5xPjmkAAAAJ,TnbzESMAAAAJ,Maria Angeles Martin Prats,Dirección de correo verificada de us.es,Associate Professor at University of Seville (Spain)
X5xPjmkAAAAJ,uQ16sMcAAAAJ,Ricardo Lizana,Dirección de correo verificada de ucsc.cl,Universidad Catolica de la Santisima Concepción
X5xPjmkAAAAJ,iAaZ5igAAAAJ,MEYNARD Thierry,Dirección de correo verificada de laplace.univ-tlse.fr,Laboratoire LAPLACE - Université de Toulouse
X5xPjmkAAAAJ,gggnQKsAAAAJ,Haithem Abu-Rub,Dirección de correo verificada de qatar.tamu.edu,"Professor, IEEE Fellow"
X5xPjmkAAAAJ,ImrRuDsAAAAJ,Pablo Lezana,Dirección de correo verificada de usm.cl,Universidad Técnica Federico Santa Maria
X5xPjmkAAAAJ,zvLGLNgAAAAJ,Jaime Zapata Amores,Dirección de correo verificada de ieee.org,Infineon Technologies
3itZwbsAAAAJ,KZ5TMuAAAAAJ,Jose Rodriguez,Dirección de correo verificada de unab.cl,"Professor, Engineering Faculty, Universidad Andres Bello"
3itZwbsAAAAJ,X5xPjmkAAAAJ,Samir Kouro,Dirección de correo verificada de usm.cl,Universidad Técnica Federico Santa María
3itZwbsAAAAJ,-0gRNgsAAAAJ,Cesar Silva,Dirección de correo verificada de usm.cl,"Departamento de Electrónica, Universidad Técnica Federico Santa María, Chile"
3itZwbsAAAAJ,-sul52cAAAAJ,Leopoldo García Franquelo,Dirección de correo verificada de us.es,"Professor Dept. of Electronics Engineering, Universidad de Sevilla (University of Seville), Spain"
