id_gs,idco,nombre_coautor,dominio,cargo
FOKLmaQAAAAJ,KZ5TMuAAAAAJ,Jose Rodriguez,Dirección de correo verificada de unab.cl,"Professor, Engineering Faculty, Universidad Andres Bello"
FOKLmaQAAAAJ,8z38R2MAAAAJ,Pat Wheeler,Dirección de correo verificada de nottingham.ac.uk,University of Nottingham
FOKLmaQAAAAJ,Wk2naEgAAAAJ,José R. Espinoza,Dirección de correo verificada de udec.cl,"Professor, Electrical Engineering Department, Universidad de Concepción"
FOKLmaQAAAAJ,YwQuZr0AAAAJ,Javier Munoz,Dirección de correo verificada de utalca.cl,Universidad de Talca
FOKLmaQAAAAJ,9WeLp14AAAAJ,Venkata Yaramasu,Dirección de correo verificada de nau.edu,"Associate Professor of Electrical Engineering, SICCS, Northern Arizona University, Flagstaff, AZ"
FOKLmaQAAAAJ,nnR1yjAAAAAJ,Raul Gregor,Dirección de correo verificada de ing.una.py,"Laboratory of Power and Control Systems, Facultad de Ingeniería, Universidad Nacional de Asunción"
FOKLmaQAAAAJ,U1_r_C4AAAAJ,Christian Rojas,Dirección de correo verificada de ieee.org,Universidad Tecnica Federico Santa Maria
FOKLmaQAAAAJ,ki2DjVkAAAAJ,Carlos R. Baier,Dirección de correo verificada de utalca.cl,"Departamento de Ingeniería Eléctrica, Universidad de Talca"
FOKLmaQAAAAJ,m5ilgx8AAAAJ,Sergio Ramón Toledo Gallardo,Dirección de correo verificada de ing.una.py,Engineering Faculty - Universidad Nacional de Asunción
FOKLmaQAAAAJ,R9PE5fMAAAAJ,Jorge Esteban Rodas Benítez,Dirección de correo verificada de ing.una.py,"Facultad de Ingeniería, Universidad Nacional de Asunción"
FOKLmaQAAAAJ,0EMhA8AAAAAJ,Johann Kolar,Dirección de correo verificada de lem.ee.ethz.ch,"Professor für Leistungselektronik, ETH Zürich"
FOKLmaQAAAAJ,SyIr8FUAAAAJ,Pericle Zanchetta,Dirección de correo verificada de nottingham.ac.uk,"Professor, University of Nottingham, UK"
FOKLmaQAAAAJ,elPYGv4AAAAJ,Jose A. Riveros,Dirección de correo verificada de pol.una.py,"Universidad Nacional de Asunción, Paraguay"
FOKLmaQAAAAJ,NyG0GBgAAAAJ,Luca Tarisciotti,Dirección de correo verificada de unab.cl,Universidad Andres Bello
FOKLmaQAAAAJ,QJ1Hdb4AAAAJ,Mohammad Ali Hosseinzadeh,Dirección de correo verificada de utalca.cl,Faculty of Enginnering
FOKLmaQAAAAJ,1Yx1N58AAAAJ,Maryam Sarebanzadeh,Dirección de correo verificada de tum.de,Technical University of Munich
FOKLmaQAAAAJ,67H3HyIAAAAJ,ruben pena,Dirección de correo verificada de udec.cl,"university of nottingham, university of magallanes, university of concepcion"
FOKLmaQAAAAJ,010wbxAAAAAJ,Pedro E. Melín C.,Dirección de correo verificada de ubiobio.cl,Department of Electrical and Electronic Engineering - University of Bío-Bío
FOKLmaQAAAAJ,Absa1W8AAAAJ,Alan Hjalmar Wilson Veas,Dirección de correo verificada de ieee.org,Ph.D. student at Dresden University of Technology
FOKLmaQAAAAJ,h9hPvFMAAAAJ,Sergio Vazquez,Dirección de correo verificada de us.es,Associate Professor (Universidad de Sevilla)
-0YfzpYAAAAJ,jzeqUi4AAAAJ,Claudio Gutierrez,Dirección de correo verificada de dcc.uchile.cl,"Computer Science Department, Universidad de Chile"
-0YfzpYAAAAJ,9OH3PokAAAAJ,Pablo Barceló,Dirección de correo verificada de uc.cl,"Institute for Mathematical and Computational Engineering, PUC Chile & IMFD Chile & CENIA Chile"
-0YfzpYAAAAJ,DCIZE1kAAAAJ,Peter Boncz,Dirección de correo verificada de cwi.nl,"Professor, VU University Amsterdam & CWI"
-0YfzpYAAAAJ,WHug6IAAAAAJ,Juan Reutter,Dirección de correo verificada de ing.puc.cl,"Professor, Computer Science at Pontificia Universidad Católica de Chile & IMFD Chile"
-0YfzpYAAAAJ,REzYdQgAAAAJ,Josep L. Larriba-Pey,Dirección de correo verificada de ac.upc.edu,Universitat Politècnica de Catalunya
-0YfzpYAAAAJ,SsQvjlsAAAAJ,Orri Erling,Dirección de correo verificada de xs4all.nl,Program Manager
-0YfzpYAAAAJ,Sr__Xp8AAAAJ,Arnau Prat,Dirección de correo verificada de upc.edu,PhD in Computer Science
-0YfzpYAAAAJ,2FyH0igAAAAJ,Ioan Toma,Dirección de correo verificada de onlim.com,Onlim GmbH
-0YfzpYAAAAJ,ldj4sHYAAAAJ,Irini Fundulaki,Dirección de correo verificada de ics.forth.gr,"Principal Researcher, Institute of Computer Science, FORTH"
F49i1WoAAAAJ,Jgtwnu4AAAAJ,Jaime Barrientos Delgado,Dirección de correo verificada de usach.cl,"Profesor titular, Facultad de Psicología, Universidad Alberto Hurtado / Associate Professor"
F49i1WoAAAAJ,KVva2AIAAAAJ,Dario Paez Rovira,Dirección de correo verificada de ehu.es,Profesor Catedratico de Psicologia Social
F49i1WoAAAAJ,Y6XOdBcAAAAJ,Hector Arancibia Martini,Dirección de correo verificada de uv.cl,Universidad de Valparaíso
F49i1WoAAAAJ,qE0UjjsAAAAJ,Bernard Rimé,Dirección de correo verificada de uclouvain.be,"professeur émérite, Université Catholique de Louvain"
F49i1WoAAAAJ,JIZ7FH8AAAAJ,Monica Guzmán-González,Dirección de correo verificada de ucn.cl,Académica Escuela de Psicología Universidad Católica del Norte
F49i1WoAAAAJ,YETb1hIAAAAJ,Joaquin Bahamondes,Dirección de correo verificada de ucn.cl,Universidad Católica del Norte
F49i1WoAAAAJ,4zS5OQkAAAAJ,Dolores Frias-Navarro (ORCID: 0000-...,Dirección de correo verificada de uv.es,Universidad de Valencia
F49i1WoAAAAJ,BTFdnwYAAAAJ,Hector Monterde-i-Bort,Dirección de correo verificada de uv.es,University of Valencia - Psychonomy Research Unit (Dept.Methods)
F49i1WoAAAAJ,1iaOKYkAAAAJ,Elena Mercedes Zubieta,Dirección de correo verificada de conicet.gov.ar,"Investigadora Principal CONICET - Profesora Adjunta Regular, Facultad de Psicología, Universidad"
F49i1WoAAAAJ,Fy62jc4AAAAJ,Laura Badenes-Ribera,Dirección de correo verificada de uv.es,University of Valencia
F49i1WoAAAAJ,lP-2PEwAAAAJ,José L. Saiz,Dirección de correo verificada de ufrontera.cl,"Depto. de Psicología, Universidad de La Frontera"
F49i1WoAAAAJ,7xtQ5vUAAAAJ,Carlos Calderon Carvajal,Dirección de correo verificada de ucn.cl,Universidad Católica del Norte
F49i1WoAAAAJ,KJG6EP0AAAAJ,Darío Díaz,Dirección de correo verificada de uclm.es,Facultad de Medicina de Ciudad Real. Universidad de Castilla la Mancha
F49i1WoAAAAJ,6YS79esAAAAJ,Elza Maria Techio,Dirección de correo verificada de ufba.br,"Professor de Psicologia Social, Universidade Federal da Bahia"
F49i1WoAAAAJ,-0WlOaYAAAAJ,Maria Angeles Bilbao,Dirección de correo verificada de uahurtado.cl,"Profesora, Facultad de Psicología, U. Alberto Hurtado"
F49i1WoAAAAJ,XrWHu8IAAAAJ,Agustín Espinosa,Dirección de correo verificada de pucp.pe,Pontificia Universidad Católica del Perú
F49i1WoAAAAJ,E5_1_iAAAAAJ,Miguel Ángel Ruiz Díaz,Dirección de correo verificada de uam.es,"Profesor de Metodología, Universidad Autónoma de Madrid"
F49i1WoAAAAJ,reXZQBQAAAAJ,Marcela Muratori,Dirección de correo verificada de uca.edu.ar,"Profesora Adjunta, Universidad Católica Argentina, Universidad Austral, Universidad Abierta"
F49i1WoAAAAJ,EapA4sYAAAAJ,Magdalena Bobowik,Dirección de correo verificada de bobowik.net,Utrecht University
F49i1WoAAAAJ,6bhxhM4AAAAJ,roberto rodriguez lopez,Dirección de correo verificada de urjc.es,Universidad Rey Juan Carlos (Madrid)
DF3ZrfkAAAAJ,503FKJMAAAAJ,Klaus G. Grunert,Dirección de correo verificada de mgmt.au.dk,"Professor, Aarhus University"
DF3ZrfkAAAAJ,TUdwuqoAAAAJ,Marcos Germán Mora González,Dirección de correo verificada de uchile.cl,Universidad de Chile
