id_gs,autor,cargo,id_institucion,email,citaciones,intereses
6219877915722792561,Hans Zinnecker,Universidad Autónoma de Chile,uautonoma,uautonoma.cl,19108,
6219877915722792561,Eugenio Uriarte,"Profesor de Química Medicinal, Universidad de Santiago de Compostela, Universidad …",uautonoma,uautonoma.cl,14704,medicinal chemistry 
6219877915722792561,Vicente Martinez,Investigador Asociado Universidad Autónoma de Chile,uautonoma,uautonoma.cl,10360,Public Health Obesity epidemiology 
6219877915722792561,Nassir Sapag,Universidad Autónoma de Chile,uautonoma,uautonoma.cl,10143,Proyectos Inversiones finanzas riesgo 
6219877915722792561,José Antonio Vega,Investigador asociado Universidad Autónoma de Chile,uautonoma,uautonoma.cl,8689,Morphology 
6219877915722792561,Prof. Dr. Jose luis calvo guirado,Investigador Asociado de la Facultad de Ciencias de la Salud. Universidad Autónoma de …,uautonoma,uautonoma.cl,8389,implantes dentales dentin grinder biomateriales 
6219877915722792561,"Garcia-Gordillo, MA","Facultad de Administración y Negocios, Universidad Autónoma de Chile",uautonoma,uautonoma.cl,7836,Economía de la salud 
6219877915722792561,Jose L. Salmeron,Professor of Data Science (University Pablo de Olavide) and Universidad Autónoma de …,uautonoma,uautonoma.cl,4899,Data Science eXplainable Artificial Intelligence Distributed Artificial Intelligence 
6219877915722792561,JOSE JESUS GAZQUEZ LINARES,"Catedrático de Psicología, Universidad Autónoma de Chile",uautonoma,uautonoma.cl,4566,
6219877915722792561,Ernesto Schiefelbein,Universidad Autónoma de Chile,uautonoma,uautonoma.cl,4433,Educación flipped classroom. 
6219877915722792561,Rodrigo  A Quintanilla,"Associate professor, Centro de Investigación Biomédica, Universidad Autónoma de Chile",uautonoma,uautonoma.cl,4209,Neuroscience biology oxidative stress mitochondria confocal micrsocopy 
6219877915722792561,JUAN MATOS LALE,Universidad Autónoma de Chile,uautonoma,uautonoma.cl,3972,Carbon Materials Nanotechnology Energy Photocatalysis Natural Gas 
6219877915722792561,Rolando Vernal,Universidad Autónoma de Chile,uautonoma,uautonoma.cl,3970,
6219877915722792561,Francisco Capani,Profesor UBA-School of Medicine-CONICET UK and Universidad Autónoma de Chile,uautonoma,uautonoma.cl,3625,neurocience oxidative stress actin network psoriasis 
6219877915722792561,Patricia Muñoz S. PhD.,Universidad Autónoma de Chile,uautonoma,uautonoma.cl,3405,Neuroscience  Neurodegeneration … 
6219877915722792561,Eduardo Fernández Godoy,Universidad de Chile and Universidad Autónoma de Chile,uautonoma,uautonoma.cl,3211,Restorative Dentistry 
6219877915722792561,Ana María Avalos,"Académico Regular, Universidad Autónoma de Chile",uautonoma,uautonoma.cl,3013,Neurociencias 
6219877915722792561,Matías Vidal Navarro,Universidad Autonoma de Chile,uautonoma,uautonoma.cl,2833,astronomy interstellar medium CMB foregrounds 
6219877915722792561,Alvaro Muñoz-Castro,Universidad Autonoma de Chile,uautonoma,uautonoma.cl,2641,Química Inorganica 
6219877915722792561,María Elena Sánchez Ch.,"Docente carrera de Psicología, Universidad Autónoma de Chile",uautonoma,uautonoma.cl,2344,psiquiatría neurociencias salud mental envejecimiento 
6219877915722792561,Dr. Iván Suazo Galdames PhD.,Universidad Autónoma de Chile (ROR 010r9dy59) Chile,uautonoma,uautonoma.cl,2290,Morphology Higher Education science for citizenship Science communication open science 
6219877915722792561,JOSÉ GRANERO-MOLINA,"Investigador Asociado, Universidad Autónoma de Chile",uautonoma,uautonoma.cl,2280,NURSING SCIENCE PHILOSOPHY LIFE SUPPORT CRITICAL CARE 
6219877915722792561,Rosa Jiménez,"Profesora de Bioestadística y Metodología de la investigación, Universidad Autónoma de …",uautonoma,uautonoma.cl,2164,Epidemiología clinica Estadística en investigación en salud 
6219877915722792561,Andres F Olea,Universidad Autonoma de Chile,uautonoma,uautonoma.cl,2050,fisicoquímica 
6219877915722792561,Ana Gutiérrez Moraga,"Directora de Investigación, Universidad Autónoma de Chile",uautonoma,uautonoma.cl,1934,Biotecnología Biología Molecular 
6219877915722792561,Roberto Díaz Peña,Universidad Autónoma de Chile,uautonoma,uautonoma.cl,1812,Genomics autoimmune diseases HLA 
6219877915722792561,Jordi Olloquequi,Universidad Autónoma de Chile,uautonoma,uautonoma.cl,1796,Biomedical Sciences 
6219877915722792561,Francisco Javier Alcalá,Universidad Autónoma de Chile,uautonoma,uautonoma.cl,1786,
6219877915722792561,Cayetano Fernández-Sola,Investigador Asociado. Universidad Autónoma de Chile,uautonoma,uautonoma.cl,1634,Nursing end-of-life care nursing process education 
6219877915722792561,CRISTINA Ubeda Aguilera,"Personal Docente e Investigador, Universidad Autónoma de Chile",uautonoma,uautonoma.cl,1445,… química y sensorial de productos fermentados cromatografía de gases 
6219877915722792561,Jose Carlos Baez Barrionuevo,Universidad Autónoma de Chile,uautonoma,uautonoma.cl,1415,Ecología Marina Biología Pesquera Biogeografía 
6219877915722792561,Ismael Riquelme,Universidad Autónoma de Chile,uautonoma,uautonoma.cl,1321,Oncology Gastric cancer RNA transcripts Systems biology Functional genomics 
