id   |Id_AutorGS  |Nombre_Autor                              |Cargo                                                                                                                       |Dominio  |Intereses                                                                                                               |Link                                                        |Hindex_Todo|Hindex_Desde|Citas_Todo|Citas_Desde|i10_Index_Todo|i10_Index_Desde|Id_InstitucionGS   |
-----+------------+------------------------------------------+----------------------------------------------------------------------------------------------------------------------------+---------+------------------------------------------------------------------------------------------------------------------------+------------------------------------------------------------+-----------+------------+----------+-----------+--------------+---------------+-------------------+
    1|_dRgKD8AAAAJ|Humberto Maturana                         |Universidad de Chile                                                                                                        |uchile   |NeurobiologyCognitionAutopoiesisLanguageEducation                                                                       |https://scholar.google.com/citations?hl=en&user=_dRgKD8AAAAJ|         87|          51|     82907|      21842|           120|            219|9232372474901007921|
  413|l2TIoXkAAAAJ|Lorena García Nannig                      |Universidad de Chile                                                                                                        |uchile   |Cardiovascular Disease Inflammation                                                                                     |https://scholar.google.com/citations?hl=en&user=l2TIoXkAAAAJ|         62|          43|     29877|      16505|           251|            437|9232372474901007921|
 3328|9EwBymgAAAAJ|Mario Hamuy                               |Profesor de Astronomía, Universidad de Chile                                                                                |uchile   |                                                                                                                        |https://scholar.google.com/citations?hl=en&user=9EwBymgAAAAJ|         84|          51|     26053|       8524|           154|            193|9232372474901007921|
 4073|xAnpV2sAAAAJ|Sergio  Lavandero                         |Professor & Director ACDDiS, University of Chile, Adjunct Prof., UT Southwestern Medical Center                             |uchile   |Cell SignalingCardiovascular Diseases                                                                                   |https://scholar.google.com/citations?hl=en&user=xAnpV2sAAAAJ|         67|          52|     25572|      15411|           173|            222|9232372474901007921|
 4605|_fx52FkAAAAJ|Gonzalo Navarro                           |University of Chile                                                                                                         |uchile   |algorithms and data structurestext searchingcompressionsimilarity search                                                |https://scholar.google.com/citations?hl=en&user=_fx52FkAAAAJ|         73|          43|     25560|       8000|           171|            330|9232372474901007921|
 5324|pSY7g_YAAAAJ|Alfredo Guillermo Criollo                 |Laboratory of Cellular and Molecular Biology Research Institute of Dental Science  Faculty of Dentistry, University of Chile|uchile   |Cellular BiologyCancer                                                                                                  |https://scholar.google.com/citations?hl=en&user=pSY7g_YAAAAJ|         49|          43|     24964|      13428|            67|             72|9232372474901007921|
 5436|SJUEA8uk4iYC|José De Gregorio                          |Profesor de Economía Universidad de Chile                                                                                   |uchile   |MacroeconomicsInternational EconomicsInternational FinanceEconomic Development                                          |https://scholar.google.com/citations?hl=en&user=SJUEA8uk4iYC|         48|          28|     23327|       7482|            53|            110|9232372474901007921|
 5733|rprb9KwAAAAJ|José M. Merigó Lindahl                    |University of Technology Sydney & University of Chile                                                                       |uchile   |Computational IntelligenceDecision MakingAggregation OperatorsOWA OperatorBibliometrics                                 |https://scholar.google.com/citations?hl=en&user=rprb9KwAAAAJ|         60|          52|     16979|      11659|           226|            331|9232372474901007921|
 8733|4oAigjlzzCIC|wenjing chen                              |Departamento de Ingeniería Matemática, Universidad de Chile.                                                                |uchile   |Partial Differential EquationsNonlinear Analysis                                                                        |https://scholar.google.com/citations?hl=en&user=4oAigjlzzCIC|         55|          44|     15850|       8872|           160|            235|9232372474901007921|
 9532|_07ZLa4AAAAJ|Juan Segura Aguilar                       |Professor, Molecular & Clinical Pharmacologt, Faculty of Medicine, University of Chile                                      |uchile   |neurosciencetoxicologybiochemistrymolecular biologystem cells                                                           |https://scholar.google.com/citations?hl=en&user=_07ZLa4AAAAJ|         44|          25|     14798|       8521|            65|            110|9232372474901007921|
 9724|tFVzdokAAAAJ|Mary T. K. Arroyo                         |Universidad de Chile                                                                                                        |uchile   |Alpine ecologypollinationbiogeographyconservation                                                                       |https://scholar.google.com/citations?hl=en&user=tFVzdokAAAAJ|         60|          36|     14128|       4535|            90|            161|9232372474901007921|
 9959|cgjx6tMAAAAJ|Luis A. Videla                            |Profesor de Bioquímica, Facultad de Medicina, Universidad de Chile                                                          |uchile   |Estrés oxidativomecanismos de daño y protección hepáticos                                                               |https://scholar.google.com/citations?hl=en&user=cgjx6tMAAAAJ|         65|          34|     13584|       4208|            93|            197|9232372474901007921|
10301|I6nS61cAAAAJ|Martin Adams                              |Professor of Electrical Engineering, Universidad de Chile                                                                   |uchile   |Roboticsnavigationtrackingdata fusionrandom finite sets                                                                 |https://scholar.google.com/citations?hl=en&user=I6nS61cAAAAJ|         36|          21|     13237|       3005|            48|             84|9232372474901007921|
10637|lu8PRvkAAAAJ|Leonardo Bronfman                         |Profesor de Astronomía, Universidad de Chile                                                                                |uchile   |RadioastronomíaInstrumentación Astronómica                                                                              |https://scholar.google.com/citations?hl=en&user=lu8PRvkAAAAJ|         56|          33|     12764|       4855|            90|            135|9232372474901007921|
11042|GTiVKRcAAAAJ|Zully Pedrozo                             |Universidad de Chile                                                                                                        |uchile   |cardiovascularcalcium signaling                                                                                         |https://scholar.google.com/citations?hl=en&user=GTiVKRcAAAAJ|         21|          19|     12359|       7726|            25|             27|9232372474901007921|
11083|UA5erHEAAAAJ|Francisco Rothhammer                      |Professor of Population Genetics, University of Tarapaca and University of Chile                                            |uchile   |Human population geneticsbiological anthropology                                                                        |https://scholar.google.com/citations?hl=en&user=UA5erHEAAAAJ|         47|          24|     10613|       3998|            56|            142|9232372474901007921|
11462|1g7H4ToAAAAJ|Ramon López                               |Department of economics, University of Chile                                                                                |uchile   |Economic developmentenvironmental economics                                                                             |https://scholar.google.com/citations?hl=en&user=1g7H4ToAAAAJ|         54|          27|     10384|       3049|            74|            145|9232372474901007921|
12000|dRSTkiwAAAAJ|Tomás Bravo Tetlak                        |The University of Queensland                                                                                                |edu      |Timber engineeringstructural mechanicsfinite element analysis                                                           |https://scholar.google.com/citations?hl=en&user=dRSTkiwAAAAJ|          1|           1|         5|          5|             0|              0|4421042226419422309|
12220|-8-ZtOEAAAAJ|Jaime Sánchez                             |Professor of Human-Computer Interaction and Learning Technologies at the University of Chile                                |uchile   |Human-Computer InteractionLearning TechnologiesTechnology for People with DisabilitiesComputers in EducationEducational |https://scholar.google.com/citations?hl=en&user=-8-ZtOEAAAAJ|         41|          24|     10387|       4659|           108|            234|9232372474901007921|
