id_gs,autor,cargo,id_institucion,email,citaciones,intereses
7698552169257898503,Nelson Silva,"Escuela de Ciencias del Mar, Pontificia Universidad Católica de Valparaíso",pucv,pucv.c,12309,oceanografía biogeoquímica marina fiordos patagonia sedimentos 
7698552169257898503,Cristóbal Sifón,"Profesor Asociado, Instituto de Física, Pontificia Universidad Católica de Valparaíso",pucv,pucv.c,6481,Galaxy clusters observational cosmology 
7698552169257898503,Victor Leiva,"Escuela de Ingeniería Industrial, Pontificia Universidad Católica de Valparaíso",pucv,pucv.c,6014,Data Science-Big Data Statistical Modeling Machine Learning-Artificial Intelligence Operational Research Quality Control 
7698552169257898503,Joel Saavedra,Pontificia Universidad Católica de Valparaíso,pucv,ucv.cl,5915,Gravitación Cosmología 
7698552169257898503,Claudia Mellado,"Profesor de Periodismo, Pontificia Universidad Católica de Valparaíso",pucv,pucv.c,5186,journalistic role performance journalistic cultures comparative research professional roles 
7698552169257898503,Romina Pedreschi,Pontificia Universidad Católica de Valparaíso,pucv,pucv.c,4686,postharvest physiology food engineering food science 
7698552169257898503,Javier A. Bravo,PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO,pucv,pucv.c,4534,
7698552169257898503,Giovanni Parodi,Pontificia Universidad Católica de Valparaíso,pucv,pucv.c,4416,Psicolingüística Lingüística de Corpus Géneros del Discurso Multimodalidad 
7698552169257898503,Carlos Cristi-Montero,Pontificia Universidad Católica de Valparaiso,pucv,pucv.c,4351,Ciencias de la Actividad Física y Deportes 
7698552169257898503,Ricardo Soto,Pontificia Universidad Catolica de Valparaiso,pucv,ucv.cl,4158,Computer Science Mathematics Engineering Decision Sciences 
7698552169257898503,Maria Argudo-Fernandez,"Associate Professor, Institute of Physics, Pontificia Universidad Católica de Valparaíso",pucv,pucv.c,3934,Astronomy and Astrophysics Astrophysics of Galaxies Extragalactic Astronomy 
7698552169257898503,Verónica López,Pontificia Universidad Católica de Valparaíso,pucv,pucv.c,3429,Psicología/Psychology/Education/Research/ 
7698552169257898503,Jessica López,"Profesor Asociado, Pontificia Universidad Católica de Valparaíso",pucv,pucv.c,3044,Ciencias y Tecnologías de los alimentos 
7698552169257898503,Nicolas Tejos,"Astronomer, Pontificia Universidad Catolica de Valparaiso",pucv,pucv.c,3010,Astronomy 
7698552169257898503,Sergio H. Marshall,Profesor Pontificia Universidad Catolica de Valparaiso,pucv,ucv.cl,2753,genetica molecular 
7698552169257898503,Samuel Hormazabal,"Escuela de Ciencias del Mar, Pontificia Universidad Católica de Valparaíso",pucv,pucv.c,2699,Sistema de Corrientes de Borde Oriental Dinámica Costera Remolinos de Mesoescala Acoplamiento Físico-Biológico 
7698552169257898503,Marco Cisternas,"Instituto de Geografía, Pontificia Universidad Católica de Valparaíso",pucv,pucv.c,2629,Coastal geomorphology Paleoseismology Tsunami geology Written records of old earthquakes and … 
7698552169257898503,Levi Mansur .,"Professor of plant breeding, Pontificia Universidad Católica de Valparaiso",pucv,pucv.c,2591,Genetics plant breeding 
7698552169257898503,Carmen Montecinos,"Professor of Psychology, Pontificia Universidad Catolica de Valparaiso",pucv,ucv.cl,2572,teacher education situated learning 
7698552169257898503,Stefan Steiniger,Pontificia Universidad Catolica de Valparaiso - PUCV & CEDEUS,pucv,pucv.c,2565,Cartography GIScience Urban Planning Walkability 
7698552169257898503,Sergio Salinas,"Profesor: Escuela de Ciencias del Mar, Pontificia Universidad Católica de Valparaiso",pucv,pucv.c,2479,Oceanografía Olas Estuarios 
7698552169257898503,Vicente Sisto,Dr. en Psicología Social. Profesor Titular Pontificia Universidad Católica de Valparaíso …,pucv,pucv.c,2450,Trabajo Subjetividad Identidad Psicología Social Análisis del Discurso 
7698552169257898503,Fernando Rodriguez-Rodriguez,"Physical Education, Pontificia Universidad Católica de Valparaíso",pucv,pucv.c,2423,physical education physical activity active commuting exercise body composition 
7698552169257898503,German Aroca,"Professor of Biochemical Engineering, P. Universidad Católica de Valparaíso",pucv,ucv.cl,2380,Biochemical Engineering Biofiltration Biofuels Bioethanol 
7698552169257898503,Eleuterio Yáñez Rodríguez,Profesor Titular Pontificia Universidad Católica de Valparaíso,pucv,pucv.c,2365,Oceanografía Pesquera 
7698552169257898503,Sergio Palma,"Escuela de Ciencias del Mar, Pontificia Universidad Católica de Valparaíso",pucv,pucv.c,2291,Zooplancton marino Plancton gelatinoso Biodiversidad Ecología 
7698552169257898503,Claudia Victoria Altamirano Gomez,Pontificia Universidad Católica de Valparaiso,pucv,pucv.c,2284,Mammalian cell culture system biology recombinant protein 
7698552169257898503,Cristian Rusu,Pontificia Universidad Católica de Valparaíso,pucv,pucv.c,2238,Human-Computer Interaction User eXperience Customer eXperience 
7698552169257898503,Dumitru Astefanesei,PUCV,pucv,pucv.c,2137,physics 
7698552169257898503,Dario Gabriel Perez,Pontificia Universidad Católica de Valparaíso,pucv,pucv.c,1982,Optics Atmospheric Optics Optical Turbulence Metrology Stochastic Processes 
7698552169257898503,Eduardo Gonzalez Olivares,Pontificia Universidad Católica de Valparaíso,pucv,pucv.c,1905,Dinámica Poblacional (Populational … 
7698552169257898503,Eduardo González Olivares,Pontificia Universidad Catolica de Valparaiso,pucv,ucv.cl,1904,Dinamica Poblacional 
7698552169257898503,Alexis A Gonzalez,Pontificia Universidad Católica de Valparaíso,pucv,pucv.c,1874,Physiology kidney renin education hypertension 
7698552169257898503,Joel Francisco Saavedra Alvear,Pontificia Universidad Catolica de Valparaiso,pucv,pucv.c,1748,relatividad general 
7698552169257898503,Gonzalo Farias,"Pontificia Universidad Catolica de Valparaiso, UNED, CIEMAT",pucv,ucv.cl,1646,Machine Learning Automatic Control 
7698552169257898503,Exequiel Gonzalez Poblete,"Escuela de Ciencias del Mar, Pontificia Universidad Católica de Valparaíso",pucv,pucv.c,1638,Desarrollo Sustentable modelos bioeconómicos valoración de bienes y servicios ambientales especies invasoras 
7698552169257898503,Luis Mercado Vianco,Pontificia Universidad Católica de Valparaíso,pucv,pucv.c,1594,Fish immunology 
7698552169257898503,Gonzalo Buono-Core,"Professor of Chemistry, Pontificia Universidad Catolica de Valparaiso",pucv,pucv.c,1525,photochemistry materials chemistry photocatalysis 
7698552169257898503,Arturo Levican,Pontificia Universidad Católica de Valparaiso,pucv,pucv.c,1514,Microbiología 
7698552169257898503,Hernan Cofre Mardones,pontificia universidad catolica de valparaiso,pucv,pucv.c,1491,
7698552169257898503,Marcelo Mena Carrasco,Pontificia Universidad Católica de Valparaíso.,pucv,pucv.c,1479,Air Quality Climate Change Adaptation Renewable Energy Climate Finance. 
7698552169257898503,Rodrigo F. Herrera,Pontificia Universidad Católica de Valparaíso,pucv,pucv.c,1463,construction management lean construction lean management engineering education 
7698552169257898503,Esteban Vera,Pontificia Universidad Catolica de Valparaiso,pucv,pucv.c,1399,Computational Imaging Compressive Sensing Signal Processing Inverse Problems Adaptive Optics 
7698552169257898503,Francisco E. Fontúrbel,"Facultad de Ciencias, Pontificia Universidad Católica de Valparaíso",pucv,pucv.c,1382,Ecology Evolutionary biology Conservation Biology Environmental Sciences 
7698552169257898503,Pablo Andres Caceres Serrano,Profesor asociado Escuela de Psicología Pontificia Universidad Católica de Valparaíso,pucv,pucv.c,1368,psicometría comprensión lectora métodos cualitativos métodos cuantitativos modelos de diagnóstico cognitivo 
7698552169257898503,Manuel A. Bravo M,Pontificia Universidad Católica de Valparaiso,pucv,pucv.c,1363,Analytical Chemistry Chemometric Environmental chemistry 
7698552169257898503,Cristian M. Canales,"Profesor Asociado Escuela de Ciencias del Mar, Pontificia Universidad Católica de …",pucv,pucv.c,1322,Dinámica de Poblaciones Evaluación de Recursos Pesqueros Modelamiento Estadístico Gestion Pesquera Investigación Operati 
7698552169257898503,Fernando Torres-Perez,Pontificia Universidad Católica de Valparaiso,pucv,pucv.c,1321,Evolutionary epidemiology 
7698552169257898503,Cecilia Guerrero,Pontificia Universidad Católica de Valparaíso,pucv,pucv.c,1319,Biocatalysis Prebiotic enzyme immobilization enzymatic reactor lactulose 
7698552169257898503,Jorge Olivares Pacheco,"Porfesor Jerarquizado, Pontificia Universidad Católica de Valparaíso",pucv,ucv.cl,1300,Microbiología Resistencia a los Antibióticos 
7698552169257898503,Hector Vargas Oyarzun,Pontificia Universidad Catolica de Valparaiso,pucv,pucv.c,1245,Control Automatico Sistemas Distribuidos Educacion en Ingenieria 
7698552169257898503,Patricio Carvajal-Rondanelli,Pontificia Universidad Catolica de Valparaiso,pucv,ucv.cl,1202,Peptides 
7698552169257898503,Orlando Duran,Pontificia Universidad Catolica de Valparaiso,pucv,ucv.cl,1177,Computational Intelligence in Operations … 
7698552169257898503,Paula Ascorra,Pontificia Universidad Católica de Valparaíso,pucv,pucv.c,1167,convivencia escolar ciudadanía afectos emociones 
7698552169257898503,Olivera Miskovic,Professor at Pontificia Universidad Católica de Valparaíso,pucv,pucv.c,1152,Black hole physics (Super)gravity Gauge/Gravity Duality AdS/CFT correspondence 
7698552169257898503,Pedro Antonio Santander Molina,"Profesor de Comunicación, Pontificia Universidad Católica de Valparaiso",pucv,pucv.c,1115,Comunicacion Política Análisis del Discurso 
7698552169257898503,Pedro Adrián Robles Vásquez,Pontificia Universidad Católica de Valparaíso,pucv,pucv.c,1084,Procesos de minerales líquidos iónicos modelamiento y simulación 
7698552169257898503,Juan Diaz Naveas,"Profesor Adjunto, Escuela de Ciencias del Mar, Pontificia Universidad Católica de …",pucv,pucv.c,1072,Geofísica Marina Batimetría Sísmica Montes Submarinos Tectónica 
7698552169257898503,Vitalia Henriquez,Pontificia Universidad Católica de Valparaíso,pucv,pucv.c,1072,Biotechnology of Microalgae 
7698552169257898503,Mauricio Fuentealba,Pontificia Universidad Católica de Valparaíso,pucv,ucv.cl,1057,Inorganic Chemistry Crystallography Spin crossover complexes 
7698552169257898503,Carlos Carlesi Jara,Pontificia Universidad Católica de Valparaíso,pucv,pucv.c,1057,chemical engineering 
7698552169257898503,Jose Antonio Garcia,"Pontificia Universidad Católica de Valparaíso , Chile",pucv,pucv.c,1055,machine learning operations research data mining artificial intelligence 
