id_gs,autor,cargo,id_institucion,email,citaciones,intereses
16206413231987421209,Daniel Martínez Olguín,"Estudiante de Geología, Universidad Austral de Chile",uach,Dirección de correo verificada de alumnos.uach.cl,Citado por 12827,Geología Volcanología Geofísica Sismología 
16206413231987421209,Antonio Lara,"Professor Facultad de Ciencias Forestales y Recursos Naturales, Universidad Austral de …",uach,Dirección de correo verificada de uach.cl,Citado por 11727,Ecosystem Services Climate Change Ecological Restoration 
16206413231987421209,JL Iriarte,Universidad Austral de Chile,uach,Dirección de correo verificada de uach.cl,Citado por 9115,biological oceanography phytoplankton ecology 
16206413231987421209,Carlos D. Figueroa,"Profesor de Patología, Universidad Austral de Chile",uach,Dirección de correo verificada de uach.cl,Citado por 7450,Patología 
16206413231987421209,Daniel Calderini,"Profesor Titular, Instituto de Produccion y Sanidad Vegetal, universidad Austral de Chile",uach,Dirección de correo verificada de uach.cl,Citado por 6327,Crop Physiology 
16206413231987421209,Guillermo D'Elía,Universidad Austral de Chile,uach,Dirección de correo verificada de uach.cl,Citado por 5609,Systematics Evolutionary Biology Mammalogy 
16206413231987421209,Iván Gómez,Universidad Austral de Chile,uach,Dirección de correo verificada de uach.cl,Citado por 5453,Marine Biology Photobiology 
16206413231987421209,Humberto González Estay,"Universidad Austral de Chile, Instituto de Ciencias Marinas y Limnológicas",uach,Dirección de correo verificada de uach.cl,Citado por 5435,Biological Oceanography 
16206413231987421209,Jorge M. Navarro,Universidad Austral de Chile,uach,Dirección de correo verificada de uach.cl,Citado por 5423,Marine biology Ecophysiology 
16206413231987421209,Daniel Melnick,Universidad Austral de Chile,uach,Dirección de correo verificada de uach.cl,Citado por 4742,Neotectonics Coastal Geomorphology Earthquake Geology Paleoseismology 
16206413231987421209,Susana Paula,Universidad Austral de Chile,uach,Dirección de correo verificada de uach.cl,Citado por 4720,Plant functional biology - Fire ecology - Stress … 
16206413231987421209,Mario Pino,UNIVERSIDAD AUSTRAL DE CHILE,uach,Dirección de correo verificada de uach.cl,Citado por 4526,GEOARQUEOLOGIA SEDIMENTOLOGIA 
