id_gs,autor,cargo,id_institucion,email,citaciones,intereses
10448777709790852446,Giovanna Cottin,Universidad Adolfo Ibañez,uadolfoi,uai.cl,115576,Particle Phenomenology Beyond the Standard Model Long-Lived Particles Higgs 
10448777709790852446,Andrés Jordán,Universidad Adolfo Ibáñez,uadolfoi,uai.cl,16663,Exoplanets protoplanetary and debris disks early-type galaxies globular clusters 
10448777709790852446,José Luis Campos,"Facultad de Ingeniería y Ciencias, Universidad Adolfo Ibáñez",uadolfoi,uai.cl,11435,Wastewater treatment 
10448777709790852446,Sandra Milberg,"Professor of Marketing, Universidad Adolfo Ibañez",uadolfoi,uai.cl,9821,Consumer Behavior Branding Decision Making Information Privacy 
10448777709790852446,Bernardo R. Broitman,"Professor, Departamento de Ciencias, Facultad Artes Liberales, Universidad Adolfo Ibáñez",uadolfoi,uai.cl,6449,Biophysical forcing Coastal ecosystems Biogeography 
10448777709790852446,Tito Homem-de-Mello,Professor. School of Business. Universidad Adolfo Ibañez.,uadolfoi,uai.cl,5357,Optimization under uncertainty. 
10448777709790852446,"Constanza Bianchi, PhD",Universidad Adolfo Ibañez - Queensland University of Technology,uadolfoi,uai.cl,5034,International marketing 
10448777709790852446,Daniel Olivares Quero,"Faculty of Engineering and Sciences, Universidad Adolfo Ibañez",uadolfoi,uai.cl,4595,Power & Energy Systems Smartgrids Microgrids Applied Optimization. 
10448777709790852446,Bernardo González,Universidad Adolfo Ibáñez. Universidad Católica de Chile,uadolfoi,uai.cl,4441,
10448777709790852446,Andrea Repetto,Universidad Adolfo Ibañez,uadolfoi,uai.cl,4360,Applied Economics 
10448777709790852446,Gijs D Mulders,"Assistant Professor, Universidad Adolfo Ibáñez",uadolfoi,uai.cl,4357,exoplanet astronomy 
10448777709790852446,Jacques Dumais,"Professor of Bioengineering, Universidad Adolfo Ibáñez",uadolfoi,uai.cl,4279,cell mechanics biophysics morphogenesis growth 
10448777709790852446,joris van de klundert,"School of Business, Universidad Adolfo Ibanez",uadolfoi,uai.cl,3811,Operations Health Services 
10448777709790852446,Gary O'Donovan,"BrainLat, Universidad Adolfo Ibáñez",uadolfoi,uai.cl,3761,Physical activity and health 
10448777709790852446,Marco A Lardies,Universidad Adolfo Ibañez,uadolfoi,uai.cl,3630,ecology evolution environmental sciences evolutionary ecology life-history 
10448777709790852446,Roberto Cominetti,Universidad Adolfo Ibáñez (Chile),uadolfoi,uai.cl,3614,Convex Analysis Optimization Game Theory Transportation 
10448777709790852446,Rafael Brahm,Universidad Adolfo Ibañez,uadolfoi,uai.cl,2970,Astronomía 
10448777709790852446,Daniel Chernilo,Universidad Adolfo Ibáñez,uadolfoi,uai.cl,2703,philosophical sociology social theory sociology cosmopolitanism nationalism 
10448777709790852446,David Huepe,Center for Social and Cognitive Neuroscience (CSCN) School of Psychology - Adolfo Ibañez …,uadolfoi,uai.cl,2602,Social Neuroscience 
10448777709790852446,Viviana Fernandez,Universidad Adolfo Ibañez,uadolfoi,uai.cl,2216,Financial Economics Econometrics Mineral economics 
10448777709790852446,Claudio Bravo Ortega,"Escuela de Negocios, Universidad Adolfo Ibañez",uadolfoi,uai.cl,2161,Innovación Crecimiento Economico y Economía Politica 
10448777709790852446,Rodrigo Wagner,"Business School - Universidad Adolfo Ibañez (Chile) &  Growth Lab ( CID, Harvard)",uadolfoi,uai.cl,2041,international finance entrepreneurial finance growth emerging markets 
10448777709790852446,Jordi Pereira,Universidad Adolfo Ibáñez,uadolfoi,uai.cl,2025,Combinatorial Optimization Assembly line balancing Network Design Scheduling 
