id_gs,autor,cargo,id_institucion,email,citaciones,intereses
15469411678705648791,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,uahurtado,Dirección de correo verificada de uahurtado.cl,Citado por 9412,Musicología Música popular latinoamericana Música y sociedad 
15469411678705648791,Luis Cornejo,"Profesor, Universidad Alberto Hurtado",uahurtado,Dirección de correo verificada de uahurtado.cl,Citado por 1369,Arqueología 
15469411678705648791,Antonia Larrain,Universidad Alberto Hurtado,uahurtado,Dirección de correo verificada de uahurtado.cl,Citado por 1108,
15469411678705648791,Javier Corvalán,Universidad Alberto Hurtado,uahurtado,Dirección de correo verificada de uahurtado.cl,Citado por 1091,sociología educación 
15469411678705648791,Sebastian Ureta,"Departamento de Sociología, Universidad Alberto Hurtado",uahurtado,Dirección de correo verificada de uahurtado.cl,Citado por 851,Science and technology studies 
15469411678705648791,Viviana Galdames,Universidad Alberto Hurtado,uahurtado,Dirección de correo verificada de uahurtado.cl,Citado por 849,didáctica del lenguaje lengua materna y segundas lenguas educación intercultural bilingüe 
15469411678705648791,Juan Carlos Skewes,Profesor de Antropología (UAH),uahurtado,Dirección de correo verificada de uahurtado.cl,Citado por 847,antropología del ambiente patrimonio educación superior exclusión 
15469411678705648791,Fernando Crespo,Universidad Alberto Hurtado,uahurtado,Dirección de correo verificada de uahurtado.cl,Citado por 750,Mathematical Modelling Analytics Operational Research Data Mining Statistics 
15469411678705648791,Mauricio Castillo-Vergara,"Facultad de Economía y Negocios, Universidad Alberto Hurtado",uahurtado,Dirección de correo verificada de uahurtado.cl,Citado por 737,creativity entrepreneurship innovation SMEs 
15469411678705648791,Cristian Geldes,Universidad Alberto Hurtado,uahurtado,Dirección de correo verificada de uahurtado.cl,Citado por 724,strategy marketing innovation and sustainability 
15469411678705648791,Marcela Perticara,Universidad Alberto Hurtado,uahurtado,Dirección de correo verificada de uahurtado.cl,Citado por 712,economía desarrollo económico economía laboral 
15469411678705648791,Juan Manuel Garrido Wainer,"Profesor de Filosofía, Universidad Alberto Hurtado",uahurtado,Dirección de correo verificada de uahurtado.cl,Citado por 619,Filosofía contemporánea Filosofía de las ciencias 
15469411678705648791,andrea ruffinelli,académica facultad educación universidad alberto hurtado,uahurtado,Dirección de correo verificada de uahurtado.cl,Citado por 531,educación formación inicial docente 
15469411678705648791,Nicolas Fleet,"Departamento de Sociología, Universidad Alberto Hurtado",uahurtado,Dirección de correo verificada de uahurtado.cl,Citado por 526,sociología teoría social sociología política sociología de las profesiones educación superior 
15469411678705648791,María Paola Sevilla,Universidad Alberto Hurtado,uahurtado,Dirección de correo verificada de uahurtado.cl,Citado por 509,Educación Técnica segregación y estratificación escolar 
15469411678705648791,Claudia Vergara,Universidad Alberto Hurtado,uahurtado,Dirección de correo verificada de uahurtado.cl,Citado por 479,enseñanza de las ciencias indagación practicas analisis de video 
15469411678705648791,Veronica Vargas,"Research Associate, Universidad Alberto Hurtado",uahurtado,Dirección de correo verificada de uahurtado.cl,Citado por 371,health economics health policy global health 
15469411678705648791,Nicolás Schöngut-Grollmus,Universidad Alberto Hurtado,uahurtado,Dirección de correo verificada de uahurtado.cl,Citado por 370,social psychology medical sociology rare diseases social studies of health and medinice 
