id_gs,autor,cargo,id_institucion,email,citaciones,intereses
6615366460316766280,Maroun Khoury,"Director of Investigation, Universidad de los Andes, Santiago",uandes,Dirección de correo verificada de uandes.cl,Citado por 3940,stem cells 
6615366460316766280,Karina Pino-Lagos,"Immunologist, Faculty of Medicine, Universidad de los Andes",uandes,Dirección de correo verificada de uandes.cl,Citado por 3432,Immunology Transplantation Immuneregulation Inflammation 
6615366460316766280,Ursula Wyneken,Universidad de los Andes,uandes,Dirección de correo verificada de uandes.cl,Citado por 2532,Neurociencias 
6615366460316766280,Jimena Cuenca Moreno,Universidad de los Andes,uandes,Dirección de correo verificada de uandes.cl,Citado por 2532,Cell therapy inflammation mesenchymal stem cells 
6615366460316766280,María Teresa Valenzuela,"Vicedecana de Investigación, Universidad de los Andes",uandes,Dirección de correo verificada de uandes.cl,Citado por 2468,Salud Pública 
6615366460316766280,Matias Braun,"Professor of Financial Economics, ESE Business School, Universidad de los Andes",uandes,Dirección de correo verificada de uandes.cl,Citado por 2363,Financial Development Political Economy Economic History 
6615366460316766280,Fernando E. Figueroa,"Universidad de los Andes, Santiago de Chile",uandes,Dirección de correo verificada de UANDES.CL,Citado por 2229,
6615366460316766280,Hernán Corral,Profesor de Derecho Civil Universidad de los Andes de Santiago de Chile,uandes,Dirección de correo verificada de uandes.cl,Citado por 2220,Derecho de la persona derecho de familia contratos responsabilidad civil Tomás Moro y su faceta jurídica 
6615366460316766280,Lara J Monteiro,"Postdoc fellow, Universidad de los Andes, Chile",uandes,Dirección de correo verificada de miuandes.cl,Citado por 2108,Molecular Biology Cancer Reproductive Biology 
6615366460316766280,Dolores Busso,"Facultad de Medicina, Universidad de los Andes",uandes,Dirección de correo verificada de uandes.cl,Citado por 1848,
6615366460316766280,Rodrigo A. Fuentealba,Assistant Professor - Universidad de los Andes,uandes,Dirección de correo verificada de uandes.cl,Citado por 1807,neurodegenerative diseases protein aggregation polyglutamine huntingtin NFAT5 
6615366460316766280,Javier Enrione,Universidad de los Andes,uandes,Dirección de correo verificada de uandes.cl,Citado por 1544,
6615366460316766280,Juan Pablo Acevedo,Universidad de los Andes,uandes,Dirección de correo verificada de uandes.cl,Citado por 1522,Ingeniería de Tejidos Biomateriales 
6615366460316766280,Jorge Gaete,"Faculty of Education, Universidad de los Andes (Chile). Clinical",uandes,Dirección de correo verificada de uandes.cl,Citado por 1403,Psychiatry Mental Health Child Health Adolescent Health. 
6615366460316766280,Carlos E. Irarrazabal,Universidad de Los Andes,uandes,Dirección de correo verificada de uandes.cl,Citado por 1393,Biomedical Research Renal Physiology 
6615366460316766280,Francisca Alcayaga-Miranda,Universidad de los Andes,uandes,Dirección de correo verificada de uandes.cl,Citado por 1369,Stem cells extracellular vescicles exosomes cancer 
6615366460316766280,David Torres,"Universidad de Los Andes, Chile",uandes,Dirección de correo verificada de miuandes.cl,Citado por 1353,
6615366460316766280,RODRIGO FERNANDEZ,"Profesor Titular, Universidad de los Andes (Santiago-Chile)",uandes,Dirección de correo verificada de miuandes.cl,Citado por 1331,modelación de tráfico ingeniería y gestión de tránsito transporte público 
6615366460316766280,Jaime A. Anguita,"Professor, Universidad de los Andes - Chile",uandes,Dirección de correo verificada de miuandes.cl,Citado por 1314,Free-space optical communications Orbital angular momentum Optical wireless communications Error-correction 
6615366460316766280,Rodrigo Astroza,"Associate Professor, Universidad de los Andes - Chile",uandes,Dirección de correo verificada de miuandes.cl,Citado por 1301,Earthquake Engineering Structural Engineering Structural Health Monitoring Finite Element Modeling Bayesian Inference 
6615366460316766280,Luis Federico Batiz,Universidad de los Andes,uandes,Dirección de correo verificada de uandes.cl,Citado por 1285,Neurodevelopment Cell Biology Reproduction Neural Stem Cells 
6615366460316766280,ALBERTO VERGARA-FERNANDEZ,Universidad de los Andes - Chile,uandes,Dirección de correo verificada de miuandes.cl,Citado por 1193,Bioprocess Fungal Biofiltration Bioreactors Gas Biofiltration 
6615366460316766280,Sebastian Claro,"Universidad de Los Andes, Chile",uandes,Dirección de correo verificada de uandes.cl,Citado por 1130,International Economics 
6615366460316766280,Miguel L. Prieto,"Associate Professor of Psychiatry, Universidad de los Andes, Chile",uandes,Dirección de correo verificada de uandes.cl,Citado por 1120,Psychiatry Mood Disorders Bipolar Disorders Cardiovascular Disease Biomarkers 
6615366460316766280,Mario Felipe Gutiérrez Reyes,"Universidad de los Andes, Universidad de Chile",uandes,Dirección de correo verificada de uandes.cl,Citado por 1028,Dental Materials Adhesive Dentistry Ceramics 
6615366460316766280,Orazio Descalzi,Universidad de los Andes - Chile,uandes,Dirección de correo verificada de miuandes.cl,Citado por 982,Non-linear physics 
6615366460316766280,José Manuel Saavedra Rondo,"Research Professor, Faculty of Engineering and Applied Sciences, Universidad de los …",uandes,Dirección de correo verificada de miuandes.cl,Citado por 901,computer vision image processing deep learning self-supervised models 
6615366460316766280,Rosa G. González-Ramírez,"Universidad de Los Andes, Chile",uandes,Dirección de correo verificada de uandes.cl,Citado por 838,Port Logistics Supply Chain Management Optimization Logistics 
6615366460316766280,Monica Kurte,UNIVERSIDAD DE LOS ANDES,uandes,Dirección de correo verificada de uandes.cl,Citado por 817,Immunology Mesenchymal stem cells Immunoplasticity Lymphocytes Treg 
6615366460316766280,Oscar F. Araneda,"Profesor de Fisiología Universidad de los Andes, Chile",uandes,Dirección de correo verificada de miuandes.cl,Citado por 816,Lung Oxidative stress Physical exercise Exhaled breath condensate extreme enviromments 
6615366460316766280,CAMILA SOBRAL SAMPAIO,"Universidad de los Andes, Chile",uandes,Dirección de correo verificada de miuandes.cl,Citado por 814,
6615366460316766280,Jaime Cisternas,Universidad de los Andes-Chile,uandes,Dirección de correo verificada de miuandes.cl,Citado por 791,Nonlinear dynamics stochastic physics surface reactions 
6615366460316766280,Claudio Alvarez,"Assistant Professor of Computer Science, Universidad de los Andes, Chile",uandes,Dirección de correo verificada de miuandes.cl,Citado por 710,Educational Technology Groupware Ethics Education CS Education 
6615366460316766280,José Ignacio Martínez Estay,"Profesor de Derecho Constitucional, Universidad de los Andes",uandes,Dirección de correo verificada de uandes.cl,Citado por 707,Derecho Público Derecho Constitucional 
6615366460316766280,Angel Soto Gamboa,Facultad de Ciencias Económicas y Empresariales Universidad de los Andes,uandes,Dirección de correo verificada de uandes.cl,Citado por 633,Latinoamerica Historia de Chile Historia Economica Pensamiento Crítico Relaciones Internacionales 
6615366460316766280,Alvaro Garcia-Marin,Universidad de los Andes,uandes,Dirección de correo verificada de uandes.cl,Citado por 606,International Trade Productivity and … 
6615366460316766280,Alvaro Espejo,"ESE Business School, Universidad de Los Andes",uandes,Dirección de correo verificada de uandes.cl,Citado por 561,Organizational Behavior Motivation Leadership 
6615366460316766280,González-Arriagada WA,"Universidad de Los Andes, Chile",uandes,Dirección de correo verificada de uandes.cl,Citado por 521,Oral Pathology and Oral Medicine 
6615366460316766280,Valeria Ramirez,Universidad de los Andes Chile,uandes,Dirección de correo verificada de uandes.cl,Citado por 520,
6615366460316766280,Maria de los Angeles Avaria Benapres,Escuela de Postgrado Universidad de los Andes,uandes,Dirección de correo verificada de uandes.cl,Citado por 487,Neurologia Pediatrica Enfermedades Neuromusculares Desarrollo Infantil 
6615366460316766280,Matias Recabarren,"Research Professor, Universidad de los Andes, Chile",uandes,Dirección de correo verificada de miuandes.cl,Citado por 433,Computer & Education Software Engineering Human Computer Interaction 
6615366460316766280,Isabel Pavez,"Associate Professor, Universidad de los Andes",uandes,Dirección de correo verificada de uandes.cl,Citado por 352,
6615366460316766280,Felipe Scott,Universidad de los Andes,uandes,Dirección de correo verificada de uandes.cl,Citado por 345,Bioprocess design and optimizacion fermentation system biology 
6615366460316766280,Maite Aguirrezabal,"Profesora de Derecho, Universidad de los Andes",uandes,Dirección de correo verificada de uandes.cl,Citado por 339,
6615366460316766280,Maria Paz Gomez-Arizaga,Universidad de los Andes,uandes,Dirección de correo verificada de uandes.cl,Citado por 336,alta capacidad STEM género 
6615366460316766280,Guillermo Armelini,"ESE Business School, Universidad de los Andes, Chile",uandes,Dirección de correo verificada de uandes.cl,Citado por 335,Marketing Customer Management 
6615366460316766280,Miguel Carrasco,"Profesor de Matemáticas, Universidad de los Andes",uandes,Dirección de correo verificada de uandes.cl,Citado por 313,optimización optimización convexa inteligencia artificial machine learning optimización estructural 
6615366460316766280,Maria Jose Bosch,"ESE Business School, Universidad de los Andes, Chile",uandes,Dirección de correo verificada de uandes.cl,Citado por 311,Work-family balance Women Leadership Leadership Motivation Organizational Behavior 
6615366460316766280,Hugo Benedetti,"ESE Business School, Universidad de los Andes, Chile",uandes,Dirección de correo verificada de uandes.cl,Citado por 310,Cryptoassets cryptocurrencies blockchain 
6615366460316766280,Rodrigo Oyonarte,"Profesor Titular, Director Programa de Especialización en Ortodoncia, Universidad de los …",uandes,Dirección de correo verificada de miuandes.cl,Citado por 309,Ortodoncia Crecimiento y Desarrollo Cráneo Facial Ortodoncia Interdisciplinaria 
6615366460316766280,Alejandro Miranda Montecinos,"Profesor de Filosofía del Derecho, Universidad de los Andes, Chile",uandes,Dirección de correo verificada de uandes.cl,Citado por 287,Filosofía del Derecho Ética 
6615366460316766280,Tatiana Vargas,"Profesora de Derecho Penal, Universidad de los Andes, Chile",uandes,Dirección de correo verificada de uandes.cl,Citado por 273,Derecho penal Filosofía Filosofía del Derecho 
6615366460316766280,SERGIO SAN MARTIN,"Profesor Titular , Cirugía,Universidad de los Andes, Santiago, Chile",uandes,Dirección de correo verificada de miuandes.cl,Citado por 264,Cáncer de colon y recto 
6615366460316766280,María Sara Rodríguez,Universidad de los Andes,uandes,Dirección de correo verificada de miuandes.cl,Citado por 251,Derecho Civil 
6615366460316766280,Christian Pescher,Universidad de los Andes,uandes,Dirección de correo verificada de uandes.cl,Citado por 214,Innovation/Creativity Machine Learning/AI Crowdsourcing Social Innovation 
6615366460316766280,Carla Vairetti,Universidad de los andes,uandes,Dirección de correo verificada de uandes.cl,Citado por 211,Analytics Big data AI 
6615366460316766280,Gustavo Funes,Universidad de los Andes,uandes,Dirección de correo verificada de uandes.cl,Citado por 210,Fisica optica turbulencia 
6615366460316766280,Sofia Peinado,Universidad de los Andes - Santiago de Chile,uandes,Dirección de correo verificada de uandes.cl,Citado por 208,Educación y Tecnología 
6615366460316766280,Marcela Quintanilla,"Universidad de los Andes, Chile",uandes,Dirección de correo verificada de uandes.cl,Citado por 194,Seguridad del paciente Terapia de infusión acccesos vasculares Prevención y control de IAAS 
6615366460316766280,Álvaro Paul,"Associate Professor, Facultad de Ingeniería y Ciencias Aplicadas, Universidad de los Andes …",uandes,Dirección de correo verificada de miuandes.cl,Citado por 192,Concrete technology durability of concrete structures and cement … 
6615366460316766280,Barbara Hanisch-Cerda,"Universidad de los Andes, Santiago Chile.",uandes,Dirección de correo verificada de uandes.cl,Citado por 189,Educational policy economics of education impact evaluations 
6615366460316766280,Alfredo Enrione,"PwC professor of corporate governance, ESE Business School, Universidad de los Andes …",uandes,Dirección de correo verificada de uandes.cl,Citado por 186,Corporate Governance Board of directors Strategy CEO 
6615366460316766280,Marzena Pepczynska,"Postdoctorado, Universidad de los Andes",uandes,Dirección de correo verificada de uandes.cl,Citado por 185,Science de Materiales Aerogel Fish Gelatin Compuestos 
6615366460316766280,REINALDO SOTO,"Universidad de los Andes, Chile",uandes,Dirección de correo verificada de miuandes.cl,Citado por 183,Anatomía Cirugía 
6615366460316766280,Jose A. Abell M.,"Universidad de los Andes, Chile",uandes,Dirección de correo verificada de miuandes.cl,Citado por 176,Earthquake-Soil-Structure Interaction Inverse problems in geophysics high performance computing numerical methods for partial 
6615366460316766280,Ignacio N. Retamal,Universidad de los Andes,uandes,Dirección de correo verificada de miuandes.cl,Citado por 173,Clinical Research Cancer Research Epidemiology Oral Medicine 
6615366460316766280,Carolina Melo Hurtado,"Universidad de los Andes, Chile",uandes,Dirección de correo verificada de uandes.cl,Citado por 172,Early Childhood Teacher Quality Teacher-Child Interactions Literacy Self-regulation. 
6615366460316766280,Édgar Hernán Fuentes-Contreras,"Universidad de los Andes, Chile",uandes,Dirección de correo verificada de miuandes.cl,Citado por 171,Bloque de constitucionalidad Estado Convencional Margen de Apreciación Nacional Derecho Constitucional Teoría del Derecho 
6615366460316766280,Diego Amenábar,Universidad de Los andes,uandes,Dirección de correo verificada de uandes.cl,Citado por 167,Ortopedia y traumatologia 
6615366460316766280,Arturo Basaure,Universidad de los Andes,uandes,Dirección de correo verificada de miuandes.cl,Citado por 164,network economics telecommunications IoT 
6615366460316766280,Paulina Sofía Arango Uribe,"Universidad de Los Andes, Chile",uandes,Dirección de correo verificada de uandes.cl,Citado por 161,Neuropsychology cognitive development language intellectual disability cognitive assessment 
6615366460316766280,Pablo J. Atria,"Research Professor, Universidad de Los Andes, Santiago, Chile",uandes,Dirección de correo verificada de miuandes.cl,Citado por 157,Biomaterials Dentistry Esthetic Implants Oral Implants 
6615366460316766280,Sebastián Contreras A.,"Universidad de los Andes, Chile",uandes,Dirección de correo verificada de uandes.cl,Citado por 152,Legal Theory Scholasticism Corrective Justice Francisco Suárez Hugo Grotius 
