id_gs,autor,cargo,id_institucion,email,citaciones,intereses
7459009050823923954,Eduardo A. Undurraga,"Escuela de Gobierno, Pontificia Universidad Católica de Chile",uc,uc.cl,89805,Population health health economics modeling poverty and inequality infectious diseases 
7459009050823923954,Alejandro Clocchiatti Garcia,Pontificia Universidad Católica de Chile,uc,uc.cl,41423,Astrophysics Supernovae Cosmology Education 
7459009050823923954,Catterina Ferreccio,Department of Public Health/School of Medicine/Pontificia Universidad Católica de Chile,uc,med.puc.cl,36443,Epidemiology 
7459009050823923954,Ramon Corbalan,"Profesor de Cardiología, Pontificia Universidad Catolica de Chile",uc,med.puc.cl,32455,Cardiologia 
7459009050823923954,Juan J. Armesto,"Professor, Pontificia Universidad Católica de Chile",uc,bio.puc.cl,28997,ecology forest science ecosystem science earth science 
7459009050823923954,Flavio Nervi,"Departamento de Gastroenterología, Pontificia Universidad Católica de Chile",uc,med.puc.cl,28378,gastroenterology gallstones biliary lipids metabolism cholesterol 
7459009050823923954,Nibaldo C. Inestrosa,Pontificia Universidad Catolica de Chile,uc,bio.puc.cl,27611,
7459009050823923954,Juan Pedro Kusanovic,Pontificia Universidad Católica de Chile,uc,med.puc.cl,26443,Maternal-Fetal Medicine 
7459009050823923954,Juan Carlos Castilla,P. Universidad Catolica de Chile,uc,bio.puc.cl,24302,Rocky interidal Conservation-MPAs Invasive species Humam impacts 
7459009050823923954,Pablo A. Marquet,"Professor of Ecology, Pontificia Universidad Catolica de Chile & The Santa Fe Institute",uc,bio.puc.cl,24035,Macroecology theoretical ecology Complex systems Global change Conservation 
7459009050823923954,Gonzalo Valdivia or Valdivia CG or Valdivia C Gonzalo or Valdivia Gonzalo,Pontificia Universidad Catolica de Chile,uc,med.puc.cl,22953,Public Health Epidemiology chronic respiratory epidemiology COPD Asthma 
7459009050823923954,Jose A. Rodriguez Portales,Universidad Católica de Chile,uc,med.puc.cl,21562,medicina 
7459009050823923954,Eugenia Morselli,"Physiology Department, Faculty of Biological Sciences, Pontificia Universidad Católica …",uc,bio.puc.cl,20192,autophagy metabolism obesity 
7459009050823923954,Sebastián Valenzuela,"Associate Professor, School of Communications, Pontificia Universidad Católica de Chile",uc,uc.cl,18199,Political Communication Comunicación Política Social Media Digital Journalism Periodismo Digital 
7459009050823923954,Fabian M Jaksic,"Professor of Ecology, Catholic University of Chile",uc,bio.puc.cl,17012,Community Ecology Conservation Ecology Invasion Ecology Ecosystems 
7459009050823923954,Juan de Dios Ortúzar,Pontificia Universidad Catolica de Chile,uc,ing.puc.cl,16968,transport urbanism econometrics 
7459009050823923954,Eugenio Rodriguez Balboa,"Profesor Neurociencias Cognitivas, Pontificia Universidad Catolica de Chile",uc,uc.cl,16543,visual perception consciousness research signal processing 
7459009050823923954,E Treister,"Pontificia Universidad Catolica, Chile",uc,astro.puc.c,15497,Active Galactic Nuclei Supermassive Black Holes Galaxy Evolution 
7459009050823923954,Francisco Bozinovic,"CAPES & Departamento de Ecología, Universidad Católica de Chile",uc,bio.puc.cl,13953,ecological and evolutionary physiology environmental and comparative physiology behavioral ecological physiology global chang 
7459009050823923954,Jose A. Castro-Rodriguez,"Full Professor of Pediatrics, Pediatric Pulmonolgy Department, Pontificia Universidad …",uc,uc.cl,13783,asthma recurrent wheezing respiratory infections children 
7459009050823923954,Márcio Catelan,Pontificia Universidad Católica de Chile,uc,astro.puc.c,13387,
7459009050823923954,Juan Andrés Orellana,Associate Professor. Departamento de Neurología. Pontificia Universidad Católica de Chile,uc,uc.cl,13035,Neurosciences Neuron-Glia Crosstalk Neurodegeneration 
7459009050823923954,"Dixon, Juan W.","Ingeniería Eléctrica, Pontificia Universidad Catolica de Chile",uc,ing.puc.cl,11715,Power Electronics Electric Traction 
7459009050823923954,Sergio A Navarrete,Pontificia Universidad Catolica de Chile,uc,bio.puc.cl,11183,community ecology 
7459009050823923954,Dr. Alexis Kalergis,Full Professor Pontificia Universidad Católica de Chile,uc,bio.puc.cl,11175,Immunology Vaccines Autoimmunity Microbiology Cancer 
7459009050823923954,Francisco Aboitiz,Pontificia Universidad Católica de Chile,uc,puc.cl,11053,Neuroscience cognitive and comparative neuroanatomy 
7459009050823923954,JUAN CARLOS ROA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE. Professor  and Chair Department  of …,uc,med.puc.cl,10561,Gallbladder cancer Biomarkers Liquid biopsy Carcinogenesis 
7459009050823923954,Maximo Banados,Pontificia Universidad Catolica de Chile,uc,fis.puc.cl,10430,Physics Relativity Gravity 
7459009050823923954,Marcelo Arenas,"Professor of Computer Science, Pontificia Universidad Católica de Chile and IMFD Chile.",uc,ing.puc.cl,10347,Database theory logic in computer science semantic Web 
7459009050823923954,Alejandro Toro-Labbe,"Laboratorio de Química Teórica Computacional (QTC), Pontificia Universidad Catolica de …",uc,puc.cl,10336,Quantum chemistry Conceptual DFT Chemical reactivity computational chemistry 
7459009050823923954,miguel nussbaum,Pontificia Universidad Catolica de Chile,uc,ing.puc.cl,9796,Computers in Education Collaborative Learning Critical Thinking Creativity Grit 
7459009050823923954,Felipe Barrientos,"Profesor de Astronomia, P. Universidad Catolica de Chile",uc,astro.puc.c,9503,Astrofisica 
7459009050823923954,Hernan Quintana,"Instituto de Astrofisica, Pontificia Universidad Catolica de Chile",uc,astro.puc.c,9161,Clusters of galaxies cosmology galaxies extragalactic astronomy 
7459009050823923954,Luis Larrondo,"Full Professor, DGMM, Pontificia Universidad Católica de Chile",uc,bio.puc.cl,9087,chronobiology circadian biology gene expression Functional Genomics Microbiology 
7459009050823923954,Rodrigo Antonio Gutierrez,Pontificia Universidad Católica de Chile,uc,bio.puc.cl,8977,Systems Biology Synthetic Biology Genomics and Evolution 
7459009050823923954,Mauricio Lima,"Departamento de Ecologia, Facultad de Ciencias Biológicas, Pontificia Universidad Católica …",uc,bio.puc.cl,8769,Population Dynamics-Global Change … 
7459009050823923954,Stefan Gelcich C.,Pontificia Universidad Catolica de Chile,uc,bio.puc.cl,8753,ecology 
