id_gs,autor,cargo,id_institucion,email,citaciones,intereses
4555896482842878823,Lohengrin Cavieres,Universidad de Concepcion,udec,Dirección de correo verificada de udec.cl,Citado por 13719,Plant Ecology Plant ecophysiology Alpine Plant Ecology 
4555896482842878823,Osvaldo Ulloa,"Universidad de Concepción, Chile",udec,Dirección de correo verificada de udec.cl,Citado por 12333,Microbial Oceanography 
4555896482842878823,ruben pena,"university of nottingham, university of magallanes, university of concepcion",udec,Dirección de correo verificada de udec.cl,Citado por 10752,power electronics ac drives renewable energy 
4555896482842878823,José R. Espinoza,"Professor, Electrical Engineering Department, Universidad de Concepción",udec,Dirección de correo verificada de udec.cl,Citado por 10240,Modelling and Control of Static Power … 
4555896482842878823,Aníbal Pauchard,Universidad de Concepción,udec,Dirección de correo verificada de udec.cl,Citado por 10200,Invasion Ecology 
4555896482842878823,Rodrigo Reeves,"Associate Professor, CePIA, Astronomy Department, Universidad de Concepción, Chile",udec,Dirección de correo verificada de udec.cl,Citado por 9896,Radio astronomy AGN blazar variability polarimetry mm and submm-wave instrumentation cryogenic instruments 
4555896482842878823,Luis Morán,Concepcion University,udec,Dirección de correo verificada de udec.cl,Citado por 9762,Power Quality Power Electronics Power System Protections 
4555896482842878823,Sergio N. Torres,"Professor of Electrical Engineering, University of Concepcion",udec,Dirección de correo verificada de udec.cl,Citado por 9551,Optoelectronics Infrared Imaging Hyperspectral Imaging interferometry 
4555896482842878823,Roberto Rodriguez Rios,"Profesor Emérito, Universidad de Concepción",udec,Dirección de correo verificada de udec.cl,Citado por 9117,Botánica Flora de Chile 
4555896482842878823,Michael Fellhauer,"associate professor of astronomy, Universidad de Concepcion, Concepcion, Chile",udec,Dirección de correo verificada de astro-udec.cl,Citado por 8712,astronomy: theoretical stellar dynamics 
4555896482842878823,Claudia Pérez Manríquez,Universidad de Concepcion,udec,Dirección de correo verificada de udec.cl,Citado por 8229,Natural Products Chemistry 
4555896482842878823,Stephen Walborn,Universidad de Concepción,udec,Dirección de correo verificada de udec.cl,Citado por 8125,Quantum Optics Quantum Information 
4555896482842878823,Victor Ariel Gallardo,"Profesor Titular, Ecología Marina, Oceanografía Biológica; Departamento de Oceanografía …",udec,Dirección de correo verificada de udec.cl,Citado por 6880,Ecología bentónica sublitoral. 
4555896482842878823,Raimund Bürger,"Profesor Titular, Universidad de Concepción",udec,Dirección de correo verificada de ing-mat.udec.cl,Citado por 6288,Análisis Numérico de EDPs sistemas de leyes de conservación 
4555896482842878823,Miquel Martorell Pons,"University of Concepción, Chile",udec,Dirección de correo verificada de udec.cl,Citado por 5963,Bioquimica 
4555896482842878823,Roberto Urrutia,Profesor Universidad de Concepcion,udec,Dirección de correo verificada de udec.cl,Citado por 5950,limnologia paleolimnologia recursos hidricos cambio climatico 
4555896482842878823,Ruben Escribano,Universidad de Concepción,udec,Dirección de correo verificada de udec.cl,Citado por 5879,Zooplankton ecology Marine Biodiversity 
4555896482842878823,Amelia Stutz,Universidad de Concepcion,udec,Dirección de correo verificada de astro-udec.cl,Citado por 5867,Astronomy 
4555896482842878823,Dominik RG Schleicher,"Associate Professor, Departamento de Astronomía, Universidad de Concepción",udec,Dirección de correo verificada de astro-udec.cl,Citado por 5648,first black holes star formation early Universe close binary systems 
4555896482842878823,Cristian Echeverria,"Professor titular, Universidad de Concepcion",udec,Dirección de correo verificada de udec.cl,Citado por 5568,landscape ecology forest conservation forest restoration 
