id_gs,autor,cargo,id_institucion,email,citaciones,intereses
12216913016116922734,Jose L. Prieto,Universidad Diego Portales,udp,Dirección de correo verificada de mail.udp.cl,Citado por 22967,Astronomy 
12216913016116922734,Jose Joaquin BRUNNER,"Professor,  Sociology of Education. UNESCO Chair, Universidad Diego Portales, Chile",udp,Dirección de correo verificada de mail.udp.cl,Citado por 19721,Higher education Political economy of education Policy and cultural analysis 
12216913016116922734,PAULA JOFRE PFEIL,assistant professor Nucleo Astronomia Universidad Diego Portales,udp,Dirección de correo verificada de mail.udp.cl,Citado por 11862,stellar and Galactic astrophysics 
12216913016116922734,Cristóbal Rovira Kaltwasser,"Professor, Universidad Diego Portales",udp,Dirección de correo verificada de udp.cl,Citado por 10832,comparative politics populism democracy 
12216913016116922734,JORGE IGNACIO GONZÁLEZ LÓPEZ,Universidad Diego Portales,udp,Dirección de correo verificada de mail.udp.cl,Citado por 9671,Galaxy evolution Interstellar medium high redshift galaxies and data science 
12216913016116922734,ROBERTO J. ASSEF,Universidad Diego Portales,udp,Dirección de correo verificada de mail.udp.cl,Citado por 9636,Active Galactic Nuclei Galaxy Evolution 
12216913016116922734,fernando zegers-hochschild,Emeritus professor University Diego Portales and Clinica las Condes,udp,Dirección de correo verificada de udp.cl,Citado por 9622,reproductive medicine 
12216913016116922734,Manuel Aravena,"Professor of Astrophysics, Universidad Diego Portales",udp,Dirección de correo verificada de mail.udp.cl,Citado por 9197,Galaxy formation Galaxy evolution Submillimeter galaxies ISM of galaxies 
12216913016116922734,LUCAS CIEZA,Universidad Diego Portales,udp,Dirección de correo verificada de mail.udp.cl,Citado por 9100,Astronomy 
12216913016116922734,Alice Zurlo,Universidad Diego Portales,udp,Dirección de correo verificada de mail.udp.cl,Citado por 5737,Exoplanets 
12216913016116922734,Cristián Cox,"Professor, Universidad Diego Portales",udp,Dirección de correo verificada de udp.cl,Citado por 5316,Educational policies curriculum teacher education citizenship education 
12216913016116922734,Lucia Guaita,Universidad Diego Portales,udp,Dirección de correo verificada de mail.udp.cl,Citado por 3799,astronomonia extragalactica 
12216913016116922734,Lorena Pérez-Floriano,Universidad Diego Portales,udp,Dirección de correo verificada de udp.cl,Citado por 2603,Organizational behavior organization studies cross-cultural management 
12216913016116922734,ALFREDO JOIGNANT,Universidad Diego Portales,udp,Dirección de correo verificada de mail.udp.cl,Citado por 2379,Political field public intellectuals political competence political elites politics of memory 
12216913016116922734,Jose Weinstein,profesor universidad diego portales Chile,udp,Dirección de correo verificada de udp.cl,Citado por 2281,liderazgo directivo politica docente mejora escolar 
12216913016116922734,Rodrigo A Garrido,Universidad Diego Portales,udp,Dirección de correo verificada de udp.cl,Citado por 2203,Logistics Transportation Operations Research Econometrics 
12216913016116922734,Juan Montiel,Universidad Diego Portales,udp,Dirección de correo verificada de udp.cl,Citado por 2202,Brain development Brain Evolution Neurogenomics Neuropathology 
12216913016116922734,Gonzalo Muñoz,"Professor, Faculty of Education, Diego Portales University",udp,Dirección de correo verificada de mail.udp.cl,Citado por 2187,Política Educacional Liderazgo Escolar Mejoramiento Educativo 
12216913016116922734,Fanny Petermann-Rocha,Universidad Diego Portales,udp,Dirección de correo verificada de udp.cl,Citado por 2163,
12216913016116922734,Adrian P. Mundt,"Professor, Medical Faculty Universidad de Chile, Universidad Diego Portales",udp,Dirección de correo verificada de mail.udp.cl,Citado por 1803,Psychiatry 
