id_gs,autor,cargo,id_institucion,email,citaciones,intereses
13542589241086358186,Jose Rodriguez,"Professor, Engineering Faculty, Universidad Andres Bello",unab,unab.cl,72720,Power electronics multilevel converters predictive control renewable energy industrial electronics 
13542589241086358186,Eduardo Alejandro Gutierrez Ramirez,"Magister, Universidad Andres Bello",unab,uandres,31989,history 
13542589241086358186,Patricia Perez,Universidad Andres Bello,unab,unab.cl,10364,Theoretical Chemistry Chemical Reactivity 
13542589241086358186,Ariel Orellana,"Universidad Andres Bello, Chile",unab,unab.cl,6150,Plant Biology Cell Biology Genomics Proteomics 
13542589241086358186,Claudia Andrea Riedel,Universidad Andrés Bello,unab,unab.cl,6119,Hypothyroxinemia iodide pregnancy fetal programming inflammatory … 
13542589241086358186,Alvaro A. Elorza,"Full Professor, Institute of Biomedical Sciences, Universidad Andres Bello",unab,unab.cl,5179,Mitochondria Stem Cells Cancer Hematopoiesis Aging 
13542589241086358186,Giancarlo V. De Ferrari,"Full Professor, Universidad Andres Bello",unab,unab.cl,5156,Wnt/beta-catenin signaling Alzheimer's disease autism spectrum disorders cancer genetics and genomics 
13542589241086358186,Eduardo Chamorro,Director Programa de Doctorado en FisicoQuimica Molecular. Universidad Andres Bello,unab,unab.cl,4591,Chemical Reactivity Density Functional Theory Spin polarized 
13542589241086358186,Claudio Cabello-Verrugio,Universidad Andres Bello,unab,unab.cl,3811,skeletal muscle atrophy angiotensin 1-7 TGF-beta angiotensin II 
13542589241086358186,Felipe Simon,Universidad Andres Bello,unab,unab.cl,3575,Inflammation Sepsis Vascular endothelial function Diagnosis ICU 
13542589241086358186,Timo Anguita,"Associate Professor, Universidad Andres Bello",unab,unab.cl,3495,Gravitational lensing Galaxy formation and Evolution AGNs 
13542589241086358186,Guido Mora,"Profesor Titular, UNAB",unab,unab.cl,3373,Microbiology 
13542589241086358186,Ramiro Arratia-Perez,Universidad Andres Bello,unab,unab.cl,3173,Relativistic Molecular Physics 
13542589241086358186,"Fernando Danilo Gonzalez Nilo, PhD","Director Center for Bioinformatics and Integrative Biology, Universidad Andres Bello …",unab,unab.cl,3138,Molecular Simulations Bio-nanotechnology Ion Channels Drug Design Protein Structure 
13542589241086358186,Ernesto Guiraldes,"Universidad Andrés Bello, Santiago, Chile and Profesor Titular P. Universidad Católica de",unab,unab.cl,3088,Health Sciences Education Pediatric Gastroenterology Coeliac Disease Functional Gastrointestinal Disorders Acute diarrhea 
13542589241086358186,Lorena Varela-Nallar,"Assistant Professor, Universidad Andres Bello",unab,unab.cl,2895,
13542589241086358186,Francisca Bronfman,Instituto de Ciencias Biomedicas. Universidad Andres Bello,unab,unab.cl,2624,Neurobiology Cellular and Molecular Biology Signaling Functional Lipids 
13542589241086358186,Cristian Duarte,"Departamento de Ecologia y Biodiversidad, Universidad Andres Bello",unab,unab.cl,2517,Sandy beach ecology ecophysiology environmental stressors 
13542589241086358186,Juan A. Ugalde,"Center for Bioinformatics and Integrative Biology, Universidad Andres Bello",unab,unab.cl,2471,Genomics Metagenomics Microbial Ecology Bioinformatics Evolutionary Genomics 
13542589241086358186,William Tiznado Vásquez,"Profesor de Química, Universidad Andres Bello, Chile",unab,unab.cl,2323,Quantum Chemistry Clusters aromaticity chemical bonding exploration of the potential energy surface 
13542589241086358186,Pérez-Donoso JM,"BioNanotechnology and Microbiology Lab, Universidad Andres Bello",unab,unab.cl,2292,
13542589241086358186,Luca Tarisciotti,Universidad Andres Bello,unab,unab.cl,2159,Power Electronics 
13542589241086358186,Rodrigo Olea,"UNAB, Chile",unab,unab.cl,2093,Gauge/Gravity Duality  Topological Terms … 
13542589241086358186,Claudia Miranda-Castillo,Universidad Andrés Bello,unab,unab.cl,2061,
13542589241086358186,Eyleen Araya Fuentes,Universidad Andres Bello,unab,unab.cl,2001,Biotecnología 
13542589241086358186,Alfredo Molina,universidad andres bello,unab,unab.cl,1884,Fish Physiology and Endocrinology Molecular Biology 
13542589241086358186,Paulo Canessa,"Assistant Professor at Centro de Biotecnologia Vegetal, Universidad Andres Bello",unab,unab.cl,1767,Fungal Microbiology Biotechnology Genomics and Genetics 
13542589241086358186,Walter Orellana,"Associate Professor, Department of Physical Science, Universidad Andres Bello",unab,unab.cl,1744,Condensed matter physics electronic structure calculations clean energy conversion 
13542589241086358186,Jorge H. Valdes,"Associate Professor, Center for Bioinformatics and Integrative Biology, Universidad Andrés …",unab,unab.cl,1739,Biotechnology Evolutionary Genomics Bioinformatics Synthetic Biology 
