id_gs,autor,cargo,id_institucion,email,citaciones,intereses
8337597745079551909,Jose Alejandro Gonzalez Campos,Universidad de Playa Ancha,upla,upla.cl,1516,Estadística Aplicada a la Educación y … 
8337597745079551909,Verónica Molina T.,Universidad de Playa Ancha,upla,upla.cl,1332,Ecologia Microbiana Biogeoquimica Oceanografia Microbiana 
8337597745079551909,Jean-Pierre Francois,"Departamento de Ciencias Geográficas, Universidad de Playa Ancha",upla,upla.cl,1298,Geografía Ambiental Ecología del Paisaje Paleoecología Palinología 
8337597745079551909,Roberto Orellana,Universidad de Playa Ancha,upla,upla.cl,1142,Environmental Microbiology 
8337597745079551909,Paulina Bahamonde,HUB Ambiental - Universidad de Playa Ancha,upla,upla.cl,830,ecotoxicology 
8337597745079551909,paula pavez,Universidad de Playa Ancha,upla,upla.cl,802,psicología emociones agresión y cooperación en seres humanos 
8337597745079551909,Miguel R. Guevara,"Cs. Department, Universidad de Playa Ancha",upla,upla.cl,765,web mining data science scientometrics online social networks 
8337597745079551909,Claudio A. Sáez,Universidad de Playa Ancha,upla,upla.cl,728,ecotoxicology environmental biotechnology Climate Change ecology phycology 
8337597745079551909,Franklin Johnson Parejas,Universidad de Playa Ancha,upla,upla.cl,703,Optimization Constraint Programming Metaheuristics 
8337597745079551909,Alejandro Martín Madrid Villegas,"Academico, Departamento de Química, Universidad de Playa Ancha",upla,upla.cl,698,Productos Naturales y Síntesis Organica 
8337597745079551909,Jaime Alfredo Urzua Parra,"bioemcánica, universidad de santiago de chile -  universidad de playa ancha",upla,upla.cl,680,bioemcánica neurologia 
8337597745079551909,Marisol Belmonte,"Académico DMA, Facultad de Ingeniería, Universidad de Playa Ancha",upla,upla.cl,511,Biotecnología ambiental tratamiento de residuos líquidos Ingeniería Ambiental 
8337597745079551909,Eduardo Cavieres Fernandez,"Centro de Estudios Avanzados, Universidad de Playa Ancha",upla,upla.cl,407,Education 
8337597745079551909,Claudia Carrasco Aguilar,Universidad de Playa Ancha,upla,upla.cl,364,Educación 
8337597745079551909,Hector A. Levipan,Universidad de Playa Ancha,upla,upla.cl,266,Microbiología 
8337597745079551909,Fabian Cabaluz,Universidad de Playa Ancha,upla,upla.cl,260,pedagogias críticas - teoría crítica … 
8337597745079551909,Carlos Valle,Universidad de Playa Ancha,upla,upla.cl,250,Machine Learning Ensemble Learning Neural Networks 
8337597745079551909,Alexis Candia-Cáceres,"Centro de Estudios Avanzados, Universidad de Playa Ancha",upla,upla.cl,247,Literatura 
8337597745079551909,Boris Villalobos Parada,Universidad de Playa Ancha,upla,upla.cl,227,Educación Inclusiva Estudios de la Discapacidad Convivencia Escolar 
8337597745079551909,Lastenia Ugalde Meza,Universidad de Playa Ancha,upla,upla.cl,200,Química Tecnología educativa suelo 
8337597745079551909,Tomas Koch,Universidad de Playa Ancha,upla,upla.cl,177,
8337597745079551909,Fernando Mandujano Bustamante,"Profesor, Universidad de Playa Ancha",upla,upla.cl,172,Cambio Social Cultura Teoría Social 
8337597745079551909,Céline Lavergne,"HUB AMBIENTAL UPLA, LACER lab, Centro de Estudios Avanzados, Universidad de Playa …",upla,upla.cl,167,Microbial Ecology Ecotoxicology Biogeochemical cycles Antarctic science 
8337597745079551909,Felip Gascón,"Profesor de Periodismo, Universidad de Playa Ancha, Valparaíso-Chile",upla,upla.cl,158,epistemología de la comunicación comunicación intercultural comunicación y ciudad 
8337597745079551909,Fernanda Jimena Rodríguez Rojas,Universidad de Playa Ancha,upla,upla.cl,154,Mecanismos de resistencia a estrés abiótico … 
8337597745079551909,Eileen Karmy,"Centro de Estudios Avanzados, Universidad de Playa Ancha",upla,upla.cl,152,Musicology Sociology Labour History 
8337597745079551909,Andrés Maximiliano Tello,Universidad de Playa Ancha,upla,upla.cl,150,
8337597745079551909,Macarena Trujillo Cristoffanini,"Universidad de Playa Ancha, Chile",upla,upla.cl,143,sociología del género teorías feministas violencia de género género y migraciones 
8337597745079551909,Maria Jacqueline Rojas Rios,"académica, Universidad de Playa Ancha",upla,upla.cl,140,educación superior acreditación institucional gestion 
8337597745079551909,Claudia Carrasco Aguilar,Universidad de Playa Ancha,upla,upla.cl,133,Políticas educativas convivencia escolar 
8337597745079551909,Luis Eduardo Castro Castro,"Historiador, Centro de Estudios Avanzados, Universidad de Playa Ancha",upla,upla.cl,119,Historia de América Latina y El Caribe siglo … Historia de Perú Bolivia y Chile siglos XIX y XX Historia Regional del Norte Grande Chile … Estudios Interculturales y de Diversidad … 
8337597745079551909,silvia sarzoza,Universidad de Playa Ancha,upla,upla.cl,110,Educación superior inclusión discapacidad calidad de la educación superior 
8337597745079551909,Sergio Galdames Maliqueo,Universidad de Playa Ancha,upla,upla.cl,97,Entrenamiento deportivo fisiologia ciencias del deporte 
8337597745079551909,Patricio Alfonso Landaeta Mardones,Universidad de Playa Ancha,upla,upla.cl,94,filosofía y territorio filosofía y literatura posestructuralismo 
8337597745079551909,Daiana Nascimento dos Santos,"Investigador, Universidad de Playa Ancha",upla,upla.cl,91,… Literaturas en portugués- Estudios Africanos y … 
8337597745079551909,Cristian Carvajal Muquillaza,"Profesor de Estadística, Universidad de Playa Ancha",upla,upla.cl,89,Educación Cuantificación Estadística 
8337597745079551909,Jaime Leiva,Universidad de Playa Ancha,upla,upla.cl,89,Tecnología educativa 
8337597745079551909,Pablo Saravia Ramos,Universidad de Playa Ancha,upla,upla.cl,88,Agroecología soberanía alimentaria metodologías participativas extensión crítica 
8337597745079551909,Alda Reyno Freundt,"Profesora de Educación Física, Universidad de Playa Ancha",upla,upla.cl,79,gimnasia ritmica formación del profesor discapacidad expresión motriz 
8337597745079551909,Yudi Herrera Núñez,Universidad de Playa Ancha,upla,upla.cl,72,Literacidad académica Escritura en el curriculum Narrativas conversacionales 
8337597745079551909,Octavio Gabriel Poblete Christie,Universidad de Playa Ancha,upla,upla.cl,71,Emociones educación profesores interacción 
8337597745079551909,Fabiola Vilugron Aravena,Universidad de Playa Ancha,upla,upla.cl,63,
8337597745079551909,Javiera Antonia Carmona Jiménez,"Professor associated Communication Department, Universidad de Playa Ancha",upla,upla.cl,61,Culture and Communication Museum Heritage 
8337597745079551909,Jorge Gaona,Universidad de Playa Ancha,upla,upla.cl,61,Math education assessment online feedback 
8337597745079551909,Karen Núñez-Valdés,Universidad de Playa Ancha,upla,upla.cl,59,educación evaluación currículum 
8337597745079551909,VERONICA MEZA RAMIREZ,"Universidad de Playa Ancha, Facultad de Ingeniería",upla,upla.cl,59,Recursos Naturales sistema  suelo- agua suelo contaminado con metales biorremediación 
8337597745079551909,César Pacheco Silva,Universidad de Playa Ancha,upla,upla.cl,58,Meta-Comunicación Radiodifusión Comunicación Organizacional 
8337597745079551909,Mauricio Villarroel Guerra,"Profesor de Anatomía, Universidad de Playa Ancha",upla,upla.cl,58,anatomia morfologia antropologia forense enseñanza de las ciencias 
8337597745079551909,Nelson Carroza Athens,"Profesor Asistente, Departamento de Sociología, Universidad de Playa Ancha.",upla,upla.cl,56,Teoría urbana crítica producción social del hábitat desigualdades territoriales extensión crítica 
8337597745079551909,Abel Aravena Zamora,Centro de Estudios Avanzados Universidad de Playa Ancha,upla,upla.cl,48,aristotelismo filosofía medieval filosofía época colonial filosofía de la naturaleza historiografía filosófica chilena 
