id_gs,autor,cargo,id_institucion,email,citaciones,intereses
605437563739143535,José H Zagal  FRSC,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de …",usach,Dirección de correo verificada de usach.cl,Citado por 9814,electrochemistry electrocatalysis molecular electrochemistry fuel cells sensors 
605437563739143535,Yenniffer Ávalos,"Assistant Professor, Universidad de Santiago de Chile",usach,Dirección de correo verificada de usach.cl,Citado por 9006,Autophagy primary cilium insulin signaling obesity high-fat diet 
605437563739143535,Cristóbal M. Espinoza,Universidad de Santiago de Chile,usach,Dirección de correo verificada de usach.cl,Citado por 6176,Pulsar astronomy Space physics 
605437563739143535,Francisco Melo,Departamento de Física Universidad de Santiago,usach,Dirección de correo verificada de usach.cl,Citado por 5970,soft matter 
605437563739143535,Claudio Martinez,Universidad de Santiago de Chile (USACH),usach,Dirección de correo verificada de usach.cl,Citado por 5636,Genetics Microbiology Biotechnology 
605437563739143535,Mikhail Plyushchay,Universidad de Santiago de Chile,usach,Dirección de correo verificada de usach.cl,Citado por 5350,Theoretical Physics Mathematical Physics Symmetries 
605437563739143535,Juan Silva Quiroz,"Académico Departamento de Educación y Director de CIIET, Universidad de Santiago de …",usach,Dirección de correo verificada de usach.cl,Citado por 4609,e-learning competencias digitales Tutoría Online Diseño Instruccional Online Competencia Digital Docente 
605437563739143535,Maria Galotto,Universidad de Santiago de Chile,usach,Dirección de correo verificada de usach.cl,Citado por 4494,Food Packaging and Technology 
605437563739143535,Lucia Dammert,Universidad de Santiago de Chile,usach,Dirección de correo verificada de usach.cl,Citado por 4071,crime latin america 
605437563739143535,Dinesh Pratap Singh,"Department of Physics, University of Santiago, Chile (https://fisica.usach.cl/es)",usach,Dirección de correo verificada de usach.cl,Citado por 4019,Synthesis of nanomaterials Graphene based supercapacitors and  solar … Nanotribology Nanomedicine Nano-optics 
605437563739143535,JL Gautier,Universidad de Santiago de Chile,usach,Dirección de correo verificada de usach.cl,Citado por 3713,Physicochemical and electrochemical … 
605437563739143535,Dora Altbir,"Physics Department, Universidad de Santiago de Chile",usach,Dirección de correo verificada de usach.cl,Citado por 3650,Nanoscience and Magnetism 
605437563739143535,Juan Escrig,Departamento de Física de la Universidad de Santiago de Chile,usach,Dirección de correo verificada de usach.cl,Citado por 3637,Nanomaterials Nanomagnetism Synthesis Characterization Micromagnetism 
605437563739143535,Carlos Lizama,"Departamento de Matemática y Ciencia de la Computación, Universidad de Santiago de …",usach,Dirección de correo verificada de usach.cl,Citado por 3575,Evolution Equations Functional Analysis Fractional calculus Integro-differential equations Operator theory 
605437563739143535,Maritza Paez,UNIVERSIDAD DE SANTIAGO DE CHILE,usach,Dirección de correo verificada de usach.cl,Citado por 3553,Corrosion Electroquimica 
605437563739143535,Sebastián Pérez,Universidad de Santiago de Chile,usach,Dirección de correo verificada de usach.cl,Citado por 3418,astrophysics planet formation hydrodynamics planet-disk interactions art-science 
605437563739143535,Juliano Denardin,Universidad de Santiago,usach,Dirección de correo verificada de usach.cl,Citado por 3418,magnetismo 
605437563739143535,Guillermo Romero H,Universidad de Santiago de Chile,usach,Dirección de correo verificada de usach.cl,Citado por 3224,Superconducting circuits and circuit QED open quantum systems many-body quantum systems quantum information 
