id_gs,autor,cargo,id_institucion,email,citaciones,intereses
1812728570911196340,jorge cancino,Universidad San Sebastian,uss,uss.cl,11700,Biología Celular 
1812728570911196340,Kokkarachedu Varaprasad,"Facultad de Ingeniería y Tecnología, Universidad San Sebastián",uss,uss.cl,4776,… for infection control  &  Hydrogels for … 
1812728570911196340,Rommy von Bernhardi,Professor for Neuroscience; Dean Faculty for Health Science Universidad San Sebastian,uss,uss.cl,4604,Aging Alzheimer's disease glia neurodegenerative diseases neuroinflammation 
1812728570911196340,Carlos P Vio,Universidad San Sebastian,uss,uss.cl,3813,Nephrology Hypertension Renal Physiology and Pathology 
1812728570911196340,Valentina Echeverria,"Research Professor, Universidad San Sebastián de Chile. Scientist, Bay Pines VAHCS,USA",uss,uss.cl,3761,Neurodegenerative diseases Psychiatric diseases Nicotinic receptors traditional medicine research Tobacco derivatives 
1812728570911196340,Alejandro S. Godoy,Universidad San Sebastián; Roswell Park Cancer Institute,uss,uss.cl,2530,Prostate cancer tumor microenvironment angiogenesis metabolism androgens 
1812728570911196340,Verena Häussermann,Universidad San Sebastian,uss,uss.cl,2434,marine biodiversity cold-water corals marine protected areas biogeography 
1812728570911196340,Samuel Durán Agüero,"Professor of Nutrition, Universidad San Sebastián",uss,uss.cl,2275,Nutrition artificial sweeteners obesity old adults 
1812728570911196340,Andrea Leiva,Profesor Asociado. Universidad San Sebastián,uss,uss.cl,2274,Lipid metabolism. Endothelial function … 
1812728570911196340,Andrea Soza,Universidad San Sebastián,uss,uss.cl,2236,cell biology 
1812728570911196340,PATRICIA V. BURGOS,"Facultad de Medicina y Ciencia, Universidad San Sebastián",uss,uss.cl,1804,Cell Biology Autophagy Proteostasis … 
1812728570911196340,Cheril Tapia Rojas,Universidad San Sebastian,uss,uss.cl,1733,Neuroscience 
1812728570911196340,Manuel Varas-Godoy,"Associate Professor, Faculty of Medicine and Science, Universidad San Sebastián",uss,uss.cl,1720,Cancer Cell Biology Stem Cells Exosomes Small Extracellular Vesicles 
1812728570911196340,María Inés Barría,"Universidad San Sebastián, Sede de la Patagonia",uss,uss.cl,1389,Virology Infectious Diseases Molecular Biology 
1812728570911196340,Claudio Molina,"Director Nacional de Investigación, Facultad de Odontología, Universidad San Sebastián",uss,uss.cl,1365,Patología Oral Autoinmunidad 
1812728570911196340,Maria Marcela Bravo Zehnder,"Investigador Académico, Universidad San Sebastián",uss,uss.cl,1186,Biología Celular y Molecular e Inmunología 
1812728570911196340,Carlos Cespedes Fierro,Universidad San Sebastián,uss,uss.cl,1112,Kidney Physiology Hypertension 
