id_gs,autor,cargo,id_institucion,email,citaciones,intereses
4727335469935944428,Bernardo Arriaza,Universidad de Tarapacá,uta,uta.cl,6208,Chinchorro mummies Bioarchaeology Paleopathology 
4727335469935944428,Alejandra Caqueo-Urízar,Universidad de Tarapacá,uta,uta.cl,5782,Psicología Clínica 
4727335469935944428,Calogero M. Santoro,Universidad de Tarapaca,uta,uta.cl,5192,Archaeology hunter-gatherers paleoenviroment South America Andes 
4727335469935944428,Bárbara Rojas-Ayala,"Astronomer, Instituto de Alta Investigación, Universidad de Tarapacá",uta,uta.cl,4923,Low Mass Stars Brown dwarfs Exoplanets 
4727335469935944428,Emilio Rodríguez Ponce,Profesor Titular - Universidad de Tarapacá (Chile),uta,uta.cl,3538,Educación Superior Gestión del Conocimiento Liderazgo 
4727335469935944428,Heriberto Román Flores,Universidad de Tarapacá,uta,uta.cl,3538,
4727335469935944428,ESPINOZA OSCAR .,Facultad de Educación y Humanidades de la Universidad de Tarapacá,uta,academicos.uta.cl,3517,Educación superior políticas educativas equidad aseguramiento de calidad 
4727335469935944428,Francisco Ganga Contreras,Universidad de Tarapacá,uta,academicos.uta.cl,3334,Educación superior gobernanza universitaria gobierno universitario talento humano liderazgo 
4727335469935944428,Liliana Pedraja Rejas,Profesora Titular Universidad de Tarapaca,uta,uta.cl,3221,liderazgo educación superior estrategia. 
4727335469935944428,David Laroze,"Professor of Physics, Universidad de Tarapacá",uta,uta.cl,2294,Chaos Hydrodynamic Instabilities Magnetism Quantum mechanics Mathematical modeling 
4727335469935944428,Sergio gonzález Miranda,"Universidad de Tarapacá, profesor titular",uta,academicos.uta.cl,1683,historia regional relaciones internacionales historia de la minería 
4727335469935944428,Hector Gonzalez,Universidad de Tarapacá,uta,uta.cl,1550,
4727335469935944428,Alejandro Cuadra,Universidad de Tarapaca,uta,uta.cl,1300,Psicología Metodología de Investigación Gestión Organizacional 
4727335469935944428,BARBARA AILEEN CERNA TOVAR,Estudiante Psicología UTA,uta,alumnos.uta.cl,1297,Psicología 
4727335469935944428,Julio A. Carballo-Bello,"Independent Researcher, Universidad de Tarapacá",uta,academicos.uta.cl,1210,Near-Field cosmology Milky Way globular clusters tidal streams 
4727335469935944428,Iván Muñoz Ovalle,Universidad de Tarapacá,uta,uta.cl,1191,Arqueología del norte grande de Chile patrones de asentamiento relacion es interétnicas 
4727335469935944428,JC Flores,Universidad de Tarapacá,uta,uta.cl,1146,Física Matemática 
4727335469935944428,Juan Jesus Rodriguez,"Staff Profesional, Universidad de Tarapacá",uta,uta.cl,1143,Educación Liderazgo Administración 
4727335469935944428,Carolina Guzmán-Valenzuela,University of Tarapacá (Chile),uta,academicos.uta.cl,1135,Higher Education Qualitative research in Education 
4727335469935944428,Constanza Veloso,"Universidad de Tarapacá, Departamento de Psicología",uta,academicos.uta.cl,1123,psicología organizacional psicología positiva metodología de la investigación análisis de datos 
4727335469935944428,Héctor A. Vargas,Universidad de Tarapacá,uta,uta.cl,1062,Entomología 
4727335469935944428,Alfonso Díaz Aguad,"Profesor de Historia, Universidad de Tarapacá",uta,uta.cl,881,Migraciones Historia Regional 
4727335469935944428,Manuel Prieto,"Professor, Universidad de Tarapacá",uta,academicos.uta.cl,757,Geography 
4727335469935944428,Daniela Valenzuela,"Profesora, Investigadora, Universidad de Tarapacá",uta,uta.cl,714,Andean archaeology pre-Hispanic economy animal consumption visual images production/use of rock art and geoglyphs 
4727335469935944428,Cristóbal E. Castro,Universidad de Tarapacá,uta,academicos.uta.cl,697,High order finite volumes unstructured meshes multiphase flows 
4727335469935944428,Carlos Ubeda de la Cerda,Universidad de Tarapacá,uta,uta.cl,676,medical physics física médica protección radiologica radiological protection 
4727335469935944428,Sebastián Lorca,Universidad de Tarapacá,uta,uta.cl,647,Análisis Ecuaciones Diferenciales 
4727335469935944428,Cristian Ovando Santana,"Universidad de Tarapacá, Dpto. de Ciencias Sociales.",uta,academicos.uta.cl,638,Relaciones Internacionales Paradiplomacia Paradiplomacy Fronteras Diplomacy 
4727335469935944428,José Cárcamo-Vega,Universidad de Tarapacá,uta,uta.cl,627,Arqueometria Raman SERS Nanoestructuras 
4727335469935944428,carmen araneda guirriman,Universidad de Tarapacá,uta,academicos.uta.cl,554,
4727335469935944428,Oliver Meseguer-Ruiz,"Associate Professor, Universidad de Tarapacá",uta,academicos.uta.cl,536,Climatology Meteorology 
4727335469935944428,Pilar Mazuela,Universidad de Tarapaca,uta,uta.cl,533,agronomia agricultura cultivo sin suelos fertirriego fertilizacion 
4727335469935944428,MARCOS CARMONA HALTY,Universidad de Tarapacá,uta,academicos.uta.cl,505,
4727335469935944428,Marcos Carmona-Halty,Universidad de Tarapacá,uta,academicos.uta.cl,499,Social Psychology Educational Psychology Organizational Psychology 
4727335469935944428,Vivian Gavilán Vega,Universidad de Tarapacá,uta,uta.cl,420,Estudios de Género Salud y Pueblos Originario Etnicidades 
4727335469935944428,Yoelsy Leyva,"Departamento de Física, Universidad de Tarapacá",uta,academicos.uta.cl,414,Cosmology and Particle Physics 
4727335469935944428,FRANCISCO LEAL-SOTO,"Departamento de Ciencias Sociales, Universidad de Tarapacá",uta,academicos.uta.cl,404,
4727335469935944428,Mario Villalobos,Universidad de Tarapacá,uta,academicos.uta.cl,397,Filosofía de las ciencias cognitivas 
4727335469935944428,Andrés M. Vélez-Pereira,"Departamento de Ingeniería Mecánica, Facultad de Ingeniería, Universidad de Tarapacá",uta,academicos.uta.cl,389,Air pollution Aerobiology Modelling Noise Pollution Environmental Health 
4727335469935944428,CARLOS GONZALEZ SILVA,"prof Bioquimica, microbiologia, Universidad de Tarapaca, iquique, Chile",uta,academicos.uta.cl,388,microbiologia ambiental ecologia bioquimica 
4727335469935944428,Pamela Zapata-Sepúlveda,Universidad de Tarapacá. Escuela de Psicología y Filosofía,uta,uta.cl,382,qualitative inquiry psychology cultural studies critical methodologies 
4727335469935944428,Edmundo Lazo,"Departamento de Física, Facultad de Ciencias, Universidad de Tarapacá",uta,uta.cl,364,disordered systems 
4727335469935944428,Edgar Estupinan,"Associate Professor, University of Tarapaca (Chile)",uta,uta.cl,362,Mechanical Vibrations Rotor Dynamics Tribology Mechatronics 
4727335469935944428,Rodrigo Ferrer Urbina,"Escuela de Psicología y Filosofía, Universidad de Tarapacá",uta,academicos.uta.cl,321,
4727335469935944428,Kanchana C,"Universidad de Tarapacá, Chile",uta,academicos.uta.cl,311,Rayleigh - Benard convection Lorenz model Ginzburg-Landau model 
4727335469935944428,Carlos Mondaca Rojas,Profesor Titular Universidad de Tarapacá,uta,uta.cl,283,Educación Intercultural Educación y Migración Historia y Educación 
4727335469935944428,Ricardo Valdivia Pinto,Universidad de Tarapacá,uta,academicos.uta.cl,281,Educación en Ingeniería Bases de Datos 
4727335469935944428,Luis Antonio Barrio Mateu,"Profesor de biomecánica, Universidad de Tarapacá",uta,uta.cl,268,Biomecánica en el deporte Evaluación y mediciones en deportistas obesidad infantil 
4727335469935944428,"Gonzalo R. Quintana Zunino, PhD.",Universidad de Tarapacá,uta,academicos.uta.cl,266,Orgasm Sex Sexual Behavior Sexual Response Sexual Function 
4727335469935944428,Laura Milena Pérez,"Assistant Professor of Physics, Universidad de Tarapacá",uta,uta.cl,260,Computational Physics Nonlinear Physics Fluids Chaos 
4727335469935944428,Anton Tiutiunnyk,Universidad de Tarapacá,uta,uta.cl,200,Semiconductors nanostructures Condensed matter physics 
