idgs,id,nombre,atributos,correo,intereses,titulo,autores,revista,citado por,año
QIHKy1UAAAAJ,santotomas,Fabio A. Labra R.,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile",,,Scaling and power-laws in ecological systems,"PA Marquet, RA Quiñones, S Abades, F Labra, M Tognelli, M Arim, ...","Journal of Experimental Biology 208 (9), 1749-1769, 2005",412,2005
QIHKy1UAAAAJ,santotomas,Fabio A. Labra R.,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile",,,Predicting insect pest status under climate change scenarios: combining experimental data and population dynamics modelling,"SA Estay, M Lima, FA Labra","Journal of Applied Entomology 133 (7), 491-499, 2009",141,2009
QIHKy1UAAAAJ,santotomas,Fabio A. Labra R.,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile",,,Biogeographic patterns of Chilean littoral fishes,"FP OJEDA, FA LABRA, AA MUÑOZ","Revista chilena de historia natural 73 (4), 625-641, 2000",121*,2000
QIHKy1UAAAAJ,santotomas,Fabio A. Labra R.,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile",,,Metabolic ecology: linking individuals to ecosystems,"PA Marquet, FA Labra, BA Maurer","Ecology 85 (7), 1794-1796, 2004",72,2004
QIHKy1UAAAAJ,santotomas,Fabio A. Labra R.,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile",,,Priority areas for the conservation of coastal marine vertebrates in Chile,"MF Tognelli, C Silva-Garcıa, FA Labra, PA Marquet","Biological Conservation 126 (3), 420-428, 2005",45,2005
QIHKy1UAAAAJ,santotomas,Fabio A. Labra R.,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile",,,Scaling metabolic rate fluctuations,"FA Labra, PA Marquet, F Bozinovic","Proceedings of the National Academy of Sciences 104 (26), 10900-10903, 2007",40,2007
QIHKy1UAAAAJ,santotomas,Fabio A. Labra R.,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile",,,Response of the epibenthic macrofaunal community to a strong upwelling-driven hypoxic event in a shallow bay of the southern Humboldt Current System,"E Hernández-Miranda, R Veas, FA Labra, M Salamanca, RA Quiñones","Marine environmental research 79, 16-28, 2012",33,2012
QIHKy1UAAAAJ,santotomas,Fabio A. Labra R.,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile",,,Thermal constraints on daily patterns of aggregation and density along an intertidal gradient in the periwinkle Echinolittorina peruviana,"JLP Munoz, PA Camus, FA Labra, GR Finke, F Bozinovic","Journal of Thermal Biology 33 (3), 149-156, 2008",33,2008
QIHKy1UAAAAJ,santotomas,Fabio A. Labra R.,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile",,,Impacts of climate change on marine fisheries and aquaculture in Chile,"E Yáñez, NA Lagos, R Norambuena, C Silva, J Letelier, KP Muck, ...","Climate change impacts on Fisheries and Aquaculture: a global analysis 1 …, 2017",30,2017
QIHKy1UAAAAJ,santotomas,Fabio A. Labra R.,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile",,,DNA barcoding of marine polychaetes species of southern Patagonian fjords,"CS Maturana, RA Moreno, FA Labra, CA González-Wevar, N Rozbaczylo, ...","Revista de biología marina y oceanografía 46 (1), 35-42, 2011",24,2011
QIHKy1UAAAAJ,santotomas,Fabio A. Labra R.,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile",,,Dispersal and transient dynamics in metapopulations,"FA Labra, NA Lagos, PA Marquet","Ecology Letters 6 (3), 197-204, 2003",23,2003
QIHKy1UAAAAJ,santotomas,Fabio A. Labra R.,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile",,,"Recovery of black-necked swans, macrophytes and water quality in a Ramsar wetland of southern Chile: Assessing resilience following sudden anthropogenic disturbances","E Jaramillo, NA Lagos, FA Labra, E Paredes, E Acuña, D Melnick, ...","Science of the Total Environment 628, 291-301, 2018",21,2018
QIHKy1UAAAAJ,santotomas,Fabio A. Labra R.,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile",,,Evaluating habitat suitability for the establishment of Monochamus spp. through climate-based niche modeling,"SA Estay, FA Labra, RD Sepulveda, LD Bacigalupe","PloS one 9 (7), e102592, 2014",21,2014
QIHKy1UAAAAJ,santotomas,Fabio A. Labra R.,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile",,,Increased outbreak frequency associated with changes in the dynamic behaviour of populations of two aphid species,"SA Estay, M Lima, FA Labra, R Harrington","Oikos 121 (4), 614-622, 2012",21,2012
QIHKy1UAAAAJ,santotomas,Fabio A. Labra R.,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile",,,Distribution and abundance: scaling patterns in exotic and native bird species,"FA Labra, S Abades, PA Marquet","Species Invasions. Insights Into Ecology, Evolution and Biogeography, 421-446, 2005",20,2005
QIHKy1UAAAAJ,santotomas,Fabio A. Labra R.,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile",,,Geographic variation in trace-element signatures in the statoliths of near-hatch larvae and recruits of Concholepas concholepas (loco),"PH Manríquez, SP Galaz, T Opitz, S Hamilton, G Paradis, RR Warner, ...","Marine Ecology Progress Series 448, 105-118, 2012",15,2012
QIHKy1UAAAAJ,santotomas,Fabio A. Labra R.,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile",,,"Estudio de vulnerabilidad de la biodiversidad terrestre en la eco-región mediterránea, a nivel de ecosistemas y especies, y medidas de adaptación frente a escenarios de cambio …","P Marquet, F Labra, S Abades, L Cavieres","Ministerio de Medio Ambiente. Santiago, Chile, 2011",15,2011
QIHKy1UAAAAJ,santotomas,Fabio A. Labra R.,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile",,,Biodiversity power laws,"PA MARQUET, SR ABADES, FA LABRA","Scaling biodiversity, 470, 2007",14,2007
QIHKy1UAAAAJ,santotomas,Fabio A. Labra R.,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile",,,Biodiversidad del ecosistema costero adyacente a la desembocadura del río Itata,"E Hernández-Miranda, R Veas, FA Labra, A Araneda, FD Carrasco, ...","En: Parra O, JC Castilla, H Romero, RA Quiñones & A Camaño (eds). La cuenca …, 2009",12,2009
QIHKy1UAAAAJ,santotomas,Fabio A. Labra R.,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile",,,Resilience of an aquatic macrophyte to an anthropogenically induced environmental stressor in a Ramsar wetland of southern Chile,"E Jaramillo, C Duarte, FA Labra, NA Lagos, B Peruzzo, R Silva, ...","Ambio 48 (3), 304-312, 2019",11,2019
ewkobLAAAAAJ,santotomas,Hugo Ochoa-Acuña,Universidad Santo Tomás,,,Drinking-water herbicide exposure in Indiana and prevalence of small-for-gestational-age and preterm delivery,"H Ochoa-Acuña, J Frankenberger, L Hahn, C Carbajo","Environmental health perspectives 117 (10), 1619-1624, 2009",149,2009
ewkobLAAAAAJ,santotomas,Hugo Ochoa-Acuña,Universidad Santo Tomás,,,Acute and chronic toxicity of atrazine and its metabolites deethylatrazine and deisopropylatrazine on aquatic organisms,"K Ralston-Hooper, J Hardy, L Hahn, H Ochoa-Acuña, LS Lee, ...","Ecotoxicology 18 (7), 899-905, 2009",115,2009
ewkobLAAAAAJ,santotomas,Hugo Ochoa-Acuña,Universidad Santo Tomás,,,Toxicity of soybean rust fungicides to freshwater algae and Daphnia magna,"HG Ochoa-Acuña, W Bialkowski, G Yale, L Hahn","Ecotoxicology 18 (4), 440-446, 2009",108,2009
